,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-14 12:21:42.580584,986,"(4.12967, 127.445, -75.3343)","(0.0233736, -0.0358409, -0.999084)"
1,2023-02-14 12:21:42.589186,986,"(4.13558, 127.449, -75.3607)","(0.0233703, -0.0356204, -0.999092)"
2,2023-02-14 12:21:42.599118,986,"(4.159, 127.298, -75.3629)","(0.0234279, -0.036532, -0.999058)"
3,2023-02-14 12:21:42.608741,986,"(4.2155, 127.308, -75.3953)","(0.0239326, -0.0360708, -0.999063)"
4,2023-02-14 12:21:42.617665,986,"(4.21253, 127.3, -75.3803)","(0.0237792, -0.0355747, -0.999084)"
5,2023-02-14 12:21:42.626966,986,"(4.2328, 127.322, -75.4158)","(0.0239637, -0.0351896, -0.999093)"
6,2023-02-14 12:21:42.635587,986,"(4.21382, 127.159, -75.3524)","(0.0237552, -0.0361412, -0.999064)"
7,2023-02-14 12:21:42.644168,986,"(4.19503, 126.93, -75.3359)","(0.0235875, -0.0381965, -0.998992)"
8,2023-02-14 12:21:42.652615,986,"(4.17189, 126.726, -75.3277)","(0.0234686, -0.0400584, -0.998922)"
9,2023-02-14 12:21:42.661533,986,"(4.13689, 126.508, -75.4207)","(0.0230318, -0.0420168, -0.998851)"
10,2023-02-14 12:21:42.670291,986,"(4.16786, 126.387, -75.4631)","(0.0234889, -0.0428394, -0.998806)"
11,2023-02-14 12:21:42.678947,986,"(4.21728, 126.337, -75.4507)","(0.0242503, -0.042817, -0.998789)"
12,2023-02-14 12:21:42.687452,986,"(4.24763, 126.128, -75.3194)","(0.0245893, -0.0444661, -0.998708)"
13,2023-02-14 12:21:42.695943,986,"(4.28756, 125.993, -75.2239)","(0.0250686, -0.0453157, -0.998658)"
14,2023-02-14 12:21:42.705712,986,"(4.27862, 125.783, -75.2563)","(0.0252863, -0.0465991, -0.998594)"
15,2023-02-14 12:21:42.713396,986,"(4.23121, 125.563, -75.28)","(0.0252485, -0.0474021, -0.998557)"
16,2023-02-14 12:21:42.721678,986,"(4.18517, 125.385, -75.2384)","(0.0254244, -0.0475929, -0.998543)"
17,2023-02-14 12:21:42.730782,986,"(4.09477, 125.074, -75.1719)","(0.0251414, -0.0486988, -0.998497)"
18,2023-02-14 12:21:42.740111,986,"(4.02074, 124.706, -75.1072)","(0.0248092, -0.0505526, -0.998413)"
19,2023-02-14 12:21:42.748086,986,"(3.96004, 124.518, -75.0004)","(0.0247167, -0.050973, -0.998394)"
20,2023-02-14 12:21:42.757295,986,"(3.88463, 124.242, -74.9324)","(0.0246088, -0.0516665, -0.998361)"
21,2023-02-14 12:21:42.765886,986,"(3.78196, 123.986, -74.8923)","(0.024401, -0.0521726, -0.99834)"
22,2023-02-14 12:21:42.775091,986,"(3.68826, 123.728, -74.879)","(0.0242622, -0.0528176, -0.998309)"
23,2023-02-14 12:21:42.782795,986,"(3.61216, 123.616, -74.8896)","(0.024283, -0.0519491, -0.998354)"
24,2023-02-14 12:21:42.791415,986,"(3.50787, 123.51, -74.7883)","(0.0236848, -0.0518153, -0.998376)"
25,2023-02-14 12:21:42.800620,986,"(3.43012, 123.38, -74.7633)","(0.0235225, -0.051322, -0.998405)"
26,2023-02-14 12:21:42.808956,986,"(3.40332, 123.381, -74.7324)","(0.0237225, -0.0499695, -0.998469)"
27,2023-02-14 12:21:42.817321,986,"(3.2771, 123.229, -74.6766)","(0.0228202, -0.0499447, -0.998491)"
28,2023-02-14 12:21:42.825898,986,"(3.27442, 123.194, -74.7143)","(0.0231932, -0.0491389, -0.998523)"
29,2023-02-14 12:21:42.834578,986,"(3.21499, 123.19, -74.6835)","(0.0229134, -0.0480472, -0.998582)"
30,2023-02-14 12:21:42.843781,986,"(3.15919, 123.096, -74.6524)","(0.0227715, -0.0478301, -0.998596)"
31,2023-02-14 12:21:42.851995,986,"(3.16656, 123.189, -74.671)","(0.0229524, -0.0466718, -0.998647)"
32,2023-02-14 12:21:42.860403,986,"(3.12177, 123.189, -74.682)","(0.0229873, -0.0453145, -0.998708)"
33,2023-02-14 12:21:42.869115,986,"(3.08395, 123.216, -74.6954)","(0.0230053, -0.0439208, -0.99877)"
34,2023-02-14 12:21:42.878370,986,"(3.10954, 123.306, -74.72)","(0.0234065, -0.0428609, -0.998807)"
35,2023-02-14 12:21:42.887201,986,"(3.03686, 123.249, -74.6987)","(0.0234642, -0.0422365, -0.998832)"
36,2023-02-14 12:21:42.895884,986,"(2.93672, 123.281, -74.7136)","(0.022886, -0.0407348, -0.998908)"
37,2023-02-14 12:21:42.903710,986,"(2.83847, 123.35, -74.7649)","(0.0220671, -0.0393889, -0.99898)"
38,2023-02-14 12:21:42.912456,986,"(2.80996, 123.396, -74.7954)","(0.0219379, -0.0387371, -0.999009)"
39,2023-02-14 12:21:42.923051,986,"(2.81808, 123.5, -74.765)","(0.0222084, -0.0373178, -0.999057)"
40,2023-02-14 12:21:42.929805,986,"(2.81362, 123.576, -74.744)","(0.0223103, -0.0361199, -0.999098)"
41,2023-02-14 12:21:42.938363,986,"(2.82373, 123.688, -74.7121)","(0.0225015, -0.0346683, -0.999146)"
42,2023-02-14 12:21:42.947036,986,"(2.84501, 123.774, -74.703)","(0.0227391, -0.0337353, -0.999172)"
43,2023-02-14 12:21:42.956561,986,"(2.84911, 123.792, -74.6894)","(0.0228591, -0.0331534, -0.999189)"
44,2023-02-14 12:21:42.964388,986,"(2.86135, 123.805, -74.6708)","(0.0230287, -0.0327811, -0.999197)"
45,2023-02-14 12:21:42.973357,986,"(2.86076, 123.811, -74.6497)","(0.02303, -0.0324752, -0.999207)"
