,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-14 12:22:46.580271,988,"(-25.8181, 125.762, -18.922)","(-0.138366, -0.162654, -0.976933)"
1,2023-02-14 12:22:46.588490,988,"(-28.1375, 123.096, -20.9908)","(-0.148359, -0.162528, -0.975487)"
2,2023-02-14 12:22:46.597358,988,"(-29.0945, 121.46, -21.1115)","(-0.154398, -0.167142, -0.973768)"
3,2023-02-14 12:22:46.606392,988,"(-30.2844, 119.607, -20.4663)","(-0.159215, -0.173045, -0.97196)"
4,2023-02-14 12:22:46.614453,988,"(-31.8687, 118.257, -19.8841)","(-0.168384, -0.176943, -0.96971)"
5,2023-02-14 12:22:46.623822,988,"(-33.1902, 116.633, -18.9884)","(-0.175728, -0.183721, -0.967143)"
6,2023-02-14 12:22:46.632696,988,"(-33.8609, 114.082, -18.1518)","(-0.176461, -0.196106, -0.964574)"
7,2023-02-14 12:22:46.641032,988,"(-34.2893, 111.861, -17.3644)","(-0.177936, -0.206, -0.962238)"
8,2023-02-14 12:22:46.649362,988,"(-34.5147, 110.199, -16.7568)","(-0.181244, -0.20712, -0.96138)"
9,2023-02-14 12:22:46.658337,988,"(-34.3261, 108.75, -16.1758)","(-0.182239, -0.209198, -0.960742)"
10,2023-02-14 12:22:46.666767,988,"(-33.7577, 107.537, -15.6657)","(-0.179719, -0.212717, -0.960444)"
11,2023-02-14 12:22:46.676205,988,"(-32.3986, 105.914, -15.2576)","(-0.167146, -0.224636, -0.96)"
12,2023-02-14 12:22:46.684469,988,"(-31.1881, 104.911, -15.0598)","(-0.158985, -0.231603, -0.959731)"
13,2023-02-14 12:22:46.692776,988,"(-29.9073, 104.439, -15.0815)","(-0.152133, -0.231751, -0.960806)"
14,2023-02-14 12:22:46.702043,988,"(-28.6081, 104.107, -15.1425)","(-0.145206, -0.232896, -0.9616)"
15,2023-02-14 12:22:46.711434,988,"(-27.3011, 103.935, -15.2057)","(-0.137748, -0.232909, -0.962694)"
16,2023-02-14 12:22:46.719363,988,"(-25.8584, 103.886, -15.2893)","(-0.127599, -0.23242, -0.964209)"
17,2023-02-14 12:22:46.727744,988,"(-24.6167, 103.903, -15.5049)","(-0.119861, -0.231789, -0.965354)"
18,2023-02-14 12:22:46.737121,988,"(-23.9969, 103.672, -15.9084)","(-0.120095, -0.234015, -0.964787)"
19,2023-02-14 12:22:46.745600,988,"(-22.9974, 103.632, -16.2698)","(-0.116345, -0.235178, -0.964964)"
20,2023-02-14 12:22:46.753520,988,"(-21.9561, 103.809, -16.4728)","(-0.111453, -0.234672, -0.965664)"
21,2023-02-14 12:22:46.762405,988,"(-21.0673, 104.034, -16.9407)","(-0.106998, -0.233338, -0.966491)"
22,2023-02-14 12:22:46.770659,988,"(-19.98, 104.53, -17.2965)","(-0.0992011, -0.229154, -0.968322)"
23,2023-02-14 12:22:46.779909,988,"(-19.2297, 106.277, -18.2084)","(-0.0928142, -0.193387, -0.976723)"
24,2023-02-14 12:22:46.789234,988,"(-18.4347, 107.451, -18.7574)","(-0.0880449, -0.175986, -0.980447)"
25,2023-02-14 12:22:46.796792,988,"(-17.9129, 108.151, -19.2302)","(-0.0855905, -0.168439, -0.981989)"
26,2023-02-14 12:22:46.805688,988,"(-17.5432, 108.58, -19.7358)","(-0.0828968, -0.164756, -0.982845)"
27,2023-02-14 12:22:46.814549,988,"(-17.1392, 108.906, -20.1408)","(-0.0787777, -0.162685, -0.983528)"
28,2023-02-14 12:22:46.822684,988,"(-16.9918, 109.019, -20.4531)","(-0.0770461, -0.162224, -0.983742)"
29,2023-02-14 12:22:46.831759,988,"(-17.1644, 109.035, -20.6251)","(-0.0794095, -0.162798, -0.983459)"
30,2023-02-14 12:22:46.840431,988,"(-17.0494, 109.068, -20.8453)","(-0.077894, -0.162874, -0.983567)"
31,2023-02-14 12:22:46.849358,988,"(-16.935, 109.104, -21.0387)","(-0.0761751, -0.162693, -0.983732)"
32,2023-02-14 12:22:46.857785,988,"(-16.795, 108.639, -24.5571)","(-0.0704718, -0.158916, -0.984774)"
33,2023-02-14 12:22:46.865602,988,"(-16.6572, 108.381, -25.8618)","(-0.0669592, -0.157539, -0.98524)"
34,2023-02-14 12:22:46.875239,988,"(-16.576, 108.216, -26.4611)","(-0.06479, -0.157365, -0.985413)"
35,2023-02-14 12:22:46.884438,988,"(-16.5216, 108.105, -26.5918)","(-0.0632443, -0.157685, -0.985462)"
36,2023-02-14 12:22:46.892456,988,"(-16.3982, 108.004, -26.5096)","(-0.0610501, -0.158436, -0.98548)"
37,2023-02-14 12:22:46.900595,988,"(-16.3342, 107.87, -26.3192)","(-0.0594403, -0.159804, -0.985358)"
38,2023-02-14 12:22:46.910041,988,"(-16.2651, 107.69, -26.1051)","(-0.057687, -0.161809, -0.985134)"
39,2023-02-14 12:22:46.918077,988,"(-16.5044, 107.56, -25.817)","(-0.0585637, -0.16352, -0.9848)"
