,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 18:11:42.960072,3019,"(17.6994, 115.59, 17.1172)","(0.05287, -0.0575822, -0.99694)"
1,2023-02-15 18:11:42.968294,3019,"(17.6676, 115.669, 17.1036)","(0.0522368, -0.0562454, -0.99705)"
2,2023-02-15 18:11:42.977147,3019,"(17.6536, 115.723, 17.0958)","(0.0519422, -0.0554619, -0.997109)"
3,2023-02-15 18:11:42.988033,3019,"(17.6497, 115.762, 17.0911)","(0.0518892, -0.0549137, -0.997142)"
4,2023-02-15 18:11:42.998202,3019,"(17.459, 115.847, 17.0767)","(0.0490051, -0.0536371, -0.997357)"
5,2023-02-15 18:11:43.006404,3019,"(17.5974, 115.804, 17.0798)","(0.0512884, -0.0542088, -0.997212)"
6,2023-02-15 18:11:43.015266,3019,"(17.6201, 115.795, 17.0729)","(0.0515865, -0.0542196, -0.997196)"
7,2023-02-15 18:11:43.023027,3019,"(17.6706, 115.73, 17.0653)","(0.0524743, -0.0550095, -0.997106)"
8,2023-02-15 18:11:43.032253,3019,"(17.6533, 115.693, 17.0572)","(0.052062, -0.0554722, -0.997102)"
9,2023-02-15 18:11:43.040652,3019,"(17.6446, 115.673, 17.0632)","(0.0518753, -0.0556227, -0.997103)"
10,2023-02-15 18:11:43.048835,3019,"(17.6406, 115.651, 17.0544)","(0.0517802, -0.0559224, -0.997092)"
11,2023-02-15 18:11:43.056873,3019,"(17.4492, 115.708, 17.0389)","(0.0488554, -0.0551411, -0.997283)"
12,2023-02-15 18:11:43.066030,3019,"(17.3567, 115.764, 17.0307)","(0.0474397, -0.0543598, -0.997394)"
13,2023-02-15 18:11:43.074699,3019,"(17.3123, 115.809, 17.0261)","(0.0467583, -0.0537418, -0.99746)"
14,2023-02-15 18:11:43.083751,3019,"(17.2902, 115.648, 17.1364)","(0.0466657, -0.0556132, -0.997361)"
15,2023-02-15 18:11:43.092600,3019,"(17.2701, 115.718, 17.0942)","(0.0463563, -0.0547157, -0.997425)"
16,2023-02-15 18:11:43.100584,3019,"(17.2672, 115.563, 17.1921)","(0.0464471, -0.0565445, -0.997319)"
17,2023-02-15 18:11:43.109464,3019,"(17.4696, 115.578, 17.1283)","(0.0491598, -0.0564733, -0.997193)"
18,2023-02-15 18:11:43.117150,3019,"(17.3615, 115.655, 17.0761)","(0.047569, -0.0556267, -0.997318)"
19,2023-02-15 18:11:43.127245,3019,"(17.321, 115.73, 17.0566)","(0.0472154, -0.0547014, -0.997386)"
20,2023-02-15 18:11:43.134586,3019,"(17.5035, 115.72, 17.0571)","(0.0500017, -0.05536, -0.997214)"
21,2023-02-15 18:11:43.144001,3019,"(17.3968, 115.77, 17.0469)","(0.0484815, -0.0544915, -0.997337)"
22,2023-02-15 18:11:43.151714,3019,"(17.5435, 115.747, 17.0544)","(0.0506637, -0.0551656, -0.997191)"
23,2023-02-15 18:11:43.161568,3019,"(17.4188, 115.574, 17.1746)","(0.0492569, -0.0572401, -0.997145)"
24,2023-02-15 18:11:43.170559,3019,"(17.5268, 115.608, 17.1259)","(0.0503025, -0.0564983, -0.997135)"
25,2023-02-15 18:11:43.178445,3019,"(17.4008, 115.677, 17.0655)","(0.048591, -0.0555458, -0.997273)"
26,2023-02-15 18:11:43.186931,3019,"(17.5515, 115.693, 17.0403)","(0.0507711, -0.0557078, -0.997155)"
27,2023-02-15 18:11:43.196453,3019,"(17.6271, 115.665, 17.0269)","(0.0520399, -0.0560382, -0.997072)"
28,2023-02-15 18:11:43.203848,3019,"(17.6958, 115.592, 17.0234)","(0.0531706, -0.0569096, -0.996962)"
29,2023-02-15 18:11:43.212755,3019,"(17.7354, 115.503, 17.0321)","(0.0534294, -0.0579449, -0.996889)"
30,2023-02-15 18:11:43.221665,3019,"(17.6777, 115.511, 17.0278)","(0.0523059, -0.0576341, -0.996967)"
31,2023-02-15 18:11:43.231049,3019,"(17.6515, 115.571, 17.0408)","(0.051823, -0.0567084, -0.997045)"
32,2023-02-15 18:11:43.238762,3019,"(17.6876, 115.533, 17.0558)","(0.0523774, -0.0573254, -0.996981)"
33,2023-02-15 18:11:43.248482,3019,"(17.6627, 115.571, 17.0447)","(0.0521053, -0.0565457, -0.997039)"
34,2023-02-15 18:11:43.256580,3019,"(17.7614, 115.516, 17.0406)","(0.0536992, -0.0572642, -0.996914)"
35,2023-02-15 18:11:43.265441,3019,"(17.7977, 115.442, 17.0659)","(0.0543307, -0.0582308, -0.996824)"
36,2023-02-15 18:11:43.273539,3019,"(17.8194, 115.365, 17.0876)","(0.0547109, -0.0592001, -0.996746)"
37,2023-02-15 18:11:43.282409,3019,"(17.8451, 115.293, 17.0969)","(0.0555001, -0.0600727, -0.99665)"
38,2023-02-15 18:11:43.290957,3019,"(17.8184, 115.203, 17.1012)","(0.0550585, -0.0612918, -0.9966)"
39,2023-02-15 18:11:43.300759,3019,"(17.5351, 114.969, 17.2873)","(0.0517567, -0.0643083, -0.996587)"
40,2023-02-15 18:11:43.309415,3019,"(17.4776, 114.895, 17.2643)","(0.0509896, -0.0652024, -0.996568)"
41,2023-02-15 18:11:43.318635,3019,"(17.6291, 114.953, 17.2089)","(0.0527167, -0.0645522, -0.996521)"
