,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-16 10:34:36.455503,155,"(18.5452, 120.48, 22.2766)","(0.0827722, 0.110466, -0.990427)"
1,2023-02-16 10:34:36.472834,155,"(11.4657, 19.2449, -28.6068)","(0.749476, -0.53513, -0.389771)"
2,2023-02-16 10:34:36.489972,155,"(11.4657, 19.2449, -28.6068)","(0.749476, -0.53513, -0.389771)"
3,2023-02-16 10:34:36.507516,155,"(11.4657, 19.2449, -28.6068)","(0.749476, -0.53513, -0.389771)"
4,2023-02-16 10:34:36.525180,155,"(11.3768, 19.3083, -28.5605)","(0.749476, -0.53513, -0.389771)"
5,2023-02-16 10:34:36.542202,155,"(11.2943, 19.3672, -28.5176)","(0.749476, -0.53513, -0.389771)"
6,2023-02-16 10:34:36.819515,156,"(18.7637, 120.846, 31.4999)","(0.0408392, 0.110062, -0.993085)"
7,2023-02-16 10:34:37.235854,157,"(37.7349, 98.3363, 3.45486)","(0.120691, 0.0895977, -0.988638)"
8,2023-02-16 10:34:37.254236,157,"(12.1049, 0.458071, -15.5083)","(0.802533, 0.582508, -0.128939)"
9,2023-02-16 10:34:37.272802,157,"(11.5371, 3.30306, -23.9899)","(0.733624, 0.60545, -0.308587)"
10,2023-02-16 10:34:37.288078,157,"(9.33891, 5.42981, -30.1046)","(0.644177, 0.626223, -0.439181)"
11,2023-02-16 10:34:37.305297,157,"(10.2156, 5.68836, -33.2344)","(0.620004, 0.600848, -0.504556)"
12,2023-02-16 10:34:37.322613,157,"(12.3434, 7.04943, -35.0366)","(0.606568, 0.586848, -0.536362)"
13,2023-02-16 10:34:37.340291,157,"(10.3098, 9.43615, -37.4259)","(0.516563, 0.620044, -0.590515)"
14,2023-02-16 10:34:37.357523,157,"(12.6016, 7.74652, -34.9782)","(0.591267, 0.582537, -0.557722)"
15,2023-02-16 10:34:37.375495,157,"(15.3901, 6.21528, -32.9912)","(0.687846, 0.520563, -0.505848)"
16,2023-02-16 10:34:37.375586,158,"(59.1232, 90.1245, 10.1672)","(0.180339, 0.0244756, -0.9833)"
17,2023-02-16 10:34:37.393224,157,"(16.8167, 7.75868, -33.0941)","(0.737154, 0.482268, -0.473309)"
18,2023-02-16 10:34:37.393328,158,"(62.2091, 90.4257, 1.09482)","(0.162782, 0.0435419, -0.985701)"
19,2023-02-16 10:34:37.411448,158,"(63.9243, 90.1701, 1.24683)","(0.175867, 0.0328529, -0.983866)"
20,2023-02-16 10:34:37.444574,159,"(58.9586, 90.8624, 12.8871)","(0.167303, 0.0132217, -0.985817)"
21,2023-02-16 10:34:37.461712,159,"(76.7413, 79.9806, -21.3194)","(0.501119, -0.373656, -0.780552)"
22,2023-02-16 10:34:37.478855,159,"(77.4165, 80.8643, -20.3126)","(0.546809, -0.368223, -0.751939)"
23,2023-02-16 10:34:37.497179,159,"(77.956, 86.5547, -18.3129)","(0.647362, -0.289049, -0.705247)"
24,2023-02-16 10:34:37.514193,159,"(74.2452, 97.2167, -16.8039)","(0.723015, -0.111674, -0.681746)"
25,2023-02-16 10:34:37.531727,159,"(70.3484, 106.022, -13.4949)","(0.805102, 0.0325548, -0.592242)"
