,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-16 11:03:30.714925,427,"(-29.3048, 135.766, 52.9675)","(-0.00652113, 0.0824818, 0.996571)"
1,2023-02-16 11:03:30.731789,427,"(-30.1759, 134.867, 52.9134)","(-0.0107499, 0.0779835, 0.996897)"
2,2023-02-16 11:03:30.752958,427,"(-30.9455, 134.081, 53.3203)","(-0.0145904, 0.0749342, 0.997082)"
3,2023-02-16 11:03:30.769445,427,"(-31.555, 133.519, 53.9381)","(-0.018487, 0.0731709, 0.997148)"
4,2023-02-16 11:03:30.786835,427,"(-32.077, 133.289, 54.4394)","(-0.0224682, 0.0751117, 0.996922)"
5,2023-02-16 11:03:30.804386,427,"(-32.4307, 132.651, 54.8507)","(-0.0254476, 0.0765186, 0.996743)"
6,2023-02-16 11:03:30.821693,427,"(-32.6983, 131.854, 55.3122)","(-0.0281327, 0.0755867, 0.996742)"
7,2023-02-16 11:03:30.839621,427,"(-32.9651, 130.783, 55.633)","(-0.0310446, 0.0721229, 0.996912)"
8,2023-02-16 11:03:30.857046,427,"(-33.1308, 129.883, 55.5617)","(-0.0323161, 0.0686195, 0.997119)"
9,2023-02-16 11:03:30.873388,427,"(-33.4373, 129.303, 55.4751)","(-0.0348211, 0.0669123, 0.997151)"
10,2023-02-16 11:03:30.892303,427,"(-33.8416, 128.707, 55.3287)","(-0.038003, 0.0640496, 0.997223)"
11,2023-02-16 11:03:30.907615,427,"(-34.3008, 128.316, 55.2459)","(-0.0417483, 0.0623686, 0.99718)"
12,2023-02-16 11:03:30.925711,427,"(-34.6617, 128.187, 55.2866)","(-0.0446611, 0.0625425, 0.997043)"
13,2023-02-16 11:03:30.942860,427,"(-34.9949, 128.187, 55.2023)","(-0.0470899, 0.0635978, 0.996864)"
14,2023-02-16 11:03:30.960720,427,"(-35.4337, 128.322, 55.4658)","(-0.050118, 0.0651461, 0.996616)"
15,2023-02-16 11:03:30.978096,427,"(-35.9662, 128.303, 55.8161)","(-0.0537454, 0.0654665, 0.996406)"
16,2023-02-16 11:03:30.995790,427,"(-36.5206, 127.851, 55.9689)","(-0.0569051, 0.0626484, 0.996412)"
17,2023-02-16 11:03:31.013189,427,"(-36.9988, 127.538, 56.2589)","(-0.0597056, 0.0610583, 0.996347)"
18,2023-02-16 11:03:31.029445,427,"(-37.3316, 127.187, 56.6064)","(-0.0612899, 0.0591818, 0.996364)"
19,2023-02-16 11:03:31.047392,427,"(-37.8176, 126.597, 57.033)","(-0.0643015, 0.0558479, 0.996367)"
20,2023-02-16 11:03:31.064908,427,"(-38.2025, 125.889, 57.5445)","(-0.0667312, 0.0515958, 0.996436)"
21,2023-02-16 11:03:31.082701,427,"(-38.4542, 124.892, 58.0932)","(-0.068362, 0.0453484, 0.996629)"
22,2023-02-16 11:03:31.099363,427,"(-38.5905, 124.025, 58.5303)","(-0.0694076, 0.0405474, 0.996764)"
23,2023-02-16 11:03:31.117001,427,"(-38.7133, 123.39, 58.9779)","(-0.0701569, 0.0376586, 0.996825)"
24,2023-02-16 11:03:31.133709,427,"(-39.0722, 123.009, 59.3143)","(-0.0733526, 0.0371544, 0.996614)"
25,2023-02-16 11:03:31.151925,427,"(-39.2986, 122.713, 59.7078)","(-0.0750257, 0.0366406, 0.996508)"
26,2023-02-16 11:03:31.169287,427,"(-39.4269, 122.04, 60.2288)","(-0.0758581, 0.0336974, 0.996549)"
27,2023-02-16 11:03:31.185808,427,"(-39.7395, 121.701, 60.7234)","(-0.0782612, 0.0334635, 0.996371)"
28,2023-02-16 11:03:31.203410,427,"(-40.0971, 121.151, 61.2557)","(-0.0811692, 0.0333367, 0.996143)"
29,2023-02-16 11:03:31.220859,427,"(-40.2051, 120.239, 61.9155)","(-0.0814868, 0.0307554, 0.9962)"
30,2023-02-16 11:03:31.237636,427,"(-40.4175, 119.338, 62.4851)","(-0.0830078, 0.0286732, 0.996136)"
31,2023-02-16 11:03:31.255006,427,"(-40.5702, 118.331, 62.807)","(-0.0841053, 0.0256911, 0.996126)"
32,2023-02-16 11:03:31.272448,427,"(-40.5551, 117.411, 62.9218)","(-0.0832273, 0.0216624, 0.996295)"
33,2023-02-16 11:03:31.289914,427,"(-40.6802, 116.938, 63.1718)","(-0.0840965, 0.0199763, 0.996257)"
34,2023-02-16 11:03:31.307393,427,"(-40.7347, 116.756, 63.3554)","(-0.0845488, 0.020049, 0.996218)"
35,2023-02-16 11:03:31.324185,427,"(-40.8179, 116.825, 63.471)","(-0.0853476, 0.0214467, 0.99612)"
36,2023-02-16 11:03:31.341949,427,"(-40.7528, 116.48, 63.4822)","(-0.0855108, 0.020827, 0.99612)"
37,2023-02-16 11:03:31.359580,427,"(-40.7885, 116.273, 63.359)","(-0.0863299, 0.0199724, 0.996066)"
38,2023-02-16 11:03:31.376665,427,"(-40.8114, 116.132, 63.2929)","(-0.0867877, 0.0194321, 0.996037)"
39,2023-02-16 11:03:31.393897,427,"(-40.8249, 116.075, 63.2439)","(-0.0869644, 0.019325, 0.996024)"
40,2023-02-16 11:03:31.411302,427,"(-40.9409, 116.004, 63.3391)","(-0.0877204, 0.018936, 0.995965)"
41,2023-02-16 11:03:31.429901,427,"(-41.0985, 115.914, 63.5455)","(-0.0884072, 0.0183844, 0.995915)"
42,2023-02-16 11:03:31.446657,427,"(-41.3444, 115.809, 63.7579)","(-0.0888955, 0.0182205, 0.995874)"
43,2023-02-16 11:03:31.463501,427,"(-41.6105, 115.727, 63.9956)","(-0.0898015, 0.0184459, 0.995789)"
44,2023-02-16 11:03:31.481069,427,"(-41.838, 115.52, 64.2371)","(-0.0909826, 0.0174071, 0.9957)"
45,2023-02-16 11:03:31.498519,427,"(-41.817, 115.354, 64.3704)","(-0.0900742, 0.0174949, 0.995781)"
46,2023-02-16 11:03:31.515869,427,"(-41.7726, 115.111, 64.6265)","(-0.0894842, 0.0164119, 0.995853)"
47,2023-02-16 11:03:31.533601,427,"(-41.6829, 114.68, 64.8346)","(-0.0891946, 0.0152332, 0.995898)"
48,2023-02-16 11:03:31.550999,427,"(-41.3476, 114.319, 64.8215)","(-0.0884197, 0.0149873, 0.995971)"
49,2023-02-16 11:03:31.568719,427,"(-40.6512, 113.584, 64.5339)","(-0.0853955, 0.0117624, 0.996278)"
50,2023-02-16 11:03:31.584699,427,"(-39.7257, 112.836, 64.4055)","(-0.0805652, 0.00831342, 0.996715)"
51,2023-02-16 11:03:31.602225,427,"(-38.8815, 111.967, 63.9795)","(-0.0769114, 0.00214697, 0.997036)"
52,2023-02-16 11:03:31.620182,427,"(-38.1136, 111.3, 63.6272)","(-0.0753396, -0.00282798, 0.997154)"
53,2023-02-16 11:03:31.636709,427,"(-37.3603, 110.87, 63.6015)","(-0.0757202, -0.00561317, 0.997113)"
54,2023-02-16 11:03:31.654121,427,"(-36.4962, 110.595, 63.8194)","(-0.0752337, -0.00696089, 0.997142)"
55,2023-02-16 11:03:31.671876,427,"(-35.5406, 110.58, 64.0275)","(-0.0757402, -0.00541897, 0.997113)"
56,2023-02-16 11:03:31.688560,427,"(-34.4379, 110.718, 64.2445)","(-0.076325, -0.00295056, 0.997079)"
57,2023-02-16 11:03:31.706228,427,"(-33.1146, 110.893, 64.3407)","(-0.0755488, -0.00051581, 0.997142)"
58,2023-02-16 11:03:31.723346,427,"(-31.7647, 111.068, 64.334)","(-0.075079, 0.00159122, 0.997176)"
59,2023-02-16 11:03:31.741355,427,"(-30.1659, 111.042, 64.3019)","(-0.0720058, 0.0010329, 0.997404)"
60,2023-02-16 11:03:31.757774,427,"(-28.5194, 110.944, 64.4232)","(-0.0693159, -7.02101e-05, 0.997595)"
61,2023-02-16 11:03:31.775940,427,"(-26.892, 110.768, 64.4967)","(-0.0669743, -0.00145977, 0.997754)"
62,2023-02-16 11:03:31.792578,427,"(-25.3464, 110.532, 64.6391)","(-0.0652291, -0.00293054, 0.997866)"
63,2023-02-16 11:03:31.810210,427,"(-23.8661, 110.373, 64.665)","(-0.0642669, -0.00333059, 0.997927)"
64,2023-02-16 11:03:31.829400,427,"(-22.3773, 110.263, 64.7903)","(-0.0633396, -0.00292843, 0.997988)"
65,2023-02-16 11:03:31.845557,427,"(-20.8366, 110.166, 64.88)","(-0.0623351, -0.00228594, 0.998053)"
66,2023-02-16 11:03:31.862430,427,"(-19.2604, 110.163, 65.0002)","(-0.0604793, -0.000687144, 0.998169)"
67,2023-02-16 11:03:31.879643,427,"(-17.6709, 110.139, 65.1539)","(-0.0579858, 0.000202195, 0.998317)"
68,2023-02-16 11:03:31.897377,427,"(-16.0498, 109.923, 64.9995)","(-0.0551924, -0.00206743, 0.998474)"
69,2023-02-16 11:03:31.914070,427,"(-14.4804, 109.867, 65.0192)","(-0.0532025, -0.00376602, 0.998577)"
70,2023-02-16 11:03:31.932168,427,"(-12.7868, 109.961, 64.9319)","(-0.0503221, -0.0064368, 0.998712)"
71,2023-02-16 11:03:31.949446,427,"(-11.0475, 110.294, 64.958)","(-0.0472757, -0.00855502, 0.998845)"
72,2023-02-16 11:03:31.967062,427,"(-9.51285, 110.807, 64.7875)","(-0.0466257, -0.00934477, 0.998869)"
73,2023-02-16 11:03:31.984771,427,"(-8.01161, 111.771, 64.8227)","(-0.0452721, -0.00948411, 0.99893)"
74,2023-02-16 11:03:32.000540,427,"(-6.59134, 112.647, 64.9806)","(-0.0441144, -0.0109368, 0.998967)"
75,2023-02-16 11:03:32.018758,427,"(-5.13271, 113.65, 64.7876)","(-0.0426317, -0.0118687, 0.99902)"
76,2023-02-16 11:03:32.035644,427,"(-3.7004, 114.796, 64.4261)","(-0.041644, -0.009207, 0.99909)"
77,2023-02-16 11:03:32.052497,427,"(-2.12479, 115.727, 64.0696)","(-0.0390882, -0.00708829, 0.999211)"
78,2023-02-16 11:03:32.070354,427,"(-0.610746, 116.459, 63.7165)","(-0.0368315, -0.00613083, 0.999303)"
79,2023-02-16 11:03:32.087756,427,"(0.761504, 117.088, 63.5229)","(-0.0363648, -0.00606285, 0.99932)"
80,2023-02-16 11:03:32.104300,427,"(1.97763, 117.627, 62.9467)","(-0.0353978, -0.00605649, 0.999355)"
81,2023-02-16 11:03:32.123458,427,"(3.29579, 118.477, 62.4258)","(-0.0349439, -0.00400427, 0.999381)"
82,2023-02-16 11:03:32.140469,427,"(4.72107, 119.493, 62.0407)","(-0.0348122, -0.00204432, 0.999392)"
83,2023-02-16 11:03:32.157758,427,"(6.30708, 120.418, 61.776)","(-0.0331539, -0.000509675, 0.99945)"
84,2023-02-16 11:03:32.174822,427,"(7.94322, 121.43, 61.327)","(-0.0309666, 0.00284368, 0.999516)"
85,2023-02-16 11:03:32.192096,427,"(9.58212, 122.142, 60.8743)","(-0.0288731, 0.00481767, 0.999572)"
86,2023-02-16 11:03:32.209196,427,"(11.2428, 122.73, 60.6866)","(-0.0272138, 0.00604247, 0.999611)"
87,2023-02-16 11:03:32.227062,427,"(12.846, 123.306, 60.2987)","(-0.0249292, 0.00753858, 0.999661)"
88,2023-02-16 11:03:32.244949,427,"(14.4068, 123.672, 60.1669)","(-0.0228594, 0.00716545, 0.999713)"
89,2023-02-16 11:03:32.261745,427,"(15.7745, 123.958, 60.0449)","(-0.0217102, 0.00683923, 0.999741)"
90,2023-02-16 11:03:32.278862,427,"(17.0652, 124.165, 59.712)","(-0.0200445, 0.00664962, 0.999777)"
91,2023-02-16 11:03:32.295479,427,"(18.3027, 124.38, 59.4459)","(-0.0189862, 0.00745805, 0.999792)"
92,2023-02-16 11:03:32.313725,427,"(19.621, 124.538, 59.3525)","(-0.0172167, 0.00875883, 0.999813)"
93,2023-02-16 11:03:32.330270,427,"(20.8103, 124.763, 59.1022)","(-0.0160204, 0.011688, 0.999803)"
94,2023-02-16 11:03:32.347911,427,"(22.0926, 125.031, 59.0399)","(-0.0130067, 0.0154311, 0.999796)"
95,2023-02-16 11:03:32.364712,427,"(23.1101, 125.292, 58.9957)","(-0.0113701, 0.0191052, 0.999753)"
96,2023-02-16 11:03:32.382289,427,"(24.0307, 125.365, 59.1326)","(-0.00945513, 0.0196632, 0.999762)"
97,2023-02-16 11:03:32.399237,427,"(24.7731, 125.427, 58.9738)","(-0.00877703, 0.019515, 0.999771)"
98,2023-02-16 11:03:32.417176,427,"(25.4293, 125.449, 59.1497)","(-0.00888041, 0.017527, 0.999807)"
99,2023-02-16 11:03:32.434441,427,"(25.9376, 125.518, 58.8346)","(-0.00929967, 0.0159186, 0.99983)"
100,2023-02-16 11:03:32.451370,427,"(26.4788, 125.478, 58.4045)","(-0.0086459, 0.0126659, 0.999882)"
101,2023-02-16 11:03:32.468969,427,"(27.0723, 125.814, 58.1739)","(-0.00864038, 0.011135, 0.999901)"
102,2023-02-16 11:03:32.486451,427,"(27.2152, 126.202, 57.8294)","(-0.0107972, 0.0108613, 0.999883)"
103,2023-02-16 11:03:32.503635,427,"(27.5927, 126.726, 57.6048)","(-0.0112023, 0.0107683, 0.999879)"
104,2023-02-16 11:03:32.521355,427,"(27.8056, 127.077, 57.2035)","(-0.0115414, 0.0112357, 0.99987)"
105,2023-02-16 11:03:32.538297,427,"(28.3316, 127.552, 56.8419)","(-0.0102181, 0.0113079, 0.999884)"
106,2023-02-16 11:03:32.555718,427,"(28.9211, 127.924, 56.6521)","(-0.00835981, 0.0107902, 0.999907)"
107,2023-02-16 11:03:32.573406,427,"(29.2556, 128.153, 56.364)","(-0.00774328, 0.0107119, 0.999913)"
108,2023-02-16 11:03:32.590612,427,"(29.625, 128.478, 56.4058)","(-0.0069964, 0.0111836, 0.999913)"
109,2023-02-16 11:03:32.607993,427,"(29.772, 128.805, 56.1589)","(-0.00697122, 0.0130245, 0.999891)"
110,2023-02-16 11:03:32.625314,427,"(29.9506, 129.132, 55.9661)","(-0.00731932, 0.014391, 0.99987)"
111,2023-02-16 11:03:32.642112,427,"(30.3717, 129.532, 55.9958)","(-0.00557222, 0.0164167, 0.99985)"
112,2023-02-16 11:03:32.659351,427,"(30.7164, 129.813, 55.98)","(-0.00361184, 0.017623, 0.999838)"
113,2023-02-16 11:03:32.677866,427,"(30.7946, 130.039, 55.9985)","(-0.00313837, 0.0183212, 0.999827)"
114,2023-02-16 11:03:32.696021,427,"(30.5657, 130.364, 55.8534)","(-0.0039381, 0.0204432, 0.999783)"
115,2023-02-16 11:03:32.712784,427,"(29.9324, 130.564, 55.7722)","(-0.00583857, 0.021029, 0.999762)"
116,2023-02-16 11:03:32.730528,427,"(28.8735, 130.33, 55.9228)","(-0.00889696, 0.0176036, 0.999805)"
