,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-05-02 17:53:09.736791,1139,"(-6.23759, 89.5879, -28.6748)","(0.053147, 0.0125108, -0.998508)"
1,2023-05-02 17:53:09.745082,1139,"(-4.66718, 90.1109, -27.9991)","(0.0575225, 0.0139703, -0.998246)"
2,2023-05-02 17:53:09.755107,1139,"(-3.35702, 90.3724, -27.3649)","(0.0617183, 0.00845558, -0.998058)"
3,2023-05-02 17:53:09.762582,1139,"(-2.07593, 90.8692, -27.0377)","(0.0664147, 0.00628606, -0.997772)"
4,2023-05-02 17:53:09.770639,1139,"(-1.14611, 91.4104, -26.5935)","(0.0704784, 0.00672047, -0.997491)"
5,2023-05-02 17:53:09.776915,1139,"(-0.561813, 91.9467, -26.1661)","(0.0732073, 0.00808828, -0.997284)"
6,2023-05-02 17:53:09.788745,1139,"(-0.277665, 92.4268, -25.7726)","(0.0747495, 0.0100134, -0.997152)"
7,2023-05-02 17:53:09.796354,1139,"(-0.288551, 92.9756, -25.4748)","(0.0753327, 0.0113989, -0.997093)"
8,2023-05-02 17:53:09.803484,1139,"(-0.596418, 93.3913, -25.1154)","(0.0750825, 0.0123952, -0.9971)"
9,2023-05-02 17:53:09.812665,1139,"(-1.43593, 93.8921, -25.1246)","(0.0739009, 0.0116216, -0.997198)"
10,2023-05-02 17:53:09.821086,1139,"(-2.61247, 94.2074, -24.9408)","(0.0714325, 0.0103383, -0.997392)"
11,2023-05-02 17:53:09.829489,1139,"(-4.06488, 94.5561, -24.7647)","(0.0687503, 0.0119888, -0.997562)"
12,2023-05-02 17:53:09.838972,1139,"(-5.81742, 94.8239, -24.7977)","(0.0653255, 0.0135063, -0.997773)"
13,2023-05-02 17:53:09.847254,1139,"(-7.73764, 95.0777, -24.802)","(0.0617642, 0.0170295, -0.997945)"
14,2023-05-02 17:53:09.857631,1139,"(-9.76402, 95.3121, -24.7588)","(0.0583222, 0.0214288, -0.998068)"
15,2023-05-02 17:53:09.867480,1139,"(-11.9231, 95.5064, -24.8006)","(0.05357, 0.0259556, -0.998227)"
16,2023-05-02 17:53:09.875558,1139,"(-14.1412, 95.6457, -24.7884)","(0.047547, 0.0304311, -0.998405)"
17,2023-05-02 17:53:09.882874,1139,"(-16.15, 95.8671, -24.2112)","(0.0417466, 0.0363948, -0.998465)"
18,2023-05-02 17:53:09.889940,1139,"(-18.0479, 95.9568, -24.26)","(0.0372286, 0.0405234, -0.998485)"
19,2023-05-02 17:53:09.900038,1139,"(-19.5257, 96.1393, -24.1877)","(0.0355175, 0.0447431, -0.998367)"
20,2023-05-02 17:53:09.910156,1139,"(-20.7021, 96.2679, -23.8263)","(0.0340193, 0.0473579, -0.998299)"
21,2023-05-02 17:53:09.919686,1139,"(-21.6723, 96.2749, -23.5472)","(0.0326418, 0.0480179, -0.998313)"
22,2023-05-02 17:53:09.927748,1139,"(-22.0685, 96.2501, -23.1405)","(0.0325236, 0.0477761, -0.998328)"
23,2023-05-02 17:53:09.936513,1139,"(-22.2818, 96.0238, -22.8116)","(0.0325577, 0.0456364, -0.998427)"
24,2023-05-02 17:53:09.944718,1139,"(-22.1897, 95.7487, -22.6136)","(0.033983, 0.0432379, -0.998487)"
25,2023-05-02 17:53:09.954805,1139,"(-21.8946, 95.3908, -22.3073)","(0.0366226, 0.0404964, -0.998508)"
26,2023-05-02 17:53:09.960543,1139,"(-21.5285, 94.9654, -21.8053)","(0.0385497, 0.0380845, -0.998531)"
27,2023-05-02 17:53:09.968399,1139,"(-20.9421, 94.5496, -21.0805)","(0.0406029, 0.0361295, -0.998522)"
28,2023-05-02 17:53:09.980056,1139,"(-19.9872, 94.2063, -20.1491)","(0.0431662, 0.0358957, -0.998423)"
29,2023-05-02 17:53:09.988820,1139,"(-18.5598, 93.8374, -19.0871)","(0.0464439, 0.0364624, -0.998255)"
30,2023-05-02 17:53:09.994878,1139,"(-16.5055, 93.1404, -18.0348)","(0.0519211, 0.034102, -0.998069)"
31,2023-05-02 17:53:10.006051,1139,"(-14.375, 92.6841, -17.0886)","(0.0558472, 0.0340241, -0.997859)"
32,2023-05-02 17:53:10.012801,1139,"(-11.995, 92.4109, -16.4476)","(0.0592599, 0.0333873, -0.997684)"
33,2023-05-02 17:53:10.022918,1139,"(-9.50008, 92.2505, -15.4231)","(0.0654394, 0.0326643, -0.997322)"
34,2023-05-02 17:53:10.031396,1139,"(-6.6981, 92.3461, -14.813)","(0.0728102, 0.0349939, -0.996732)"
35,2023-05-02 17:53:10.038903,1139,"(-4.14259, 92.2817, -14.1789)","(0.0780783, 0.0321474, -0.996429)"
36,2023-05-02 17:53:10.046572,1139,"(-1.82774, 92.3201, -13.272)","(0.0828961, 0.0307756, -0.996083)"
37,2023-05-02 17:53:10.055630,1139,"(0.236631, 92.4768, -12.3023)","(0.0871793, 0.0298286, -0.995746)"
38,2023-05-02 17:53:10.064032,1139,"(2.34365, 92.9792, -11.4997)","(0.093423, 0.0300387, -0.995173)"
39,2023-05-02 17:53:10.076127,1139,"(4.30236, 94.3906, -10.9428)","(0.100395, 0.034806, -0.994339)"
40,2023-05-02 17:53:10.083863,1139,"(5.58128, 96.0434, -10.0767)","(0.104915, 0.0409731, -0.993637)"
41,2023-05-02 17:53:10.091017,1139,"(6.45549, 98.0533, -9.17418)","(0.108736, 0.0507157, -0.992776)"
42,2023-05-02 17:53:10.099777,1139,"(6.87499, 100.179, -8.39228)","(0.111282, 0.0612331, -0.991901)"
43,2023-05-02 17:53:10.107583,1139,"(6.75523, 102.299, -8.03162)","(0.112128, 0.0696088, -0.991253)"
44,2023-05-02 17:53:10.117128,1139,"(6.02124, 104.128, -7.65558)","(0.111395, 0.0757944, -0.990882)"
45,2023-05-02 17:53:10.125988,1139,"(4.74499, 105.668, -7.53729)","(0.11032, 0.0779815, -0.990832)"
46,2023-05-02 17:53:10.133085,1139,"(2.80359, 106.646, -7.13837)","(0.105958, 0.0798528, -0.991159)"
47,2023-05-02 17:53:10.142747,1139,"(0.498604, 107.395, -6.90966)","(0.101256, 0.0802353, -0.99162)"
48,2023-05-02 17:53:10.152069,1139,"(-2.17219, 107.823, -6.78428)","(0.0954885, 0.0802594, -0.99219)"
49,2023-05-02 17:53:10.158321,1139,"(-4.9946, 108.047, -6.65971)","(0.0888001, 0.0802059, -0.992815)"
50,2023-05-02 17:53:10.167302,1139,"(-7.78408, 108.137, -6.55725)","(0.0827021, 0.0798768, -0.993368)"
51,2023-05-02 17:53:10.178372,1139,"(-10.6429, 108.063, -6.35704)","(0.0749001, 0.0790925, -0.994049)"
52,2023-05-02 17:53:10.186761,1139,"(-13.2116, 107.986, -6.17394)","(0.0692497, 0.079012, -0.994465)"
53,2023-05-02 17:53:10.194902,1139,"(-15.5951, 107.718, -6.4574)","(0.0640712, 0.0764069, -0.995016)"
54,2023-05-02 17:53:10.202935,1139,"(-17.6869, 107.151, -6.32186)","(0.0593336, 0.0694503, -0.995819)"
55,2023-05-02 17:53:10.213692,1139,"(-19.4137, 106.542, -6.23752)","(0.0565113, 0.0628698, -0.996421)"
56,2023-05-02 17:53:10.222042,1139,"(-20.6183, 105.904, -6.40316)","(0.0577194, 0.0572717, -0.996689)"
57,2023-05-02 17:53:10.230016,1139,"(-21.555, 105.319, -6.47025)","(0.0571214, 0.0521691, -0.997003)"
58,2023-05-02 17:53:10.238911,1139,"(-22.2247, 104.752, -6.56295)","(0.0572846, 0.0491821, -0.997146)"
59,2023-05-02 17:53:10.248201,1139,"(-22.7245, 104.14, -6.91301)","(0.0563557, 0.0453657, -0.99738)"
60,2023-05-02 17:53:10.256384,1139,"(-23.0606, 103.479, -7.18964)","(0.0562912, 0.0397796, -0.997622)"
61,2023-05-02 17:53:10.264828,1139,"(-23.1879, 102.962, -7.53512)","(0.0566121, 0.0358073, -0.997754)"
62,2023-05-02 17:53:10.272954,1139,"(-23.2384, 102.638, -7.77352)","(0.0572048, 0.0336168, -0.997796)"
63,2023-05-02 17:53:10.282077,1139,"(-23.0976, 102.568, -7.94907)","(0.0585779, 0.0335432, -0.997719)"
64,2023-05-02 17:53:10.290186,1139,"(-22.8222, 102.497, -8.16757)","(0.0610633, 0.0334374, -0.997574)"
65,2023-05-02 17:53:10.297068,1139,"(-22.7288, 102.224, -8.44193)","(0.0621119, 0.0315912, -0.997569)"
66,2023-05-02 17:53:10.305670,1139,"(-22.7042, 102.118, -8.70529)","(0.0624379, 0.0311675, -0.997562)"
67,2023-05-02 17:53:10.315369,1139,"(-22.7167, 101.954, -8.99653)","(0.0626455, 0.0303179, -0.997575)"
68,2023-05-02 17:53:10.325852,1139,"(-22.817, 101.648, -9.36103)","(0.0622842, 0.0280739, -0.997664)"
69,2023-05-02 17:53:10.334728,1139,"(-22.7496, 101.454, -9.65707)","(0.0634636, 0.0266155, -0.997629)"
70,2023-05-02 17:53:10.342356,1139,"(-22.9223, 101.354, -10.0296)","(0.0626351, 0.0258944, -0.997701)"
71,2023-05-02 17:53:10.350182,1139,"(-23.0316, 101.371, -10.3918)","(0.0623919, 0.026151, -0.997709)"
72,2023-05-02 17:53:10.358293,1139,"(-23.1152, 101.497, -10.7462)","(0.0625102, 0.0272832, -0.997671)"
73,2023-05-02 17:53:10.369102,1139,"(-23.1146, 101.785, -11.0922)","(0.0635906, 0.0297162, -0.997534)"
74,2023-05-02 17:53:10.377339,1139,"(-23.129, 102.18, -11.5068)","(0.0650408, 0.033081, -0.997334)"
75,2023-05-02 17:53:10.385773,1139,"(-23.383, 102.563, -12.0143)","(0.0653677, 0.0364591, -0.997195)"
76,2023-05-02 17:53:10.394815,1139,"(-23.8631, 102.927, -12.6381)","(0.0643822, 0.0398522, -0.997129)"
77,2023-05-02 17:53:10.404505,1139,"(-24.4306, 103.329, -13.3147)","(0.0634693, 0.0436658, -0.997028)"
78,2023-05-02 17:53:10.412673,1139,"(-24.9798, 103.634, -14.0396)","(0.0629081, 0.0465947, -0.996931)"
79,2023-05-02 17:53:10.421590,1139,"(-25.8335, 103.794, -14.8751)","(0.0609625, 0.0483129, -0.99697)"
80,2023-05-02 17:53:10.430107,1139,"(-26.9101, 103.551, -15.705)","(0.0585202, 0.0462618, -0.997214)"
81,2023-05-02 17:53:10.437772,1139,"(-28.1105, 103.179, -16.3718)","(0.0562224, 0.0429893, -0.997492)"
82,2023-05-02 17:53:10.446251,1139,"(-28.9589, 102.79, -17.0352)","(0.0559378, 0.0398992, -0.997637)"
83,2023-05-02 17:53:10.456173,1139,"(-29.7138, 102.267, -17.8002)","(0.0556282, 0.0356054, -0.997817)"
84,2023-05-02 17:53:10.462625,1139,"(-30.6234, 101.673, -18.5095)","(0.0551035, 0.0309273, -0.998002)"
85,2023-05-02 17:53:10.472763,1139,"(-31.5919, 101.113, -19.2527)","(0.0532747, 0.0269812, -0.998215)"
86,2023-05-02 17:53:10.481509,1139,"(-32.362, 100.573, -19.9731)","(0.0526213, 0.0235377, -0.998337)"
87,2023-05-02 17:53:10.489934,1139,"(-33.0528, 100.092, -20.6308)","(0.0526766, 0.0210538, -0.99839)"
88,2023-05-02 17:53:10.499877,1139,"(-33.6705, 99.5855, -21.3119)","(0.0528507, 0.0189539, -0.998423)"
89,2023-05-02 17:53:10.506969,1139,"(-34.2189, 98.9762, -22.1171)","(0.0525098, 0.0160763, -0.998491)"
90,2023-05-02 17:53:10.517872,1139,"(-34.9532, 98.0691, -22.8061)","(0.0521266, 0.012425, -0.998563)"
91,2023-05-02 17:53:10.525275,1139,"(-35.5116, 97.2123, -23.5295)","(0.0519772, 0.00898634, -0.998608)"
92,2023-05-02 17:53:10.535402,1139,"(-36.1155, 96.2253, -24.0583)","(0.0518261, 0.00656678, -0.998635)"
93,2023-05-02 17:53:10.542629,1139,"(-36.6804, 95.2419, -24.5824)","(0.0516291, 0.00383306, -0.998659)"
94,2023-05-02 17:53:10.553410,1139,"(-37.0427, 93.9508, -25.2566)","(0.0527157, -0.00203629, -0.998607)"
95,2023-05-02 17:53:10.558631,1139,"(-37.5505, 92.689, -25.7374)","(0.0525516, -0.00657696, -0.998597)"
96,2023-05-02 17:53:10.569461,1139,"(-38.0453, 91.7885, -26.2297)","(0.0518545, -0.00886489, -0.998615)"
97,2023-05-02 17:53:10.578208,1139,"(-38.4289, 90.9402, -26.8518)","(0.0512398, -0.0114427, -0.998621)"
98,2023-05-02 17:53:10.587780,1139,"(-38.7857, 89.8186, -27.4892)","(0.0507302, -0.0158107, -0.998587)"
99,2023-05-02 17:53:10.593983,1139,"(-38.8496, 89.1446, -28.1571)","(0.0517967, -0.0182246, -0.998491)"
100,2023-05-02 17:53:10.601346,1139,"(-39.0737, 88.3873, -28.8072)","(0.0519673, -0.0202519, -0.998443)"
101,2023-05-02 17:53:10.610495,1139,"(-39.3582, 87.6541, -29.4074)","(0.0516737, -0.0220911, -0.99842)"
102,2023-05-02 17:53:10.618460,1139,"(-39.4674, 86.932, -30.0515)","(0.052356, -0.0247189, -0.998322)"
