,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-15 16:23:27.103149,3536,"(34.1242, 116.091, -73.773)","(0.0718865, 0.130617, -0.988823)"
1,2023-06-15 16:23:27.119481,3536,"(33.9118, 116.041, -73.7354)","(0.0707478, 0.128236, -0.989217)"
2,2023-06-15 16:23:27.137958,3536,"(33.7088, 115.949, -73.6787)","(0.0712693, 0.125383, -0.989545)"
3,2023-06-15 16:23:27.153194,3536,"(33.4798, 115.906, -73.6413)","(0.0708032, 0.123454, -0.989821)"
4,2023-06-15 16:23:27.171183,3536,"(33.3756, 115.813, -73.6397)","(0.0707836, 0.120954, -0.990131)"
5,2023-06-15 16:23:27.187951,3536,"(33.2936, 115.723, -73.6756)","(0.0698722, 0.118791, -0.990458)"
6,2023-06-15 16:23:27.203122,3536,"(33.2223, 115.685, -73.7127)","(0.0688046, 0.117619, -0.990672)"
7,2023-06-15 16:23:27.222816,3536,"(33.2414, 115.728, -73.6851)","(0.0689601, 0.118037, -0.990612)"
8,2023-06-15 16:23:27.240524,3536,"(33.3567, 115.857, -73.6037)","(0.0695279, 0.119984, -0.990338)"
9,2023-06-15 16:23:27.255347,3536,"(33.5356, 115.96, -73.5772)","(0.068724, 0.12148, -0.990212)"
10,2023-06-15 16:23:27.275909,3536,"(33.7641, 116.02, -73.5655)","(0.0692611, 0.122122, -0.990096)"
11,2023-06-15 16:23:27.293064,3536,"(33.882, 116.026, -73.5371)","(0.0681375, 0.121913, -0.990199)"
12,2023-06-15 16:23:27.309116,3536,"(33.9448, 116.08, -73.5297)","(0.0684419, 0.122234, -0.990139)"
13,2023-06-15 16:23:27.327620,3536,"(33.9282, 116.051, -73.496)","(0.068524, 0.121546, -0.990218)"
14,2023-06-15 16:23:27.344637,3536,"(33.8917, 116.117, -73.4302)","(0.0692946, 0.12197, -0.990112)"
15,2023-06-15 16:23:27.362778,3536,"(33.9226, 116.163, -73.3729)","(0.0709823, 0.12219, -0.989965)"
16,2023-06-15 16:23:27.378160,3536,"(33.821, 116.19, -73.384)","(0.0692343, 0.12155, -0.990168)"
17,2023-06-15 16:23:27.397412,3536,"(33.8213, 116.174, -73.4098)","(0.0691611, 0.121032, -0.990236)"
18,2023-06-15 16:23:27.414486,3536,"(33.8908, 116.168, -73.4705)","(0.0681973, 0.120157, -0.99041)"
19,2023-06-15 16:23:27.432526,3536,"(34.1192, 116.149, -73.5248)","(0.0675944, 0.119235, -0.990562)"
20,2023-06-15 16:23:27.448828,3536,"(34.4473, 116.21, -73.5893)","(0.0684352, 0.120363, -0.990368)"
21,2023-06-15 16:23:27.465910,3536,"(34.8229, 116.412, -73.5622)","(0.0700804, 0.12524, -0.989648)"
22,2023-06-15 16:23:27.483906,3536,"(35.0754, 116.583, -73.5086)","(0.0709963, 0.129838, -0.98899)"
23,2023-06-15 16:23:27.501789,3536,"(35.2288, 116.728, -73.4522)","(0.0730531, 0.133641, -0.988334)"
24,2023-06-15 16:23:27.518407,3536,"(35.1652, 116.576, -73.4719)","(0.0732871, 0.131871, -0.988554)"
25,2023-06-15 16:23:27.536635,3536,"(35.1719, 116.622, -73.4847)","(0.0747833, 0.13375, -0.988189)"
26,2023-06-15 16:23:27.553768,3536,"(35.0417, 116.371, -73.4217)","(0.0749983, 0.131419, -0.988486)"
27,2023-06-15 16:23:27.570730,3536,"(34.8782, 116.153, -73.3949)","(0.0759032, 0.129751, -0.988637)"
28,2023-06-15 16:23:27.589612,3536,"(34.5175, 115.756, -73.3386)","(0.0754838, 0.125751, -0.989186)"
29,2023-06-15 16:23:27.605757,3536,"(34.0178, 115.245, -73.4093)","(0.0751536, 0.118738, -0.990077)"
