,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-15 11:25:49.157390,3685,"(41.4314, 113.22, -85.3528)","(0.014914, 0.0916457, -0.99568)"
1,2023-06-15 11:25:49.174459,3685,"(41.7078, 112.789, -85.0156)","(0.0148184, 0.0879252, -0.996017)"
2,2023-06-15 11:25:49.190353,3685,"(42.057, 112.326, -84.7111)","(0.0148194, 0.0840007, -0.996355)"
3,2023-06-15 11:25:49.206971,3685,"(42.2626, 111.897, -84.4381)","(0.0141181, 0.0804091, -0.996662)"
4,2023-06-15 11:25:49.224388,3685,"(42.5298, 111.663, -84.2763)","(0.0138496, 0.0787526, -0.996798)"
5,2023-06-15 11:25:49.241242,3685,"(42.7087, 111.521, -84.1749)","(0.013529, 0.0777191, -0.996884)"
6,2023-06-15 11:25:49.258712,3685,"(42.8189, 111.469, -84.1849)","(0.0132939, 0.0767946, -0.996958)"
7,2023-06-15 11:25:49.274901,3685,"(42.6554, 111.517, -84.1208)","(0.0118912, 0.0757819, -0.997054)"
8,2023-06-15 11:25:49.293053,3685,"(42.3539, 111.939, -84.2885)","(0.0104245, 0.078135, -0.996888)"
9,2023-06-15 11:25:49.306566,3685,"(41.9876, 112.536, -84.6393)","(0.00892677, 0.0814238, -0.99664)"
10,2023-06-15 11:25:49.324663,3685,"(41.4525, 113.163, -84.9863)","(0.00735072, 0.0839189, -0.996445)"
11,2023-06-15 11:25:49.342801,3685,"(40.8192, 113.738, -85.1161)","(0.00618825, 0.0846532, -0.996391)"
12,2023-06-15 11:25:49.364013,3685,"(40.272, 114.184, -85.2601)","(0.00575462, 0.0849839, -0.996366)"
13,2023-06-15 11:25:49.380641,3685,"(39.6918, 114.514, -85.3454)","(0.00462445, 0.0847413, -0.996392)"
14,2023-06-15 11:25:49.398297,3685,"(39.1807, 114.623, -85.4741)","(0.00348087, 0.0831192, -0.996534)"
15,2023-06-15 11:25:49.411043,3685,"(38.8065, 114.522, -85.6493)","(0.00291129, 0.0803432, -0.996763)"
16,2023-06-15 11:25:49.428197,3685,"(38.5869, 114.43, -85.8287)","(0.00228113, 0.0788512, -0.996884)"
17,2023-06-15 11:25:49.447487,3685,"(38.3924, 114.259, -86.029)","(0.0016787, 0.0771574, -0.997018)"
18,2023-06-15 11:25:49.465805,3685,"(38.088, 113.739, -86.3899)","(0.000123527, 0.0737845, -0.997274)"
