,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-15 15:33:37.310210,2269,"(36.1638, 106.191, -76.2104)","(0.103692, 0.131577, -0.985868)"
1,2023-06-15 15:33:37.327677,2269,"(36.1056, 106.111, -76.2575)","(0.102279, 0.12973, -0.98626)"
2,2023-06-15 15:33:37.345132,2269,"(36.0377, 106.127, -76.2567)","(0.101447, 0.130257, -0.986277)"
3,2023-06-15 15:33:37.362624,2269,"(35.9719, 106.186, -76.277)","(0.101009, 0.131396, -0.98617)"
4,2023-06-15 15:33:37.379434,2269,"(35.9632, 106.304, -76.2896)","(0.102273, 0.133578, -0.985747)"
5,2023-06-15 15:33:37.395973,2269,"(35.8632, 106.312, -76.2743)","(0.102128, 0.133411, -0.985785)"
6,2023-06-15 15:33:37.414576,2269,"(35.7466, 106.318, -76.2357)","(0.102356, 0.133107, -0.985802)"
7,2023-06-15 15:33:37.432265,2269,"(35.6443, 106.353, -76.1942)","(0.102754, 0.134078, -0.985629)"
8,2023-06-15 15:33:37.449354,2269,"(35.6054, 106.409, -76.2525)","(0.102909, 0.13532, -0.985443)"
9,2023-06-15 15:33:37.467297,2269,"(35.5352, 106.316, -76.3322)","(0.102795, 0.134317, -0.985592)"
10,2023-06-15 15:33:37.484229,2269,"(35.4906, 106.138, -76.3741)","(0.102756, 0.132584, -0.985831)"
11,2023-06-15 15:33:37.502119,2269,"(35.4498, 105.994, -76.3639)","(0.102827, 0.131361, -0.985987)"
12,2023-06-15 15:33:37.519827,2269,"(35.4229, 105.911, -76.3626)","(0.103129, 0.131832, -0.985893)"
13,2023-06-15 15:33:37.536756,2269,"(35.356, 105.703, -76.3041)","(0.102449, 0.129578, -0.986263)"
14,2023-06-15 15:33:37.554382,2269,"(35.3068, 105.475, -76.2613)","(0.101823, 0.127832, -0.986555)"
15,2023-06-15 15:33:37.569512,2269,"(35.305, 105.334, -76.2416)","(0.102503, 0.127969, -0.986467)"
16,2023-06-15 15:33:37.588229,2269,"(35.2588, 105.185, -76.2612)","(0.10281, 0.12698, -0.986563)"
17,2023-06-15 15:33:37.605501,2269,"(35.1661, 105.075, -76.3215)","(0.10222, 0.126233, -0.98672)"
18,2023-06-15 15:33:37.622021,2269,"(35.1136, 105.094, -76.3425)","(0.102437, 0.128275, -0.986434)"
19,2023-06-15 15:33:37.640348,2269,"(35.0867, 105.073, -76.4023)","(0.102102, 0.128553, -0.986433)"
20,2023-06-15 15:33:37.657643,2269,"(35.0765, 105.068, -76.4326)","(0.102573, 0.12962, -0.986244)"
21,2023-06-15 15:33:37.675311,2269,"(35.0639, 105.113, -76.4657)","(0.102679, 0.130868, -0.986068)"
22,2023-06-15 15:33:37.691988,2269,"(35.1102, 105.142, -76.4899)","(0.103657, 0.132041, -0.98581)"
23,2023-06-15 15:33:37.709423,2269,"(35.1681, 105.221, -76.5074)","(0.104678, 0.134458, -0.985375)"
24,2023-06-15 15:33:37.726115,2269,"(35.1852, 105.265, -76.5173)","(0.104866, 0.135776, -0.985174)"
25,2023-06-15 15:33:37.744275,2269,"(35.2492, 105.301, -76.542)","(0.105972, 0.136858, -0.984906)"
26,2023-06-15 15:33:37.762490,2269,"(35.278, 105.417, -76.5712)","(0.106624, 0.139397, -0.984479)"
27,2023-06-15 15:33:37.778547,2269,"(35.2349, 105.386, -76.6179)","(0.105938, 0.139083, -0.984598)"
28,2023-06-15 15:33:37.796460,2269,"(35.1282, 105.322, -76.6775)","(0.105332, 0.137529, -0.984881)"
29,2023-06-15 15:33:37.813760,2269,"(35.0423, 105.41, -76.7175)","(0.105245, 0.139066, -0.984675)"
30,2023-06-15 15:33:37.830983,2269,"(34.9804, 105.445, -76.7729)","(0.105221, 0.139439, -0.984625)"
31,2023-06-15 15:33:37.848130,2269,"(34.8408, 105.467, -76.8468)","(0.104697, 0.13959, -0.984659)"
32,2023-06-15 15:33:37.866122,2269,"(34.6918, 105.555, -76.9164)","(0.103623, 0.141897, -0.984443)"
33,2023-06-15 15:33:37.885294,2269,"(34.5617, 105.49, -76.8717)","(0.103382, 0.143347, -0.984258)"
34,2023-06-15 15:33:37.903204,2269,"(34.4539, 105.317, -76.9823)","(0.103192, 0.142557, -0.984393)"
35,2023-06-15 15:33:37.918085,2269,"(34.3303, 105.109, -77.0615)","(0.103241, 0.140061, -0.984746)"
36,2023-06-15 15:33:37.935296,2269,"(34.2029, 105, -77.0876)","(0.103383, 0.139134, -0.984862)"
37,2023-06-15 15:33:37.953033,2269,"(34.0791, 104.915, -77.1145)","(0.103612, 0.138447, -0.984935)"
38,2023-06-15 15:33:37.970579,2269,"(33.9467, 104.912, -77.0757)","(0.103781, 0.13942, -0.98478)"
39,2023-06-15 15:33:37.988107,2269,"(33.7515, 105.029, -77.1332)","(0.103902, 0.142556, -0.984318)"
40,2023-06-15 15:33:38.005599,2269,"(33.4679, 105.047, -77.1472)","(0.103415, 0.143076, -0.984294)"
41,2023-06-15 15:33:38.022170,2269,"(33.0921, 104.996, -77.1313)","(0.102011, 0.141384, -0.984685)"
42,2023-06-15 15:33:38.039060,2269,"(32.7994, 105.288, -77.062)","(0.103291, 0.14712, -0.983711)"
43,2023-06-15 15:33:38.056311,2269,"(32.4437, 105.643, -77.075)","(0.103738, 0.153897, -0.982626)"
44,2023-06-15 15:33:38.075113,2269,"(32.0384, 105.94, -76.9835)","(0.104281, 0.160861, -0.981453)"
45,2023-06-15 15:33:38.090688,2269,"(31.496, 106.105, -76.9418)","(0.103399, 0.163939, -0.981037)"
46,2023-06-15 15:33:38.108842,2269,"(30.9157, 106.176, -76.8892)","(0.10242, 0.165332, -0.980905)"
47,2023-06-15 15:33:38.126269,2269,"(30.3407, 106.092, -76.7022)","(0.101475, 0.164562, -0.981133)"
48,2023-06-15 15:33:38.144483,2269,"(29.6581, 105.699, -76.5512)","(0.0999185, 0.157792, -0.982404)"
49,2023-06-15 15:33:38.161858,2269,"(29.1582, 105.111, -76.2687)","(0.100709, 0.150541, -0.983461)"
50,2023-06-15 15:33:38.178977,2269,"(28.6209, 104.569, -75.9631)","(0.100998, 0.144536, -0.984332)"
51,2023-06-15 15:33:38.194708,2269,"(28.1142, 103.787, -75.6258)","(0.103794, 0.136134, -0.985238)"
52,2023-06-15 15:33:38.212656,2269,"(27.5378, 102.956, -75.3404)","(0.105837, 0.126648, -0.986285)"
53,2023-06-15 15:33:38.230096,2269,"(26.9202, 102.096, -75.1578)","(0.106099, 0.114856, -0.9877)"
