,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-15 11:27:42.461864,3695,"(34.1794, 96.687, -97.8766)","(0.0547662, 0.0890473, -0.994521)"
1,2023-06-15 11:27:42.478128,3695,"(34.0475, 96.5717, -97.857)","(0.0546039, 0.0879026, -0.994631)"
2,2023-06-15 11:27:42.496218,3695,"(33.813, 96.521, -97.9072)","(0.0535921, 0.0877187, -0.994703)"
3,2023-06-15 11:27:42.512882,3695,"(33.6132, 96.4907, -97.9942)","(0.0529413, 0.087856, -0.994725)"
4,2023-06-15 11:27:42.530274,3695,"(33.3657, 96.4937, -98.0258)","(0.0519013, 0.0882574, -0.994745)"
5,2023-06-15 11:27:42.548588,3695,"(33.3838, 96.677, -98.0807)","(0.0536842, 0.0911629, -0.994388)"
6,2023-06-15 11:27:42.563055,3695,"(33.3303, 96.9151, -98.1771)","(0.0554461, 0.095375, -0.993896)"
7,2023-06-15 11:27:42.584452,3695,"(33.4639, 97.4357, -98.3559)","(0.0583118, 0.101682, -0.993106)"
8,2023-06-15 11:27:42.596806,3695,"(33.2628, 97.3723, -98.239)","(0.0568202, 0.100304, -0.993333)"
9,2023-06-15 11:27:42.612917,3695,"(32.9742, 97.2872, -98.119)","(0.0543449, 0.0973803, -0.993762)"
10,2023-06-15 11:27:42.633331,3695,"(32.7302, 97.2278, -98.1124)","(0.0517553, 0.0931794, -0.994303)"
11,2023-06-15 11:27:42.648761,3695,"(32.6585, 97.2967, -98.0533)","(0.0510154, 0.0921098, -0.994441)"
12,2023-06-15 11:27:42.664786,3695,"(32.7579, 97.5117, -97.9653)","(0.0514277, 0.0926977, -0.994365)"
13,2023-06-15 11:27:42.685466,3695,"(32.9926, 97.8452, -98.0544)","(0.053533, 0.0948376, -0.994052)"
14,2023-06-15 11:27:42.707227,3695,"(33.3574, 98.2047, -98.0067)","(0.0574229, 0.0992323, -0.993406)"
15,2023-06-15 11:27:42.720072,3695,"(33.5788, 98.288, -97.8364)","(0.0590947, 0.100065, -0.993224)"
16,2023-06-15 11:27:42.738991,3695,"(33.5167, 98.1121, -97.7298)","(0.057685, 0.098285, -0.993485)"
17,2023-06-15 11:27:42.752811,3695,"(33.6619, 97.9286, -97.5552)","(0.0579319, 0.0961481, -0.99368)"
18,2023-06-15 11:27:42.772066,3695,"(33.7845, 97.7161, -97.3617)","(0.0579545, 0.0937276, -0.99391)"
19,2023-06-15 11:27:42.788574,3695,"(33.9158, 97.6499, -97.1574)","(0.057434, 0.0933265, -0.993978)"
20,2023-06-15 11:27:42.808767,3695,"(33.9387, 97.287, -96.9546)","(0.0563063, 0.0893994, -0.994403)"
21,2023-06-15 11:27:42.824954,3695,"(34.2885, 97.2698, -96.646)","(0.0582589, 0.0894469, -0.994286)"
22,2023-06-15 11:27:42.842127,3695,"(34.3553, 97.065, -96.4908)","(0.0581843, 0.0870936, -0.9945)"
23,2023-06-15 11:27:42.861980,3695,"(34.6191, 97.1749, -96.2953)","(0.0592162, 0.0886948, -0.994297)"
24,2023-06-15 11:27:42.878306,3695,"(34.7103, 97.0609, -96.1774)","(0.0591443, 0.0873367, -0.994422)"
25,2023-06-15 11:27:42.894394,3695,"(34.7934, 96.9868, -96.1058)","(0.0582768, 0.0865438, -0.994542)"
26,2023-06-15 11:27:42.909877,3695,"(35.0274, 97.0506, -96.1066)","(0.0588392, 0.0878613, -0.994393)"
27,2023-06-15 11:27:42.925783,3695,"(35.1558, 97.0515, -96.0789)","(0.0599799, 0.0877934, -0.994331)"
28,2023-06-15 11:27:42.942799,3695,"(35.2687, 97.1292, -96.0984)","(0.0597078, 0.0886515, -0.994272)"
29,2023-06-15 11:27:42.959946,3695,"(35.3782, 97.12, -96.0874)","(0.0598621, 0.0888412, -0.994245)"
30,2023-06-15 11:27:42.979895,3695,"(35.4868, 96.9743, -96.0415)","(0.0594487, 0.0872005, -0.994415)"
31,2023-06-15 11:27:42.999186,3695,"(35.6427, 96.7901, -95.8881)","(0.0603647, 0.0855233, -0.994506)"
32,2023-06-15 11:27:43.015459,3695,"(35.9299, 96.6428, -95.724)","(0.0619959, 0.0843359, -0.994507)"
33,2023-06-15 11:27:43.032397,3695,"(36.1907, 96.4745, -95.5559)","(0.062493, 0.0829773, -0.99459)"
34,2023-06-15 11:27:43.049487,3695,"(36.3371, 96.3243, -95.3937)","(0.0615511, 0.0811728, -0.994798)"
35,2023-06-15 11:27:43.064461,3695,"(36.7934, 96.5173, -95.1128)","(0.0636555, 0.0838832, -0.99444)"
36,2023-06-15 11:27:43.080802,3695,"(37.1833, 96.6127, -94.9274)","(0.0651516, 0.0849378, -0.994254)"
