,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-15 11:29:00.492043,3695,"(27.933, 95.5039, -88.9175)","(-0.00869422, 0.104432, -0.994494)"
1,2023-06-15 11:29:00.508251,3695,"(28.2686, 95.2947, -89.0824)","(-0.00804209, 0.102165, -0.994735)"
2,2023-06-15 11:29:00.525679,3695,"(28.6711, 95.0909, -89.2988)","(-0.00698532, 0.100883, -0.994874)"
3,2023-06-15 11:29:00.542919,3695,"(29.2271, 94.5794, -89.1352)","(-0.00484302, 0.0963031, -0.99534)"
4,2023-06-15 11:29:00.560665,3695,"(29.7491, 94.1792, -89.0416)","(-0.0033832, 0.0924974, -0.995707)"
5,2023-06-15 11:29:00.577771,3695,"(30.3933, 93.9526, -88.9463)","(-0.000329328, 0.0899698, -0.995944)"
6,2023-06-15 11:29:00.593417,3695,"(31.0797, 93.9098, -88.8328)","(0.0032786, 0.0886118, -0.996061)"
7,2023-06-15 11:29:00.609354,3695,"(31.6862, 94.1271, -88.6934)","(0.00486821, 0.087352, -0.996166)"
8,2023-06-15 11:29:00.629965,3695,"(32.2604, 94.5144, -88.4917)","(0.00679807, 0.0868696, -0.996197)"
9,2023-06-15 11:29:00.647762,3695,"(32.7957, 94.9495, -88.4464)","(0.00915778, 0.0864236, -0.996216)"
10,2023-06-15 11:29:00.664056,3695,"(33.2216, 95.3856, -88.4294)","(0.0109693, 0.0843977, -0.996372)"
11,2023-06-15 11:29:00.682313,3695,"(33.5932, 95.969, -88.4173)","(0.0130944, 0.0834414, -0.996427)"
12,2023-06-15 11:29:00.700678,3695,"(33.7997, 96.4969, -88.491)","(0.0142325, 0.0822554, -0.99651)"
13,2023-06-15 11:29:00.718175,3695,"(33.9221, 97.1344, -88.5698)","(0.0159565, 0.0823856, -0.996473)"
14,2023-06-15 11:29:00.736430,3695,"(33.8391, 97.7173, -88.7613)","(0.0156588, 0.0827083, -0.996451)"
15,2023-06-15 11:29:00.753348,3695,"(33.7582, 98.1541, -89.0697)","(0.0160498, 0.0838701, -0.996347)"
16,2023-06-15 11:29:00.771192,3695,"(33.7015, 98.5147, -89.3224)","(0.0173996, 0.0832145, -0.99638)"
17,2023-06-15 11:29:00.789435,3695,"(33.6591, 98.9355, -89.5956)","(0.018656, 0.0828953, -0.996384)"
18,2023-06-15 11:29:00.805812,3695,"(33.6971, 99.2011, -89.8478)","(0.020149, 0.0822854, -0.996405)"
19,2023-06-15 11:29:00.823754,3695,"(33.5869, 99.6165, -90.1872)","(0.0199278, 0.0832749, -0.996327)"
20,2023-06-15 11:29:00.841408,3695,"(33.3948, 99.9529, -90.4596)","(0.0192118, 0.0827832, -0.996382)"
21,2023-06-15 11:29:00.857873,3695,"(33.1787, 100.141, -90.6847)","(0.0176291, 0.0814488, -0.996522)"
22,2023-06-15 11:29:00.876359,3695,"(33.0141, 100.04, -90.8526)","(0.0159947, 0.0786597, -0.996773)"
23,2023-06-15 11:29:00.893506,3695,"(33.0146, 99.8514, -90.982)","(0.0158869, 0.0756616, -0.997007)"
24,2023-06-15 11:29:00.910515,3695,"(33.4244, 99.9592, -91.196)","(0.0184554, 0.0739966, -0.997088)"
25,2023-06-15 11:29:00.927289,3695,"(33.9457, 99.7034, -91.0644)","(0.0192952, 0.0687734, -0.997446)"
26,2023-06-15 11:29:00.944935,3695,"(34.4332, 99.2577, -90.8254)","(0.0187674, 0.0629595, -0.99784)"
27,2023-06-15 11:29:00.959710,3695,"(35.0574, 98.8296, -90.686)","(0.0190922, 0.057361, -0.998171)"
28,2023-06-15 11:29:00.979579,3695,"(35.815, 98.4442, -90.5071)","(0.0200221, 0.0526373, -0.998413)"
29,2023-06-15 11:29:00.993407,3695,"(36.5911, 98.1793, -90.5667)","(0.0204548, 0.0493704, -0.998571)"
30,2023-06-15 11:29:01.012703,3695,"(37.3442, 97.9885, -90.5852)","(0.0203089, 0.0469988, -0.998688)"
31,2023-06-15 11:29:01.029820,3695,"(38.2576, 98.0028, -90.7411)","(0.0222314, 0.0467309, -0.99866)"
32,2023-06-15 11:29:01.045150,3695,"(39.1616, 98.089, -90.9033)","(0.0237678, 0.0474746, -0.99859)"
33,2023-06-15 11:29:01.061369,3695,"(39.9335, 98.1651, -91.1631)","(0.025377, 0.0486047, -0.998496)"
34,2023-06-15 11:29:01.078688,3695,"(40.6872, 98.2001, -91.4361)","(0.0270568, 0.0501929, -0.998373)"
35,2023-06-15 11:29:01.095548,3695,"(40.7429, 98.2765, -91.6596)","(0.0250971, 0.051707, -0.998347)"
36,2023-06-15 11:29:01.113639,3695,"(40.7776, 98.8503, -91.9457)","(0.0230563, 0.0588695, -0.997999)"
37,2023-06-15 11:29:01.129697,3695,"(40.4943, 99.1446, -92.115)","(0.0192073, 0.0622587, -0.997875)"
38,2023-06-15 11:29:01.147666,3695,"(40.3906, 99.1787, -92.3637)","(0.0175341, 0.0628956, -0.997866)"
39,2023-06-15 11:29:01.164862,3695,"(40.1638, 98.9091, -92.7607)","(0.0141147, 0.0607587, -0.998053)"
40,2023-06-15 11:29:01.181518,3695,"(40.2418, 98.2029, -93.4217)","(0.0128451, 0.0550046, -0.998403)"
41,2023-06-15 11:29:01.198794,3695,"(40.5065, 97.1107, -94.2159)","(0.0115737, 0.0488436, -0.998739)"
42,2023-06-15 11:29:01.216898,3695,"(41.0026, 96.0751, -94.9851)","(0.0108873, 0.0462716, -0.99887)"
43,2023-06-15 11:29:01.238245,3695,"(41.6785, 95.4, -95.6638)","(0.0125607, 0.0468584, -0.998823)"
44,2023-06-15 11:29:01.252549,3695,"(42.3483, 94.5229, -96.0684)","(0.0127803, 0.0471761, -0.998805)"
45,2023-06-15 11:29:01.270075,3695,"(42.7805, 93.7792, -96.4109)","(0.0107085, 0.0471013, -0.998833)"
46,2023-06-15 11:29:01.288552,3695,"(42.7924, 93.3328, -96.6951)","(0.00848803, 0.0471662, -0.998851)"
47,2023-06-15 11:29:01.306387,3695,"(42.6481, 93.3705, -96.9199)","(0.00711489, 0.0495889, -0.998744)"
48,2023-06-15 11:29:01.321027,3695,"(42.3349, 93.1375, -97.2001)","(0.00402219, 0.0508496, -0.998698)"
49,2023-06-15 11:29:01.338313,3695,"(42.1485, 93.0516, -97.4437)","(0.00251008, 0.0519945, -0.998644)"
50,2023-06-15 11:29:01.355149,3695,"(42.0162, 93.0255, -97.6206)","(0.00158264, 0.0541463, -0.998532)"
51,2023-06-15 11:29:01.373115,3695,"(41.9033, 92.8562, -97.8511)","(0.000798625, 0.0548151, -0.998496)"
52,2023-06-15 11:29:01.394048,3695,"(41.8106, 92.6559, -98.0379)","(0.000615022, 0.055832, -0.99844)"
53,2023-06-15 11:29:01.408924,3695,"(41.7107, 92.4633, -98.1652)","(0.00103898, 0.0574099, -0.99835)"
54,2023-06-15 11:29:01.425773,3695,"(41.6009, 92.0925, -98.3949)","(0.00194893, 0.0568951, -0.998378)"
55,2023-06-15 11:29:01.442395,3695,"(41.2839, 91.478, -98.6008)","(0.00233026, 0.0552835, -0.998468)"
56,2023-06-15 11:29:01.459768,3695,"(41.0437, 91.0437, -98.722)","(0.00303683, 0.0544507, -0.998512)"
57,2023-06-15 11:29:01.476310,3695,"(40.9155, 90.7191, -98.7428)","(0.00428053, 0.0539871, -0.998532)"
58,2023-06-15 11:29:01.496312,3695,"(40.8487, 90.4697, -98.7366)","(0.00572752, 0.0537378, -0.998539)"
59,2023-06-15 11:29:01.513061,3695,"(40.8124, 90.2784, -98.7486)","(0.0074507, 0.0538902, -0.998519)"
60,2023-06-15 11:29:01.532727,3695,"(40.671, 90.022, -98.6836)","(0.00774321, 0.0530913, -0.99856)"
61,2023-06-15 11:29:01.548694,3695,"(40.5457, 89.7892, -98.5335)","(0.00808125, 0.0516975, -0.99863)"
62,2023-06-15 11:29:01.565404,3695,"(40.5116, 89.7257, -98.4589)","(0.00920914, 0.0520584, -0.998602)"
63,2023-06-15 11:29:01.580825,3695,"(40.4784, 89.6782, -98.3721)","(0.00983853, 0.0523699, -0.998579)"
64,2023-06-15 11:29:01.597753,3695,"(40.5045, 89.6911, -98.2944)","(0.011332, 0.0530795, -0.998526)"
65,2023-06-15 11:29:01.615832,3695,"(40.4389, 89.6034, -98.1794)","(0.0122056, 0.0525461, -0.998544)"
66,2023-06-15 11:29:01.634331,3695,"(40.261, 89.5837, -98.0526)","(0.0118685, 0.0528186, -0.998534)"
67,2023-06-15 11:29:01.652231,3695,"(40.0558, 89.4729, -97.9198)","(0.0120064, 0.0513713, -0.998607)"
68,2023-06-15 11:29:01.669710,3695,"(39.9382, 89.4618, -97.8175)","(0.0122187, 0.0510867, -0.998619)"
69,2023-06-15 11:29:01.686241,3695,"(39.9151, 89.4776, -97.7108)","(0.0127339, 0.0511849, -0.998608)"
70,2023-06-15 11:29:01.704044,3695,"(39.8681, 89.6195, -97.6012)","(0.0132555, 0.0525119, -0.998532)"
71,2023-06-15 11:29:01.720367,3695,"(39.7512, 89.7712, -97.4696)","(0.0130772, 0.0537088, -0.998471)"
72,2023-06-15 11:29:01.739306,3695,"(39.6216, 89.9102, -97.3776)","(0.0126805, 0.0544514, -0.998436)"
73,2023-06-15 11:29:01.755017,3695,"(39.53, 89.8231, -97.2759)","(0.0118289, 0.0531523, -0.998516)"
74,2023-06-15 11:29:01.773189,3695,"(39.5909, 89.9033, -97.1311)","(0.0128129, 0.0530275, -0.998511)"
75,2023-06-15 11:29:01.788608,3695,"(39.5766, 90.1158, -96.9813)","(0.0130884, 0.0530541, -0.998506)"
76,2023-06-15 11:29:01.806629,3695,"(39.6108, 90.3499, -96.7808)","(0.0137783, 0.05407, -0.998442)"
77,2023-06-15 11:29:01.826330,3695,"(39.6823, 90.6984, -96.5504)","(0.0150333, 0.055818, -0.998328)"
78,2023-06-15 11:29:01.842799,3695,"(39.6944, 90.8877, -96.3204)","(0.0155235, 0.055861, -0.998318)"
79,2023-06-15 11:29:01.859964,3695,"(39.6608, 91.3621, -96.0767)","(0.0156677, 0.0581243, -0.998186)"
80,2023-06-15 11:29:01.877669,3695,"(39.5726, 91.5007, -95.8748)","(0.0146358, 0.0575711, -0.998234)"
81,2023-06-15 11:29:01.894073,3695,"(39.594, 91.6905, -95.7104)","(0.0146307, 0.0569687, -0.998269)"
82,2023-06-15 11:29:01.909945,3695,"(39.6659, 91.8046, -95.5901)","(0.0150644, 0.0560715, -0.998313)"
83,2023-06-15 11:29:01.926901,3695,"(39.6703, 91.9373, -95.5783)","(0.014343, 0.055145, -0.998375)"
84,2023-06-15 11:29:01.945051,3695,"(39.8159, 92.0739, -95.6702)","(0.0155512, 0.0552172, -0.998353)"
85,2023-06-15 11:29:01.962535,3695,"(39.8695, 92.1776, -95.739)","(0.0160676, 0.0554849, -0.99833)"
86,2023-06-15 11:29:01.981208,3695,"(39.8579, 92.1465, -95.7052)","(0.0155037, 0.0545577, -0.99839)"
87,2023-06-15 11:29:01.997977,3695,"(39.9747, 92.2543, -95.779)","(0.0159671, 0.0551546, -0.99835)"
88,2023-06-15 11:29:02.013607,3695,"(40.1194, 92.3278, -95.828)","(0.0160089, 0.0553203, -0.99834)"
89,2023-06-15 11:29:02.030215,3695,"(40.2494, 92.423, -95.933)","(0.0162828, 0.0559876, -0.998299)"
90,2023-06-15 11:29:02.050317,3695,"(40.1696, 92.4032, -96.0058)","(0.0148553, 0.0556849, -0.998338)"
91,2023-06-15 11:29:02.068925,3695,"(40.1121, 92.3924, -96.079)","(0.013483, 0.0555268, -0.998366)"
92,2023-06-15 11:29:02.087406,3695,"(40.22, 92.4659, -96.217)","(0.013588, 0.0560526, -0.998335)"
93,2023-06-15 11:29:02.101652,3695,"(40.3755, 92.4677, -96.3378)","(0.0140766, 0.0554511, -0.998362)"
94,2023-06-15 11:29:02.122846,3695,"(40.5914, 92.6401, -96.4483)","(0.0151386, 0.0568734, -0.998267)"
95,2023-06-15 11:29:02.138548,3695,"(40.7331, 92.7851, -96.505)","(0.0160209, 0.0578393, -0.998197)"
96,2023-06-15 11:29:02.154991,3695,"(40.7024, 92.7039, -96.4482)","(0.0152494, 0.0565028, -0.998286)"
97,2023-06-15 11:29:02.170333,3695,"(40.8616, 92.972, -96.3573)","(0.0152891, 0.0578629, -0.998207)"
98,2023-06-15 11:29:02.190822,3695,"(40.9609, 93.0931, -96.2573)","(0.0157755, 0.057726, -0.998208)"
99,2023-06-15 11:29:02.205065,3695,"(40.973, 93.2519, -96.2029)","(0.0148326, 0.0581204, -0.998199)"
100,2023-06-15 11:29:02.226942,3695,"(40.9163, 93.2404, -96.1228)","(0.0141221, 0.0578106, -0.998228)"
101,2023-06-15 11:29:02.244434,3695,"(40.7773, 93.1028, -96.0488)","(0.0124038, 0.0561044, -0.998348)"
102,2023-06-15 11:29:02.261284,3695,"(40.7211, 93.05, -95.9146)","(0.0112257, 0.0551677, -0.998414)"
103,2023-06-15 11:29:02.276574,3695,"(40.8002, 93.1039, -95.7352)","(0.0111998, 0.0553015, -0.998407)"
104,2023-06-15 11:29:02.291856,3695,"(40.7359, 92.8987, -95.5756)","(0.00982409, 0.0530333, -0.998544)"
105,2023-06-15 11:29:02.311259,3695,"(40.5985, 92.4902, -95.3639)","(0.00736061, 0.0485232, -0.998795)"
106,2023-06-15 11:29:02.330971,3695,"(40.5766, 92.3544, -95.1202)","(0.00594939, 0.046986, -0.998878)"
107,2023-06-15 11:29:02.347857,3695,"(40.6822, 92.4375, -94.7994)","(0.00565521, 0.047994, -0.998832)"
108,2023-06-15 11:29:02.365535,3695,"(40.8028, 92.3228, -94.5031)","(0.005722, 0.0468148, -0.998887)"
109,2023-06-15 11:29:02.382171,3695,"(40.8274, 92.005, -94.1729)","(0.00465613, 0.0434224, -0.999046)"
110,2023-06-15 11:29:02.401054,3695,"(40.9512, 91.8678, -93.792)","(0.00445351, 0.0419892, -0.999108)"
111,2023-06-15 11:29:02.418136,3695,"(41.0752, 91.6779, -93.4171)","(0.00432256, 0.0400372, -0.999189)"
112,2023-06-15 11:29:02.432682,3695,"(41.1599, 91.6598, -93.0772)","(0.00402483, 0.0399158, -0.999195)"
113,2023-06-15 11:29:02.453570,3695,"(41.1994, 91.8672, -92.7082)","(0.00333249, 0.0423335, -0.999098)"
114,2023-06-15 11:29:02.467909,3695,"(41.2705, 92.0237, -92.2848)","(0.00332036, 0.044222, -0.999016)"
115,2023-06-15 11:29:02.482963,3695,"(41.3032, 92.1501, -91.8482)","(0.00291823, 0.0457423, -0.998949)"
116,2023-06-15 11:29:02.502731,3695,"(41.2158, 92.1125, -91.3913)","(0.00129043, 0.0453607, -0.99897)"
117,2023-06-15 11:29:02.520151,3695,"(41.2313, 92.0697, -90.8808)","(0.000725159, 0.0447439, -0.998998)"
118,2023-06-15 11:29:02.536827,3695,"(41.2309, 91.9513, -90.3314)","(-0.000124909, 0.043081, -0.999072)"
119,2023-06-15 11:29:02.554014,3695,"(41.2062, 91.7711, -89.7285)","(-0.00141167, 0.0404953, -0.999179)"
120,2023-06-15 11:29:02.570584,3695,"(41.2812, 91.9224, -89.025)","(-0.00198833, 0.0410008, -0.999157)"
121,2023-06-15 11:29:02.588477,3695,"(41.5082, 92.0512, -88.2708)","(-0.00151723, 0.0406291, -0.999173)"
122,2023-06-15 11:29:02.606566,3695,"(41.9586, 92.5354, -87.3799)","(0.000654759, 0.0434819, -0.999054)"
123,2023-06-15 11:29:02.622809,3695,"(42.5171, 93.0842, -86.4942)","(0.00443776, 0.0468242, -0.998893)"
124,2023-06-15 11:29:02.640458,3695,"(42.8401, 93.7247, -85.6568)","(0.00558935, 0.0515083, -0.998657)"
125,2023-06-15 11:29:02.660944,3695,"(43.1073, 94.1202, -84.9935)","(0.00722521, 0.054174, -0.998505)"
126,2023-06-15 11:29:02.677380,3695,"(43.2084, 94.4001, -84.4284)","(0.00712543, 0.0560146, -0.998405)"
127,2023-06-15 11:29:02.696179,3695,"(43.2186, 94.4612, -83.9397)","(0.00618116, 0.055597, -0.998434)"
128,2023-06-15 11:29:02.713540,3695,"(43.1337, 94.4469, -83.4526)","(0.00433195, 0.0542564, -0.998518)"
129,2023-06-15 11:29:02.729117,3695,"(43.0684, 94.4601, -82.8596)","(0.00278825, 0.0531664, -0.998582)"
130,2023-06-15 11:29:02.745241,3695,"(42.7905, 94.2237, -82.2629)","(-0.000968678, 0.0494916, -0.998774)"
131,2023-06-15 11:29:02.760262,3695,"(42.7299, 94.226, -81.5918)","(-0.00253407, 0.0481012, -0.998839)"
132,2023-06-15 11:29:02.777130,3695,"(42.7687, 94.3813, -80.8694)","(-0.00309914, 0.0483718, -0.998825)"
133,2023-06-15 11:29:02.794842,3695,"(42.7946, 94.6363, -80.1063)","(-0.00383135, 0.0497941, -0.998752)"
134,2023-06-15 11:29:02.812134,3695,"(42.9212, 94.7641, -79.3744)","(-0.00331396, 0.0499227, -0.998748)"
135,2023-06-15 11:29:02.828672,3695,"(43.0278, 95.0215, -78.6356)","(-0.00291819, 0.0513348, -0.998677)"
136,2023-06-15 11:29:02.847956,3695,"(43.1072, 95.0835, -77.9562)","(-0.00251768, 0.0507775, -0.998707)"
137,2023-06-15 11:29:02.865616,3695,"(43.0682, 95.1227, -77.2887)","(-0.00317101, 0.0499763, -0.998745)"
138,2023-06-15 11:29:02.881307,3695,"(42.9965, 95.202, -76.6015)","(-0.00415928, 0.0496107, -0.99876)"
139,2023-06-15 11:29:02.898263,3695,"(42.8894, 95.1431, -75.9126)","(-0.00546446, 0.0478207, -0.998841)"
140,2023-06-15 11:29:02.918268,3695,"(42.8097, 95.1487, -75.1821)","(-0.00639129, 0.0466964, -0.998889)"
141,2023-06-15 11:29:02.935343,3695,"(42.7993, 95.204, -74.364)","(-0.00658803, 0.0460011, -0.99892)"
142,2023-06-15 11:29:02.953545,3695,"(42.735, 95.2287, -73.5024)","(-0.00744747, 0.0450483, -0.998957)"
143,2023-06-15 11:29:02.969958,3695,"(42.8192, 95.3714, -72.6131)","(-0.00652458, 0.0453888, -0.998948)"
144,2023-06-15 11:29:02.987535,3695,"(42.8818, 95.4871, -71.7387)","(-0.00562539, 0.0455499, -0.998946)"
145,2023-06-15 11:29:03.005228,3695,"(42.8441, 95.3304, -70.8811)","(-0.00577369, 0.0428272, -0.999066)"
146,2023-06-15 11:29:03.022429,3695,"(42.8497, 95.2333, -70.0306)","(-0.00545637, 0.0404976, -0.999165)"
147,2023-06-15 11:29:03.037819,3695,"(42.7269, 95.0851, -69.1378)","(-0.00652536, 0.0376313, -0.99927)"
148,2023-06-15 11:29:03.057916,3695,"(42.777, 95.2355, -68.2123)","(-0.00564085, 0.0377119, -0.999273)"
149,2023-06-15 11:29:03.076250,3695,"(42.8755, 95.9125, -67.1776)","(-0.00404308, 0.0433262, -0.999053)"
150,2023-06-15 11:29:03.091286,3695,"(42.6655, 96.2762, -66.2232)","(-0.00566599, 0.045748, -0.998937)"
