,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-17 19:27:32.511735,535,"(38.6899, 94.5981, -76.3738)","(0.0480523, 0.0615358, -0.996948)"
1,2023-06-17 19:27:32.518645,535,"(38.7995, 94.7084, -76.2294)","(0.0487942, 0.0622295, -0.996868)"
2,2023-06-17 19:27:32.527157,535,"(38.9382, 94.8283, -76.118)","(0.0495137, 0.0630801, -0.996779)"
3,2023-06-17 19:27:32.535960,535,"(39.1166, 94.9001, -76.087)","(0.0502293, 0.063778, -0.996699)"
4,2023-06-17 19:27:32.545086,535,"(39.2814, 94.9555, -76.1167)","(0.0507398, 0.0645568, -0.996623)"
5,2023-06-17 19:27:32.553189,535,"(39.4242, 95.0051, -76.1916)","(0.0512247, 0.0652407, -0.996554)"
6,2023-06-17 19:27:32.562085,535,"(39.5526, 94.9909, -76.2511)","(0.0514336, 0.0655267, -0.996524)"
7,2023-06-17 19:27:32.569278,535,"(39.6782, 94.9017, -76.1234)","(0.0519733, 0.0651369, -0.996522)"
8,2023-06-17 19:27:32.577984,535,"(39.7978, 94.8163, -76.0035)","(0.0523472, 0.064785, -0.996525)"
9,2023-06-17 19:27:32.587612,535,"(39.9434, 94.7083, -75.9389)","(0.0525029, 0.0642906, -0.996549)"
10,2023-06-17 19:27:32.596981,535,"(40.1099, 94.6787, -75.9352)","(0.0530074, 0.0644905, -0.996509)"
11,2023-06-17 19:27:32.605552,535,"(40.2783, 94.6576, -75.9516)","(0.0537123, 0.064593, -0.996465)"
12,2023-06-17 19:27:32.614147,535,"(40.3679, 94.6054, -75.8934)","(0.053831, 0.0643506, -0.996474)"
13,2023-06-17 19:27:32.622971,535,"(40.4572, 94.5957, -75.8364)","(0.0539306, 0.0646012, -0.996453)"
14,2023-06-17 19:27:32.632162,535,"(40.5702, 94.5768, -75.8493)","(0.0541501, 0.0648055, -0.996428)"
15,2023-06-17 19:27:32.640729,535,"(40.6739, 94.5748, -75.891)","(0.0544768, 0.0650903, -0.996391)"
16,2023-06-17 19:27:32.649524,535,"(40.7701, 94.5617, -75.8561)","(0.0546356, 0.0653811, -0.996364)"
17,2023-06-17 19:27:32.657840,535,"(40.8199, 94.5152, -75.8094)","(0.0545234, 0.0652917, -0.996376)"
18,2023-06-17 19:27:32.666147,535,"(40.8884, 94.403, -75.8859)","(0.0544826, 0.0644826, -0.99643)"
19,2023-06-17 19:27:32.674999,535,"(40.9634, 94.2608, -75.88)","(0.054174, 0.0633607, -0.996519)"
20,2023-06-17 19:27:32.684345,535,"(41.0491, 94.2228, -75.9093)","(0.0540953, 0.0633171, -0.996526)"
21,2023-06-17 19:27:32.692111,535,"(41.1393, 94.1607, -75.8585)","(0.0541298, 0.063109, -0.996538)"
22,2023-06-17 19:27:32.701052,535,"(41.2938, 94.1346, -75.8643)","(0.054569, 0.0633417, -0.996499)"
23,2023-06-17 19:27:32.709446,535,"(41.4405, 94.1163, -75.8889)","(0.0549474, 0.0635998, -0.996462)"
24,2023-06-17 19:27:32.718079,535,"(41.607, 94.1163, -75.9519)","(0.0556257, 0.0639671, -0.996401)"
25,2023-06-17 19:27:32.727097,535,"(41.7534, 94.0266, -75.9011)","(0.0559338, 0.0635782, -0.996408)"
26,2023-06-17 19:27:32.735797,535,"(41.9, 93.9574, -75.8334)","(0.0565294, 0.0632703, -0.996394)"
27,2023-06-17 19:27:32.744356,535,"(42.0283, 93.9688, -75.8373)","(0.056949, 0.0637845, -0.996337)"
28,2023-06-17 19:27:32.753168,535,"(42.1081, 93.9978, -75.8827)","(0.0571953, 0.0641419, -0.9963)"
29,2023-06-17 19:27:32.761217,535,"(42.1701, 94.0295, -75.8804)","(0.0573069, 0.0648191, -0.99625)"
30,2023-06-17 19:27:32.770181,535,"(42.1763, 93.9993, -75.8341)","(0.0573207, 0.0646475, -0.996261)"
31,2023-06-17 19:27:32.778237,535,"(42.189, 94.0085, -75.8495)","(0.0573416, 0.0647234, -0.996254)"
32,2023-06-17 19:27:32.787320,535,"(42.2146, 94.0444, -75.8345)","(0.0574345, 0.0651579, -0.996221)"
33,2023-06-17 19:27:32.796947,535,"(42.2219, 94.0992, -75.8051)","(0.0574833, 0.0657058, -0.996182)"
34,2023-06-17 19:27:32.805025,535,"(42.2085, 94.1201, -75.7937)","(0.0573816, 0.065939, -0.996172)"
35,2023-06-17 19:27:32.814060,535,"(42.2002, 94.1215, -75.7849)","(0.0573368, 0.0659461, -0.996174)"
36,2023-06-17 19:27:32.822349,535,"(42.1715, 94.0965, -75.7663)","(0.057172, 0.0657002, -0.9962)"
37,2023-06-17 19:27:32.831582,535,"(42.1291, 94.1354, -75.783)","(0.0570057, 0.0657729, -0.996205)"
38,2023-06-17 19:27:32.839398,535,"(42.1125, 94.1874, -75.7532)","(0.0571815, 0.0660326, -0.996178)"
39,2023-06-17 19:27:32.848545,535,"(42.0352, 94.2015, -75.6993)","(0.0567489, 0.0660838, -0.996199)"
40,2023-06-17 19:27:32.857092,535,"(41.9216, 94.1768, -75.6447)","(0.0561067, 0.0656834, -0.996262)"
41,2023-06-17 19:27:32.865701,535,"(41.8439, 94.1679, -75.5975)","(0.0557533, 0.0654803, -0.996295)"
42,2023-06-17 19:27:32.873764,535,"(41.762, 94.1622, -75.5555)","(0.0553519, 0.0653157, -0.996328)"
43,2023-06-17 19:27:32.881104,535,"(41.6793, 94.1885, -75.5667)","(0.0549416, 0.0653909, -0.996346)"
44,2023-06-17 19:27:32.891287,535,"(41.6428, 94.1435, -75.5275)","(0.0548251, 0.0649926, -0.996379)"
45,2023-06-17 19:27:32.900662,535,"(41.5843, 94.1175, -75.4889)","(0.0545868, 0.0646695, -0.996413)"
46,2023-06-17 19:27:32.909460,535,"(41.5391, 94.151, -75.4652)","(0.0544349, 0.0648499, -0.996409)"
47,2023-06-17 19:27:32.917549,535,"(41.5287, 94.1958, -75.4827)","(0.0545535, 0.0652015, -0.99638)"
48,2023-06-17 19:27:32.926367,535,"(41.5026, 94.156, -75.5098)","(0.054403, 0.0647467, -0.996418)"
49,2023-06-17 19:27:32.933960,535,"(41.4431, 94.0491, -75.4668)","(0.054009, 0.0638745, -0.996495)"
50,2023-06-17 19:27:32.943516,535,"(41.4079, 94.0892, -75.4301)","(0.0537546, 0.0638483, -0.996511)"
51,2023-06-17 19:27:32.952527,535,"(41.4101, 94.1213, -75.3791)","(0.0538501, 0.0639133, -0.996502)"
52,2023-06-17 19:27:32.979139,535,"(41.327, 94.2456, -75.2567)","(0.0538099, 0.0641085, -0.996491)"
53,2023-06-17 19:27:32.987062,535,"(41.2514, 94.3187, -75.1455)","(0.0537053, 0.0637456, -0.99652)"
54,2023-06-17 19:27:32.996014,535,"(41.1186, 94.5735, -75.0729)","(0.0535547, 0.0642403, -0.996496)"
55,2023-06-17 19:27:33.003352,535,"(41.0355, 94.7923, -74.8882)","(0.053691, 0.065111, -0.996433)"
56,2023-06-17 19:27:33.011668,535,"(40.8708, 95.0013, -74.735)","(0.0535407, 0.0655619, -0.996411)"
57,2023-06-17 19:27:33.021094,535,"(40.8011, 95.2386, -74.5081)","(0.0540381, 0.0666548, -0.996312)"
58,2023-06-17 19:27:33.031510,535,"(40.6127, 95.4971, -74.2597)","(0.0538069, 0.0678067, -0.996247)"
59,2023-06-17 19:27:33.039782,535,"(40.3941, 95.7895, -73.9907)","(0.0535574, 0.0692018, -0.996164)"
60,2023-06-17 19:27:33.048637,535,"(40.2124, 95.8972, -73.7427)","(0.0534383, 0.0691556, -0.996174)"
61,2023-06-17 19:27:33.058104,535,"(39.8435, 96.1177, -73.5753)","(0.0526913, 0.0690826, -0.996218)"
62,2023-06-17 19:27:33.066141,535,"(39.5178, 96.2061, -73.3504)","(0.0517115, 0.0686298, -0.996301)"
63,2023-06-17 19:27:33.073983,535,"(39.1377, 96.3993, -73.234)","(0.0509536, 0.0683436, -0.99636)"
64,2023-06-17 19:27:33.083357,535,"(38.815, 96.6896, -73.1584)","(0.0508153, 0.0695175, -0.996286)"
65,2023-06-17 19:27:33.092052,535,"(38.4389, 96.9791, -73.0993)","(0.0502785, 0.0709592, -0.996211)"
66,2023-06-17 19:27:33.100563,535,"(38.0791, 97.2734, -73.0995)","(0.0499596, 0.0726902, -0.996103)"
67,2023-06-17 19:27:33.109017,535,"(37.6944, 97.5022, -73.0487)","(0.0494479, 0.0737777, -0.996048)"
68,2023-06-17 19:27:33.118137,535,"(37.3184, 97.7177, -73.1124)","(0.0492317, 0.0747423, -0.995987)"
69,2023-06-17 19:27:33.126053,535,"(36.9088, 97.9385, -73.1636)","(0.0488482, 0.0757524, -0.995929)"
70,2023-06-17 19:27:33.135283,535,"(36.4939, 98.1413, -73.1042)","(0.0483333, 0.0768327, -0.995872)"
71,2023-06-17 19:27:33.143596,535,"(36.0602, 98.3035, -73.0968)","(0.0480517, 0.0773178, -0.995848)"
72,2023-06-17 19:27:33.152859,535,"(35.5644, 98.4033, -73.2086)","(0.0470543, 0.0770227, -0.995918)"
73,2023-06-17 19:27:33.161075,535,"(35.0579, 98.4911, -73.0593)","(0.0461024, 0.0770905, -0.995958)"
74,2023-06-17 19:27:33.169436,535,"(34.5121, 98.6, -73.1836)","(0.0451336, 0.0772392, -0.995991)"
75,2023-06-17 19:27:33.177730,535,"(33.8987, 98.6185, -73.0931)","(0.0438275, 0.0765548, -0.996102)"
76,2023-06-17 19:27:33.185830,535,"(33.346, 98.7257, -73.4208)","(0.04226, 0.0767669, -0.996153)"
77,2023-06-17 19:27:33.196238,535,"(32.7099, 98.8229, -73.7628)","(0.0403484, 0.0768897, -0.996223)"
78,2023-06-17 19:27:33.204069,535,"(31.9923, 98.912, -73.8477)","(0.0387752, 0.077, -0.996277)"
79,2023-06-17 19:27:33.212894,535,"(31.3156, 98.9851, -73.7423)","(0.0373105, 0.0773993, -0.996302)"
80,2023-06-17 19:27:33.221977,535,"(30.767, 99.177, -73.52)","(0.0367391, 0.079342, -0.99617)"
81,2023-06-17 19:27:33.230620,535,"(30.1571, 99.2154, -73.3471)","(0.0356789, 0.0798859, -0.996165)"
