,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-18 22:28:16.128223,249,"(35.1329, 90.9268, -93.882)","(0.0685568, 0.0738654, -0.994909)"
1,2023-06-18 22:28:16.136012,249,"(35.1647, 91.0685, -93.9596)","(0.0685077, 0.0749976, -0.994828)"
2,2023-06-18 22:28:16.145576,249,"(35.2823, 91.1514, -94.0554)","(0.0690677, 0.0757069, -0.994735)"
3,2023-06-18 22:28:16.153960,249,"(35.3188, 91.2234, -94.1206)","(0.0690842, 0.0762907, -0.994689)"
4,2023-06-18 22:28:16.161415,249,"(35.4591, 91.3399, -94.2106)","(0.0698251, 0.0773275, -0.994558)"
5,2023-06-18 22:28:16.169212,249,"(35.5564, 91.4381, -94.2757)","(0.0703436, 0.0782057, -0.994452)"
6,2023-06-18 22:28:16.179774,249,"(35.552, 91.4375, -94.3058)","(0.0702092, 0.0782328, -0.99446)"
7,2023-06-18 22:28:16.188509,249,"(35.5382, 91.4187, -94.3351)","(0.0700031, 0.0780958, -0.994485)"
8,2023-06-18 22:28:16.196320,249,"(35.6186, 91.4566, -94.3956)","(0.070494, 0.0783547, -0.99443)"
9,2023-06-18 22:28:16.203005,249,"(35.7024, 91.4992, -94.4503)","(0.0710521, 0.0786441, -0.994367)"
10,2023-06-18 22:28:16.212050,249,"(35.7344, 91.5334, -94.499)","(0.0712522, 0.078864, -0.994336)"
11,2023-06-18 22:28:16.221116,249,"(35.8088, 91.6251, -94.5557)","(0.0717945, 0.079502, -0.994246)"
12,2023-06-18 22:28:16.232164,249,"(35.8045, 91.4995, -94.6266)","(0.0717976, 0.0783006, -0.994341)"
13,2023-06-18 22:28:16.240478,249,"(35.7416, 91.4055, -94.5998)","(0.0713895, 0.0769866, -0.994473)"
14,2023-06-18 22:28:16.249661,249,"(35.6932, 91.387, -94.6213)","(0.0711177, 0.0761274, -0.994559)"
15,2023-06-18 22:28:16.258319,249,"(35.6717, 91.4075, -94.6304)","(0.0711972, 0.0755274, -0.994599)"
16,2023-06-18 22:28:16.284967,249,"(35.6159, 91.3809, -94.6692)","(0.0718963, 0.0740315, -0.994661)"
17,2023-06-18 22:28:16.293713,249,"(35.6068, 91.6056, -94.7679)","(0.0724281, 0.0751431, -0.994539)"
18,2023-06-18 22:28:16.302041,249,"(35.6087, 91.7169, -94.671)","(0.0732234, 0.0754141, -0.99446)"
19,2023-06-18 22:28:16.309344,249,"(35.541, 91.7953, -94.6026)","(0.0735935, 0.0751406, -0.994454)"
