,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-06-23 17:17:04.713652,3368,"(41.3816, 94.9228, -100.069)","(0.0782027, 0.0814707, -0.993603)"
1,2023-06-23 17:17:04.721499,3368,"(41.4331, 94.986, -100.119)","(0.0795465, 0.0824429, -0.993416)"
2,2023-06-23 17:17:04.730387,3368,"(41.3262, 94.8824, -100.268)","(0.0793876, 0.0808301, -0.993561)"
3,2023-06-23 17:17:04.739030,3368,"(41.2335, 94.9277, -100.345)","(0.0789245, 0.0818631, -0.993514)"
4,2023-06-23 17:17:04.748153,3368,"(41.2149, 94.8986, -100.303)","(0.0801477, 0.0818506, -0.993417)"
5,2023-06-23 17:17:04.755996,3368,"(41.2207, 95.1547, -100.391)","(0.0817588, 0.0879774, -0.992762)"
6,2023-06-23 17:17:04.765944,3368,"(41.0966, 95.174, -100.365)","(0.0819684, 0.0908304, -0.992487)"
7,2023-06-23 17:17:04.773565,3368,"(41.0778, 95.1235, -100.293)","(0.0828553, 0.0907323, -0.992423)"
8,2023-06-23 17:17:04.782462,3368,"(40.9559, 95.0003, -100.255)","(0.0826512, 0.0898749, -0.992518)"
9,2023-06-23 17:17:04.790884,3368,"(40.9885, 95.3108, -100.346)","(0.0841345, 0.0969806, -0.991724)"
10,2023-06-23 17:17:04.800421,3368,"(40.9118, 95.377, -100.409)","(0.0840141, 0.100273, -0.991407)"
11,2023-06-23 17:17:04.807655,3368,"(40.8576, 95.3693, -100.365)","(0.0842199, 0.102162, -0.991196)"
12,2023-06-23 17:17:04.825487,3368,"(40.7917, 95.2403, -100.339)","(0.0844251, 0.10128, -0.991269)"
13,2023-06-23 17:17:04.834423,3368,"(40.8014, 95.1772, -100.284)","(0.0851066, 0.100855, -0.991254)"
14,2023-06-23 17:17:04.843048,3368,"(40.691, 95.1298, -100.362)","(0.0829111, 0.100418, -0.991485)"
15,2023-06-23 17:17:04.852351,3368,"(40.6483, 95.0572, -100.333)","(0.0819596, 0.0994502, -0.991661)"
16,2023-06-23 17:17:04.859212,3368,"(40.6877, 95.1255, -100.366)","(0.0824967, 0.101097, -0.99145)"
17,2023-06-23 17:17:04.870019,3368,"(40.5632, 94.7919, -100.193)","(0.0798585, 0.0958915, -0.992183)"
18,2023-06-23 17:17:04.876965,3368,"(40.6064, 94.8595, -100.275)","(0.0793485, 0.0973612, -0.992081)"
19,2023-06-23 17:17:04.886294,3368,"(40.691, 94.8871, -100.355)","(0.0779267, 0.097872, -0.992143)"
20,2023-06-23 17:17:04.894637,3368,"(40.8952, 94.8004, -100.256)","(0.0785621, 0.0961981, -0.992257)"
21,2023-06-23 17:17:04.904455,3368,"(40.8819, 94.3527, -100.118)","(0.0754258, 0.0857773, -0.993455)"
22,2023-06-23 17:17:04.912083,3368,"(40.918, 94.1103, -100.011)","(0.0740616, 0.0801529, -0.994027)"
23,2023-06-23 17:17:04.921275,3368,"(40.9688, 93.9836, -99.8299)","(0.0743235, 0.0779042, -0.994187)"
24,2023-06-23 17:17:04.929956,3368,"(40.8761, 93.462, -99.6021)","(0.0713223, 0.0681783, -0.995121)"
25,2023-06-23 17:17:04.938482,3368,"(40.8769, 93.2593, -99.405)","(0.0702379, 0.0645195, -0.995442)"
26,2023-06-23 17:17:04.947078,3368,"(40.7829, 92.0951, -98.9056)","(0.0661035, 0.0409141, -0.996974)"
27,2023-06-23 17:17:04.955458,3368,"(40.5889, 91.124, -98.502)","(0.0601349, 0.0205987, -0.997978)"
28,2023-06-23 17:17:04.964733,3368,"(40.5729, 90.6331, -98.2985)","(0.0580764, 0.00990428, -0.998263)"
29,2023-06-23 17:17:04.973177,3368,"(40.6271, 90.5252, -98.1224)","(0.0571412, 0.0061235, -0.998347)"
30,2023-06-23 17:17:04.981649,3368,"(40.7929, 90.6207, -97.9075)","(0.0575558, 0.00540274, -0.998328)"
31,2023-06-23 17:17:04.990189,3368,"(40.9087, 90.7132, -97.6891)","(0.0581958, 0.00615619, -0.998286)"
32,2023-06-23 17:17:04.998756,3368,"(41.1249, 90.9483, -97.5452)","(0.0592927, 0.00977621, -0.998193)"
33,2023-06-23 17:17:05.007624,3368,"(41.3113, 91.1592, -97.4494)","(0.0609942, 0.014467, -0.998033)"
34,2023-06-23 17:17:05.016890,3368,"(41.4397, 91.3084, -97.5176)","(0.0624101, 0.018034, -0.997888)"
35,2023-06-23 17:17:05.025267,3368,"(41.4681, 91.3642, -97.5565)","(0.0625932, 0.0193244, -0.997852)"
36,2023-06-23 17:17:05.034429,3368,"(41.4909, 91.3109, -97.6115)","(0.0627541, 0.0186617, -0.997855)"
37,2023-06-23 17:17:05.041574,3368,"(41.5024, 91.1639, -97.5097)","(0.0629595, 0.016351, -0.997882)"
38,2023-06-23 17:17:05.052072,3368,"(41.5269, 91.1216, -97.4602)","(0.063436, 0.0157624, -0.997861)"
39,2023-06-23 17:17:05.059769,3368,"(41.5701, 91.3554, -97.5003)","(0.0647775, 0.0224977, -0.997646)"
40,2023-06-23 17:17:05.068846,3368,"(41.5666, 91.5009, -97.444)","(0.0652706, 0.0260235, -0.997528)"
41,2023-06-23 17:17:05.076590,3368,"(41.572, 91.5534, -97.3968)","(0.0655656, 0.0268305, -0.997487)"
42,2023-06-23 17:17:05.086318,3368,"(41.5197, 91.6034, -97.3957)","(0.0646687, 0.026301, -0.99756)"
43,2023-06-23 17:17:05.093507,3368,"(41.4699, 91.5265, -97.3531)","(0.0637749, 0.0246767, -0.997659)"
44,2023-06-23 17:17:05.102895,3368,"(41.4291, 91.3751, -97.3174)","(0.0629995, 0.0214594, -0.997783)"
45,2023-06-23 17:17:05.111306,3368,"(41.3109, 91.1638, -97.2417)","(0.0607573, 0.0169341, -0.998009)"
46,2023-06-23 17:17:05.120529,3368,"(41.3236, 91.2053, -97.1381)","(0.0598808, 0.0140313, -0.998107)"
47,2023-06-23 17:17:05.128584,3368,"(41.3369, 91.3016, -96.9729)","(0.0594508, 0.0135286, -0.99814)"
48,2023-06-23 17:17:05.137466,3368,"(41.4257, 91.4799, -96.8661)","(0.0595651, 0.0129073, -0.998141)"
49,2023-06-23 17:17:05.145976,3368,"(41.5615, 91.8424, -96.9696)","(0.0610039, 0.0180157, -0.997975)"
50,2023-06-23 17:17:05.155347,3368,"(41.5136, 91.6922, -96.95)","(0.0599121, 0.0147689, -0.998094)"
51,2023-06-23 17:17:05.164299,3368,"(41.5719, 91.8585, -96.8634)","(0.0596929, 0.0150783, -0.998103)"
52,2023-06-23 17:17:05.173504,3368,"(41.6311, 91.8868, -96.7524)","(0.0605305, 0.0147859, -0.998057)"
53,2023-06-23 17:17:05.181346,3368,"(41.5712, 91.6345, -96.6721)","(0.059326, 0.00965675, -0.998192)"
54,2023-06-23 17:17:05.189517,3368,"(41.6818, 91.9505, -96.5921)","(0.0602631, 0.0116122, -0.998115)"
55,2023-06-23 17:17:05.198850,3368,"(41.7427, 92.1417, -96.5543)","(0.0603291, 0.0122684, -0.998103)"
56,2023-06-23 17:17:05.206511,3368,"(41.8113, 92.307, -96.4741)","(0.0605753, 0.0135072, -0.998072)"
57,2023-06-23 17:17:05.215329,3368,"(42.0046, 92.6889, -96.6278)","(0.0633725, 0.0203322, -0.997783)"
58,2023-06-23 17:17:05.224237,3368,"(42.0741, 92.6932, -96.5673)","(0.0640573, 0.0193021, -0.99776)"
59,2023-06-23 17:17:05.233412,3368,"(42.0532, 92.3901, -96.4514)","(0.0633968, 0.0131564, -0.997902)"
60,2023-06-23 17:17:05.242628,3368,"(42.0257, 91.2236, -96.4201)","(0.0598093, -0.000448599, -0.99821)"
