,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-13 22:34:57.018094,4455,"(2.04769, 87.2114, -26.7308)","(0.0829455, 0.0798053, -0.993353)"
1,2023-02-13 22:34:57.026977,4455,"(2.24862, 87.2487, -26.646)","(0.0839537, 0.0786765, -0.993359)"
2,2023-02-13 22:34:57.037685,4455,"(2.39125, 87.3851, -26.5579)","(0.084399, 0.0788638, -0.993306)"
3,2023-02-13 22:34:57.047185,4455,"(2.36788, 87.5866, -26.5386)","(0.0834056, 0.0799617, -0.993302)"
4,2023-02-13 22:34:57.056728,4455,"(2.49512, 87.6832, -26.4917)","(0.0844024, 0.0799838, -0.993216)"
5,2023-02-13 22:34:57.064389,4455,"(2.52485, 87.8579, -26.505)","(0.0843822, 0.0810634, -0.993131)"
6,2023-02-13 22:34:57.073543,4455,"(2.52872, 88.0055, -26.469)","(0.0841975, 0.0821034, -0.993061)"
7,2023-02-13 22:34:57.082571,4455,"(2.42729, 88.1292, -26.3934)","(0.0834817, 0.0829174, -0.993054)"
8,2023-02-13 22:34:57.107780,4455,"(2.39992, 88.2576, -26.3364)","(0.0832483, 0.0837902, -0.993)"
9,2023-02-13 22:34:57.117116,4455,"(2.35061, 88.0341, -26.2293)","(0.0827774, 0.0825904, -0.99314)"
10,2023-02-13 22:34:57.125347,4455,"(2.32909, 87.6836, -26.1729)","(0.081973, 0.0801465, -0.993407)"
11,2023-02-13 22:34:57.134718,4455,"(2.37879, 87.1964, -26.0289)","(0.0823138, 0.0767439, -0.993647)"
12,2023-02-13 22:34:57.143118,4455,"(2.41177, 86.7379, -26.0296)","(0.0823299, 0.073218, -0.993912)"
13,2023-02-13 22:34:57.151214,4455,"(2.42293, 86.2062, -25.9624)","(0.0821341, 0.0703065, -0.994138)"
14,2023-02-13 22:34:57.159520,4455,"(2.34114, 85.8676, -26.0468)","(0.0805366, 0.0701737, -0.994278)"
15,2023-02-13 22:34:57.168631,4455,"(2.38898, 85.2877, -26.0844)","(0.0806322, 0.0667327, -0.994507)"
16,2023-02-13 22:34:57.177644,4455,"(2.44356, 84.7113, -26.0568)","(0.0807716, 0.0635269, -0.994706)"
17,2023-02-13 22:34:57.186126,4455,"(2.61786, 84.3096, -26.0212)","(0.0824505, 0.062072, -0.99466)"
18,2023-02-13 22:34:57.194540,4455,"(2.70566, 83.9972, -26.0589)","(0.0826926, 0.0614595, -0.994678)"
19,2023-02-13 22:34:57.203289,4455,"(2.63445, 83.9685, -26.2173)","(0.082061, 0.0616652, -0.994718)"
20,2023-02-13 22:34:57.212044,4455,"(2.75569, 83.7069, -26.439)","(0.0823953, 0.0610369, -0.994729)"
21,2023-02-13 22:34:57.221438,4455,"(2.84537, 83.4479, -26.5944)","(0.0827338, 0.0603008, -0.994746)"
22,2023-02-13 22:34:57.228584,4455,"(2.89316, 83.1847, -26.6879)","(0.0829346, 0.059113, -0.9948)"
23,2023-02-13 22:34:57.238079,4455,"(2.93619, 82.993, -26.6942)","(0.0836714, 0.0587212, -0.994762)"
24,2023-02-13 22:34:57.246769,4455,"(2.683, 82.7968, -26.8168)","(0.0817642, 0.057846, -0.994972)"
25,2023-02-13 22:34:57.255619,4455,"(2.60977, 82.6432, -26.66)","(0.0816978, 0.0571165, -0.995019)"
26,2023-02-13 22:34:57.264431,4455,"(2.34625, 82.541, -26.4683)","(0.080792, 0.0566335, -0.995121)"
27,2023-02-13 22:34:57.273894,4455,"(1.92488, 82.4036, -26.2211)","(0.0793291, 0.0557857, -0.995286)"
28,2023-02-13 22:34:57.281819,4455,"(1.51213, 82.33, -25.9492)","(0.077792, 0.0554301, -0.995427)"
29,2023-02-13 22:34:57.290866,4455,"(1.12749, 82.1867, -25.7197)","(0.0767875, 0.0542188, -0.995572)"
30,2023-02-13 22:34:57.298985,4455,"(0.711646, 82.1153, -25.5422)","(0.0757034, 0.0531852, -0.995711)"
31,2023-02-13 22:34:57.307777,4455,"(0.243446, 82.0785, -25.3881)","(0.0739688, 0.0527595, -0.995864)"
32,2023-02-13 22:34:57.315839,4455,"(-0.0249996, 82.021, -25.2758)","(0.0737112, 0.0523586, -0.995904)"
33,2023-02-13 22:34:57.324322,4455,"(-0.337074, 81.852, -25.1772)","(0.0726265, 0.0512383, -0.996042)"
34,2023-02-13 22:34:57.333782,4455,"(-0.608933, 81.676, -25.179)","(0.0707756, 0.0504878, -0.996214)"
35,2023-02-13 22:34:57.342104,4455,"(-0.628669, 81.2858, -25.3505)","(0.0709467, 0.0476622, -0.996341)"
36,2023-02-13 22:34:57.351336,4455,"(-0.662183, 80.6505, -25.6897)","(0.0705694, 0.0430915, -0.996576)"
37,2023-02-13 22:34:57.359379,4455,"(-0.604725, 80.2575, -25.7878)","(0.0708254, 0.0405855, -0.996663)"
38,2023-02-13 22:34:57.368064,4455,"(-0.617673, 79.7984, -25.766)","(0.0702912, 0.0378767, -0.996807)"
39,2023-02-13 22:34:57.376921,4455,"(-0.630149, 79.4237, -25.7869)","(0.0699153, 0.0357957, -0.996911)"
40,2023-02-13 22:34:57.385348,4455,"(-0.715622, 79.1621, -25.6722)","(0.06918, 0.0346613, -0.997002)"
41,2023-02-13 22:34:57.393792,4455,"(-0.843084, 78.982, -25.5961)","(0.0680107, 0.0345732, -0.997085)"
42,2023-02-13 22:34:57.403048,4455,"(-1.0566, 78.7868, -25.5156)","(0.0661408, 0.034177, -0.997225)"
43,2023-02-13 22:34:57.411314,4455,"(-1.22793, 78.5598, -25.4662)","(0.0649279, 0.0333003, -0.997334)"
44,2023-02-13 22:34:57.419933,4455,"(-1.37024, 78.4507, -25.39)","(0.0641061, 0.0333132, -0.997387)"
45,2023-02-13 22:34:57.429478,4455,"(-1.51097, 78.2572, -25.3687)","(0.0630291, 0.0324051, -0.997485)"
46,2023-02-13 22:34:57.438154,4455,"(-1.64985, 78.0909, -25.364)","(0.0619293, 0.0310458, -0.997598)"
47,2023-02-13 22:34:57.446451,4455,"(-1.69244, 77.8818, -25.3433)","(0.0619966, 0.0297726, -0.997632)"
48,2023-02-13 22:34:57.455719,4455,"(-1.6043, 77.7276, -25.3011)","(0.063273, 0.0293503, -0.997565)"
49,2023-02-13 22:34:57.463927,4455,"(-1.51874, 77.3484, -25.4325)","(0.0641177, 0.0270665, -0.997575)"
50,2023-02-13 22:34:57.473446,4455,"(-1.48554, 77.0099, -25.5196)","(0.0641225, 0.0252282, -0.997623)"
51,2023-02-13 22:34:57.481864,4455,"(-1.42163, 76.6545, -25.5389)","(0.0651213, 0.0223806, -0.997626)"
52,2023-02-13 22:34:57.490915,4455,"(-1.46732, 76.2524, -25.4872)","(0.0650626, 0.0204688, -0.997671)"
53,2023-02-13 22:34:57.498650,4455,"(-1.53853, 75.9013, -25.4997)","(0.0645155, 0.0191129, -0.997734)"
54,2023-02-13 22:34:57.506556,4455,"(-1.63976, 75.6751, -25.4655)","(0.0636338, 0.0182445, -0.997807)"
55,2023-02-13 22:34:57.515076,4455,"(-1.71652, 75.5102, -25.3702)","(0.0631826, 0.0175231, -0.997848)"
56,2023-02-13 22:34:57.524066,4455,"(-1.63978, 75.5054, -25.3132)","(0.0637926, 0.0177955, -0.997805)"
57,2023-02-13 22:34:57.532793,4455,"(-1.54908, 75.4309, -25.3071)","(0.0646128, 0.0179195, -0.99775)"
58,2023-02-13 22:34:57.540905,4455,"(-1.39456, 75.3445, -25.1843)","(0.0651961, 0.017208, -0.997724)"
59,2023-02-13 22:34:57.550855,4455,"(-1.00575, 75.391, -25.0838)","(0.0671277, 0.0170837, -0.997598)"
60,2023-02-13 22:34:57.558836,4455,"(-0.555083, 75.5037, -25.1183)","(0.0691235, 0.017743, -0.99745)"
61,2023-02-13 22:34:57.567819,4455,"(-0.101865, 75.6618, -25.2012)","(0.0705385, 0.0184368, -0.997339)"
