,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-13 21:00:37.806728,647,"(3.38672, 104.092, -16.7367)","(-0.0266176, -0.0563985, -0.998053)"
1,2023-02-13 21:00:37.815276,647,"(3.8925, 104.456, -16.6732)","(-0.0256162, -0.0559102, -0.998107)"
2,2023-02-13 21:00:37.825073,647,"(4.40599, 104.714, -16.4655)","(-0.0235758, -0.0560411, -0.99815)"
3,2023-02-13 21:00:37.834769,647,"(4.57508, 105.003, -16.592)","(-0.0262559, -0.0552595, -0.998127)"
4,2023-02-13 21:00:37.844091,647,"(4.10971, 105.242, -16.4042)","(-0.035168, -0.0546289, -0.997887)"
5,2023-02-13 21:00:37.852927,647,"(3.93919, 105.45, -16.2696)","(-0.0415224, -0.0543794, -0.997657)"
6,2023-02-13 21:00:37.861115,647,"(4.01818, 105.796, -16.1296)","(-0.0465185, -0.052059, -0.99756)"
7,2023-02-13 21:00:37.869751,647,"(4.22122, 106.144, -16.0635)","(-0.0508679, -0.0495485, -0.997476)"
8,2023-02-13 21:00:37.878271,647,"(4.39314, 106.478, -15.9882)","(-0.0544512, -0.0470594, -0.997407)"
9,2023-02-13 21:00:37.886805,647,"(4.53406, 106.789, -15.8935)","(-0.057602, -0.0448915, -0.99733)"
10,2023-02-13 21:00:37.896028,647,"(5.07107, 106.888, -15.7042)","(-0.0551333, -0.0451588, -0.997457)"
11,2023-02-13 21:00:37.904470,647,"(5.60144, 107.146, -15.5829)","(-0.0525422, -0.043645, -0.997665)"
12,2023-02-13 21:00:37.913195,647,"(5.76857, 107.252, -15.5069)","(-0.0541338, -0.0436614, -0.997579)"
13,2023-02-13 21:00:37.921449,647,"(6.15882, 107.482, -15.4866)","(-0.053066, -0.0417269, -0.997719)"
14,2023-02-13 21:00:37.931245,647,"(5.7811, 107.401, -15.4246)","(-0.0576552, -0.042953, -0.997412)"
15,2023-02-13 21:00:37.940167,647,"(5.84572, 107.332, -15.3443)","(-0.0611925, -0.0452688, -0.997099)"
16,2023-02-13 21:00:37.948478,647,"(5.80754, 107.283, -15.2464)","(-0.0646225, -0.0471069, -0.996797)"
17,2023-02-13 21:00:37.956318,647,"(5.88191, 107.213, -15.1503)","(-0.0672228, -0.0497186, -0.996498)"
18,2023-02-13 21:00:37.965823,647,"(5.79907, 107.016, -15.036)","(-0.0699459, -0.0529108, -0.996147)"
19,2023-02-13 21:00:37.973725,647,"(5.86883, 106.99, -14.9255)","(-0.0722498, -0.055509, -0.995841)"
20,2023-02-13 21:00:37.982759,647,"(5.90632, 106.937, -14.8151)","(-0.074257, -0.0580152, -0.99555)"
21,2023-02-13 21:00:37.990511,647,"(6.00601, 106.95, -14.7318)","(-0.0757321, -0.060114, -0.995314)"
22,2023-02-13 21:00:37.999831,647,"(5.95431, 106.882, -14.651)","(-0.0777191, -0.0620515, -0.995042)"
23,2023-02-13 21:00:38.008223,647,"(5.93615, 106.809, -14.5544)","(-0.0792532, -0.064069, -0.994793)"
24,2023-02-13 21:00:38.017475,647,"(5.75101, 106.739, -14.4523)","(-0.0819708, -0.065667, -0.994469)"
25,2023-02-13 21:00:38.025709,647,"(5.74704, 106.745, -14.3539)","(-0.0839472, -0.0674868, -0.994182)"
26,2023-02-13 21:00:38.034860,647,"(5.75079, 106.764, -14.2787)","(-0.0858235, -0.0693427, -0.993894)"
27,2023-02-13 21:00:38.043269,647,"(5.82219, 106.834, -14.2402)","(-0.087221, -0.0707934, -0.99367)"
28,2023-02-13 21:00:38.051460,647,"(5.76451, 106.798, -14.1883)","(-0.0886244, -0.072007, -0.993459)"
29,2023-02-13 21:00:38.061092,647,"(5.78202, 106.819, -14.1447)","(-0.089694, -0.0730825, -0.993284)"
30,2023-02-13 21:00:38.069013,647,"(5.80437, 106.84, -14.1152)","(-0.0906937, -0.0740434, -0.993122)"
31,2023-02-13 21:00:38.077844,647,"(5.69861, 106.764, -14.0878)","(-0.0921323, -0.0752071, -0.992903)"
32,2023-02-13 21:00:38.086197,647,"(5.67541, 106.758, -14.1325)","(-0.0928684, -0.0757317, -0.992794)"
33,2023-02-13 21:00:38.095143,647,"(5.67151, 106.755, -14.1584)","(-0.0937637, -0.0764187, -0.992657)"
34,2023-02-13 21:00:38.103717,647,"(5.50824, 106.698, -14.1727)","(-0.0954731, -0.0770899, -0.992442)"
35,2023-02-13 21:00:38.112393,647,"(5.48024, 106.577, -14.2)","(-0.0960686, -0.078482, -0.992276)"
36,2023-02-13 21:00:38.121010,647,"(5.48181, 106.41, -14.2458)","(-0.0962537, -0.0802795, -0.992114)"
37,2023-02-13 21:00:38.129902,647,"(5.40505, 106.22, -14.2783)","(-0.0970546, -0.0822641, -0.991874)"
38,2023-02-13 21:00:38.138470,647,"(5.39148, 106.048, -14.3067)","(-0.0972133, -0.0839724, -0.991715)"
39,2023-02-13 21:00:38.146938,647,"(5.34799, 105.826, -14.387)","(-0.0974553, -0.0859188, -0.991524)"
40,2023-02-13 21:00:38.156251,647,"(5.23706, 105.625, -14.4885)","(-0.0981885, -0.0875757, -0.991307)"
41,2023-02-13 21:00:38.165619,647,"(5.40676, 105.51, -14.6116)","(-0.0962553, -0.0881771, -0.991443)"
42,2023-02-13 21:00:38.173480,647,"(5.44265, 105.459, -14.7416)","(-0.0950406, -0.0874166, -0.991628)"
43,2023-02-13 21:00:38.182492,647,"(5.40867, 105.315, -14.9436)","(-0.0940352, -0.086703, -0.991786)"
44,2023-02-13 21:00:38.191111,647,"(5.41562, 105.313, -15.1107)","(-0.0924293, -0.0843826, -0.992137)"
45,2023-02-13 21:00:38.200007,647,"(5.2653, 105.214, -15.3052)","(-0.0919704, -0.0824927, -0.992339)"
46,2023-02-13 21:00:38.209736,647,"(5.32683, 106.345, -15.6524)","(-0.0902961, -0.0701991, -0.993438)"
47,2023-02-13 21:00:38.217481,647,"(4.88977, 106.442, -15.9864)","(-0.0921639, -0.0637538, -0.993701)"
48,2023-02-13 21:00:38.225582,647,"(4.57031, 105.826, -16.302)","(-0.0924491, -0.0636962, -0.993678)"
49,2023-02-13 21:00:38.234621,647,"(4.33872, 105.153, -16.6599)","(-0.0920085, -0.0663438, -0.993546)"
50,2023-02-13 21:00:38.242825,647,"(4.08622, 104.86, -16.9008)","(-0.0916941, -0.0658196, -0.99361)"
51,2023-02-13 21:00:38.251850,647,"(3.72771, 104.506, -17.0732)","(-0.0915949, -0.0661899, -0.993594)"
52,2023-02-13 21:00:38.260120,647,"(3.20991, 104.038, -17.2066)","(-0.0927722, -0.0687359, -0.993312)"
53,2023-02-13 21:00:38.268348,647,"(2.71057, 103.796, -17.1792)","(-0.0936414, -0.068529, -0.993245)"
54,2023-02-13 21:00:38.277995,647,"(2.26657, 103.596, -17.196)","(-0.0936991, -0.0676714, -0.993298)"
