,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-13 21:54:10.466809,3527,"(77.7033, 40.9583, -34.9229)","(0.0920062, -0.995163, -0.0344338)"
1,2023-02-13 21:54:10.466842,3578,"(-1.50874, 74.0341, -35.5092)","(-0.00492706, 0.0154557, -0.999868)"
2,2023-02-13 21:54:10.474005,3527,"(77.7139, 40.9657, -34.9263)","(0.0926309, -0.995097, -0.034668)"
3,2023-02-13 21:54:10.474049,3578,"(-1.5133, 74.1063, -35.4959)","(-0.00504137, 0.0161668, -0.999857)"
4,2023-02-13 21:54:10.483611,3527,"(77.6825, 40.9577, -34.901)","(0.0924831, -0.99513, -0.0341024)"
5,2023-02-13 21:54:10.483662,3578,"(-1.48862, 74.139, -35.538)","(-0.00484669, 0.0164223, -0.999853)"
6,2023-02-13 21:54:10.494059,3527,"(77.4243, 40.9615, -34.7915)","(0.0889978, -0.995498, -0.032619)"
7,2023-02-13 21:54:10.494122,3578,"(-1.4485, 74.159, -35.5681)","(-0.00452413, 0.0166663, -0.999851)"
8,2023-02-13 21:54:10.504335,3527,"(77.4727, 40.9929, -34.7963)","(0.0884017, -0.995576, -0.0318392)"
9,2023-02-13 21:54:10.504432,3578,"(-1.3968, 74.1812, -35.6039)","(-0.00408001, 0.0170454, -0.999846)"
10,2023-02-13 21:54:10.512449,3527,"(77.4342, 41.0118, -34.7981)","(0.0850379, -0.995902, -0.0307748)"
11,2023-02-13 21:54:10.512539,3578,"(-1.37509, 74.3072, -35.6411)","(-0.00393622, 0.0183194, -0.999824)"
12,2023-02-13 21:54:10.520397,3527,"(77.4902, 41.0327, -34.83)","(0.0872204, -0.995667, -0.0322364)"
13,2023-02-13 21:54:10.520463,3578,"(-1.34025, 74.2304, -35.6923)","(-0.00366395, 0.018241, -0.999827)"
14,2023-02-13 21:54:10.527985,3527,"(77.5749, 41.0589, -34.8659)","(0.0900465, -0.995377, -0.0334087)"
15,2023-02-13 21:54:10.528045,3578,"(-1.30974, 74.0875, -35.7046)","(-0.0035109, 0.017165, -0.999847)"
16,2023-02-13 21:54:10.535461,3527,"(77.5996, 41.0745, -34.8745)","(0.0901502, -0.995366, -0.0334542)"
17,2023-02-13 21:54:10.535508,3578,"(-1.2858, 74.0325, -35.7081)","(-0.00351829, 0.016775, -0.999853)"
18,2023-02-13 21:54:10.545409,3527,"(77.6738, 41.0701, -34.906)","(0.09355, -0.994996, -0.0350901)"
19,2023-02-13 21:54:10.545458,3578,"(-1.27423, 73.9161, -35.7368)","(-0.00362343, 0.0155433, -0.999873)"
20,2023-02-13 21:54:10.552967,3527,"(77.734, 41.0668, -34.944)","(0.0967396, -0.994617, -0.0371152)"
21,2023-02-13 21:54:10.553008,3578,"(-1.24086, 73.996, -35.7622)","(-0.00339857, 0.0165834, -0.999857)"
22,2023-02-13 21:54:10.562868,3527,"(77.8066, 41.108, -34.9825)","(0.0976269, -0.994513, -0.0375809)"
23,2023-02-13 21:54:10.562922,3578,"(-1.24868, 74.0681, -35.793)","(-0.00353575, 0.0172623, -0.999845)"
24,2023-02-13 21:54:10.571289,3527,"(77.8934, 41.1395, -35.0493)","(0.0988929, -0.994352, -0.0385188)"
25,2023-02-13 21:54:10.571398,3578,"(-1.20458, 74.0928, -35.7944)","(-0.00337, 0.0180192, -0.999832)"
