,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-13 22:27:29.635029,4358,"(-0.561282, 61.0512, -37.7649)","(0.0355114, -0.0449945, -0.998356)"
1,2023-02-13 22:27:29.643977,4358,"(-0.476578, 60.7901, -37.6874)","(0.0354447, -0.0473397, -0.99825)"
2,2023-02-13 22:27:29.653421,4358,"(-0.337539, 60.667, -37.6473)","(0.0359734, -0.048952, -0.998153)"
3,2023-02-13 22:27:29.664075,4358,"(-0.203538, 60.5809, -37.6091)","(0.0368478, -0.0505287, -0.998043)"
4,2023-02-13 22:27:29.672914,4358,"(-0.148605, 60.5567, -37.5996)","(0.0369801, -0.0511704, -0.998005)"
5,2023-02-13 22:27:29.682188,4358,"(-0.112516, 60.561, -37.5972)","(0.0370548, -0.0515158, -0.997985)"
6,2023-02-13 22:27:29.690693,4358,"(-0.100049, 60.6436, -37.6252)","(0.0371859, -0.0502302, -0.998045)"
7,2023-02-13 22:27:29.699204,4358,"(-0.158169, 60.7475, -37.6114)","(0.0363253, -0.049231, -0.998127)"
8,2023-02-13 22:27:29.708059,4358,"(-0.182861, 60.7533, -37.6093)","(0.0363102, -0.0493151, -0.998123)"
9,2023-02-13 22:27:29.716305,4358,"(-0.206589, 60.7201, -37.6098)","(0.0359993, -0.0500564, -0.998097)"
10,2023-02-13 22:27:29.725161,4358,"(-0.18407, 60.5788, -37.5809)","(0.0364009, -0.0516981, -0.997999)"
11,2023-02-13 22:27:29.733611,4358,"(-0.112326, 60.5409, -37.5838)","(0.0366191, -0.0520379, -0.997974)"
12,2023-02-13 22:27:29.743222,4358,"(-0.0184962, 60.5545, -37.571)","(0.0367659, -0.0515655, -0.997993)"
13,2023-02-13 22:27:29.751815,4358,"(0.0903636, 60.5716, -37.5682)","(0.0372258, -0.0506727, -0.998021)"
14,2023-02-13 22:27:29.759303,4358,"(0.192266, 60.4675, -37.5609)","(0.0375565, -0.0514944, -0.997967)"
15,2023-02-13 22:27:29.768482,4358,"(0.287547, 60.4103, -37.5157)","(0.03808, -0.0518851, -0.997927)"
16,2023-02-13 22:27:29.777250,4358,"(0.366622, 60.369, -37.4333)","(0.0384415, -0.05215, -0.997899)"
17,2023-02-13 22:27:29.786220,4358,"(0.430858, 60.407, -37.371)","(0.0384952, -0.0515031, -0.997931)"
18,2023-02-13 22:27:29.794367,4358,"(0.55943, 60.4091, -37.3219)","(0.039105, -0.0509733, -0.997934)"
19,2023-02-13 22:27:29.803361,4358,"(0.655312, 60.4303, -37.2807)","(0.0395108, -0.0504408, -0.997945)"
20,2023-02-13 22:27:29.811220,4358,"(0.666254, 60.4333, -37.265)","(0.0388524, -0.0504139, -0.997972)"
21,2023-02-13 22:27:29.822177,4358,"(0.713299, 60.4568, -37.2581)","(0.0386817, -0.0501158, -0.997994)"
22,2023-02-13 22:27:29.829146,4358,"(0.743435, 60.4726, -37.2679)","(0.0387146, -0.0501336, -0.997992)"
23,2023-02-13 22:27:29.855838,4359,"(0.775124, 59.3902, -30.5658)","(0.0413735, -0.0494106, -0.997921)"
24,2023-02-13 22:27:29.863415,4359,"(1.16053, 60.7611, -37.0158)","(0.041326, -0.0146403, -0.999038)"
25,2023-02-13 22:27:29.872432,4359,"(1.22358, 61.3994, -36.9689)","(0.04241, -0.00201717, -0.999098)"
26,2023-02-13 22:27:29.881129,4359,"(1.28386, 60.2072, -36.8816)","(0.043052, -0.0305515, -0.998606)"
27,2023-02-13 22:27:29.890824,4359,"(1.41309, 59.9929, -37.8145)","(0.0440201, -0.0359449, -0.998384)"
28,2023-02-13 22:27:29.899089,4359,"(1.40915, 60.6338, -37.7853)","(0.0432314, -0.0273822, -0.99869)"
29,2023-02-13 22:27:29.907218,4359,"(1.39517, 59.8346, -38.6652)","(0.0419685, -0.0419506, -0.998238)"
30,2023-02-13 22:27:29.915835,4359,"(1.47264, 59.862, -40.55)","(0.0417704, -0.0410597, -0.998283)"
31,2023-02-13 22:27:29.924644,4359,"(1.54585, 60.4808, -41.0048)","(0.0423695, -0.0332231, -0.998549)"
32,2023-02-13 22:27:29.933247,4359,"(1.51814, 61.427, -40.8179)","(0.0419244, -0.0211971, -0.998896)"
33,2023-02-13 22:27:29.959993,4359,"(1.49636, 62.2379, -40.472)","(0.0416667, -0.0109622, -0.999071)"
34,2023-02-13 22:27:29.967771,4359,"(1.56265, 60.7832, -42.4838)","(0.0412745, -0.0299567, -0.998699)"
35,2023-02-13 22:27:29.976807,4359,"(1.78554, 59.6015, -47.3876)","(0.0413737, -0.0422449, -0.99825)"
36,2023-02-13 22:27:29.985724,4359,"(1.8851, 59.5852, -49.3832)","(0.0413958, -0.0419308, -0.998263)"
37,2023-02-13 22:27:29.993819,4359,"(1.89901, 60.1521, -49.6129)","(0.0412742, -0.0362774, -0.998489)"
38,2023-02-13 22:27:30.002302,4359,"(1.84663, 60.9572, -49.0387)","(0.0407945, -0.0284669, -0.998762)"
39,2023-02-13 22:27:30.010841,4359,"(1.82434, 61.6498, -48.1615)","(0.0408056, -0.0219015, -0.998927)"
40,2023-02-13 22:27:30.020170,4359,"(1.77135, 62.0178, -47.191)","(0.0405723, -0.0187817, -0.999)"
41,2023-02-13 22:27:30.028660,4359,"(1.79776, 60.6812, -49.8429)","(0.0396519, -0.0315796, -0.998714)"
42,2023-02-13 22:27:30.038346,4359,"(1.81033, 60.5831, -50.6018)","(0.039362, -0.0323989, -0.9987)"
43,2023-02-13 22:27:30.046334,4359,"(1.73915, 61.0341, -50.2392)","(0.0387207, -0.0284783, -0.998844)"
44,2023-02-13 22:27:30.054722,4359,"(1.71236, 61.6881, -49.3708)","(0.0387314, -0.0228884, -0.998987)"
45,2023-02-13 22:27:30.062954,4359,"(1.68645, 62.1809, -48.3521)","(0.0388328, -0.0189536, -0.999066)"
46,2023-02-13 22:27:30.072932,4359,"(1.64531, 62.2983, -47.3291)","(0.0387862, -0.0187036, -0.999072)"
47,2023-02-13 22:27:30.081131,4359,"(1.61198, 62.2667, -46.3506)","(0.0387853, -0.0199806, -0.999048)"
48,2023-02-13 22:27:30.089147,4359,"(1.59599, 62.1522, -45.434)","(0.0389255, -0.0221068, -0.998998)"
49,2023-02-13 22:27:30.097787,4359,"(1.61531, 62.0898, -44.5841)","(0.0393814, -0.0237559, -0.998942)"
50,2023-02-13 22:27:30.106792,4359,"(1.58783, 61.9923, -43.8102)","(0.0393488, -0.025702, -0.998895)"
51,2023-02-13 22:27:30.115834,4359,"(1.55817, 62.166, -43.0763)","(0.0392859, -0.0250706, -0.998913)"
52,2023-02-13 22:27:30.124076,4359,"(1.51838, 62.3201, -42.4189)","(0.039089, -0.0244925, -0.998936)"
53,2023-02-13 22:27:30.132985,4359,"(1.47535, 62.3731, -41.8372)","(0.0388517, -0.0247651, -0.998938)"
54,2023-02-13 22:27:30.143586,4359,"(1.45343, 62.0743, -41.3297)","(0.0388061, -0.0282651, -0.998847)"
55,2023-02-13 22:27:30.150847,4359,"(1.42139, 61.9692, -40.8731)","(0.0386291, -0.0298912, -0.998806)"
56,2023-02-13 22:27:30.158512,4359,"(1.39661, 61.9615, -40.4555)","(0.0385021, -0.0305331, -0.998792)"
57,2023-02-13 22:27:30.166772,4359,"(1.38288, 62.0016, -40.0783)","(0.0384669, -0.030648, -0.99879)"
58,2023-02-13 22:27:30.176261,4359,"(1.38415, 62.0468, -39.7393)","(0.0385823, -0.0306566, -0.998785)"
59,2023-02-13 22:27:30.184172,4359,"(1.39126, 62.0954, -39.4346)","(0.0387478, -0.0305682, -0.998781)"
60,2023-02-13 22:27:30.193501,4359,"(1.38208, 62.1288, -39.1618)","(0.0387356, -0.0305693, -0.998782)"
61,2023-02-13 22:27:30.203347,4359,"(1.39346, 62.046, -38.9225)","(0.0389053, -0.0316453, -0.998742)"
62,2023-02-13 22:27:30.210734,4359,"(1.41341, 62.0391, -38.7149)","(0.0391594, -0.0319333, -0.998723)"
63,2023-02-13 22:27:30.219198,4359,"(1.42882, 61.9495, -38.5286)","(0.0393664, -0.0329248, -0.998682)"
64,2023-02-13 22:27:30.227180,4359,"(1.44344, 61.9707, -38.3672)","(0.0395543, -0.032776, -0.99868)"
65,2023-02-13 22:27:30.236499,4359,"(1.44693, 61.9432, -38.2183)","(0.0396296, -0.0330127, -0.998669)"
66,2023-02-13 22:27:30.245646,4359,"(1.42014, 61.979, -38.0928)","(0.0393906, -0.0325878, -0.998692)"
67,2023-02-13 22:27:30.254329,4359,"(1.43367, 62.033, -37.9754)","(0.0395532, -0.0319481, -0.998707)"
68,2023-02-13 22:27:30.263112,4359,"(1.43035, 62.0625, -37.8649)","(0.0395536, -0.0315196, -0.99872)"
69,2023-02-13 22:27:30.271293,4359,"(1.40672, 62.082, -37.7665)","(0.0393386, -0.0311581, -0.99874)"
70,2023-02-13 22:27:30.279747,4359,"(1.42949, 62.1044, -37.6774)","(0.0395704, -0.0307533, -0.998743)"
71,2023-02-13 22:27:30.288558,4359,"(1.43675, 62.1642, -37.6083)","(0.0396306, -0.029996, -0.998764)"
