,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-13 22:09:08.744617,3908,"(20.8498, 79.0436, -13.5664)","(0.0379893, 0.0471447, -0.998165)"
1,2023-02-13 22:09:08.752744,3908,"(20.6995, 78.4785, -13.2806)","(0.0366571, 0.0414652, -0.998467)"
2,2023-02-13 22:09:08.761820,3908,"(20.6319, 78.218, -13.4093)","(0.0358406, 0.0378638, -0.99864)"
3,2023-02-13 22:09:08.773410,3908,"(20.6627, 78.3616, -13.4893)","(0.0360287, 0.0388786, -0.998594)"
4,2023-02-13 22:09:08.782911,3908,"(20.7097, 78.6126, -13.549)","(0.0364128, 0.0414839, -0.998475)"
5,2023-02-13 22:09:08.790781,3908,"(20.7748, 78.8394, -13.5732)","(0.0371803, 0.0440322, -0.998338)"
6,2023-02-13 22:09:08.800236,3908,"(20.826, 79.0167, -13.575)","(0.0377824, 0.046029, -0.998225)"
7,2023-02-13 22:09:08.808354,3908,"(20.7138, 78.848, -13.6095)","(0.0360838, 0.0434507, -0.998404)"
8,2023-02-13 22:09:08.817223,3908,"(20.6873, 78.8948, -13.6142)","(0.0361364, 0.0436849, -0.998392)"
9,2023-02-13 22:09:08.825668,3908,"(20.6696, 79.0273, -13.5806)","(0.0363005, 0.0451335, -0.998321)"
10,2023-02-13 22:09:08.833225,3908,"(20.5519, 78.8746, -13.5926)","(0.0352726, 0.0428408, -0.998459)"
11,2023-02-13 22:09:08.843164,3908,"(20.494, 78.8271, -13.5907)","(0.0347417, 0.0423112, -0.9985)"
12,2023-02-13 22:09:08.850835,3908,"(20.4413, 78.8117, -13.6014)","(0.0344123, 0.0422755, -0.998513)"
13,2023-02-13 22:09:08.859491,3908,"(20.3884, 78.8368, -13.6092)","(0.0338963, 0.0429376, -0.998503)"
14,2023-02-13 22:09:08.867973,3908,"(20.4328, 78.9427, -13.6042)","(0.0346382, 0.044689, -0.9984)"
15,2023-02-13 22:09:08.878087,3908,"(20.4777, 79.0744, -13.5921)","(0.0353229, 0.0466632, -0.998286)"
