,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-13 22:53:40.626822,4928,"(52.8593, 64.2571, -21.8879)","(0.0655606, 0.0653555, -0.995706)"
1,2023-02-13 22:53:40.634871,4928,"(51.0311, 66.3308, -29.4156)","(0.0663075, 0.0585935, -0.996077)"
2,2023-02-13 22:53:40.643701,4928,"(51.0174, 67.823, -29.4409)","(0.0669097, 0.0827449, -0.994322)"
3,2023-02-13 22:53:40.654734,4928,"(50.2675, 70.1298, -28.6749)","(0.0749196, 0.111297, -0.990959)"
4,2023-02-13 22:53:40.662145,4928,"(49.1107, 72.0553, -28.0294)","(0.079457, 0.132262, -0.988025)"
5,2023-02-13 22:53:40.671783,4928,"(46.3358, 70.6854, -27.9242)","(0.051878, 0.115035, -0.992006)"
6,2023-02-13 22:53:40.678086,4928,"(44.0106, 70.6341, -27.5735)","(0.0401053, 0.113365, -0.992744)"
7,2023-02-13 22:53:40.687295,4928,"(41.9057, 70.0829, -27.4388)","(0.029944, 0.11205, -0.993251)"
8,2023-02-13 22:53:40.695658,4928,"(40.004, 68.4547, -28.0576)","(0.0202109, 0.103104, -0.994465)"
9,2023-02-13 22:53:40.704528,4928,"(38.6388, 66.6148, -28.4637)","(0.0158282, 0.102381, -0.994619)"
10,2023-02-13 22:53:40.712098,4928,"(37.7643, 64.2605, -28.6566)","(0.0120127, 0.0968834, -0.995223)"
11,2023-02-13 22:53:40.721586,4928,"(37.3167, 61.2703, -29.0082)","(0.00894227, 0.0824999, -0.996551)"
12,2023-02-13 22:53:40.730507,4928,"(37.4746, 58.2647, -29.3131)","(0.00894218, 0.0656372, -0.997804)"
13,2023-02-13 22:53:40.738935,4928,"(38.2058, 55.7528, -29.5297)","(0.0119975, 0.0528396, -0.998531)"
14,2023-02-13 22:53:40.747795,4928,"(39.475, 53.8866, -29.5868)","(0.0189777, 0.0440683, -0.998848)"
15,2023-02-13 22:53:40.755835,4928,"(41.18, 52.8901, -29.9015)","(0.0306043, 0.0424797, -0.998628)"
16,2023-02-13 22:53:40.765114,4928,"(43.0337, 52.5259, -30.3795)","(0.0432873, 0.0432895, -0.998124)"
17,2023-02-13 22:53:40.775314,4928,"(45.1647, 53.1581, -30.8723)","(0.0532045, 0.0456325, -0.99754)"
18,2023-02-13 22:53:40.784095,4928,"(48.0281, 54.2545, -31.7567)","(0.0647382, 0.0546861, -0.996403)"
19,2023-02-13 22:53:40.793757,4928,"(49.6957, 56.0739, -31.6708)","(0.0728227, 0.0590618, -0.995595)"
20,2023-02-13 22:53:40.801549,4928,"(51.3294, 58.4577, -31.4308)","(0.0800782, 0.0671475, -0.994524)"
21,2023-02-13 22:53:40.808749,4928,"(53.6009, 61.2827, -31.192)","(0.0922489, 0.0877984, -0.991858)"
22,2023-02-13 22:53:40.818451,4928,"(55.027, 64.2449, -30.5)","(0.102868, 0.109758, -0.988621)"
23,2023-02-13 22:53:40.827172,4928,"(54.8231, 67.1509, -30.4867)","(0.101766, 0.121876, -0.987315)"
24,2023-02-13 22:53:40.834457,4928,"(54.2147, 69.5533, -29.9443)","(0.0985954, 0.131076, -0.986457)"
25,2023-02-13 22:53:40.843671,4928,"(53.2325, 71.6208, -29.266)","(0.0942548, 0.139381, -0.985743)"
26,2023-02-13 22:53:40.854088,4928,"(51.8128, 73.3151, -28.2196)","(0.0867699, 0.146779, -0.985356)"
27,2023-02-13 22:53:40.862220,4928,"(49.7476, 74.3468, -27.3668)","(0.0732094, 0.145489, -0.986648)"
28,2023-02-13 22:53:40.870591,4928,"(47.1465, 74.5084, -26.7241)","(0.054391, 0.135771, -0.989246)"
29,2023-02-13 22:53:40.878386,4928,"(44.4335, 74.0637, -26.2731)","(0.0363733, 0.126333, -0.991321)"
30,2023-02-13 22:53:40.887042,4928,"(41.896, 73.0224, -26.4843)","(0.021787, 0.117806, -0.992798)"
