,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 15:42:55.326486,367,"(30.7729, 111.195, -16.286)","(0.0347581, 0.0152352, -0.99928)"
1,2023-02-15 15:42:55.334499,367,"(30.7656, 111.183, -16.2951)","(0.0347022, 0.0151162, -0.999283)"
2,2023-02-15 15:42:55.344159,367,"(30.7441, 111.191, -16.3036)","(0.0344909, 0.0150508, -0.999292)"
3,2023-02-15 15:42:55.354091,367,"(30.7274, 111.153, -16.2238)","(0.0343952, 0.0148084, -0.999299)"
4,2023-02-15 15:42:55.362823,367,"(30.7387, 111.052, -16.1948)","(0.0343289, 0.0132457, -0.999323)"
5,2023-02-15 15:42:55.372251,367,"(30.6822, 110.981, -16.1709)","(0.0338186, 0.0126028, -0.999349)"
6,2023-02-15 15:42:55.380261,367,"(30.6448, 110.933, -16.1586)","(0.0334936, 0.0122256, -0.999364)"
7,2023-02-15 15:42:55.388922,367,"(30.6006, 110.94, -16.1503)","(0.0331732, 0.0122835, -0.999374)"
8,2023-02-15 15:42:55.397672,367,"(30.5937, 110.95, -16.1353)","(0.0330266, 0.0124792, -0.999377)"
9,2023-02-15 15:42:55.406689,367,"(30.6092, 110.919, -16.1226)","(0.0330022, 0.012686, -0.999375)"
10,2023-02-15 15:42:55.414996,367,"(30.6236, 110.89, -16.112)","(0.0329803, 0.0129298, -0.999372)"
11,2023-02-15 15:42:55.423904,367,"(30.6318, 110.872, -16.0989)","(0.0330651, 0.0131685, -0.999366)"
12,2023-02-15 15:42:55.431974,367,"(30.6362, 110.849, -16.0935)","(0.0331641, 0.0134356, -0.99936)"
13,2023-02-15 15:42:55.440799,367,"(30.6541, 110.879, -16.114)","(0.0332905, 0.0137, -0.999352)"
14,2023-02-15 15:42:55.449863,367,"(30.6609, 110.885, -16.1387)","(0.0333993, 0.0139757, -0.999344)"
15,2023-02-15 15:42:55.458937,367,"(30.6699, 110.896, -16.167)","(0.0335203, 0.0142897, -0.999336)"
16,2023-02-15 15:42:55.466461,367,"(30.6681, 110.877, -16.1932)","(0.0336381, 0.0146211, -0.999327)"
17,2023-02-15 15:42:55.475031,367,"(30.6706, 110.837, -16.1861)","(0.0338012, 0.0149327, -0.999317)"
18,2023-02-15 15:42:55.484243,367,"(30.6746, 110.814, -16.1844)","(0.0339747, 0.0152523, -0.999306)"
19,2023-02-15 15:42:55.493581,367,"(30.6965, 110.854, -16.0771)","(0.0341519, 0.0155794, -0.999295)"
20,2023-02-15 15:42:55.501113,367,"(30.7478, 110.743, -16.0396)","(0.0347109, 0.014281, -0.999295)"
21,2023-02-15 15:42:55.509731,367,"(30.6969, 110.708, -16.0733)","(0.034352, 0.0140394, -0.999311)"
22,2023-02-15 15:42:55.518566,367,"(30.6722, 110.72, -16.0901)","(0.0341775, 0.0141399, -0.999316)"
23,2023-02-15 15:42:55.527559,367,"(30.6595, 110.753, -16.1041)","(0.0340782, 0.0143951, -0.999316)"
24,2023-02-15 15:42:55.536585,367,"(30.6641, 110.782, -16.1215)","(0.0340943, 0.0146922, -0.999311)"
25,2023-02-15 15:42:55.544681,367,"(30.6737, 110.802, -16.143)","(0.0341581, 0.0150305, -0.999303)"
26,2023-02-15 15:42:55.553655,367,"(30.6841, 110.834, -16.165)","(0.0342627, 0.0154258, -0.999294)"
27,2023-02-15 15:42:55.561915,367,"(30.7034, 110.868, -16.1934)","(0.0344136, 0.0158471, -0.999282)"
28,2023-02-15 15:42:55.571917,367,"(30.7117, 110.896, -16.2238)","(0.0345591, 0.0163058, -0.99927)"
29,2023-02-15 15:42:55.579446,367,"(30.7144, 110.909, -16.2558)","(0.0346663, 0.016725, -0.999259)"
30,2023-02-15 15:42:55.588761,367,"(30.6996, 110.891, -16.2822)","(0.0347019, 0.0171089, -0.999251)"
31,2023-02-15 15:42:55.596793,367,"(30.6701, 110.866, -16.2913)","(0.0345956, 0.0175005, -0.999248)"
32,2023-02-15 15:42:55.605291,367,"(30.6049, 110.917, -16.1795)","(0.0342486, 0.0179005, -0.999253)"
33,2023-02-15 15:42:55.614814,367,"(30.5678, 110.936, -15.8139)","(0.0341168, 0.0181435, -0.999253)"
34,2023-02-15 15:42:55.623456,367,"(30.5717, 110.813, -15.8632)","(0.0341815, 0.0168898, -0.999273)"
35,2023-02-15 15:42:55.631423,367,"(30.4942, 110.788, -15.9004)","(0.0335757, 0.0165459, -0.999299)"
36,2023-02-15 15:42:55.640011,367,"(30.4246, 110.781, -15.919)","(0.0330393, 0.016546, -0.999317)"
37,2023-02-15 15:42:55.648879,367,"(30.3743, 110.761, -15.9264)","(0.0327796, 0.0164153, -0.999328)"
38,2023-02-15 15:42:55.658003,367,"(30.3379, 110.729, -15.9183)","(0.0326551, 0.0161816, -0.999336)"
39,2023-02-15 15:42:55.666511,367,"(30.3133, 110.689, -15.9176)","(0.0327304, 0.0158304, -0.999339)"
40,2023-02-15 15:42:55.675108,367,"(30.3615, 110.632, -15.9173)","(0.0335082, 0.0149492, -0.999327)"
