,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 15:44:59.211399,368,"(-1.37714, 101.766, -89.6724)","(0.0164916, 0.0349822, -0.999252)"
1,2023-02-15 15:44:59.220190,368,"(-1.3767, 101.807, -89.6812)","(0.0165248, 0.0354246, -0.999236)"
2,2023-02-15 15:44:59.229597,368,"(-1.39786, 101.832, -89.6979)","(0.0163501, 0.0358012, -0.999225)"
3,2023-02-15 15:44:59.239777,368,"(-1.399, 101.78, -89.7302)","(0.0163966, 0.0355382, -0.999234)"
4,2023-02-15 15:44:59.248809,368,"(-1.39684, 101.723, -89.7558)","(0.016467, 0.0351122, -0.999248)"
5,2023-02-15 15:44:59.257013,368,"(-1.39502, 101.682, -89.7719)","(0.01652, 0.0347802, -0.999258)"
6,2023-02-15 15:44:59.265240,368,"(-1.39934, 101.649, -89.7765)","(0.0164628, 0.0344737, -0.99927)"
7,2023-02-15 15:44:59.275273,368,"(-1.40004, 101.643, -89.7784)","(0.0164567, 0.0344546, -0.999271)"
8,2023-02-15 15:44:59.282920,368,"(-1.40079, 101.647, -89.7788)","(0.0164494, 0.0344948, -0.999269)"
9,2023-02-15 15:44:59.291915,368,"(-1.40193, 101.632, -89.7818)","(0.0164119, 0.0343298, -0.999276)"
10,2023-02-15 15:44:59.300226,368,"(-1.40209, 101.615, -89.775)","(0.0163979, 0.0341487, -0.999282)"
11,2023-02-15 15:44:59.309480,368,"(-1.4044, 101.601, -89.7693)","(0.0163702, 0.0340101, -0.999287)"
12,2023-02-15 15:44:59.317539,368,"(-1.39766, 101.587, -89.7639)","(0.0164377, 0.0338572, -0.999291)"
13,2023-02-15 15:44:59.326460,368,"(-1.3934, 101.575, -89.7609)","(0.0164796, 0.033734, -0.999295)"
14,2023-02-15 15:44:59.335326,368,"(-1.39238, 101.588, -89.7506)","(0.0164949, 0.0337982, -0.999293)"
15,2023-02-15 15:44:59.343886,368,"(-1.38996, 101.597, -89.7431)","(0.0165332, 0.0338428, -0.99929)"
16,2023-02-15 15:44:59.352735,368,"(-1.38915, 101.603, -89.738)","(0.0165526, 0.0338657, -0.999289)"
17,2023-02-15 15:44:59.361281,368,"(-1.39264, 101.616, -89.7322)","(0.0164978, 0.033966, -0.999287)"
18,2023-02-15 15:44:59.369686,368,"(-1.39507, 101.626, -89.7284)","(0.0164631, 0.034051, -0.999285)"
19,2023-02-15 15:44:59.378838,368,"(-1.39215, 101.628, -89.7268)","(0.0165096, 0.0340599, -0.999283)"
20,2023-02-15 15:44:59.387079,368,"(-1.39088, 101.629, -89.7269)","(0.0165337, 0.03405, -0.999283)"
21,2023-02-15 15:44:59.395506,368,"(-1.38763, 101.641, -89.7343)","(0.0165611, 0.0341581, -0.999279)"
22,2023-02-15 15:44:59.404318,368,"(-1.38819, 101.654, -89.7449)","(0.0165591, 0.0342841, -0.999275)"
23,2023-02-15 15:44:59.413674,368,"(-1.39103, 101.682, -89.757)","(0.0165386, 0.0345531, -0.999266)"
24,2023-02-15 15:44:59.422157,368,"(-1.39345, 101.707, -89.7658)","(0.0165156, 0.0347972, -0.999258)"
25,2023-02-15 15:44:59.430606,368,"(-1.39317, 101.73, -89.7737)","(0.0165248, 0.0350936, -0.999247)"
26,2023-02-15 15:44:59.439205,368,"(-1.38794, 101.754, -89.7825)","(0.0165797, 0.035364, -0.999237)"
27,2023-02-15 15:44:59.448081,368,"(-1.38885, 101.769, -89.7876)","(0.016574, 0.0355324, -0.999231)"
28,2023-02-15 15:44:59.456297,368,"(-1.38666, 101.778, -89.7903)","(0.0165933, 0.0356263, -0.999227)"
29,2023-02-15 15:44:59.465627,368,"(-1.38889, 101.763, -89.7985)","(0.0165555, 0.0354814, -0.999233)"
30,2023-02-15 15:44:59.474052,368,"(-1.3862, 101.738, -89.8072)","(0.0165719, 0.0351708, -0.999244)"
31,2023-02-15 15:44:59.482426,368,"(-1.38491, 101.727, -89.8067)","(0.0165811, 0.035005, -0.99925)"
32,2023-02-15 15:44:59.491684,368,"(-1.38518, 101.719, -89.8105)","(0.0165772, 0.0349164, -0.999253)"
33,2023-02-15 15:44:59.500645,368,"(-1.3806, 101.701, -89.8165)","(0.0166485, 0.0346667, -0.99926)"
34,2023-02-15 15:44:59.508593,368,"(-1.37441, 101.682, -89.8261)","(0.0167133, 0.0344686, -0.999266)"
35,2023-02-15 15:44:59.517456,368,"(-1.372, 101.669, -89.8314)","(0.0167357, 0.0343259, -0.999271)"
36,2023-02-15 15:44:59.526566,368,"(-1.36715, 101.666, -89.8283)","(0.0167657, 0.0342383, -0.999273)"
37,2023-02-15 15:44:59.534304,368,"(-1.36048, 101.665, -89.8243)","(0.016814, 0.0341728, -0.999274)"
38,2023-02-15 15:44:59.543284,368,"(-1.35768, 101.664, -89.8284)","(0.016832, 0.0341315, -0.999276)"
39,2023-02-15 15:44:59.552187,368,"(-1.36034, 101.66, -89.8315)","(0.0168054, 0.034074, -0.999278)"
40,2023-02-15 15:44:59.560603,368,"(-1.35952, 101.66, -89.8344)","(0.0168164, 0.0340195, -0.99928)"
41,2023-02-15 15:44:59.570233,368,"(-1.36367, 101.663, -89.8401)","(0.0167628, 0.0340066, -0.999281)"
42,2023-02-15 15:44:59.579375,368,"(-1.36526, 101.668, -89.8468)","(0.0167344, 0.0340134, -0.999281)"
43,2023-02-15 15:44:59.587545,368,"(-1.36355, 101.672, -89.8522)","(0.0167557, 0.034026, -0.99928)"
44,2023-02-15 15:44:59.597093,368,"(-1.35573, 101.684, -89.8576)","(0.0169008, 0.0340731, -0.999276)"
45,2023-02-15 15:44:59.604530,368,"(-1.36723, 101.689, -89.8502)","(0.0167853, 0.0341049, -0.999277)"
46,2023-02-15 15:44:59.613096,368,"(-1.37173, 101.704, -89.8415)","(0.0167229, 0.0342487, -0.999273)"
47,2023-02-15 15:44:59.622547,368,"(-1.35996, 101.7, -89.8363)","(0.0168734, 0.0341934, -0.999273)"
48,2023-02-15 15:44:59.631483,368,"(-1.3564, 101.696, -89.8358)","(0.0169459, 0.034102, -0.999275)"
49,2023-02-15 15:44:59.639626,368,"(-1.36394, 101.705, -89.834)","(0.0167932, 0.0342156, -0.999273)"
50,2023-02-15 15:44:59.647745,368,"(-1.35743, 101.701, -89.8312)","(0.0169016, 0.0341518, -0.999274)"
51,2023-02-15 15:44:59.657042,368,"(-1.35475, 101.696, -89.8332)","(0.0169588, 0.0340658, -0.999276)"
52,2023-02-15 15:44:59.666033,368,"(-1.35122, 101.695, -89.8344)","(0.0170117, 0.0340329, -0.999276)"
53,2023-02-15 15:44:59.673954,368,"(-1.34939, 101.697, -89.8351)","(0.0170489, 0.0340292, -0.999275)"
54,2023-02-15 15:44:59.682483,368,"(-1.36039, 101.736, -89.8134)","(0.0169077, 0.03443, -0.999264)"
55,2023-02-15 15:44:59.691318,368,"(-1.36336, 101.767, -89.7967)","(0.0168556, 0.0347357, -0.999254)"
56,2023-02-15 15:44:59.699898,368,"(-1.36249, 101.789, -89.7817)","(0.0168488, 0.0349524, -0.999247)"
57,2023-02-15 15:44:59.708629,368,"(-1.3662, 101.784, -89.771)","(0.0167975, 0.0349167, -0.999249)"
