,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 15:46:01.570592,375,"(6.90956, 116.754, -71.4498)","(0.080936, 0.094809, -0.9922)"
1,2023-02-15 15:46:01.579204,375,"(6.90528, 116.749, -71.4575)","(0.0809007, 0.0947508, -0.992208)"
2,2023-02-15 15:46:01.588536,375,"(6.90017, 116.77, -71.471)","(0.0808484, 0.0949083, -0.992198)"
3,2023-02-15 15:46:01.599051,375,"(6.887, 116.855, -71.4936)","(0.0807141, 0.0957964, -0.992123)"
4,2023-02-15 15:46:01.607680,375,"(6.88324, 116.932, -71.5042)","(0.0806784, 0.096647, -0.992044)"
5,2023-02-15 15:46:01.615895,375,"(6.89837, 116.992, -71.5069)","(0.0808169, 0.097292, -0.991969)"
6,2023-02-15 15:46:01.625382,375,"(6.9101, 117.028, -71.5115)","(0.0809363, 0.0976363, -0.991926)"
7,2023-02-15 15:46:01.633631,375,"(6.92118, 116.997, -71.4974)","(0.0810358, 0.0973322, -0.991947)"
8,2023-02-15 15:46:01.642535,375,"(6.91374, 116.979, -71.4978)","(0.0809532, 0.0970616, -0.991981)"
9,2023-02-15 15:46:01.650736,375,"(6.91877, 116.944, -71.4976)","(0.0809938, 0.0966093, -0.992022)"
10,2023-02-15 15:46:01.658977,375,"(6.91914, 116.9, -71.4944)","(0.0809926, 0.0960935, -0.992072)"
11,2023-02-15 15:46:01.668203,375,"(6.91404, 116.873, -71.5021)","(0.0808908, 0.0957855, -0.99211)"
12,2023-02-15 15:46:01.677015,375,"(6.92162, 116.886, -71.4933)","(0.0809758, 0.0959489, -0.992087)"
13,2023-02-15 15:46:01.685260,375,"(6.91433, 116.894, -71.4903)","(0.0809041, 0.0960378, -0.992084)"
14,2023-02-15 15:46:01.695342,375,"(6.92784, 116.899, -71.4812)","(0.081041, 0.0961046, -0.992067)"
15,2023-02-15 15:46:01.702532,375,"(6.90383, 116.89, -71.4687)","(0.0809578, 0.0961185, -0.992072)"
16,2023-02-15 15:46:01.710936,375,"(6.86927, 116.882, -71.4647)","(0.0805749, 0.0961502, -0.9921)"
17,2023-02-15 15:46:01.720469,375,"(6.836, 116.836, -71.4736)","(0.0804758, 0.0957022, -0.992152)"
18,2023-02-15 15:46:01.729969,375,"(6.84182, 116.888, -71.4843)","(0.0808057, 0.0963512, -0.992062)"
19,2023-02-15 15:46:01.737698,375,"(6.81787, 116.962, -71.5013)","(0.0808674, 0.097295, -0.991965)"
20,2023-02-15 15:46:01.746054,375,"(6.81714, 116.962, -71.49)","(0.0810847, 0.0973223, -0.991944)"
21,2023-02-15 15:46:01.755078,375,"(6.78556, 116.945, -71.4771)","(0.0809366, 0.0971551, -0.991973)"
22,2023-02-15 15:46:01.763475,375,"(6.77121, 116.93, -71.4789)","(0.0809603, 0.0969299, -0.991993)"
23,2023-02-15 15:46:01.772361,375,"(6.77362, 116.906, -71.4716)","(0.081095, 0.0966308, -0.992011)"
24,2023-02-15 15:46:01.781059,375,"(6.78061, 116.941, -71.4513)","(0.0812505, 0.0970334, -0.991959)"
25,2023-02-15 15:46:01.790094,375,"(6.77588, 116.978, -71.435)","(0.081253, 0.0974962, -0.991913)"
26,2023-02-15 15:46:01.798019,375,"(6.76907, 116.994, -71.4264)","(0.0812424, 0.0976726, -0.991897)"
27,2023-02-15 15:46:01.806815,375,"(6.72878, 116.984, -71.4483)","(0.0807479, 0.0975343, -0.991951)"
28,2023-02-15 15:46:01.815092,375,"(6.73033, 117.006, -71.4578)","(0.0807024, 0.0977331, -0.991935)"
29,2023-02-15 15:46:01.824335,375,"(6.7245, 117.034, -71.4666)","(0.0805587, 0.0980445, -0.991916)"
30,2023-02-15 15:46:01.832758,375,"(6.72607, 117.068, -71.4568)","(0.0805195, 0.0984735, -0.991877)"
31,2023-02-15 15:46:01.841763,375,"(6.72, 117.055, -71.4509)","(0.0804628, 0.0983523, -0.991893)"
32,2023-02-15 15:46:01.850110,375,"(6.70259, 117.042, -71.4464)","(0.0802927, 0.0982342, -0.991919)"
33,2023-02-15 15:46:01.859029,375,"(6.72911, 117.1, -71.4391)","(0.0805836, 0.0987601, -0.991843)"
34,2023-02-15 15:46:01.867317,375,"(6.71383, 117.158, -71.4457)","(0.0803551, 0.0992981, -0.991808)"
35,2023-02-15 15:46:01.894810,375,"(6.67662, 117.19, -71.458)","(0.0799493, 0.0995384, -0.991817)"
36,2023-02-15 15:46:01.902295,375,"(6.66386, 117.182, -71.4471)","(0.0798675, 0.0994466, -0.991832)"
37,2023-02-15 15:46:01.910361,375,"(6.67031, 117.228, -71.4218)","(0.0802017, 0.099918, -0.991758)"
38,2023-02-15 15:46:01.919372,375,"(6.6226, 117.184, -71.4206)","(0.0798503, 0.0992948, -0.991849)"
39,2023-02-15 15:46:01.928383,375,"(6.59862, 117.117, -71.4109)","(0.079843, 0.0984413, -0.991935)"
40,2023-02-15 15:46:01.936849,375,"(6.58655, 117.061, -71.4166)","(0.0798681, 0.0976589, -0.99201)"
41,2023-02-15 15:46:01.945438,375,"(6.5853, 117.012, -71.4363)","(0.0798077, 0.0970089, -0.992079)"
42,2023-02-15 15:46:01.954292,375,"(6.62432, 117.04, -71.4062)","(0.080273, 0.0973207, -0.992011)"
43,2023-02-15 15:46:01.962516,375,"(6.61279, 117.11, -71.4068)","(0.0803497, 0.0981952, -0.991918)"
44,2023-02-15 15:46:01.971834,375,"(6.61352, 117.166, -71.3981)","(0.0804537, 0.0988971, -0.99184)"
45,2023-02-15 15:46:01.980270,375,"(6.56188, 117.176, -71.3828)","(0.0800223, 0.0990275, -0.991862)"
46,2023-02-15 15:46:01.988845,375,"(6.51017, 117.144, -71.3929)","(0.079705, 0.0986082, -0.991929)"
47,2023-02-15 15:46:01.997739,375,"(6.472, 117.139, -71.3903)","(0.0795004, 0.0984903, -0.991957)"
48,2023-02-15 15:46:02.007157,375,"(6.41722, 117.134, -71.4038)","(0.0789845, 0.0983132, -0.992016)"
49,2023-02-15 15:46:02.015099,375,"(6.36572, 117.071, -71.4291)","(0.0784359, 0.0974208, -0.992148)"
50,2023-02-15 15:46:02.024086,375,"(6.34711, 117.015, -71.4264)","(0.078472, 0.0967038, -0.992215)"
51,2023-02-15 15:46:02.032290,375,"(6.34971, 116.986, -71.4198)","(0.0787106, 0.0963758, -0.992228)"
52,2023-02-15 15:46:02.042358,375,"(6.33349, 116.965, -71.4207)","(0.0785576, 0.0960813, -0.992269)"
53,2023-02-15 15:46:02.049955,375,"(6.33989, 116.957, -71.4198)","(0.0787858, 0.0959896, -0.992259)"
54,2023-02-15 15:46:02.058788,375,"(6.35382, 116.939, -71.4106)","(0.0789943, 0.0958201, -0.992259)"
55,2023-02-15 15:46:02.066594,375,"(6.36514, 116.897, -71.3938)","(0.0791641, 0.0953899, -0.992287)"
56,2023-02-15 15:46:02.076129,375,"(6.38544, 116.865, -71.4056)","(0.0793432, 0.095021, -0.992308)"
57,2023-02-15 15:46:02.084213,375,"(6.39461, 116.858, -71.4184)","(0.0793905, 0.0949591, -0.99231)"
58,2023-02-15 15:46:02.093853,375,"(6.36765, 116.832, -71.4423)","(0.0790021, 0.0947412, -0.992362)"
59,2023-02-15 15:46:02.102123,375,"(6.37497, 116.797, -71.4701)","(0.0789676, 0.0944413, -0.992394)"
60,2023-02-15 15:46:02.111954,375,"(6.39685, 116.749, -71.4734)","(0.078951, 0.0940492, -0.992432)"
61,2023-02-15 15:46:02.118820,375,"(6.44248, 116.722, -71.4707)","(0.0794857, 0.0939108, -0.992403)"
62,2023-02-15 15:46:02.127389,375,"(6.46156, 116.698, -71.4826)","(0.0795588, 0.0938093, -0.992406)"
63,2023-02-15 15:46:02.136562,375,"(6.48041, 116.693, -71.4636)","(0.0797172, 0.0938644, -0.992388)"
64,2023-02-15 15:46:02.145579,375,"(6.50692, 116.667, -71.4397)","(0.0799729, 0.0937652, -0.992377)"
65,2023-02-15 15:46:02.153480,375,"(6.51805, 116.7, -71.447)","(0.080019, 0.0943671, -0.992316)"
66,2023-02-15 15:46:02.162186,375,"(6.51121, 116.69, -71.4582)","(0.07989, 0.0944, -0.992324)"
67,2023-02-15 15:46:02.171153,375,"(6.50222, 116.644, -71.454)","(0.0797808, 0.0940845, -0.992362)"
68,2023-02-15 15:46:02.179697,375,"(6.47526, 116.652, -71.4418)","(0.0795874, 0.0943422, -0.992353)"
69,2023-02-15 15:46:02.188824,375,"(6.41989, 116.679, -71.4294)","(0.0791614, 0.0949083, -0.992334)"
70,2023-02-15 15:46:02.196998,375,"(6.38403, 116.707, -71.4056)","(0.0790383, 0.0953231, -0.992304)"
71,2023-02-15 15:46:02.205466,375,"(6.33332, 116.744, -71.3987)","(0.0788908, 0.0958292, -0.992267)"
72,2023-02-15 15:46:02.214651,375,"(6.30478, 116.835, -71.4019)","(0.0790535, 0.0969405, -0.992146)"
73,2023-02-15 15:46:02.223096,375,"(6.22589, 116.815, -71.3702)","(0.0784072, 0.0966934, -0.992221)"
74,2023-02-15 15:46:02.232066,375,"(6.17815, 116.814, -71.3734)","(0.078199, 0.0964925, -0.992257)"
75,2023-02-15 15:46:02.241317,375,"(6.16231, 116.852, -71.3644)","(0.0785024, 0.096822, -0.992201)"
76,2023-02-15 15:46:02.249214,375,"(6.07807, 116.827, -71.3749)","(0.0780517, 0.0963948, -0.992278)"
77,2023-02-15 15:46:02.258416,375,"(6.0013, 116.76, -71.3743)","(0.077836, 0.0955914, -0.992373)"
78,2023-02-15 15:46:02.266238,375,"(5.97074, 116.672, -71.3688)","(0.0780065, 0.094602, -0.992454)"
79,2023-02-15 15:46:02.275548,375,"(5.92311, 116.605, -71.4124)","(0.0781037, 0.0938803, -0.992515)"
80,2023-02-15 15:46:02.283991,375,"(5.84903, 116.558, -71.4227)","(0.0777078, 0.0935141, -0.992581)"
81,2023-02-15 15:46:02.293400,375,"(5.84177, 116.498, -71.4579)","(0.0779759, 0.0930219, -0.992606)"
82,2023-02-15 15:46:02.301360,375,"(5.829, 116.45, -71.4949)","(0.0781603, 0.0927243, -0.992619)"
83,2023-02-15 15:46:02.310565,375,"(5.81686, 116.468, -71.5208)","(0.0781314, 0.0930255, -0.992593)"
84,2023-02-15 15:46:02.318680,375,"(5.7895, 116.446, -71.5361)","(0.0783864, 0.0935224, -0.992527)"
85,2023-02-15 15:46:02.327797,375,"(5.72422, 116.364, -71.5116)","(0.0781095, 0.0932291, -0.992576)"
86,2023-02-15 15:46:02.335739,375,"(5.63662, 116.398, -71.6028)","(0.0774653, 0.0936881, -0.992583)"
87,2023-02-15 15:46:02.344436,375,"(5.51913, 116.456, -71.7013)","(0.0767103, 0.0946398, -0.992552)"
88,2023-02-15 15:46:02.353102,375,"(5.44551, 116.438, -71.7673)","(0.0770297, 0.0951006, -0.992483)"
89,2023-02-15 15:46:02.362095,375,"(5.24872, 116.3, -71.8013)","(0.0767002, 0.0943789, -0.992577)"
90,2023-02-15 15:46:02.370809,375,"(5.08704, 116.244, -71.8877)","(0.0767024, 0.09441, -0.992574)"
91,2023-02-15 15:46:02.379054,375,"(4.84435, 116.068, -71.8351)","(0.0758895, 0.0931732, -0.992754)"
92,2023-02-15 15:46:02.388132,375,"(4.56053, 115.974, -71.8707)","(0.0750348, 0.0927762, -0.992856)"
93,2023-02-15 15:46:02.396413,375,"(4.28583, 115.864, -71.8796)","(0.07437, 0.0921684, -0.992962)"
94,2023-02-15 15:46:02.405119,375,"(4.00215, 115.714, -71.8723)","(0.0740809, 0.0910602, -0.993086)"
95,2023-02-15 15:46:02.413619,375,"(3.74394, 115.669, -71.8881)","(0.073839, 0.0912282, -0.993089)"
96,2023-02-15 15:46:02.423080,375,"(3.46391, 115.624, -71.9142)","(0.073423, 0.0913325, -0.99311)"
97,2023-02-15 15:46:02.431159,375,"(3.19178, 115.572, -71.9127)","(0.0729554, 0.0913993, -0.993138)"
98,2023-02-15 15:46:02.439949,375,"(2.89619, 115.436, -71.8927)","(0.0724256, 0.090515, -0.993258)"
99,2023-02-15 15:46:02.448789,375,"(2.56359, 115.359, -71.936)","(0.0712749, 0.0903754, -0.993354)"
100,2023-02-15 15:46:02.458471,375,"(2.29266, 115.382, -71.9973)","(0.0710272, 0.0914487, -0.993273)"
101,2023-02-15 15:46:02.465806,375,"(1.97647, 115.279, -72.0583)","(0.0702194, 0.0912138, -0.993353)"
102,2023-02-15 15:46:02.475554,375,"(1.70633, 115.158, -72.1407)","(0.0694266, 0.0907285, -0.993453)"
