,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 16:51:23.229574,1796,"(3.82401, 91.2731, -2.04305)","(0.0192266, 0.0990742, 0.994894)"
1,2023-02-15 16:51:23.237702,1796,"(3.41524, 91.252, -1.97203)","(0.0171774, 0.0995546, 0.994884)"
2,2023-02-15 16:51:23.247526,1796,"(3.08778, 91.18, -1.94664)","(0.0157319, 0.0997696, 0.994886)"
3,2023-02-15 16:51:23.257232,1796,"(2.86193, 91.0737, -1.92809)","(0.0155333, 0.0999779, 0.994868)"
4,2023-02-15 16:51:23.266221,1796,"(2.69512, 91.0229, -1.95193)","(0.0156578, 0.100766, 0.994787)"
5,2023-02-15 16:51:23.275200,1796,"(2.49486, 90.9895, -1.98699)","(0.0149634, 0.101713, 0.994701)"
6,2023-02-15 16:51:23.284257,1796,"(2.36368, 90.969, -2.01174)","(0.0146114, 0.102811, 0.994594)"
7,2023-02-15 16:51:23.292342,1796,"(2.26395, 90.9039, -1.98235)","(0.0143339, 0.102698, 0.994609)"
8,2023-02-15 16:51:23.301138,1796,"(2.29607, 90.8387, -1.95929)","(0.015439, 0.102632, 0.9946)"
9,2023-02-15 16:51:23.309557,1796,"(2.26978, 90.7806, -1.9606)","(0.0158075, 0.102632, 0.994594)"
10,2023-02-15 16:51:23.318516,1796,"(2.24755, 90.6953, -1.9329)","(0.016124, 0.102049, 0.994649)"
11,2023-02-15 16:51:23.327272,1796,"(2.23189, 90.6287, -1.86136)","(0.0161961, 0.101407, 0.994713)"
12,2023-02-15 16:51:23.336489,1796,"(2.12901, 90.4866, -1.74848)","(0.0156571, 0.0999036, 0.994874)"
13,2023-02-15 16:51:23.343859,1796,"(2.05822, 90.403, -1.6235)","(0.015697, 0.0989949, 0.994964)"
14,2023-02-15 16:51:23.352525,1796,"(1.88081, 90.4029, -1.56827)","(0.0158966, 0.0996348, 0.994897)"
15,2023-02-15 16:51:23.361367,1796,"(1.63793, 90.3135, -1.42798)","(0.0151974, 0.0987953, 0.994992)"
16,2023-02-15 16:51:23.370728,1796,"(1.26908, 90.2084, -1.44971)","(0.0137061, 0.0978697, 0.995105)"
17,2023-02-15 16:51:23.378748,1796,"(1.04028, 90.136, -1.444)","(0.0143384, 0.0972759, 0.995154)"
18,2023-02-15 16:51:23.387501,1796,"(0.765342, 90.0891, -1.44128)","(0.0144895, 0.0973145, 0.995148)"
19,2023-02-15 16:51:23.396318,1796,"(0.454418, 90.065, -1.32203)","(0.0139342, 0.0972596, 0.995161)"
20,2023-02-15 16:51:23.404940,1796,"(0.0556827, 90.0159, -1.25386)","(0.0126934, 0.097094, 0.995194)"
21,2023-02-15 16:51:23.414000,1796,"(-0.295471, 89.9424, -1.20361)","(0.012437, 0.0973202, 0.995175)"
22,2023-02-15 16:51:23.422840,1796,"(-0.692506, 89.8774, -1.18272)","(0.0117448, 0.0981489, 0.995102)"
23,2023-02-15 16:51:23.431629,1796,"(-1.03039, 89.748, -1.27923)","(0.0118643, 0.0978465, 0.995131)"
24,2023-02-15 16:51:23.439260,1796,"(-1.5159, 89.6389, -1.31627)","(0.0104743, 0.0986984, 0.995062)"
25,2023-02-15 16:51:23.449406,1796,"(-1.90459, 89.594, -1.16667)","(0.0100439, 0.100167, 0.99492)"
26,2023-02-15 16:51:23.457421,1796,"(-2.35667, 89.6001, -1.05327)","(0.00915298, 0.104278, 0.994506)"
27,2023-02-15 16:51:23.466454,1796,"(-2.85047, 89.3013, -0.911933)","(0.00818148, 0.101727, 0.994779)"
28,2023-02-15 16:51:23.474518,1796,"(-3.30159, 89.1178, -0.847498)","(0.00783116, 0.10052, 0.994904)"
29,2023-02-15 16:51:23.484126,1796,"(-3.81257, 88.9637, -0.771088)","(0.0071724, 0.100068, 0.994955)"
30,2023-02-15 16:51:23.492157,1796,"(-4.35285, 88.773, -0.709579)","(0.00623113, 0.0987205, 0.995096)"
