,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 17:08:51.801634,2025,"(56.7264, 191.966, 71.5728)","(0.11818, 0.502233, -0.856619)"
1,2023-02-15 17:08:51.809865,2025,"(56.5537, 194.869, 69.4266)","(0.127921, 0.543345, -0.829706)"
2,2023-02-15 17:08:51.818897,2025,"(56.2761, 194.969, 69.2461)","(0.127401, 0.542674, -0.830225)"
3,2023-02-15 17:08:51.827437,2025,"(55.6694, 194.982, 69.0048)","(0.12383, 0.540716, -0.832041)"
4,2023-02-15 17:08:51.835775,2025,"(54.8751, 194.202, 68.3682)","(0.11771, 0.526448, -0.842019)"
5,2023-02-15 17:08:51.844220,2025,"(53.9044, 191.79, 68.2188)","(0.107026, 0.497791, -0.860668)"
6,2023-02-15 17:08:51.852350,2025,"(53.4656, 191.23, 67.0349)","(0.104074, 0.482628, -0.86962)"
7,2023-02-15 17:08:51.862471,2025,"(52.9719, 192.005, 64.7304)","(0.100492, 0.489577, -0.86615)"
8,2023-02-15 17:08:51.870229,2025,"(52.2045, 191.757, 63.7886)","(0.0976951, 0.492481, -0.864823)"
9,2023-02-15 17:08:51.879606,2025,"(51.4266, 190.586, 63.1896)","(0.0941418, 0.481507, -0.871372)"
10,2023-02-15 17:08:51.887976,2025,"(50.944, 189.588, 61.2461)","(0.0941587, 0.476361, -0.874194)"
11,2023-02-15 17:08:51.896261,2025,"(50.2385, 188.704, 60.4583)","(0.0896726, 0.471562, -0.877262)"
12,2023-02-15 17:08:51.905812,2025,"(51.3148, 193.081, 57.4687)","(0.0996378, 0.501696, -0.859286)"
13,2023-02-15 17:08:51.913904,2025,"(50.2691, 190.687, 56.6703)","(0.0919873, 0.486131, -0.869031)"
14,2023-02-15 17:08:51.922358,2025,"(49.2955, 188.007, 56.0104)","(0.0853915, 0.462709, -0.882388)"
15,2023-02-15 17:08:51.930261,2025,"(48.301, 185.886, 55.5754)","(0.0779197, 0.444666, -0.892301)"
16,2023-02-15 17:08:51.940199,2025,"(47.4947, 183.501, 54.5956)","(0.0734072, 0.421482, -0.903861)"
17,2023-02-15 17:08:51.948772,2025,"(46.7413, 181.273, 53.6228)","(0.0699326, 0.402929, -0.912555)"
18,2023-02-15 17:08:51.957445,2025,"(46.2204, 179.833, 52.4168)","(0.0727495, 0.415217, -0.906809)"
19,2023-02-15 17:08:51.966135,2025,"(45.3429, 178.491, 51.8898)","(0.066822, 0.415529, -0.907122)"
20,2023-02-15 17:08:51.975068,2025,"(44.6859, 176.792, 50.6138)","(0.0632618, 0.398429, -0.915015)"
21,2023-02-15 17:08:51.983854,2025,"(44.2522, 174.815, 48.9992)","(0.0634781, 0.380632, -0.922545)"
22,2023-02-15 17:08:51.992265,2025,"(43.5843, 173.24, 48.3576)","(0.0600723, 0.373483, -0.92569)"
23,2023-02-15 17:08:52.001134,2025,"(43.155, 171.17, 46.8775)","(0.0601298, 0.357338, -0.932038)"
24,2023-02-15 17:08:52.009658,2025,"(42.3322, 168.99, 45.6409)","(0.0545298, 0.344356, -0.937254)"
25,2023-02-15 17:08:52.017801,2025,"(41.9172, 167.028, 44.2042)","(0.0543664, 0.331796, -0.941783)"
26,2023-02-15 17:08:52.025425,2025,"(41.3987, 165.143, 43.1319)","(0.0536573, 0.322496, -0.945049)"
27,2023-02-15 17:08:52.035235,2025,"(40.6859, 163.152, 41.8077)","(0.0486892, 0.310502, -0.949325)"
28,2023-02-15 17:08:52.043228,2025,"(40.2293, 161.347, 40.528)","(0.0488798, 0.30159, -0.952184)"
29,2023-02-15 17:08:52.052799,2025,"(39.6329, 159.753, 39.2737)","(0.0484245, 0.297622, -0.953455)"
30,2023-02-15 17:08:52.060907,2025,"(38.987, 158.436, 37.7719)","(0.0452161, 0.291943, -0.955366)"
31,2023-02-15 17:08:52.070625,2025,"(38.4099, 156.366, 36.527)","(0.0452292, 0.284098, -0.957728)"
32,2023-02-15 17:08:52.078106,2025,"(37.8503, 154.679, 35.2275)","(0.0424409, 0.27676, -0.960001)"
33,2023-02-15 17:08:52.087674,2025,"(37.3969, 152.775, 33.7411)","(0.0396331, 0.264912, -0.963458)"
34,2023-02-15 17:08:52.096513,2025,"(37.0356, 151.14, 32.3969)","(0.0375215, 0.255746, -0.966016)"
35,2023-02-15 17:08:52.104403,2025,"(36.7, 149.181, 31.6682)","(0.0363502, 0.249323, -0.967738)"
36,2023-02-15 17:08:52.113281,2025,"(36.5093, 147.488, 30.8083)","(0.0364958, 0.247736, -0.96814)"
37,2023-02-15 17:08:52.121049,2025,"(36.3409, 145.599, 30.0846)","(0.0362204, 0.238674, -0.970424)"
38,2023-02-15 17:08:52.129963,2025,"(35.8953, 144.196, 29.1967)","(0.0309495, 0.23448, -0.971628)"
39,2023-02-15 17:08:52.138778,2025,"(35.4286, 143.222, 28.6197)","(0.0253107, 0.238104, -0.97091)"
40,2023-02-15 17:08:52.148531,2025,"(35.095, 142.211, 27.8482)","(0.0236919, 0.239762, -0.970543)"
41,2023-02-15 17:08:52.156766,2025,"(34.8178, 141.19, 27.2581)","(0.0223939, 0.239807, -0.970562)"
42,2023-02-15 17:08:52.165084,2025,"(34.5594, 140.335, 26.6494)","(0.0215874, 0.239001, -0.970779)"
43,2023-02-15 17:08:52.173307,2025,"(34.3885, 139.604, 26.1965)","(0.021915, 0.240604, -0.970376)"
44,2023-02-15 17:08:52.183041,2025,"(34.2339, 138.825, 25.78)","(0.0220325, 0.240638, -0.970365)"
45,2023-02-15 17:08:52.190745,2025,"(34.1632, 138.06, 25.3448)","(0.0232003, 0.239706, -0.970568)"
46,2023-02-15 17:08:52.199254,2025,"(34.1512, 137.398, 24.9791)","(0.0249357, 0.239056, -0.970685)"
47,2023-02-15 17:08:52.208385,2025,"(34.1506, 136.651, 24.5767)","(0.0263243, 0.237127, -0.971122)"
48,2023-02-15 17:08:52.217271,2025,"(34.4291, 136.171, 24.1318)","(0.0303752, 0.235391, -0.971426)"
49,2023-02-15 17:08:52.225982,2025,"(34.6039, 135.717, 23.7239)","(0.0333518, 0.233134, -0.971873)"
