,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 16:52:54.260483,1807,"(-42.2294, 89.5598, 4.76793)","(-0.057428, 0.0320875, 0.997834)"
1,2023-02-15 16:52:54.269404,1807,"(-42.6004, 90.0917, 7.94941)","(-0.0598232, 0.0381419, 0.99748)"
2,2023-02-15 16:52:54.277639,1807,"(-42.4609, 90.0005, 8.80354)","(-0.0580448, 0.0369035, 0.997632)"
3,2023-02-15 16:52:54.286578,1807,"(-42.343, 89.6523, 8.56531)","(-0.0569471, 0.0326736, 0.997842)"
4,2023-02-15 16:52:54.295351,1807,"(-42.0568, 89.0189, 7.84971)","(-0.0540478, 0.0247752, 0.998231)"
5,2023-02-15 16:52:54.303507,1807,"(-41.7673, 88.4333, 6.93387)","(-0.0510133, 0.0169404, 0.998554)"
6,2023-02-15 16:52:54.313672,1807,"(-41.4622, 87.8466, 5.95844)","(-0.0475771, 0.00848142, 0.998832)"
7,2023-02-15 16:52:54.323148,1807,"(-41.2847, 87.5613, 4.94766)","(-0.0454019, 0.00284219, 0.998965)"
8,2023-02-15 16:52:54.332184,1807,"(-41.1833, 87.4589, 3.9541)","(-0.0439379, -0.00109254, 0.999034)"
9,2023-02-15 16:52:54.340123,1807,"(-41.1653, 87.5122, 3.00277)","(-0.0432995, -0.00347983, 0.999056)"
10,2023-02-15 16:52:54.349607,1807,"(-41.147, 87.6616, 2.12095)","(-0.0426297, -0.00482184, 0.999079)"
11,2023-02-15 16:52:54.358466,1807,"(-41.1074, 87.8762, 1.32419)","(-0.0417286, -0.00532527, 0.999115)"
12,2023-02-15 16:52:54.366401,1807,"(-41.1393, 88.0996, 0.607759)","(-0.0416478, -0.00554455, 0.999117)"
13,2023-02-15 16:52:54.375417,1807,"(-41.1567, 88.3171, -0.0261099)","(-0.0414458, -0.00559048, 0.999125)"
14,2023-02-15 16:52:54.383851,1807,"(-41.2079, 88.4969, -0.579967)","(-0.0416672, -0.00583325, 0.999115)"
15,2023-02-15 16:52:54.392421,1807,"(-41.2767, 88.6658, -1.05919)","(-0.0421145, -0.00605026, 0.999094)"
16,2023-02-15 16:52:54.401355,1807,"(-41.3309, 88.8486, -1.48785)","(-0.0424865, -0.00590271, 0.99908)"
17,2023-02-15 16:52:54.409430,1807,"(-41.3552, 89.0404, -1.8611)","(-0.0425032, -0.00540963, 0.999082)"
18,2023-02-15 16:52:54.417899,1807,"(-41.4253, 89.1973, -2.17403)","(-0.0430777, -0.0051425, 0.999058)"
19,2023-02-15 16:52:54.427101,1807,"(-41.4599, 89.3786, -2.44784)","(-0.0433076, -0.00444727, 0.999052)"
20,2023-02-15 16:52:54.435852,1807,"(-41.4724, 89.5335, -2.68219)","(-0.0433183, -0.00378578, 0.999054)"
21,2023-02-15 16:52:54.445799,1807,"(-41.5107, 89.6707, -2.87618)","(-0.0437236, -0.0032862, 0.999038)"
22,2023-02-15 16:52:54.453182,1807,"(-41.5088, 89.8207, -3.04728)","(-0.043621, -0.00255582, 0.999045)"
23,2023-02-15 16:52:54.461861,1807,"(-41.5328, 89.9326, -3.18781)","(-0.0437935, -0.00220718, 0.999038)"
24,2023-02-15 16:52:54.470862,1807,"(-41.5412, 90.0566, -3.31263)","(-0.0438842, -0.00176832, 0.999035)"
25,2023-02-15 16:52:54.480646,1807,"(-41.539, 90.1718, -3.42601)","(-0.0437502, -0.00124492, 0.999042)"
26,2023-02-15 16:52:54.488630,1807,"(-41.5404, 90.2831, -3.53064)","(-0.0438548, -0.000835096, 0.999038)"
27,2023-02-15 16:52:54.496619,1807,"(-41.5315, 90.3826, -3.61242)","(-0.0437533, -0.000594062, 0.999042)"
28,2023-02-15 16:52:54.505690,1807,"(-41.5161, 90.5123, -3.66073)","(-0.0435863, -5.79313e-05, 0.99905)"
29,2023-02-15 16:52:54.515396,1807,"(-41.4858, 90.611, -3.7151)","(-0.0431981, 0.000431806, 0.999066)"
30,2023-02-15 16:52:54.522716,1807,"(-41.4578, 90.6729, -3.73821)","(-0.0427834, 0.000456333, 0.999084)"
31,2023-02-15 16:52:54.529953,1807,"(-41.4598, 90.7198, -3.72688)","(-0.0427362, 0.000486783, 0.999086)"
32,2023-02-15 16:52:54.540032,1807,"(-41.4798, 90.7483, -3.72048)","(-0.0430185, 0.000331057, 0.999074)"
33,2023-02-15 16:52:54.546613,1807,"(-41.5059, 90.7665, -3.71275)","(-0.0433146, 0.000334356, 0.999061)"
34,2023-02-15 16:52:54.555364,1807,"(-41.5001, 90.7911, -3.71679)","(-0.0430664, 0.00051725, 0.999072)"
35,2023-02-15 16:52:54.565239,1807,"(-41.4996, 90.814, -3.72478)","(-0.043171, 0.000604902, 0.999067)"
36,2023-02-15 16:52:54.575783,1807,"(-41.5181, 90.8275, -3.73322)","(-0.0433999, 0.000667084, 0.999058)"
37,2023-02-15 16:52:54.582236,1807,"(-41.5433, 90.8318, -3.73865)","(-0.0438336, 0.000575412, 0.999039)"
38,2023-02-15 16:52:54.591450,1807,"(-41.5673, 90.8326, -3.75062)","(-0.0441733, 0.00048825, 0.999024)"
39,2023-02-15 16:52:54.599764,1807,"(-41.5781, 90.8435, -3.757)","(-0.0443552, 0.000502344, 0.999016)"
40,2023-02-15 16:52:54.608093,1807,"(-41.5618, 90.8552, -3.74913)","(-0.0441212, 0.000642653, 0.999026)"
41,2023-02-15 16:52:54.619286,1807,"(-41.5702, 90.8729, -3.74878)","(-0.0444383, 0.000785637, 0.999012)"
42,2023-02-15 16:52:54.627172,1807,"(-41.5395, 90.9223, -3.76329)","(-0.0440217, 0.00134559, 0.99903)"
43,2023-02-15 16:52:54.635840,1807,"(-41.5719, 90.9636, -3.78621)","(-0.0444335, 0.00181092, 0.999011)"
44,2023-02-15 16:52:54.645440,1807,"(-41.5951, 91.0033, -3.77174)","(-0.044967, 0.0022075, 0.998986)"
45,2023-02-15 16:52:54.652967,1807,"(-41.6103, 91.0194, -3.77433)","(-0.0452084, 0.00227315, 0.998975)"
46,2023-02-15 16:52:54.662678,1807,"(-41.6003, 91.0489, -3.77241)","(-0.0450733, 0.00248996, 0.998981)"
47,2023-02-15 16:52:54.669676,1807,"(-41.5538, 91.0874, -3.77688)","(-0.0443191, 0.00302596, 0.999013)"
48,2023-02-15 16:52:54.678803,1807,"(-41.5603, 91.1033, -3.78658)","(-0.0444019, 0.00320645, 0.999009)"
49,2023-02-15 16:52:54.687322,1807,"(-41.5091, 91.1169, -3.81469)","(-0.0438664, 0.00347283, 0.999031)"
50,2023-02-15 16:52:54.696044,1807,"(-41.5134, 91.0738, -3.8214)","(-0.0441043, 0.00297742, 0.999022)"
51,2023-02-15 16:52:54.704815,1807,"(-41.4823, 91.0627, -3.81631)","(-0.0436406, 0.00288003, 0.999043)"
52,2023-02-15 16:52:54.713090,1807,"(-41.4648, 91.0462, -3.80404)","(-0.0433635, 0.00270896, 0.999056)"
53,2023-02-15 16:52:54.721962,1807,"(-41.5276, 90.9941, -3.76848)","(-0.0441304, 0.00223076, 0.999023)"
54,2023-02-15 16:52:54.731531,1807,"(-41.4673, 90.9508, -3.74478)","(-0.0433194, 0.0020078, 0.999059)"
55,2023-02-15 16:52:54.740243,1807,"(-41.4782, 90.8903, -3.71824)","(-0.0435231, 0.00137353, 0.999051)"
56,2023-02-15 16:52:54.748923,1807,"(-41.5116, 90.8319, -3.71317)","(-0.0437373, 0.00106418, 0.999043)"
57,2023-02-15 16:52:54.757666,1807,"(-41.4693, 90.7756, -3.71313)","(-0.043136, 0.00064215, 0.999069)"
58,2023-02-15 16:52:54.767230,1807,"(-41.4549, 90.7222, -3.6985)","(-0.0429581, 0.000159249, 0.999077)"
59,2023-02-15 16:52:54.776855,1807,"(-41.4224, 90.6864, -3.69155)","(-0.0424774, -0.000211967, 0.999097)"
60,2023-02-15 16:52:54.783851,1807,"(-41.415, 90.6527, -3.69208)","(-0.0423017, -0.000491901, 0.999105)"
61,2023-02-15 16:52:54.792164,1807,"(-41.3903, 90.6136, -3.6944)","(-0.0423439, -0.000953973, 0.999103)"
62,2023-02-15 16:52:54.801363,1807,"(-41.3924, 90.5782, -3.69314)","(-0.0425484, -0.00143581, 0.999093)"
63,2023-02-15 16:52:54.809806,1807,"(-41.383, 90.5509, -3.69212)","(-0.0427403, -0.00173833, 0.999085)"
64,2023-02-15 16:52:54.818529,1807,"(-41.4011, 90.5309, -3.68983)","(-0.0432764, -0.00194442, 0.999061)"
65,2023-02-15 16:52:54.827240,1807,"(-41.3816, 90.5499, -3.68782)","(-0.0431346, -0.0014856, 0.999068)"
66,2023-02-15 16:52:54.835482,1807,"(-41.4259, 90.5566, -3.70005)","(-0.0439252, -0.00129102, 0.999034)"
67,2023-02-15 16:52:54.843549,1807,"(-41.4235, 90.5755, -3.70575)","(-0.0440039, -0.000904954, 0.999031)"
68,2023-02-15 16:52:54.852537,1807,"(-41.4191, 90.5743, -3.70858)","(-0.0440743, -0.000870174, 0.999028)"
69,2023-02-15 16:52:54.859900,1807,"(-41.4245, 90.5865, -3.71194)","(-0.0442033, -0.00066225, 0.999022)"
70,2023-02-15 16:52:54.870695,1807,"(-41.372, 90.6049, -3.71086)","(-0.0434922, -0.000164573, 0.999054)"
71,2023-02-15 16:52:54.879741,1807,"(-41.3266, 90.6246, -3.71904)","(-0.0430804, 0.000161763, 0.999072)"
