,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 17:09:40.969665,2025,"(30.2544, 119.506, -23.6305)","(0.131108, 0.0718361, -0.988762)"
1,2023-02-15 17:09:40.978294,2025,"(30.3027, 119.466, -23.6737)","(0.131415, 0.0719183, -0.988715)"
2,2023-02-15 17:09:40.987139,2025,"(30.4125, 119.44, -23.7295)","(0.132053, 0.0721574, -0.988613)"
3,2023-02-15 17:09:40.996758,2025,"(30.4283, 119.461, -23.7569)","(0.131998, 0.0726709, -0.988583)"
4,2023-02-15 17:09:41.005878,2025,"(30.5294, 119.459, -23.82)","(0.13258, 0.0729943, -0.988481)"
5,2023-02-15 17:09:41.015031,2025,"(30.5814, 119.431, -23.9072)","(0.132749, 0.0729448, -0.988462)"
6,2023-02-15 17:09:41.023730,2025,"(30.7011, 119.393, -23.9883)","(0.133562, 0.0729244, -0.988354)"
7,2023-02-15 17:09:41.032437,2025,"(30.7468, 119.318, -24.0743)","(0.133746, 0.0725013, -0.98836)"
8,2023-02-15 17:09:41.042623,2025,"(30.7442, 119.278, -24.1473)","(0.133574, 0.0723464, -0.988395)"
9,2023-02-15 17:09:41.050977,2025,"(30.7768, 119.21, -24.2161)","(0.133723, 0.0719816, -0.988401)"
10,2023-02-15 17:09:41.058666,2025,"(30.7828, 119.212, -24.2588)","(0.133679, 0.0721182, -0.988397)"
11,2023-02-15 17:09:41.068481,2025,"(30.8184, 119.185, -24.306)","(0.133861, 0.0720729, -0.988376)"
12,2023-02-15 17:09:41.075517,2025,"(30.8481, 119.212, -24.3275)","(0.134037, 0.0724486, -0.988324)"
13,2023-02-15 17:09:41.084166,2025,"(30.8539, 119.268, -24.3398)","(0.134061, 0.0729701, -0.988283)"
14,2023-02-15 17:09:41.093173,2025,"(30.8113, 119.254, -24.3793)","(0.133523, 0.07321, -0.988338)"
15,2023-02-15 17:09:41.102765,2025,"(30.8047, 119.199, -24.4204)","(0.133228, 0.0730296, -0.988391)"
