,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 16:56:04.412525,1858,"(45.548, 114.413, -16.806)","(0.0801557, 0.0927073, -0.992462)"
1,2023-02-15 16:56:04.420926,1858,"(45.7231, 114.479, -16.7207)","(0.0817446, 0.093221, -0.992284)"
2,2023-02-15 16:56:04.430383,1858,"(45.9097, 114.613, -16.6709)","(0.0834881, 0.0943781, -0.992029)"
3,2023-02-15 16:56:04.440350,1858,"(45.9462, 114.78, -16.6063)","(0.0836269, 0.0961378, -0.991849)"
4,2023-02-15 16:56:04.449150,1858,"(45.9493, 114.926, -16.582)","(0.0834501, 0.0975739, -0.991723)"
5,2023-02-15 16:56:04.457945,1858,"(45.9375, 115.088, -16.5536)","(0.0829134, 0.0991047, -0.991617)"
6,2023-02-15 16:56:04.467066,1858,"(45.8973, 115.242, -16.5213)","(0.0824469, 0.100411, -0.991524)"
7,2023-02-15 16:56:04.475704,1858,"(45.8726, 115.345, -16.5185)","(0.0821397, 0.101128, -0.991477)"
8,2023-02-15 16:56:04.483752,1858,"(45.9105, 115.425, -16.506)","(0.0825634, 0.101775, -0.991375)"
9,2023-02-15 16:56:04.492425,1858,"(45.8015, 115.553, -16.4975)","(0.0816437, 0.103105, -0.991314)"
10,2023-02-15 16:56:04.501890,1858,"(45.6342, 115.632, -16.4473)","(0.0802741, 0.104268, -0.991304)"
11,2023-02-15 16:56:04.510032,1858,"(45.524, 115.676, -16.473)","(0.0796797, 0.105218, -0.991252)"
12,2023-02-15 16:56:04.518564,1858,"(45.3525, 115.606, -16.6069)","(0.0784911, 0.104899, -0.991381)"
13,2023-02-15 16:56:04.526961,1858,"(45.2838, 115.456, -16.6774)","(0.0784448, 0.10393, -0.991486)"
14,2023-02-15 16:56:04.536563,1858,"(45.2581, 115.352, -16.7772)","(0.078641, 0.103217, -0.991545)"
15,2023-02-15 16:56:04.545426,1858,"(45.1008, 115.068, -17.018)","(0.0775301, 0.100746, -0.991887)"
16,2023-02-15 16:56:04.553638,1858,"(45.0455, 114.753, -17.2742)","(0.0772306, 0.0981258, -0.992173)"
17,2023-02-15 16:56:04.561487,1858,"(44.9581, 114.43, -17.5184)","(0.0767353, 0.0953768, -0.992479)"
18,2023-02-15 16:56:04.571208,1858,"(44.8225, 114.123, -17.7014)","(0.0758097, 0.0926582, -0.992808)"
19,2023-02-15 16:56:04.579138,1858,"(44.7302, 113.916, -17.8079)","(0.0753781, 0.0911895, -0.992977)"
20,2023-02-15 16:56:04.588470,1858,"(44.6301, 113.728, -17.8402)","(0.0750261, 0.0900225, -0.99311)"
21,2023-02-15 16:56:04.596230,1858,"(44.5732, 113.582, -17.8824)","(0.0748646, 0.0893339, -0.993184)"
22,2023-02-15 16:56:04.605777,1858,"(44.5398, 113.447, -17.8795)","(0.0750669, 0.0886938, -0.993226)"
23,2023-02-15 16:56:04.613914,1858,"(44.588, 113.365, -17.8948)","(0.0758445, 0.0886075, -0.993175)"
24,2023-02-15 16:56:04.623120,1858,"(44.5846, 113.248, -17.9173)","(0.0757628, 0.088097, -0.993227)"
25,2023-02-15 16:56:04.631256,1858,"(44.6023, 113.2, -17.9504)","(0.0759945, 0.0880677, -0.993211)"
26,2023-02-15 16:56:04.640167,1858,"(44.6152, 113.199, -17.9657)","(0.0761055, 0.0884218, -0.993171)"
27,2023-02-15 16:56:04.648562,1858,"(44.6238, 113.264, -17.9667)","(0.0762358, 0.0891244, -0.993099)"
28,2023-02-15 16:56:04.656878,1858,"(44.6571, 113.331, -17.9642)","(0.0765826, 0.0898795, -0.993004)"
29,2023-02-15 16:56:04.666178,1858,"(44.6637, 113.386, -17.9639)","(0.0767864, 0.0908485, -0.9929)"
