,Time Stamp,Tool ID,Tool Position,Tool Direction
0,2023-02-15 17:10:55.646695,2229,"(-15.123, 123.046, 24.2728)","(-0.027462, 0.0367746, 0.998946)"
1,2023-02-15 17:10:55.654398,2229,"(-15.1072, 123.027, 24.2706)","(-0.0273096, 0.0366023, 0.998957)"
2,2023-02-15 17:10:55.664078,2229,"(-15.1308, 123.019, 24.2565)","(-0.0274418, 0.0364173, 0.99896)"
3,2023-02-15 17:10:55.674447,2229,"(-15.1557, 123.015, 24.248)","(-0.0277152, 0.0363278, 0.998956)"
4,2023-02-15 17:10:55.683822,2229,"(-15.1588, 122.999, 24.2464)","(-0.0278707, 0.0362056, 0.998956)"
5,2023-02-15 17:10:55.692584,2229,"(-15.193, 122.971, 24.2619)","(-0.028328, 0.0361765, 0.998944)"
6,2023-02-15 17:10:55.700894,2229,"(-15.2467, 122.9, 24.2474)","(-0.0288277, 0.0357556, 0.998945)"
7,2023-02-15 17:10:55.728335,2229,"(-15.3141, 122.827, 24.2481)","(-0.0293538, 0.035536, 0.998937)"
8,2023-02-15 17:10:55.735013,2229,"(-15.3582, 122.784, 24.2293)","(-0.0294898, 0.0357073, 0.998927)"
9,2023-02-15 17:10:55.744300,2229,"(-15.3837, 122.759, 24.2217)","(-0.0296563, 0.0361509, 0.998906)"
10,2023-02-15 17:10:55.752280,2229,"(-15.4119, 122.719, 24.2223)","(-0.029754, 0.0360729, 0.998906)"
11,2023-02-15 17:10:55.761144,2229,"(-15.4054, 122.697, 24.2146)","(-0.0295605, 0.0359719, 0.998915)"
12,2023-02-15 17:10:55.770175,2229,"(-15.4275, 122.719, 24.2023)","(-0.0298085, 0.0364265, 0.998892)"
13,2023-02-15 17:10:55.779731,2229,"(-15.4463, 122.727, 24.2092)","(-0.0299525, 0.036634, 0.99888)"
14,2023-02-15 17:10:55.787541,2229,"(-15.4648, 122.751, 24.1958)","(-0.0301418, 0.0369649, 0.998862)"
15,2023-02-15 17:10:55.795990,2229,"(-15.4485, 122.772, 24.1964)","(-0.0298248, 0.037231, 0.998861)"
16,2023-02-15 17:10:55.806206,2229,"(-15.4295, 122.792, 24.2029)","(-0.0295071, 0.0373911, 0.998865)"
17,2023-02-15 17:10:55.814457,2229,"(-15.4426, 122.797, 24.2102)","(-0.0296327, 0.0374158, 0.99886)"
18,2023-02-15 17:10:55.822223,2229,"(-15.467, 122.825, 24.2207)","(-0.0299656, 0.0377076, 0.998839)"
19,2023-02-15 17:10:55.829961,2229,"(-15.4367, 122.82, 24.2095)","(-0.0297115, 0.0376888, 0.998848)"
20,2023-02-15 17:10:55.840735,2229,"(-15.4538, 122.809, 24.2001)","(-0.0299193, 0.0376249, 0.998844)"
21,2023-02-15 17:10:55.849252,2229,"(-15.4702, 122.814, 24.1897)","(-0.0300649, 0.0376791, 0.998838)"
22,2023-02-15 17:10:55.856821,2229,"(-15.4945, 122.801, 24.1788)","(-0.030418, 0.0375966, 0.99883)"
23,2023-02-15 17:10:55.866101,2229,"(-15.529, 122.81, 24.1863)","(-0.0307597, 0.0376995, 0.998816)"
