,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2021-11-06 15:11:15.735566,"(23.55000114440918, -7.650000095367432, 17.423999786376953)","(39.60000228881836, -39.60000228881836, 21.538000106811523)","(36.150001525878906, -22.650001525878906, -12.583999633789062)","(38.85000228881836, -29.250001907348633, 34.12200164794922)","(27.750001907348633, 20.700000762939453, 2.9040000438690186)","(19.350000381469727, 49.650001525878906, -18.149999618530273)","(23.700000762939453, -12.300000190734863, 10.406000137329102)","(17.400001525878906, -1.9500000476837158, -19.601999282836914)"
1,2021-11-06 15:11:15.779915,"(23.700000762939453, -6.750000476837158, 17.423999786376953)","(39.900001525878906, -39.45000076293945, 22.263999938964844)","(36.150001525878906, -22.5, -13.309999465942383)","(38.400001525878906, -28.950000762939453, 33.395999908447266)","(27.30000114440918, 20.850000381469727, 2.4200000762939453)","(20.400001525878906, 49.80000305175781, -18.634000778198242)","(23.55000114440918, -12.450000762939453, 10.163999557495117)","(17.400001525878906, -1.5, -20.327999114990234)"
2,2021-11-06 15:11:15.824722,"(23.700000762939453, -7.650000095367432, 15.003999710083008)","(39.60000228881836, -38.55000305175781, 21.053998947143555)","(36.150001525878906, -22.5, -15.003999710083008)","(38.55000305175781, -28.950000762939453, 33.63800048828125)","(27.900001525878906, 20.55000114440918, 2.177999973297119)","(19.05000114440918, 49.95000076293945, -18.392000198364258)","(23.100000381469727, -12.300000190734863, 10.890000343322754)","(17.400001525878906, -1.6500000953674316, -20.327999114990234)"
3,2021-11-06 15:11:15.913086,"(23.400001525878906, -6.600000381469727, 15.972000122070312)","(38.55000305175781, -38.70000076293945, 21.29599952697754)","(35.25, -22.950000762939453, -13.067999839782715)","(37.80000305175781, -28.500001907348633, 32.9119987487793)","(26.700000762939453, 21.150001525878906, 2.177999973297119)","(19.650001525878906, 49.500003814697266, -18.392000198364258)","(22.350000381469727, -13.200000762939453, 9.437999725341797)","(16.950000762939453, -2.1000001430511475, -20.086000442504883)"
4,2021-11-06 15:11:15.958485,"(21.600000381469727, -7.050000190734863, 16.45599937438965)","(38.85000228881836, -39.0, 21.053998947143555)","(35.10000228881836, -21.900001525878906, -13.552000045776367)","(37.35000228881836, -28.650001525878906, 32.66999816894531)","(27.000001907348633, 20.400001525878906, 0.9679999947547913)","(17.850000381469727, 50.10000228881836, -19.118000030517578)","(22.350000381469727, -11.850000381469727, 10.64799976348877)","(16.05000114440918, -2.1000001430511475, -20.812000274658203)"
5,2021-11-06 15:11:16.003223,"(22.650001525878906, -7.500000476837158, 14.519999504089355)","(39.150001525878906, -39.0, 20.56999969482422)","(35.70000076293945, -22.80000114440918, -14.03600025177002)","(37.650001525878906, -28.950000762939453, 32.428001403808594)","(26.400001525878906, 19.950000762939453, 0.48399999737739563)","(18.600000381469727, 49.95000076293945, -19.360000610351562)","(22.650001525878906, -12.15000057220459, 9.680000305175781)","(16.5, -2.4000000953674316, -19.601999282836914)"
6,2021-11-06 15:11:16.093745,"(23.55000114440918, -7.800000190734863, 15.972000122070312)","(39.150001525878906, -39.0, 21.29599952697754)","(35.55000305175781, -22.950000762939453, -13.309999465942383)","(38.70000076293945, -29.100000381469727, 34.12200164794922)","(27.30000114440918, 19.80000114440918, 1.9359999895095825)","(19.200000762939453, 49.35000228881836, -17.90799903869629)","(22.950000762939453, -13.500000953674316, 10.406000137329102)","(16.350000381469727, -2.25, -19.8439998626709)"
7,2021-11-06 15:11:16.138607,"(24.0, -7.500000476837158, 16.697999954223633)","(39.0, -38.10000228881836, 21.780000686645508)","(35.70000076293945, -23.100000381469727, -13.309999465942383)","(38.25, -28.950000762939453, 33.880001068115234)","(26.850000381469727, 19.650001525878906, 2.9040000438690186)","(19.200000762939453, 49.35000228881836, -17.18199920654297)","(23.25, -13.200000762939453, 11.131999969482422)","(17.100000381469727, -2.4000000953674316, -18.875999450683594)"
8,2021-11-06 15:11:16.228408,"(23.400001525878906, -7.800000190734863, 16.45599937438965)","(39.0, -38.55000305175781, 21.538000106811523)","(35.70000076293945, -23.100000381469727, -13.552000045776367)","(38.85000228881836, -28.350000381469727, 33.395999908447266)","(27.600000381469727, 20.55000114440918, 2.4200000762939453)","(19.200000762939453, 49.35000228881836, -19.360000610351562)","(22.950000762939453, -11.850000381469727, 11.616000175476074)","(17.400001525878906, -1.5, -19.360000610351562)"
9,2021-11-06 15:11:16.273290,"(22.950000762939453, -6.900000095367432, 15.246000289916992)","(38.85000228881836, -39.30000305175781, 19.360000610351562)","(36.45000076293945, -23.25, -15.48799991607666)","(38.25, -28.350000381469727, 30.97599983215332)","(27.600000381469727, 19.950000762939453, -0.7260000109672546)","(19.200000762939453, 48.60000228881836, -21.053998947143555)","(22.650001525878906, -12.0, 8.470000267028809)","(16.650001525878906, -1.9500000476837158, -20.327999114990234)"
