,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2023-01-08 14:35:15.799485,"(69.9000015258789, 23.850000381469727, 128.25999450683594)","(38.10000228881836, 8.100000381469727, 57.354000091552734)","(32.10000228881836, 91.5, 91.95999908447266)","(10.050000190734863, 44.10000228881836, 125.5979995727539)","(82.5, 58.05000305175781, 48.641998291015625)","(77.85000610351562, 181.20001220703125, -55.65999984741211)","(60.900001525878906, 63.30000305175781, -71.63199615478516)","(490.20001220703125, 9.15000057220459, -302.74200439453125)"
1,2023-01-08 14:35:15.844348,"(69.1500015258789, 22.950000762939453, 129.71200561523438)","(38.10000228881836, 8.100000381469727, 57.59600067138672)","(31.350000381469727, 92.10000610351562, 90.50800323486328)","(10.950000762939453, 45.30000305175781, 126.56600189208984)","(79.95000457763672, 57.60000228881836, 54.20800018310547)","(75.1500015258789, 183.60000610351562, -57.8380012512207)","(63.000003814697266, 62.70000076293945, -69.21199798583984)","(491.1000061035156, 9.450000762939453, -302.9840087890625)"
2,2023-01-08 14:35:15.979869,"(69.1500015258789, 23.25, 127.53399658203125)","(38.85000228881836, 7.800000190734863, 59.04800033569336)","(31.950000762939453, 91.5, 94.13800048828125)","(9.15000057220459, 44.25, 126.3239974975586)","(80.70000457763672, 58.20000076293945, 50.093997955322266)","(76.35000610351562, 183.0, -58.07999801635742)","(63.000003814697266, 62.400001525878906, -70.18000030517578)","(492.3000183105469, 8.850000381469727, -302.9840087890625)"
3,2023-01-08 14:35:15.980466,"(68.85000610351562, 23.100000381469727, 128.25999450683594)","(39.0, 8.700000762939453, 57.8380012512207)","(31.650001525878906, 91.80000305175781, 92.68599700927734)","(11.100000381469727, 46.05000305175781, 128.74400329589844)","(80.70000457763672, 59.400001525878906, 52.27199935913086)","(76.05000305175781, 183.90000915527344, -56.869998931884766)","(60.45000076293945, 64.5, -71.63199615478516)","(491.70001220703125, 9.450000762939453, -302.74200439453125)"
4,2023-01-08 14:35:16.080923,"(69.30000305175781, 22.950000762939453, 128.98599243164062)","(38.25, 7.800000190734863, 57.354000091552734)","(32.70000076293945, 93.0, 92.20199584960938)","(11.25, 42.900001525878906, 126.3239974975586)","(80.4000015258789, 58.35000228881836, 51.30400085449219)","(76.95000457763672, 184.65000915527344, -57.11199951171875)","(63.45000076293945, 63.900001525878906, -71.8740005493164)","(490.20001220703125, 9.0, -301.2900085449219)"
5,2023-01-08 14:35:16.113745,"(70.35000610351562, 23.100000381469727, 128.74400329589844)","(38.70000076293945, 8.25, 58.56399917602539)","(30.750001907348633, 91.80000305175781, 92.20199584960938)","(8.40000057220459, 44.400001525878906, 127.05000305175781)","(81.30000305175781, 58.20000076293945, 50.093997955322266)","(75.60000610351562, 184.20001220703125, -56.14400100708008)","(61.35000228881836, 66.1500015258789, -69.4540023803711)","(489.7500305175781, 8.700000762939453, -301.5320129394531)"
6,2023-01-08 14:35:16.159079,"(69.9000015258789, 23.100000381469727, 129.22799682617188)","(39.45000076293945, 8.25, 58.321998596191406)","(31.350000381469727, 92.25, 92.20199584960938)","(10.050000190734863, 44.85000228881836, 127.29199981689453)","(80.4000015258789, 59.250003814697266, 51.0620002746582)","(76.20000457763672, 183.45001220703125, -56.38600158691406)","(60.60000228881836, 65.25, -71.63199615478516)","(490.6500244140625, 9.600000381469727, -300.8059997558594)"
7,2023-01-08 14:35:16.249553,"(68.85000610351562, 23.100000381469727, 128.98599243164062)","(38.400001525878906, 8.25, 57.11199951171875)","(31.500001907348633, 92.85000610351562, 92.9280014038086)","(11.25, 44.85000228881836, 126.80799865722656)","(82.20000457763672, 59.250003814697266, 52.029998779296875)","(74.85000610351562, 183.60000610351562, -56.38600158691406)","(63.30000305175781, 63.750003814697266, -69.69599914550781)","(491.8500061035156, 10.350000381469727, -301.2900085449219)"
8,2023-01-08 14:35:16.293859,"(70.05000305175781, 24.0, 128.74400329589844)","(38.10000228881836, 7.800000190734863, 58.321998596191406)","(31.950000762939453, 91.80000305175781, 91.71800231933594)","(10.200000762939453, 44.70000076293945, 126.56600189208984)","(82.35000610351562, 57.45000076293945, 50.81999969482422)","(77.85000610351562, 183.3000030517578, -56.869998931884766)","(58.650001525878906, 63.000003814697266, -72.84200286865234)","(493.20001220703125, 10.350000381469727, -301.77398681640625)"
9,2023-01-08 14:35:16.339195,"(69.9000015258789, 22.5, 128.98599243164062)","(38.25, 9.0, 57.8380012512207)","(32.55000305175781, 92.4000015258789, 92.44400024414062)","(13.200000762939453, 44.400001525878906, 125.5979995727539)","(79.6500015258789, 58.500003814697266, 50.577999114990234)","(76.20000457763672, 183.15000915527344, -57.59600067138672)","(60.900001525878906, 63.900001525878906, -70.4219970703125)","(494.2500305175781, 10.050000190734863, -302.0159912109375)"
