,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2023-01-08 15:17:36.669276,"(70.95000457763672, 26.850000381469727, 67.51799774169922)","(40.650001525878906, 9.600000381469727, 63.1619987487793)","(30.450000762939453, 67.20000457763672, 58.07999801635742)","(19.5, 45.60000228881836, 123.1780014038086)","(60.60000228881836, 39.45000076293945, 45.97999954223633)","(88.6500015258789, 170.25, -64.85600280761719)","(51.900001525878906, 49.650001525878906, -76.71399688720703)","(456.0000305175781, 33.75, -355.0140075683594)"
1,2023-01-08 15:17:36.714126,"(70.05000305175781, 26.700000762939453, 66.79199981689453)","(40.20000076293945, 8.700000762939453, 63.1619987487793)","(30.600000381469727, 67.20000457763672, 57.59600067138672)","(21.150001525878906, 46.5, 120.51599884033203)","(59.400001525878906, 40.80000305175781, 45.49599838256836)","(88.6500015258789, 168.90000915527344, -63.40399932861328)","(51.000003814697266, 50.250003814697266, -76.71399688720703)","(457.95001220703125, 34.80000305175781, -355.98199462890625)"
2,2023-01-08 15:17:36.803675,"(70.20000457763672, 26.850000381469727, 67.03399658203125)","(40.20000076293945, 9.0, 63.1619987487793)","(30.450000762939453, 67.20000457763672, 57.8380012512207)","(18.600000381469727, 45.60000228881836, 122.69400024414062)","(60.000003814697266, 39.45000076293945, 44.77000045776367)","(88.95000457763672, 167.25, -65.33999633789062)","(51.45000076293945, 49.95000076293945, -76.71399688720703)","(459.9000244140625, 36.0, -355.49798583984375)"
3,2023-01-08 15:17:36.848583,"(71.10000610351562, 27.150001525878906, 66.55000305175781)","(40.650001525878906, 8.850000381469727, 62.91999816894531)","(30.450000762939453, 67.20000457763672, 57.11199951171875)","(19.5, 44.85000228881836, 120.03199768066406)","(60.750003814697266, 38.55000305175781, 44.2859992980957)","(87.0, 166.8000030517578, -64.85600280761719)","(51.150001525878906, 50.70000076293945, -76.47200012207031)","(463.3500061035156, 38.400001525878906, -355.739990234375)"
4,2023-01-08 15:17:36.894083,"(70.80000305175781, 28.05000114440918, 67.2760009765625)","(39.900001525878906, 9.15000057220459, 63.40399932861328)","(30.600000381469727, 67.20000457763672, 57.59600067138672)","(19.200000762939453, 45.45000076293945, 121.24199676513672)","(59.55000305175781, 39.75, 44.77000045776367)","(86.70000457763672, 166.35000610351562, -63.1619987487793)","(50.400001525878906, 50.55000305175781, -76.95600128173828)","(463.95001220703125, 39.900001525878906, -358.1600036621094)"
5,2023-01-08 15:17:36.983809,"(70.80000305175781, 27.000001907348633, 67.2760009765625)","(40.35000228881836, 8.850000381469727, 63.1619987487793)","(30.450000762939453, 67.05000305175781, 57.59600067138672)","(19.5, 44.55000305175781, 120.27400207519531)","(59.250003814697266, 40.20000076293945, 45.012001037597656)","(86.85000610351562, 166.65000915527344, -66.30799865722656)","(50.55000305175781, 49.650001525878906, -77.44000244140625)","(463.20001220703125, 39.60000228881836, -358.6440124511719)"
6,2023-01-08 15:17:37.028769,"(70.95000457763672, 27.000001907348633, 67.2760009765625)","(40.20000076293945, 9.15000057220459, 63.1619987487793)","(30.450000762939453, 66.9000015258789, 57.8380012512207)","(19.650001525878906, 45.75, 122.45199584960938)","(60.30000305175781, 38.70000076293945, 45.25400161743164)","(85.95000457763672, 167.10000610351562, -66.06600189208984)","(50.70000076293945, 49.95000076293945, -76.47200012207031)","(462.1500244140625, 39.45000076293945, -359.12799072265625)"
7,2023-01-08 15:17:37.119219,"(70.35000610351562, 27.600000381469727, 67.2760009765625)","(40.35000228881836, 9.15000057220459, 62.43600082397461)","(30.450000762939453, 67.20000457763672, 58.07999801635742)","(19.950000762939453, 45.60000228881836, 121.24199676513672)","(60.000003814697266, 40.20000076293945, 44.77000045776367)","(87.45000457763672, 166.0500030517578, -65.33999633789062)","(50.400001525878906, 50.70000076293945, -76.47200012207031)","(462.0000305175781, 38.55000305175781, -358.6440124511719)"
8,2023-01-08 15:17:37.163381,"(70.80000305175781, 28.05000114440918, 67.03399658203125)","(39.900001525878906, 8.850000381469727, 63.40399932861328)","(30.450000762939453, 67.20000457763672, 58.321998596191406)","(19.950000762939453, 45.60000228881836, 121.48400115966797)","(59.70000076293945, 38.70000076293945, 45.97999954223633)","(88.20000457763672, 165.3000030517578, -65.58200073242188)","(50.10000228881836, 50.400001525878906, -75.74600219726562)","(462.0000305175781, 38.70000076293945, -357.9179992675781)"
9,2023-01-08 15:17:37.208763,"(70.6500015258789, 27.450000762939453, 67.76000213623047)","(40.20000076293945, 9.15000057220459, 62.678001403808594)","(30.450000762939453, 67.5, 57.8380012512207)","(20.25, 46.05000305175781, 122.93599700927734)","(59.70000076293945, 40.05000305175781, 45.97999954223633)","(87.0, 167.70001220703125, -66.30799865722656)","(50.70000076293945, 49.650001525878906, -76.47200012207031)","(460.95001220703125, 38.25, -357.6759948730469)"
