,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12
0,2023-02-11 21:15:24.577753,"(11.850000381469727, 56.400001525878906, 66.30799865722656)","(4.650000095367432, 71.85000610351562, 82.76399993896484)","(24.600000381469727, 40.35000228881836, 68.24400329589844)","(8.100000381469727, 48.30000305175781, 61.709999084472656)","(-10.65000057220459, 81.0, 59.290000915527344)","(17.25, 44.55000305175781, 62.91999816894531)","(-10.5, 59.55000305175781, 30.733999252319336)","(23.850000381469727, 99.9000015258789, 73.56800079345703)","(19.350000381469727, 82.5, 69.93799591064453)","(-44.10000228881836, 50.70000076293945, 10.890000343322754)","(-30.450000762939453, 7.650000095367432, -4.355999946594238)","(-37.650001525878906, 19.5, 5.565999984741211)"
1,2023-02-11 21:15:24.622270,"(10.050000190734863, 55.95000076293945, 66.06600189208984)","(3.450000047683716, 69.45000457763672, 85.90999603271484)","(25.950000762939453, 41.25, 67.2760009765625)","(10.65000057220459, 45.75, 62.91999816894531)","(-9.450000762939453, 78.9000015258789, 57.59600067138672)","(18.30000114440918, 45.150001525878906, 60.98400115966797)","(-7.350000381469727, 58.95000076293945, 32.18600082397461)","(23.55000114440918, 100.05000305175781, 73.32599639892578)","(18.900001525878906, 83.70000457763672, 68.48600006103516)","(-43.650001525878906, 51.750003814697266, 6.533999919891357)","(-30.450000762939453, 7.350000381469727, -7.01800012588501)","(-38.85000228881836, 19.05000114440918, 6.533999919891357)"
2,2023-02-11 21:15:24.667751,"(11.100000381469727, 56.55000305175781, 66.30799865722656)","(2.25, 71.85000610351562, 81.7959976196289)","(25.950000762939453, 40.05000305175781, 65.33999633789062)","(9.300000190734863, 47.70000076293945, 61.22599792480469)","(-8.850000381469727, 80.70000457763672, 56.14400100708008)","(18.0, 45.150001525878906, 61.46799850463867)","(-9.15000057220459, 58.500003814697266, 34.36399841308594)","(20.700000762939453, 97.95000457763672, 77.68199920654297)","(20.55000114440918, 80.85000610351562, 71.14800262451172)","(-44.25, 53.250003814697266, 8.227999687194824)","(-28.05000114440918, 5.850000381469727, -5.808000087738037)","(-37.80000305175781, 19.05000114440918, 4.5980000495910645)"
3,2023-02-11 21:15:24.712621,"(10.800000190734863, 56.55000305175781, 67.76000213623047)","(4.650000095367432, 70.95000457763672, 82.27999877929688)","(26.400001525878906, 41.70000076293945, 69.4540023803711)","(9.0, 47.85000228881836, 63.1619987487793)","(-10.800000190734863, 78.75, 57.59600067138672)","(17.850000381469727, 43.80000305175781, 61.709999084472656)","(-8.25, 61.500003814697266, 35.09000015258789)","(22.5, 96.1500015258789, 74.77799987792969)","(18.0, 82.35000610351562, 74.77799987792969)","(-42.45000076293945, 52.95000076293945, 12.583999633789062)","(-30.450000762939453, 5.550000190734863, -4.113999843597412)","(-37.5, 20.100000381469727, 5.808000087738037)"
4,2023-02-11 21:15:24.757182,"(10.350000381469727, 57.60000228881836, 67.76000213623047)","(5.400000095367432, 71.55000305175781, 85.66799926757812)","(25.80000114440918, 41.25, 69.93799591064453)","(11.850000381469727, 48.150001525878906, 61.22599792480469)","(-8.700000762939453, 80.4000015258789, 60.742000579833984)","(18.75, 44.25, 62.678001403808594)","(-8.100000381469727, 61.500003814697266, 33.880001068115234)","(22.650001525878906, 101.4000015258789, 72.84200286865234)","(20.25, 81.9000015258789, 73.08399963378906)","(-41.70000076293945, 53.250003814697266, 9.437999725341797)","(-30.000001907348633, 4.5, -7.986000061035156)","(-37.80000305175781, 20.55000114440918, 5.565999984741211)"
5,2023-02-11 21:15:24.758750,"(11.40000057220459, 56.400001525878906, 68.24400329589844)","(3.450000047683716, 68.85000610351562, 82.76399993896484)","(26.100000381469727, 40.5, 67.76000213623047)","(11.25, 45.75, 64.61399841308594)","(-9.15000057220459, 79.35000610351562, 58.07999801635742)","(18.600000381469727, 45.75, 63.645999908447266)","(-5.700000286102295, 59.70000076293945, 35.332000732421875)","(22.05000114440918, 99.75000762939453, 75.74600219726562)","(21.150001525878906, 84.0, 69.93799591064453)","(-43.20000076293945, 54.45000076293945, 10.64799976348877)","(-27.450000762939453, 9.600000381469727, -2.9040000438690186)","(-36.900001525878906, 20.100000381469727, 4.840000152587891)"
6,2023-02-11 21:15:24.801984,"(12.15000057220459, 56.55000305175781, 68.48600006103516)","(5.700000286102295, 72.1500015258789, 83.48999786376953)","(27.30000114440918, 41.400001525878906, 69.93799591064453)","(11.100000381469727, 49.05000305175781, 63.88800048828125)","(-9.75, 81.1500015258789, 61.95199966430664)","(19.200000762939453, 45.0, 63.1619987487793)","(-5.850000381469727, 58.05000305175781, 36.29999923706055)","(22.950000762939453, 98.55000305175781, 76.71399688720703)","(21.900001525878906, 84.1500015258789, 74.53600311279297)","(-43.05000305175781, 53.85000228881836, 11.37399959564209)","(-28.05000114440918, 7.500000476837158, -1.2100000381469727)","(-35.25, 20.100000381469727, 6.050000190734863)"
7,2023-02-11 21:15:24.847099,"(13.050000190734863, 58.05000305175781, 70.18000030517578)","(7.500000476837158, 70.80000305175781, 87.60399627685547)","(25.500001907348633, 40.95000076293945, 70.90599822998047)","(8.850000381469727, 47.55000305175781, 64.61399841308594)","(-8.550000190734863, 79.05000305175781, 60.257999420166016)","(19.350000381469727, 45.150001525878906, 65.0979995727539)","(-9.0, 61.80000305175781, 38.47800064086914)","(23.700000762939453, 99.9000015258789, 76.95600128173828)","(20.55000114440918, 84.45000457763672, 74.77799987792969)","(-42.60000228881836, 54.60000228881836, 12.826000213623047)","(-27.600000381469727, 8.550000190734863, 0.7260000109672546)","(-36.0, 20.100000381469727, 8.227999687194824)"
8,2023-02-11 21:15:24.892456,"(12.450000762939453, 56.85000228881836, 68.00199890136719)","(5.850000381469727, 69.75, 88.33000183105469)","(27.150001525878906, 41.70000076293945, 70.90599822998047)","(8.40000057220459, 52.500003814697266, 66.06600189208984)","(-7.200000286102295, 81.45000457763672, 59.04800033569336)","(18.900001525878906, 45.0, 64.85600280761719)","(-7.050000190734863, 59.85000228881836, 35.332000732421875)","(24.600000381469727, 99.45000457763672, 74.29399871826172)","(21.150001525878906, 84.60000610351562, 73.56800079345703)","(-41.10000228881836, 55.35000228881836, 13.067999839782715)","(-26.850000381469727, 6.750000476837158, -0.24199999868869781)","(-35.10000228881836, 21.150001525878906, 6.776000022888184)"
9,2023-02-11 21:15:24.936962,"(12.750000953674316, 58.20000076293945, 69.21199798583984)","(4.050000190734863, 73.35000610351562, 87.12000274658203)","(28.350000381469727, 42.0, 70.4219970703125)","(13.200000762939453, 47.400001525878906, 64.85600280761719)","(-4.650000095367432, 80.70000457763672, 59.04800033569336)","(20.100000381469727, 45.150001525878906, 65.0979995727539)","(-3.9000000953674316, 59.55000305175781, 36.54199981689453)","(25.500001907348633, 101.25000762939453, 78.6500015258789)","(22.950000762939453, 84.0, 75.50399780273438)","(-39.900001525878906, 54.45000076293945, 13.309999465942383)","(-25.05000114440918, 9.450000762939453, -1.2100000381469727)","(-35.70000076293945, 21.30000114440918, 9.92199993133545)"
