,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-11-16 16:22:05.939714,"(48.900001525878906, 37.95000076293945, 42.83399963378906)","(50.250003814697266, 44.25, 58.07999801635742)","(55.95000076293945, 109.50000762939453, 83.48999786376953)","(47.55000305175781, 41.70000076293945, 76.2300033569336)","(71.4000015258789, 43.80000305175781, 113.98200225830078)","(27.450000762939453, 48.0, 70.18000030517578)","(22.650001525878906, 38.55000305175781, 7.986000061035156)","(59.250003814697266, 42.900001525878906, 75.74600219726562)"
1,2022-11-16 16:22:05.988283,"(48.0, 37.05000305175781, 42.10799789428711)","(50.70000076293945, 44.25, 58.07999801635742)","(54.60000228881836, 108.75000762939453, 83.48999786376953)","(48.0, 42.150001525878906, 76.71399688720703)","(73.5, 45.900001525878906, 110.83599853515625)","(28.650001525878906, 47.55000305175781, 72.5999984741211)","(23.25, 38.70000076293945, 7.01800012588501)","(59.250003814697266, 42.45000076293945, 75.98799896240234)"
2,2022-11-16 16:22:06.039997,"(49.500003814697266, 36.150001525878906, 41.86600112915039)","(51.750003814697266, 44.55000305175781, 57.8380012512207)","(56.10000228881836, 109.95000457763672, 81.7959976196289)","(48.150001525878906, 41.25, 76.71399688720703)","(73.20000457763672, 43.650001525878906, 111.31999969482422)","(30.600000381469727, 48.60000228881836, 70.90599822998047)","(23.400001525878906, 38.70000076293945, 7.986000061035156)","(60.000003814697266, 42.45000076293945, 75.50399780273438)"
3,2022-11-16 16:22:06.189264,"(49.650001525878906, 36.60000228881836, 42.59199905395508)","(50.70000076293945, 43.80000305175781, 57.354000091552734)","(56.10000228881836, 109.80000305175781, 80.34400177001953)","(48.60000228881836, 39.75, 74.29399871826172)","(74.70000457763672, 45.75, 111.0780029296875)","(29.55000114440918, 49.20000076293945, 72.11599731445312)","(23.850000381469727, 38.85000228881836, 7.501999855041504)","(60.150001525878906, 42.150001525878906, 75.74600219726562)"
4,2022-11-16 16:22:06.239972,"(49.80000305175781, 35.55000305175781, 44.04399871826172)","(50.70000076293945, 44.10000228881836, 57.11199951171875)","(55.95000076293945, 109.6500015258789, 81.31199645996094)","(49.20000076293945, 41.55000305175781, 74.29399871826172)","(74.85000610351562, 45.30000305175781, 110.11000061035156)","(29.700000762939453, 48.45000076293945, 73.08399963378906)","(24.0, 38.25, 7.01800012588501)","(60.750003814697266, 41.85000228881836, 75.26200103759766)"
5,2022-11-16 16:22:06.241993,"(49.20000076293945, 36.0, 39.6879997253418)","(50.70000076293945, 43.650001525878906, 56.869998931884766)","(55.500003814697266, 110.55000305175781, 81.31199645996094)","(47.70000076293945, 40.5, 76.2300033569336)","(73.95000457763672, 44.400001525878906, 111.31999969482422)","(28.200000762939453, 46.80000305175781, 71.8740005493164)","(24.900001525878906, 37.5, 4.5980000495910645)","(60.60000228881836, 41.85000228881836, 73.56800079345703)"
6,2022-11-16 16:22:06.289490,"(47.70000076293945, 36.150001525878906, 39.6879997253418)","(50.400001525878906, 43.650001525878906, 54.45000076293945)","(55.500003814697266, 110.55000305175781, 79.13400268554688)","(48.45000076293945, 39.75, 76.2300033569336)","(73.5, 44.10000228881836, 109.38400268554688)","(29.400001525878906, 47.400001525878906, 71.14800262451172)","(24.30000114440918, 37.20000076293945, 3.388000011444092)","(60.150001525878906, 41.25, 73.32599639892578)"
7,2022-11-16 16:22:06.439833,"(47.400001525878906, 34.5, 37.75199890136719)","(49.35000228881836, 43.5, 55.17599868774414)","(55.35000228881836, 109.35000610351562, 78.6500015258789)","(47.70000076293945, 40.95000076293945, 71.8740005493164)","(74.25, 43.20000076293945, 106.96399688720703)","(29.250001907348633, 47.70000076293945, 67.2760009765625)","(23.700000762939453, 35.85000228881836, 2.4200000762939453)","(60.30000305175781, 40.5, 71.8740005493164)"
8,2022-11-16 16:22:06.538232,"(47.85000228881836, 35.85000228881836, 37.268001556396484)","(49.05000305175781, 42.45000076293945, 54.20800018310547)","(53.400001525878906, 108.75000762939453, 80.34400177001953)","(47.85000228881836, 38.400001525878906, 73.80999755859375)","(74.25, 44.400001525878906, 107.93199920654297)","(29.55000114440918, 47.400001525878906, 68.72799682617188)","(24.600000381469727, 34.95000076293945, 1.694000005722046)","(60.000003814697266, 40.20000076293945, 70.66400146484375)"
9,2022-11-16 16:22:06.540944,"(46.80000305175781, 34.95000076293945, 36.54199981689453)","(49.20000076293945, 41.400001525878906, 53.23999786376953)","(54.45000076293945, 109.20000457763672, 77.197998046875)","(45.150001525878906, 38.85000228881836, 71.38999938964844)","(74.85000610351562, 41.55000305175781, 105.75399780273438)","(30.900001525878906, 46.80000305175781, 65.0979995727539)","(24.30000114440918, 34.80000305175781, 0.48399999737739563)","(60.45000076293945, 40.20000076293945, 70.4219970703125)"
10,2022-11-16 16:22:06.737615,"(46.95000076293945, 34.20000076293945, 35.332000732421875)","(49.650001525878906, 42.150001525878906, 52.99800109863281)","(54.45000076293945, 108.30000305175781, 80.10199737548828)","(46.35000228881836, 38.10000228881836, 5.571352329836355e-26)","(-9.047496566530316e-27, 3.197488813029255e-15, -152833130496.0)","(-5.289172418291912e+22, 1.1921021325633774e-07, -1.4059374483174603e-35)","(24.750614166259766, 34.35000228881836, 0.9679999947547913)","(60.900001525878906, 38.85000228881836, 69.21199798583984)"
11,2022-11-16 16:22:06.740712,"(48.150001525878906, 33.0, 33.63800048828125)","(50.10000228881836, 41.70000076293945, 52.513999938964844)","(54.150001525878906, 106.50000762939453, 77.92399597167969)","(46.5, 37.80000305175781, 69.4540023803711)","(74.85000610351562, 42.0, 105.02799987792969)","(30.600000381469727, 43.95000076293945, 66.06600189208984)","(24.900001525878906, 34.650001525878906, 0.24199999868869781)","(61.05000305175781, 38.85000228881836, 69.4540023803711)"
12,2022-11-16 16:22:06.743187,"(49.650001525878906, 32.70000076293945, 35.81599807739258)","(51.000003814697266, 42.0, 52.75600051879883)","(55.35000228881836, 107.55000305175781, 76.2300033569336)","(46.80000305175781, 38.70000076293945, 70.66400146484375)","(75.9000015258789, 42.60000228881836, 106.72200012207031)","(32.55000305175781, 45.45000076293945, 65.8239974975586)","(25.950000762939453, 33.900001525878906, 0.9679999947547913)","(62.55000305175781, 38.25, 70.4219970703125)"
13,2022-11-16 16:22:06.838941,"(49.650001525878906, 32.25, 35.09000015258789)","(51.30000305175781, 41.55000305175781, 52.513999938964844)","(57.150001525878906, 107.4000015258789, 76.71399688720703)","(49.20000076293945, 37.5, 70.90599822998047)","(77.70000457763672, 42.45000076293945, 107.447998046875)","(31.200000762939453, 44.25, 65.8239974975586)","(27.000001907348633, 33.45000076293945, -0.48399999737739563)","(62.70000076293945, 38.10000228881836, 70.4219970703125)"
14,2022-11-16 16:22:06.841794,"(51.750003814697266, 31.950000762939453, 35.09000015258789)","(51.900001525878906, 40.35000228881836, 52.75600051879883)","(59.250003814697266, 106.35000610351562, 77.44000244140625)","(50.10000228881836, 35.10000228881836, 72.5999984741211)","(75.30000305175781, 40.80000305175781, 105.75399780273438)","(33.0, 43.05000305175781, 66.30799865722656)","(28.650001525878906, 33.30000305175781, 1.694000005722046)","(63.30000305175781, 37.5, 70.66400146484375)"
15,2022-11-16 16:22:06.889247,"(51.60000228881836, 29.850000381469727, 34.847999572753906)","(52.80000305175781, 40.05000305175781, 53.23999786376953)","(58.80000305175781, 106.20000457763672, 78.89199829101562)","(52.650001525878906, 37.80000305175781, 68.97000122070312)","(78.30000305175781, 40.5, 107.93199920654297)","(32.400001525878906, 45.45000076293945, 68.24400329589844)","(28.950000762939453, 32.400001525878906, 0.7260000109672546)","(64.95000457763672, 37.650001525878906, 71.63199615478516)"
16,2022-11-16 16:22:06.989449,"(53.400001525878906, 30.600000381469727, 35.332000732421875)","(54.150001525878906, 39.75, 53.23999786376953)","(58.05000305175781, 105.30000305175781, 77.197998046875)","(51.45000076293945, 37.35000228881836, 69.4540023803711)","(77.70000457763672, 41.10000228881836, 106.72200012207031)","(31.80000114440918, 45.0, 67.51799774169922)","(30.000001907348633, 32.400001525878906, 2.4200000762939453)","(65.10000610351562, 37.650001525878906, 71.38999938964844)"
