,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-04 10:25:19.661761,"(0.15000000596046448, 28.80000114440918, 36.54199981689453)","(18.75, 37.5, 71.38999938964844)","(17.25, 105.45000457763672, 97.76799774169922)","(19.80000114440918, 37.35000228881836, 96.0739974975586)","(39.0, 36.150001525878906, 93.65399932861328)","(6.600000381469727, 40.05000305175781, 85.4260025024414)","(-18.450000762939453, 32.70000076293945, 21.29599952697754)","(30.000001907348633, 44.85000228881836, 90.50800323486328)"
1,2022-12-04 10:25:19.750902,"(0.0, 28.650001525878906, 36.54199981689453)","(19.200000762939453, 37.80000305175781, 71.63199615478516)","(18.0, 105.75000762939453, 98.4939956665039)","(19.05000114440918, 37.05000305175781, 95.83200073242188)","(39.0, 36.0, 92.9280014038086)","(6.900000095367432, 40.35000228881836, 86.39399719238281)","(-18.600000381469727, 33.30000305175781, 19.601999282836914)","(29.100000381469727, 44.10000228881836, 91.23400115966797)"
2,2022-12-04 10:25:19.795979,"(0.0, 28.200000762939453, 37.0260009765625)","(21.150001525878906, 37.5, 70.4219970703125)","(16.05000114440918, 104.55000305175781, 98.73600006103516)","(19.950000762939453, 36.45000076293945, 96.0739974975586)","(39.45000076293945, 36.0, 92.9280014038086)","(7.050000190734863, 40.650001525878906, 86.87799835205078)","(-18.900001525878906, 33.45000076293945, 20.086000442504883)","(28.950000762939453, 44.400001525878906, 90.26599884033203)"
3,2022-12-04 10:25:19.841067,"(0.30000001192092896, 28.80000114440918, 37.75199890136719)","(19.200000762939453, 36.45000076293945, 70.66400146484375)","(16.950000762939453, 105.00000762939453, 99.22000122070312)","(20.100000381469727, 36.45000076293945, 96.80000305175781)","(38.70000076293945, 35.85000228881836, 92.9280014038086)","(6.900000095367432, 40.5, 86.39399719238281)","(-18.150001525878906, 31.950000762939453, 21.29599952697754)","(29.250001907348633, 44.400001525878906, 91.23400115966797)"
4,2022-12-04 10:25:19.931541,"(1.0500000715255737, 28.500001907348633, 37.99399948120117)","(18.600000381469727, 37.5, 70.4219970703125)","(18.900001525878906, 104.55000305175781, 100.18799591064453)","(19.200000762939453, 36.75, 96.55799865722656)","(37.80000305175781, 35.55000305175781, 94.86399841308594)","(7.200000286102295, 40.5, 86.63600158691406)","(-19.200000762939453, 32.55000305175781, 20.812000274658203)","(29.250001907348633, 44.25, 90.26599884033203)"
5,2022-12-04 10:25:19.983069,"(1.2000000476837158, 28.80000114440918, 37.75199890136719)","(19.200000762939453, 36.75, 72.11599731445312)","(16.80000114440918, 104.4000015258789, 98.25199890136719)","(19.5, 36.150001525878906, 96.55799865722656)","(38.55000305175781, 35.400001525878906, 92.44400024414062)","(7.200000286102295, 40.5, 86.1520004272461)","(-18.150001525878906, 32.10000228881836, 20.812000274658203)","(29.100000381469727, 44.55000305175781, 91.23400115966797)"
6,2022-12-04 10:25:20.066053,"(0.45000001788139343, 29.100000381469727, 37.268001556396484)","(18.30000114440918, 37.05000305175781, 70.66400146484375)","(17.700000762939453, 105.45000457763672, 99.94599914550781)","(19.950000762939453, 36.60000228881836, 96.80000305175781)","(38.55000305175781, 36.60000228881836, 92.9280014038086)","(7.050000190734863, 40.5, 86.39399719238281)","(-18.0, 32.70000076293945, 21.053998947143555)","(29.55000114440918, 44.55000305175781, 91.47599792480469)"
7,2022-12-04 10:25:20.110836,"(-0.30000001192092896, 28.80000114440918, 36.784000396728516)","(20.55000114440918, 36.30000305175781, 69.93799591064453)","(16.650001525878906, 104.4000015258789, 99.46199798583984)","(19.950000762939453, 36.75, 96.80000305175781)","(37.95000076293945, 36.45000076293945, 93.89599609375)","(6.750000476837158, 40.35000228881836, 87.12000274658203)","(-18.30000114440918, 32.400001525878906, 21.780000686645508)","(29.400001525878906, 44.400001525878906, 90.50800323486328)"
8,2022-12-04 10:25:20.156069,"(1.0500000715255737, 28.650001525878906, 38.47800064086914)","(20.100000381469727, 37.05000305175781, 73.56800079345703)","(16.950000762939453, 104.55000305175781, 99.22000122070312)","(19.650001525878906, 36.150001525878906, 97.04199981689453)","(39.45000076293945, 36.150001525878906, 93.89599609375)","(7.050000190734863, 40.650001525878906, 87.36199951171875)","(-17.850000381469727, 32.70000076293945, 21.053998947143555)","(29.55000114440918, 44.25, 91.23400115966797)"
9,2022-12-04 10:25:20.291871,"(0.75, 28.500001907348633, 38.236000061035156)","(19.950000762939453, 36.75, 73.32599639892578)","(17.850000381469727, 105.30000305175781, 99.7040023803711)","(19.80000114440918, 36.150001525878906, 98.25199890136719)","(39.75, 36.150001525878906, 93.89599609375)","(7.050000190734863, 40.20000076293945, 87.60399627685547)","(-18.0, 32.400001525878906, 22.506000518798828)","(29.55000114440918, 44.10000228881836, 91.47599792480469)"
10,2022-12-04 10:25:20.292316,"(1.2000000476837158, 28.950000762939453, 38.720001220703125)","(19.650001525878906, 37.20000076293945, 72.5999984741211)","(17.400001525878906, 104.4000015258789, 99.94599914550781)","(20.400001525878906, 36.45000076293945, 97.5260009765625)","(39.150001525878906, 36.0, 93.89599609375)","(7.350000381469727, 41.400001525878906, 88.5719985961914)","(-17.850000381469727, 32.70000076293945, 22.989999771118164)","(30.000001907348633, 44.70000076293945, 93.16999816894531)"
11,2022-12-04 10:25:20.336483,"(1.8000000715255737, 28.80000114440918, 39.20399856567383)","(20.400001525878906, 37.80000305175781, 74.77799987792969)","(18.75, 104.55000305175781, 101.63999938964844)","(19.80000114440918, 37.05000305175781, 98.25199890136719)","(38.400001525878906, 36.60000228881836, 94.13800048828125)","(7.650000095367432, 40.95000076293945, 88.81400299072266)","(-16.650001525878906, 33.60000228881836, 24.200000762939453)","(30.150001525878906, 45.150001525878906, 93.16999816894531)"
12,2022-12-04 10:25:20.426761,"(1.9500000476837158, 28.950000762939453, 39.93000030517578)","(20.850000381469727, 36.900001525878906, 73.56800079345703)","(18.30000114440918, 105.1500015258789, 100.6719970703125)","(20.700000762939453, 37.05000305175781, 99.7040023803711)","(39.45000076293945, 36.45000076293945, 94.62200164794922)","(7.950000286102295, 41.25, 90.02400207519531)","(-17.400001525878906, 33.45000076293945, 24.200000762939453)","(30.30000114440918, 45.30000305175781, 93.65399932861328)"
13,2022-12-04 10:25:20.515994,"(2.4000000953674316, 29.100000381469727, 41.13999938964844)","(19.650001525878906, 37.35000228881836, 76.2300033569336)","(18.75, 104.85000610351562, 102.36599731445312)","(20.400001525878906, 36.900001525878906, 99.7040023803711)","(39.900001525878906, 35.85000228881836, 95.3479995727539)","(7.800000190734863, 40.95000076293945, 89.78199768066406)","(-16.80000114440918, 33.150001525878906, 25.40999984741211)","(30.750001907348633, 45.150001525878906, 93.89599609375)"
