,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-04 12:03:58.934068,"(-58.35000228881836, 13.950000762939453, 68.48600006103516)","(-5.25, 33.30000305175781, 80.8280029296875)","(-4.650000095367432, 115.05000305175781, 102.36599731445312)","(7.650000095367432, 112.80000305175781, 52.27199935913086)","(31.05000114440918, 38.55000305175781, 91.47599792480469)","(-10.65000057220459, 49.35000228881836, 79.61799621582031)","(-32.400001525878906, 47.10000228881836, 23.4739990234375)","(22.650001525878906, 71.10000610351562, 117.37000274658203)"
1,2022-12-04 12:03:58.979538,"(-58.500003814697266, 13.800000190734863, 68.24400329589844)","(-3.1500000953674316, 33.45000076293945, 82.27999877929688)","(-3.6000001430511475, 115.95000457763672, 100.6719970703125)","(7.650000095367432, 112.05000305175781, 52.99800109863281)","(30.900001525878906, 39.150001525878906, 92.20199584960938)","(-10.950000762939453, 48.60000228881836, 80.34400177001953)","(-31.950000762939453, 46.80000305175781, 23.4739990234375)","(23.400001525878906, 70.95000457763672, 118.09600067138672)"
2,2022-12-04 12:03:59.024513,"(-57.900001525878906, 14.250000953674316, 68.72799682617188)","(-4.200000286102295, 33.60000228881836, 81.06999969482422)","(-4.650000095367432, 115.35000610351562, 100.6719970703125)","(7.650000095367432, 113.10000610351562, 52.029998779296875)","(30.30000114440918, 39.150001525878906, 92.9280014038086)","(-10.200000762939453, 48.750003814697266, 80.10199737548828)","(-31.80000114440918, 48.0, 23.95800018310547)","(22.80000114440918, 71.25, 117.12799835205078)"
3,2022-12-04 12:03:59.113913,"(-58.650001525878906, 13.950000762939453, 67.2760009765625)","(-3.0, 33.30000305175781, 81.06999969482422)","(-4.200000286102295, 115.80000305175781, 100.43000030517578)","(7.800000190734863, 113.25000762939453, 52.513999938964844)","(31.500001907348633, 39.0, 92.68599700927734)","(-10.800000190734863, 48.750003814697266, 79.86000061035156)","(-32.85000228881836, 47.85000228881836, 24.200000762939453)","(22.80000114440918, 71.70000457763672, 117.61199951171875)"
4,2022-12-04 12:03:59.159635,"(-58.20000076293945, 13.800000190734863, 68.24400329589844)","(-4.050000190734863, 32.85000228881836, 80.58599853515625)","(-3.450000047683716, 115.95000457763672, 102.1240005493164)","(7.650000095367432, 113.10000610351562, 53.481998443603516)","(30.30000114440918, 38.70000076293945, 92.20199584960938)","(-10.65000057220459, 48.750003814697266, 80.8280029296875)","(-32.70000076293945, 47.85000228881836, 23.715999603271484)","(22.05000114440918, 71.25, 117.85399627685547)"
5,2022-12-04 12:03:59.204499,"(-58.500003814697266, 14.40000057220459, 67.2760009765625)","(-5.25, 33.45000076293945, 81.06999969482422)","(-4.800000190734863, 115.80000305175781, 101.63999938964844)","(7.350000381469727, 113.25000762939453, 52.27199935913086)","(31.500001907348633, 39.60000228881836, 92.9280014038086)","(-10.800000190734863, 48.60000228881836, 80.10199737548828)","(-32.70000076293945, 47.400001525878906, 23.95800018310547)","(22.200000762939453, 71.10000610351562, 117.12799835205078)"
6,2022-12-04 12:03:59.294578,"(-57.900001525878906, 14.40000057220459, 68.48600006103516)","(-2.1000001430511475, 33.45000076293945, 79.13400268554688)","(-4.5, 115.35000610351562, 102.8499984741211)","(7.050000190734863, 113.25000762939453, 52.75600051879883)","(32.10000228881836, 37.95000076293945, 92.20199584960938)","(-10.65000057220459, 49.20000076293945, 79.86000061035156)","(-32.10000228881836, 46.80000305175781, 23.4739990234375)","(22.950000762939453, 71.25, 116.4020004272461)"
7,2022-12-04 12:03:59.339257,"(-58.500003814697266, 13.500000953674316, 67.76000213623047)","(-4.350000381469727, 32.400001525878906, 78.40799713134766)","(-3.1500000953674316, 115.20000457763672, 101.39800262451172)","(8.100000381469727, 113.4000015258789, 52.27199935913086)","(31.500001907348633, 39.30000305175781, 90.75)","(-10.800000190734863, 48.900001525878906, 80.34400177001953)","(-33.0, 48.150001525878906, 22.989999771118164)","(22.200000762939453, 71.10000610351562, 117.61199951171875)"
8,2022-12-04 12:03:59.384331,"(-58.20000076293945, 13.65000057220459, 68.97000122070312)","(-5.400000095367432, 32.55000305175781, 81.7959976196289)","(-3.450000047683716, 115.6500015258789, 102.60800170898438)","(7.200000286102295, 113.10000610351562, 52.513999938964844)","(31.05000114440918, 38.55000305175781, 90.99199676513672)","(-10.5, 48.60000228881836, 81.06999969482422)","(-32.400001525878906, 47.70000076293945, 22.506000518798828)","(22.650001525878906, 70.95000457763672, 116.88600158691406)"
9,2022-12-04 12:03:59.475124,"(-58.20000076293945, 14.100000381469727, 68.48600006103516)","(-3.750000238418579, 32.85000228881836, 79.13400268554688)","(-3.6000001430511475, 115.95000457763672, 101.39800262451172)","(7.650000095367432, 113.55000305175781, 52.75600051879883)","(30.900001525878906, 38.10000228881836, 91.71800231933594)","(-10.65000057220459, 48.30000305175781, 79.61799621582031)","(-32.25, 47.85000228881836, 23.715999603271484)","(22.200000762939453, 71.10000610351562, 117.12799835205078)"
10,2022-12-04 12:03:59.519488,"(-59.10000228881836, 13.350000381469727, 68.72799682617188)","(-5.550000190734863, 35.25, 82.03800201416016)","(-4.800000190734863, 115.20000457763672, 101.15599822998047)","(7.050000190734863, 113.85000610351562, 52.513999938964844)","(31.200000762939453, 38.55000305175781, 93.16999816894531)","(-10.350000381469727, 48.45000076293945, 79.86000061035156)","(-33.0, 48.0, 23.4739990234375)","(22.5, 71.25, 117.12799835205078)"
11,2022-12-04 12:03:59.610192,"(-58.35000228881836, 14.100000381469727, 68.72799682617188)","(-5.400000095367432, 32.70000076293945, 80.8280029296875)","(-3.450000047683716, 115.95000457763672, 100.18799591064453)","(7.350000381469727, 113.70000457763672, 53.23999786376953)","(31.200000762939453, 38.70000076293945, 92.44400024414062)","(-10.950000762939453, 49.20000076293945, 80.10199737548828)","(-32.400001525878906, 47.85000228881836, 23.715999603271484)","(22.80000114440918, 71.4000015258789, 116.88600158691406)"
12,2022-12-04 12:03:59.654062,"(-58.500003814697266, 14.100000381469727, 68.97000122070312)","(-4.350000381469727, 34.20000076293945, 81.7959976196289)","(-3.750000238418579, 116.10000610351562, 100.43000030517578)","(7.800000190734863, 113.55000305175781, 52.75600051879883)","(31.05000114440918, 39.45000076293945, 91.47599792480469)","(-10.5, 48.30000305175781, 80.10199737548828)","(-33.0, 47.70000076293945, 23.715999603271484)","(22.5, 71.4000015258789, 117.12799835205078)"
13,2022-12-04 12:03:59.699093,"(-57.900001525878906, 14.40000057220459, 68.24400329589844)","(-5.100000381469727, 33.45000076293945, 78.6500015258789)","(-4.5, 116.10000610351562, 101.15599822998047)","(7.200000286102295, 114.1500015258789, 53.23999786376953)","(31.650001525878906, 38.70000076293945, 92.68599700927734)","(-10.800000190734863, 48.45000076293945, 79.61799621582031)","(-33.900001525878906, 47.85000228881836, 22.989999771118164)","(22.950000762939453, 71.4000015258789, 116.4020004272461)"
