,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-04 13:45:41.090459,"(89.55000305175781, 88.5, 171.5780029296875)","(40.05000305175781, 46.95000076293945, 98.4939956665039)","(32.70000076293945, 114.30000305175781, 125.35600280761719)","(54.150001525878906, 47.85000228881836, 141.08599853515625)","(40.05000305175781, 33.900001525878906, 87.60399627685547)","(4.050000190734863, 30.30000114440918, 61.95199966430664)","(-21.0, 34.35000228881836, 7.01800012588501)","(22.350000381469727, 61.500003814697266, 75.26200103759766)"
1,2022-12-04 13:45:41.091064,"(90.1500015258789, 87.60000610351562, 171.093994140625)","(40.05000305175781, 46.35000228881836, 98.25199890136719)","(34.650001525878906, 112.80000305175781, 125.35600280761719)","(54.30000305175781, 46.80000305175781, 140.36000061035156)","(40.650001525878906, 34.05000305175781, 87.60399627685547)","(3.750000238418579, 30.150001525878906, 61.709999084472656)","(-21.30000114440918, 34.35000228881836, 8.227999687194824)","(22.5, 60.900001525878906, 75.50399780273438)"
2,2022-12-04 13:45:41.134472,"(90.1500015258789, 88.20000457763672, 171.33599853515625)","(40.05000305175781, 48.150001525878906, 98.73600006103516)","(34.650001525878906, 113.10000610351562, 124.38800048828125)","(54.60000228881836, 49.20000076293945, 140.1179962158203)","(41.10000228881836, 33.900001525878906, 88.33000183105469)","(3.3000001907348633, 30.900001525878906, 61.46799850463867)","(-21.150001525878906, 34.5, 7.01800012588501)","(22.950000762939453, 61.05000305175781, 75.74600219726562)"
3,2022-12-04 13:45:41.225329,"(90.1500015258789, 87.9000015258789, 171.093994140625)","(40.35000228881836, 47.400001525878906, 98.73600006103516)","(36.0, 113.4000015258789, 124.38800048828125)","(54.750003814697266, 48.750003814697266, 139.87599182128906)","(40.650001525878906, 33.75, 87.84600067138672)","(3.6000001430511475, 31.200000762939453, 61.46799850463867)","(-20.700000762939453, 33.900001525878906, 7.01800012588501)","(23.100000381469727, 61.20000076293945, 75.26200103759766)"
4,2022-12-04 13:45:41.270163,"(89.70000457763672, 88.05000305175781, 170.61000061035156)","(40.5, 47.55000305175781, 97.5260009765625)","(34.95000076293945, 113.70000457763672, 126.3239974975586)","(54.30000305175781, 48.900001525878906, 140.1179962158203)","(40.5, 34.05000305175781, 88.5719985961914)","(3.0, 30.600000381469727, 61.709999084472656)","(-21.450000762939453, 35.25, 7.74399995803833)","(23.100000381469727, 60.60000228881836, 74.77799987792969)"
5,2022-12-04 13:45:41.314395,"(89.85000610351562, 87.9000015258789, 171.33599853515625)","(39.900001525878906, 46.95000076293945, 98.01000213623047)","(32.70000076293945, 113.10000610351562, 121.96800231933594)","(54.900001525878906, 46.80000305175781, 140.1179962158203)","(40.650001525878906, 34.05000305175781, 88.33000183105469)","(4.350000381469727, 29.850000381469727, 63.40399932861328)","(-21.150001525878906, 34.650001525878906, 7.501999855041504)","(22.650001525878906, 60.45000076293945, 75.0199966430664)"
6,2022-12-04 13:45:41.404878,"(90.1500015258789, 88.35000610351562, 171.5780029296875)","(40.05000305175781, 46.95000076293945, 98.97799682617188)","(35.85000228881836, 114.1500015258789, 125.83999633789062)","(53.10000228881836, 47.70000076293945, 141.3280029296875)","(40.20000076293945, 33.75, 88.33000183105469)","(4.050000190734863, 30.150001525878906, 62.194000244140625)","(-19.80000114440918, 34.650001525878906, 7.01800012588501)","(21.900001525878906, 61.650001525878906, 74.77799987792969)"
7,2022-12-04 13:45:41.449725,"(89.70000457763672, 88.35000610351562, 170.61000061035156)","(40.5, 47.25, 98.73600006103516)","(34.35000228881836, 113.4000015258789, 124.87200164794922)","(55.20000076293945, 47.85000228881836, 139.63400268554688)","(40.35000228881836, 33.75, 87.36199951171875)","(3.9000000953674316, 29.850000381469727, 60.257999420166016)","(-21.450000762939453, 34.650001525878906, 7.986000061035156)","(22.200000762939453, 61.05000305175781, 74.77799987792969)"
8,2022-12-04 13:45:41.540051,"(90.0, 87.60000610351562, 170.8520050048828)","(40.95000076293945, 47.70000076293945, 98.4939956665039)","(35.70000076293945, 112.95000457763672, 124.62999725341797)","(54.150001525878906, 47.70000076293945, 140.6020050048828)","(40.20000076293945, 33.900001525878906, 87.36199951171875)","(3.9000000953674316, 30.900001525878906, 61.22599792480469)","(-21.450000762939453, 35.25, 8.953999519348145)","(23.25, 61.20000076293945, 75.0199966430664)"
9,2022-12-04 13:45:41.584999,"(90.1500015258789, 88.5, 170.61000061035156)","(39.900001525878906, 47.10000228881836, 98.73600006103516)","(35.55000305175781, 113.55000305175781, 125.35600280761719)","(55.500003814697266, 46.80000305175781, 140.843994140625)","(40.5, 33.900001525878906, 87.12000274658203)","(3.750000238418579, 30.750001907348633, 62.194000244140625)","(-20.850000381469727, 34.05000305175781, 7.01800012588501)","(22.80000114440918, 61.05000305175781, 74.77799987792969)"
10,2022-12-04 13:45:41.629528,"(89.70000457763672, 88.95000457763672, 170.8520050048828)","(40.80000305175781, 46.95000076293945, 99.46199798583984)","(33.45000076293945, 113.4000015258789, 125.35600280761719)","(55.35000228881836, 47.85000228881836, 141.08599853515625)","(40.80000305175781, 33.900001525878906, 87.84600067138672)","(3.6000001430511475, 31.200000762939453, 62.43600082397461)","(-21.30000114440918, 34.95000076293945, 7.501999855041504)","(22.80000114440918, 61.20000076293945, 74.77799987792969)"
11,2022-12-04 13:45:41.720680,"(89.10000610351562, 87.9000015258789, 171.8199920654297)","(39.75, 47.25, 98.73600006103516)","(33.60000228881836, 114.30000305175781, 125.5979995727539)","(54.150001525878906, 47.10000228881836, 139.63400268554688)","(40.5, 34.05000305175781, 87.84600067138672)","(3.750000238418579, 30.30000114440918, 62.43600082397461)","(-21.0, 34.80000305175781, 7.74399995803833)","(22.350000381469727, 61.05000305175781, 75.74600219726562)"
12,2022-12-04 13:45:41.764893,"(89.85000610351562, 87.75, 171.5780029296875)","(40.05000305175781, 46.95000076293945, 98.4939956665039)","(34.05000305175781, 113.70000457763672, 124.87200164794922)","(54.30000305175781, 47.10000228881836, 140.36000061035156)","(40.80000305175781, 33.75, 88.08799743652344)","(4.5, 29.700000762939453, 61.709999084472656)","(-21.150001525878906, 34.650001525878906, 7.74399995803833)","(22.80000114440918, 61.05000305175781, 75.0199966430664)"
13,2022-12-04 13:45:41.809828,"(90.0, 87.60000610351562, 171.093994140625)","(41.25, 47.10000228881836, 98.97799682617188)","(33.75, 112.6500015258789, 123.90399932861328)","(53.55000305175781, 48.750003814697266, 140.6020050048828)","(40.650001525878906, 34.20000076293945, 87.84600067138672)","(4.200000286102295, 29.700000762939453, 61.95199966430664)","(-21.30000114440918, 34.650001525878906, 6.533999919891357)","(22.80000114440918, 60.45000076293945, 76.2300033569336)"
14,2022-12-04 13:45:41.899497,"(90.0, 88.35000610351562, 171.33599853515625)","(40.650001525878906, 47.55000305175781, 98.73600006103516)","(34.5, 112.6500015258789, 124.87200164794922)","(54.000003814697266, 47.25, 141.08599853515625)","(40.80000305175781, 34.05000305175781, 87.84600067138672)","(3.0, 29.55000114440918, 62.91999816894531)","(-20.850000381469727, 34.5, 6.291999816894531)","(21.900001525878906, 61.05000305175781, 75.74600219726562)"
