,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-04 12:36:00.323471,"(84.60000610351562, 90.1500015258789, 68.00199890136719)","(37.650001525878906, 50.400001525878906, 91.71800231933594)","(32.25, 110.25000762939453, 120.75799560546875)","(67.6500015258789, 33.45000076293945, 125.83999633789062)","(29.100000381469727, 24.450000762939453, 89.05599975585938)","(-9.0, 15.300000190734863, 67.03399658203125)","(-44.70000076293945, 14.550000190734863, 10.163999557495117)","(-0.6000000238418579, 42.45000076293945, 69.21199798583984)"
1,2022-12-04 12:36:00.368342,"(83.70000457763672, 89.85000610351562, 67.76000213623047)","(36.150001525878906, 49.650001525878906, 92.68599700927734)","(31.05000114440918, 110.10000610351562, 119.5479965209961)","(67.6500015258789, 32.70000076293945, 124.38800048828125)","(30.000001907348633, 24.750001907348633, 88.81400299072266)","(-9.450000762939453, 15.15000057220459, 66.06600189208984)","(-43.95000076293945, 14.250000953674316, 10.163999557495117)","(-0.75, 42.45000076293945, 68.00199890136719)"
2,2022-12-04 12:36:00.458136,"(84.30000305175781, 90.75, 67.2760009765625)","(37.05000305175781, 50.10000228881836, 93.89599609375)","(33.60000228881836, 110.10000610351562, 119.30599975585938)","(68.25, 33.150001525878906, 125.5979995727539)","(29.850000381469727, 25.80000114440918, 89.2979965209961)","(-9.450000762939453, 15.450000762939453, 67.2760009765625)","(-44.55000305175781, 14.550000190734863, 10.64799976348877)","(-0.45000001788139343, 41.85000228881836, 68.97000122070312)"
3,2022-12-04 12:36:00.503054,"(84.60000610351562, 89.55000305175781, 67.51799774169922)","(36.60000228881836, 48.750003814697266, 91.23400115966797)","(31.200000762939453, 110.55000305175781, 121.24199676513672)","(67.6500015258789, 33.30000305175781, 125.11399841308594)","(30.900001525878906, 24.900001525878906, 88.5719985961914)","(-9.600000381469727, 14.550000190734863, 67.03399658203125)","(-44.70000076293945, 14.550000190734863, 11.131999969482422)","(-0.30000001192092896, 42.30000305175781, 69.21199798583984)"
4,2022-12-04 12:36:00.593711,"(85.20000457763672, 91.35000610351562, 67.2760009765625)","(37.80000305175781, 51.45000076293945, 92.44400024414062)","(33.0, 110.25000762939453, 120.51599884033203)","(68.55000305175781, 33.60000228881836, 125.11399841308594)","(29.250001907348633, 25.500001907348633, 88.81400299072266)","(-9.15000057220459, 14.700000762939453, 67.03399658203125)","(-44.55000305175781, 14.550000190734863, 10.406000137329102)","(-0.45000001788139343, 42.45000076293945, 69.21199798583984)"
5,2022-12-04 12:36:00.637894,"(85.6500015258789, 91.5, 67.76000213623047)","(36.30000305175781, 50.85000228881836, 92.9280014038086)","(32.10000228881836, 109.80000305175781, 118.58000183105469)","(68.85000610351562, 33.45000076293945, 125.83999633789062)","(29.55000114440918, 25.200000762939453, 88.33000183105469)","(-9.0, 14.700000762939453, 66.79199981689453)","(-44.10000228881836, 14.100000381469727, 11.131999969482422)","(-1.350000023841858, 42.30000305175781, 68.72799682617188)"
6,2022-12-04 12:36:00.683266,"(85.6500015258789, 91.95000457763672, 66.30799865722656)","(36.75, 52.20000076293945, 88.81400299072266)","(32.85000228881836, 110.70000457763672, 119.5479965209961)","(68.4000015258789, 33.60000228881836, 124.87200164794922)","(29.400001525878906, 25.80000114440918, 89.54000091552734)","(-9.450000762939453, 15.15000057220459, 67.2760009765625)","(-44.25, 15.300000190734863, 10.890000343322754)","(-0.45000001788139343, 42.900001525878906, 69.4540023803711)"
7,2022-12-04 12:36:00.773581,"(86.10000610351562, 91.6500015258789, 67.03399658203125)","(37.650001525878906, 50.85000228881836, 90.99199676513672)","(31.80000114440918, 110.55000305175781, 120.75799560546875)","(69.45000457763672, 33.60000228881836, 125.11399841308594)","(29.100000381469727, 25.200000762939453, 89.05599975585938)","(-9.450000762939453, 14.850000381469727, 67.03399658203125)","(-44.25, 15.300000190734863, 9.92199993133545)","(-0.6000000238418579, 42.900001525878906, 68.72799682617188)"
8,2022-12-04 12:36:00.818336,"(85.35000610351562, 92.10000610351562, 67.2760009765625)","(38.400001525878906, 49.500003814697266, 93.65399932861328)","(33.0, 109.80000305175781, 118.09600067138672)","(69.45000457763672, 32.85000228881836, 124.38800048828125)","(29.400001525878906, 24.450000762939453, 89.2979965209961)","(-9.600000381469727, 14.250000953674316, 65.58200073242188)","(-43.80000305175781, 15.450000762939453, 9.680000305175781)","(-1.2000000476837158, 42.150001525878906, 68.97000122070312)"
9,2022-12-04 12:36:00.863094,"(84.75, 92.4000015258789, 66.30799865722656)","(35.85000228881836, 52.500003814697266, 90.99199676513672)","(33.0, 109.80000305175781, 120.27400207519531)","(69.9000015258789, 33.45000076293945, 125.83999633789062)","(29.850000381469727, 24.900001525878906, 89.2979965209961)","(-9.600000381469727, 14.40000057220459, 67.2760009765625)","(-44.25, 15.450000762939453, 9.437999725341797)","(-1.350000023841858, 41.85000228881836, 68.97000122070312)"
