,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-04 11:51:59.024695,"(-63.45000076293945, -28.350000381469727, 36.29999923706055)","(-9.450000762939453, 16.350000381469727, 63.645999908447266)","(-12.15000057220459, 91.20000457763672, 82.52200317382812)","(-63.45000076293945, 25.650001525878906, 64.61399841308594)","(34.05000305175781, 42.75, 100.6719970703125)","(-3.0, 63.30000305175781, 112.52999877929688)","(-14.250000953674316, 47.55000305175781, 42.83399963378906)","(55.35000228881836, 45.60000228881836, 156.33200073242188)"
1,2022-12-04 11:51:59.114818,"(-63.30000305175781, -29.400001525878906, 35.332000732421875)","(-9.0, 16.200000762939453, 63.88800048828125)","(-11.700000762939453, 90.60000610351562, 83.73200225830078)","(-63.900001525878906, 25.650001525878906, 64.85600280761719)","(34.80000305175781, 43.05000305175781, 100.6719970703125)","(-3.1500000953674316, 63.750003814697266, 113.49800109863281)","(-14.250000953674316, 46.650001525878906, 43.31800079345703)","(54.900001525878906, 45.45000076293945, 155.6060028076172)"
2,2022-12-04 11:51:59.159378,"(-63.900001525878906, -29.400001525878906, 35.57400131225586)","(-8.25, 16.80000114440918, 63.88800048828125)","(-12.0, 90.45000457763672, 83.9739990234375)","(-64.05000305175781, 25.200000762939453, 65.0979995727539)","(34.650001525878906, 42.900001525878906, 99.94599914550781)","(-3.1500000953674316, 63.45000076293945, 113.25599670410156)","(-13.800000190734863, 46.80000305175781, 42.59199905395508)","(54.900001525878906, 45.45000076293945, 156.08999633789062)"
3,2022-12-04 11:51:59.250188,"(-63.150001525878906, -29.400001525878906, 35.09000015258789)","(-7.950000286102295, 17.25, 63.88800048828125)","(-12.0, 89.70000457763672, 84.21599578857422)","(-64.05000305175781, 25.350000381469727, 65.0979995727539)","(34.80000305175781, 43.05000305175781, 100.6719970703125)","(-3.1500000953674316, 64.35000610351562, 112.28800201416016)","(-13.050000190734863, 46.05000305175781, 42.59199905395508)","(55.20000076293945, 46.05000305175781, 154.8800048828125)"
4,2022-12-04 11:51:59.294577,"(-63.60000228881836, -29.100000381469727, 35.81599807739258)","(-8.25, 15.750000953674316, 64.85600280761719)","(-11.850000381469727, 91.20000457763672, 84.94200134277344)","(-64.20000457763672, 25.05000114440918, 65.33999633789062)","(34.5, 42.75, 100.91400146484375)","(-3.1500000953674316, 63.750003814697266, 113.25599670410156)","(-13.350000381469727, 46.95000076293945, 43.07600021362305)","(55.20000076293945, 46.35000228881836, 155.1219940185547)"
5,2022-12-04 11:51:59.339279,"(-64.35000610351562, -29.55000114440918, 36.05799865722656)","(-7.200000286102295, 16.650001525878906, 64.12999725341797)","(-12.15000057220459, 90.30000305175781, 85.18399810791016)","(-64.6500015258789, 25.200000762939453, 65.33999633789062)","(35.10000228881836, 43.20000076293945, 99.94599914550781)","(-3.3000001907348633, 64.05000305175781, 113.01399993896484)","(-14.100000381469727, 46.35000228881836, 43.560001373291016)","(55.650001525878906, 46.35000228881836, 155.6060028076172)"
6,2022-12-04 11:51:59.429879,"(-63.45000076293945, -29.100000381469727, 37.0260009765625)","(-7.950000286102295, 16.950000762939453, 63.1619987487793)","(-12.300000190734863, 90.30000305175781, 85.66799926757812)","(-64.05000305175781, 24.900001525878906, 65.8239974975586)","(34.5, 42.60000228881836, 101.15599822998047)","(-3.1500000953674316, 63.900001525878906, 112.77200317382812)","(-13.500000953674316, 46.80000305175781, 41.86600112915039)","(55.20000076293945, 46.05000305175781, 155.1219940185547)"
7,2022-12-04 11:51:59.474395,"(-62.85000228881836, -30.000001907348633, 37.75199890136719)","(-8.40000057220459, 15.450000762939453, 63.40399932861328)","(-12.300000190734863, 89.85000610351562, 85.66799926757812)","(-64.35000610351562, 25.650001525878906, 65.58200073242188)","(33.75, 42.900001525878906, 101.88199615478516)","(-2.8500001430511475, 64.05000305175781, 113.25599670410156)","(-13.800000190734863, 46.80000305175781, 43.560001373291016)","(54.60000228881836, 46.05000305175781, 155.36399841308594)"
8,2022-12-04 11:51:59.519324,"(-63.30000305175781, -29.100000381469727, 37.0260009765625)","(-7.800000190734863, 15.750000953674316, 62.678001403808594)","(-12.0, 91.05000305175781, 84.94200134277344)","(-64.20000457763672, 26.55000114440918, 65.58200073242188)","(35.25, 41.85000228881836, 100.91400146484375)","(-3.450000047683716, 63.900001525878906, 112.77200317382812)","(-13.500000953674316, 46.95000076293945, 42.349998474121094)","(55.500003814697266, 46.05000305175781, 155.6060028076172)"
9,2022-12-04 11:51:59.609538,"(-63.45000076293945, -28.650001525878906, 37.0260009765625)","(-7.200000286102295, 16.650001525878906, 66.55000305175781)","(-12.300000190734863, 89.55000305175781, 86.39399719238281)","(-64.05000305175781, 25.950000762939453, 66.06600189208984)","(35.10000228881836, 42.45000076293945, 101.15599822998047)","(-2.25, 63.750003814697266, 112.52999877929688)","(-12.90000057220459, 46.650001525878906, 42.349998474121094)","(55.20000076293945, 46.5, 155.1219940185547)"
