,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:28:25.200740,"(35.85000228881836, 44.25, 37.5099983215332)","(36.0, 42.45000076293945, 33.880001068115234)","(40.5, 113.10000610351562, 98.4939956665039)","(30.150001525878906, 30.450000762939453, 101.63999938964844)","(50.400001525878906, 40.650001525878906, 99.46199798583984)","(33.45000076293945, 47.55000305175781, 106.96399688720703)","(3.1500000953674316, 30.000001907348633, 31.70199966430664)","(29.55000114440918, 20.25, 91.23400115966797)"
1,2022-12-06 18:28:25.245775,"(37.35000228881836, 43.35000228881836, 37.0260009765625)","(36.150001525878906, 43.5, 33.63800048828125)","(39.45000076293945, 111.9000015258789, 99.94599914550781)","(30.000001907348633, 30.750001907348633, 99.94599914550781)","(51.45000076293945, 39.45000076293945, 99.94599914550781)","(34.05000305175781, 47.10000228881836, 106.23799896240234)","(3.9000000953674316, 30.000001907348633, 33.880001068115234)","(30.30000114440918, 20.400001525878906, 91.95999908447266)"
2,2022-12-06 18:28:25.290262,"(36.0, 44.55000305175781, 37.5099983215332)","(35.55000305175781, 43.05000305175781, 33.63800048828125)","(40.05000305175781, 112.20000457763672, 100.18799591064453)","(30.30000114440918, 30.450000762939453, 101.63999938964844)","(52.05000305175781, 39.75, 101.15599822998047)","(31.80000114440918, 47.10000228881836, 106.72200012207031)","(2.8500001430511475, 30.750001907348633, 31.459999084472656)","(29.700000762939453, 20.55000114440918, 92.20199584960938)"
3,2022-12-06 18:28:25.380391,"(37.20000076293945, 43.650001525878906, 37.99399948120117)","(35.85000228881836, 42.75, 34.12200164794922)","(41.10000228881836, 112.50000762939453, 102.8499984741211)","(30.450000762939453, 30.450000762939453, 99.22000122070312)","(51.000003814697266, 40.5, 101.15599822998047)","(33.0, 47.10000228881836, 106.72200012207031)","(3.750000238418579, 29.700000762939453, 32.18600082397461)","(30.000001907348633, 20.55000114440918, 91.47599792480469)"
4,2022-12-06 18:28:25.425670,"(37.05000305175781, 45.45000076293945, 37.75199890136719)","(36.75, 42.60000228881836, 33.880001068115234)","(40.5, 112.95000457763672, 100.6719970703125)","(30.450000762939453, 30.600000381469727, 101.15599822998047)","(51.900001525878906, 42.0, 102.1240005493164)","(32.70000076293945, 46.650001525878906, 107.93199920654297)","(3.9000000953674316, 30.30000114440918, 32.428001403808594)","(30.000001907348633, 19.950000762939453, 91.47599792480469)"
5,2022-12-06 18:28:25.470118,"(35.70000076293945, 44.25, 37.5099983215332)","(35.55000305175781, 43.05000305175781, 33.880001068115234)","(41.400001525878906, 113.10000610351562, 99.7040023803711)","(30.600000381469727, 30.150001525878906, 101.15599822998047)","(51.900001525878906, 39.60000228881836, 102.36599731445312)","(32.25, 44.85000228881836, 105.99600219726562)","(3.1500000953674316, 30.150001525878906, 32.18600082397461)","(30.30000114440918, 20.55000114440918, 90.99199676513672)"
6,2022-12-06 18:28:25.560262,"(35.70000076293945, 44.400001525878906, 37.268001556396484)","(36.0, 43.05000305175781, 34.12200164794922)","(40.20000076293945, 113.10000610351562, 100.18799591064453)","(30.600000381469727, 30.750001907348633, 101.63999938964844)","(51.750003814697266, 38.55000305175781, 101.63999938964844)","(31.05000114440918, 47.25, 106.47999572753906)","(3.6000001430511475, 30.150001525878906, 30.97599983215332)","(29.850000381469727, 20.400001525878906, 92.20199584960938)"
7,2022-12-06 18:28:25.605323,"(36.60000228881836, 44.10000228881836, 37.75199890136719)","(36.0, 43.95000076293945, 33.395999908447266)","(41.10000228881836, 112.20000457763672, 101.63999938964844)","(30.900001525878906, 30.600000381469727, 101.39800262451172)","(52.650001525878906, 39.900001525878906, 100.91400146484375)","(33.30000305175781, 45.900001525878906, 108.65799713134766)","(3.0, 30.450000762939453, 31.218000411987305)","(30.150001525878906, 20.700000762939453, 91.23400115966797)"
8,2022-12-06 18:28:25.695514,"(36.75, 44.70000076293945, 37.268001556396484)","(35.85000228881836, 43.80000305175781, 34.36399841308594)","(41.85000228881836, 112.05000305175781, 99.22000122070312)","(29.850000381469727, 30.600000381469727, 100.6719970703125)","(52.650001525878906, 40.20000076293945, 100.6719970703125)","(33.150001525878906, 46.05000305175781, 104.302001953125)","(3.9000000953674316, 30.750001907348633, 32.66999816894531)","(30.000001907348633, 20.100000381469727, 91.47599792480469)"
9,2022-12-06 18:28:25.740382,"(37.05000305175781, 44.10000228881836, 37.5099983215332)","(36.150001525878906, 43.20000076293945, 34.12200164794922)","(40.20000076293945, 110.55000305175781, 100.6719970703125)","(30.30000114440918, 29.850000381469727, 101.15599822998047)","(52.35000228881836, 39.30000305175781, 101.39800262451172)","(33.0, 46.95000076293945, 104.54399871826172)","(4.200000286102295, 31.05000114440918, 31.459999084472656)","(30.30000114440918, 20.400001525878906, 91.47599792480469)"
10,2022-12-06 18:28:25.785237,"(36.75, 45.0, 38.236000061035156)","(36.45000076293945, 43.35000228881836, 33.63800048828125)","(39.75, 112.20000457763672, 103.09200286865234)","(30.600000381469727, 31.05000114440918, 100.91400146484375)","(50.85000228881836, 39.30000305175781, 103.09200286865234)","(31.650001525878906, 46.05000305175781, 107.447998046875)","(3.9000000953674316, 30.750001907348633, 33.395999908447266)","(29.55000114440918, 19.950000762939453, 90.99199676513672)"
11,2022-12-06 18:28:25.875891,"(36.30000305175781, 44.25, 37.5099983215332)","(36.60000228881836, 43.20000076293945, 33.395999908447266)","(40.5, 113.70000457763672, 100.18799591064453)","(29.850000381469727, 30.600000381469727, 100.18799591064453)","(51.45000076293945, 40.05000305175781, 101.88199615478516)","(33.75, 47.70000076293945, 107.69000244140625)","(3.3000001907348633, 30.150001525878906, 30.97599983215332)","(30.150001525878906, 20.400001525878906, 91.23400115966797)"
12,2022-12-06 18:28:25.920326,"(36.75, 43.650001525878906, 37.5099983215332)","(36.0, 42.60000228881836, 34.12200164794922)","(40.80000305175781, 112.20000457763672, 101.15599822998047)","(30.150001525878906, 30.900001525878906, 101.39800262451172)","(52.20000076293945, 39.900001525878906, 99.7040023803711)","(33.30000305175781, 46.20000076293945, 107.93199920654297)","(4.5, 31.200000762939453, 31.70199966430664)","(30.000001907348633, 20.100000381469727, 91.47599792480469)"
13,2022-12-06 18:28:25.965495,"(36.45000076293945, 44.55000305175781, 37.268001556396484)","(35.400001525878906, 43.05000305175781, 34.12200164794922)","(39.30000305175781, 112.35000610351562, 100.18799591064453)","(30.450000762939453, 30.600000381469727, 100.18799591064453)","(50.85000228881836, 39.60000228881836, 103.81800079345703)","(33.75, 49.20000076293945, 106.96399688720703)","(4.050000190734863, 30.000001907348633, 31.944000244140625)","(30.000001907348633, 19.950000762939453, 90.02400207519531)"
14,2022-12-06 18:28:26.055150,"(37.05000305175781, 44.10000228881836, 37.268001556396484)","(36.0, 43.05000305175781, 34.36399841308594)","(40.20000076293945, 113.10000610351562, 97.76799774169922)","(30.000001907348633, 31.200000762939453, 101.39800262451172)","(53.10000228881836, 40.5, 102.36599731445312)","(32.400001525878906, 47.10000228881836, 107.20600128173828)","(2.5500001907348633, 30.30000114440918, 32.428001403808594)","(29.55000114440918, 19.950000762939453, 91.23400115966797)"
15,2022-12-06 18:28:26.100229,"(36.30000305175781, 45.0, 37.75199890136719)","(36.45000076293945, 42.60000228881836, 34.12200164794922)","(41.55000305175781, 111.30000305175781, 99.46199798583984)","(29.100000381469727, 30.30000114440918, 99.7040023803711)","(51.900001525878906, 39.30000305175781, 98.97799682617188)","(32.10000228881836, 47.55000305175781, 105.99600219726562)","(3.450000047683716, 30.150001525878906, 32.66999816894531)","(29.850000381469727, 20.55000114440918, 91.71800231933594)"
16,2022-12-06 18:28:26.144596,"(35.85000228881836, 44.10000228881836, 37.268001556396484)","(36.75, 42.60000228881836, 33.880001068115234)","(39.60000228881836, 111.9000015258789, 98.25199890136719)","(30.600000381469727, 30.450000762939453, 101.39800262451172)","(51.45000076293945, 40.20000076293945, 101.15599822998047)","(33.900001525878906, 46.650001525878906, 106.96399688720703)","(3.9000000953674316, 30.900001525878906, 31.218000411987305)","(29.850000381469727, 19.5, 90.75)"
17,2022-12-06 18:28:26.235433,"(36.30000305175781, 43.650001525878906, 37.5099983215332)","(35.400001525878906, 42.75, 33.395999908447266)","(40.650001525878906, 112.80000305175781, 98.25199890136719)","(30.600000381469727, 30.750001907348633, 101.63999938964844)","(50.55000305175781, 39.75, 101.88199615478516)","(33.900001525878906, 46.5, 106.72200012207031)","(3.3000001907348633, 30.30000114440918, 32.18600082397461)","(30.30000114440918, 20.100000381469727, 91.47599792480469)"
18,2022-12-06 18:28:26.280856,"(36.30000305175781, 44.55000305175781, 37.5099983215332)","(35.70000076293945, 42.60000228881836, 34.36399841308594)","(40.80000305175781, 111.45000457763672, 100.91400146484375)","(29.250001907348633, 30.600000381469727, 101.15599822998047)","(51.900001525878906, 40.95000076293945, 102.8499984741211)","(33.30000305175781, 46.5, 106.23799896240234)","(3.0, 30.450000762939453, 31.944000244140625)","(29.700000762939453, 20.25, 91.23400115966797)"
