,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:38:27.302555,"(73.35000610351562, 48.45000076293945, 18.875999450683594)","(50.250003814697266, 46.650001525878906, 29.766000747680664)","(50.55000305175781, 102.30000305175781, 98.97799682617188)","(26.100000381469727, -7.350000381469727, 130.1959991455078)","(46.5, 36.30000305175781, 103.09200286865234)","(16.5, 37.35000228881836, 96.55799865722656)","(-4.800000190734863, 26.850000381469727, 30.007999420166016)","(32.85000228881836, 34.35000228881836, 81.06999969482422)"
1,2022-12-06 18:38:27.347678,"(73.80000305175781, 48.60000228881836, 19.360000610351562)","(49.95000076293945, 45.900001525878906, 30.25)","(51.45000076293945, 103.05000305175781, 99.7040023803711)","(26.400001525878906, -7.350000381469727, 130.67999267578125)","(47.85000228881836, 37.05000305175781, 100.91400146484375)","(15.90000057220459, 40.5, 97.04199981689453)","(-4.050000190734863, 27.000001907348633, 30.492000579833984)","(32.55000305175781, 34.5, 81.31199645996094)"
2,2022-12-06 18:38:27.392100,"(73.35000610351562, 49.500003814697266, 19.118000030517578)","(50.250003814697266, 45.60000228881836, 30.25)","(52.35000228881836, 102.9000015258789, 100.91400146484375)","(24.900001525878906, -7.200000286102295, 131.88999938964844)","(47.70000076293945, 37.05000305175781, 102.1240005493164)","(16.80000114440918, 37.35000228881836, 99.7040023803711)","(-4.650000095367432, 26.700000762939453, 30.25)","(32.70000076293945, 34.650001525878906, 81.06999969482422)"
3,2022-12-06 18:38:27.482453,"(73.80000305175781, 47.70000076293945, 20.086000442504883)","(50.10000228881836, 45.60000228881836, 30.492000579833984)","(51.150001525878906, 102.00000762939453, 98.73600006103516)","(26.55000114440918, -7.650000095367432, 131.88999938964844)","(47.400001525878906, 37.20000076293945, 102.36599731445312)","(14.850000381469727, 39.30000305175781, 98.25199890136719)","(-4.950000286102295, 27.000001907348633, 30.492000579833984)","(32.25, 34.650001525878906, 81.06999969482422)"
4,2022-12-06 18:38:27.527577,"(73.80000305175781, 48.150001525878906, 18.875999450683594)","(50.250003814697266, 45.75, 30.25)","(51.45000076293945, 104.10000610351562, 101.15599822998047)","(26.700000762939453, -7.500000476837158, 132.1320037841797)","(47.25, 37.20000076293945, 100.43000030517578)","(17.100000381469727, 38.25, 98.01000213623047)","(-5.100000381469727, 27.450000762939453, 29.766000747680664)","(32.400001525878906, 35.10000228881836, 81.55400085449219)"
5,2022-12-06 18:38:27.572257,"(75.0, 49.500003814697266, 19.601999282836914)","(50.10000228881836, 46.20000076293945, 30.007999420166016)","(52.650001525878906, 102.9000015258789, 98.01000213623047)","(27.000001907348633, -8.100000381469727, 131.6479949951172)","(46.95000076293945, 37.20000076293945, 101.15599822998047)","(16.950000762939453, 37.95000076293945, 97.28399658203125)","(-3.450000047683716, 26.100000381469727, 30.492000579833984)","(32.400001525878906, 34.05000305175781, 81.31199645996094)"
6,2022-12-06 18:38:27.662450,"(73.95000457763672, 50.400001525878906, 18.875999450683594)","(49.95000076293945, 47.25, 30.007999420166016)","(51.30000305175781, 103.05000305175781, 98.4939956665039)","(26.400001525878906, -8.40000057220459, 130.1959991455078)","(46.95000076293945, 37.20000076293945, 102.60800170898438)","(16.5, 39.150001525878906, 99.46199798583984)","(-4.800000190734863, 27.30000114440918, 31.218000411987305)","(31.950000762939453, 34.05000305175781, 82.52200317382812)"
7,2022-12-06 18:38:27.707482,"(73.80000305175781, 51.000003814697266, 18.149999618530273)","(50.70000076293945, 47.10000228881836, 29.52400016784668)","(53.70000076293945, 102.9000015258789, 98.97799682617188)","(25.80000114440918, -9.600000381469727, 130.67999267578125)","(48.0, 37.650001525878906, 102.60800170898438)","(15.90000057220459, 40.05000305175781, 97.5260009765625)","(-4.050000190734863, 27.750001907348633, 30.733999252319336)","(32.25, 34.35000228881836, 82.27999877929688)"
8,2022-12-06 18:38:27.752159,"(72.9000015258789, 50.10000228881836, 18.392000198364258)","(50.400001525878906, 46.5, 29.766000747680664)","(51.900001525878906, 103.05000305175781, 99.7040023803711)","(26.100000381469727, -9.75, 130.9219970703125)","(48.750003814697266, 38.10000228881836, 102.1240005493164)","(16.350000381469727, 38.55000305175781, 98.01000213623047)","(-4.050000190734863, 27.150001525878906, 30.97599983215332)","(32.70000076293945, 34.5, 82.03800201416016)"
9,2022-12-06 18:38:27.842119,"(73.35000610351562, 50.10000228881836, 18.149999618530273)","(49.95000076293945, 46.650001525878906, 30.007999420166016)","(53.250003814697266, 102.30000305175781, 98.25199890136719)","(25.950000762939453, -8.25, 130.67999267578125)","(47.10000228881836, 37.05000305175781, 102.60800170898438)","(16.200000762939453, 39.60000228881836, 98.97799682617188)","(-4.5, 27.750001907348633, 29.281999588012695)","(33.60000228881836, 34.35000228881836, 82.52200317382812)"
