,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:34:52.605585,"(-28.950000762939453, 46.650001525878906, 79.61799621582031)","(2.5500001907348633, 39.45000076293945, 48.15800094604492)","(8.25, 133.20001220703125, 113.73999786376953)","(21.75, 101.85000610351562, 64.12999725341797)","(40.05000305175781, 44.85000228881836, 90.99199676513672)","(4.050000190734863, 65.10000610351562, 75.98799896240234)","(-11.850000381469727, 58.20000076293945, 22.989999771118164)","(45.0, 77.10000610351562, 112.28800201416016)"
1,2022-12-06 18:34:52.651875,"(-29.250001907348633, 45.30000305175781, 79.61799621582031)","(2.25, 39.30000305175781, 48.88399887084961)","(10.050000190734863, 132.75, 114.46599578857422)","(22.5, 102.60000610351562, 65.8239974975586)","(41.55000305175781, 45.30000305175781, 90.75)","(4.800000190734863, 66.0, 75.74600219726562)","(-11.550000190734863, 58.35000228881836, 21.780000686645508)","(44.85000228881836, 76.95000457763672, 113.01399993896484)"
2,2022-12-06 18:34:52.652886,"(-28.650001525878906, 45.900001525878906, 79.61799621582031)","(2.25, 39.45000076293945, 48.15800094604492)","(10.350000381469727, 132.60000610351562, 113.25599670410156)","(23.100000381469727, 101.55000305175781, 64.85600280761719)","(40.650001525878906, 45.60000228881836, 91.71800231933594)","(3.9000000953674316, 65.10000610351562, 76.2300033569336)","(-12.15000057220459, 58.500003814697266, 21.29599952697754)","(44.400001525878906, 77.10000610351562, 113.25599670410156)"
3,2022-12-06 18:34:52.739760,"(-27.450000762939453, 46.35000228881836, 79.86000061035156)","(2.25, 38.70000076293945, 48.88399887084961)","(10.050000190734863, 132.3000030517578, 113.98200225830078)","(23.55000114440918, 102.9000015258789, 64.37200164794922)","(40.95000076293945, 44.400001525878906, 93.16999816894531)","(3.9000000953674316, 64.20000457763672, 77.197998046875)","(-12.300000190734863, 58.05000305175781, 22.263999938964844)","(45.150001525878906, 77.10000610351562, 113.25599670410156)"
4,2022-12-06 18:34:52.785809,"(-27.600000381469727, 47.10000228881836, 79.13400268554688)","(2.1000001430511475, 39.30000305175781, 48.641998291015625)","(9.600000381469727, 132.0, 110.59400177001953)","(23.55000114440918, 101.55000305175781, 64.85600280761719)","(41.10000228881836, 44.85000228881836, 89.78199768066406)","(4.050000190734863, 64.5, 75.0199966430664)","(-11.700000762939453, 57.900001525878906, 21.780000686645508)","(44.85000228881836, 77.10000610351562, 112.77200317382812)"
5,2022-12-06 18:34:52.830424,"(-27.900001525878906, 47.85000228881836, 79.13400268554688)","(3.0, 39.60000228881836, 49.125999450683594)","(11.850000381469727, 133.8000030517578, 111.80400085449219)","(24.450000762939453, 102.45000457763672, 63.645999908447266)","(40.20000076293945, 44.70000076293945, 91.95999908447266)","(3.6000001430511475, 65.25, 75.26200103759766)","(-11.550000190734863, 57.60000228881836, 22.74799919128418)","(44.400001525878906, 76.80000305175781, 112.52999877929688)"
6,2022-12-06 18:34:52.920343,"(-28.80000114440918, 48.45000076293945, 79.61799621582031)","(2.4000000953674316, 39.75, 48.400001525878906)","(11.25, 133.95001220703125, 111.31999969482422)","(24.900001525878906, 102.1500015258789, 64.37200164794922)","(41.10000228881836, 44.70000076293945, 91.71800231933594)","(3.750000238418579, 65.4000015258789, 75.50399780273438)","(-11.700000762939453, 57.150001525878906, 22.263999938964844)","(44.70000076293945, 77.25, 111.80400085449219)"
7,2022-12-06 18:34:52.965257,"(-27.750001907348633, 48.150001525878906, 79.61799621582031)","(2.4000000953674316, 40.20000076293945, 48.88399887084961)","(11.550000190734863, 132.15000915527344, 111.80400085449219)","(24.750001907348633, 102.1500015258789, 64.12999725341797)","(41.10000228881836, 45.150001525878906, 91.95999908447266)","(4.5, 64.95000457763672, 76.2300033569336)","(-11.25, 57.60000228881836, 22.989999771118164)","(43.95000076293945, 77.10000610351562, 112.0459976196289)"
8,2022-12-06 18:34:53.055455,"(-27.150001525878906, 48.900001525878906, 78.89199829101562)","(3.0, 40.80000305175781, 48.400001525878906)","(10.800000190734863, 134.25, 113.25599670410156)","(26.400001525878906, 102.00000762939453, 64.12999725341797)","(40.5, 44.70000076293945, 91.23400115966797)","(2.8500001430511475, 64.5, 75.50399780273438)","(-11.700000762939453, 56.55000305175781, 21.780000686645508)","(44.25, 76.95000457763672, 112.0459976196289)"
9,2022-12-06 18:34:53.100299,"(-26.55000114440918, 48.750003814697266, 79.13400268554688)","(2.8500001430511475, 39.45000076293945, 48.15800094604492)","(12.90000057220459, 133.20001220703125, 113.01399993896484)","(25.80000114440918, 101.70000457763672, 64.61399841308594)","(40.5, 45.0, 90.99199676513672)","(0.15000000596046448, 63.900001525878906, 75.98799896240234)","(-11.40000057220459, 57.750003814697266, 21.538000106811523)","(43.95000076293945, 76.5, 112.28800201416016)"
10,2022-12-06 18:34:53.145523,"(-26.850000381469727, 49.35000228881836, 77.92399597167969)","(3.450000047683716, 39.900001525878906, 48.15800094604492)","(11.850000381469727, 133.8000030517578, 113.01399993896484)","(25.650001525878906, 100.95000457763672, 64.12999725341797)","(41.400001525878906, 45.75, 90.99199676513672)","(4.050000190734863, 66.1500015258789, 78.16600036621094)","(-11.850000381469727, 57.750003814697266, 22.989999771118164)","(44.10000228881836, 76.80000305175781, 112.28800201416016)"
11,2022-12-06 18:34:53.235678,"(-27.600000381469727, 48.30000305175781, 78.6500015258789)","(2.700000047683716, 40.5, 48.400001525878906)","(11.850000381469727, 133.65000915527344, 113.25599670410156)","(24.750001907348633, 101.25000762939453, 63.40399932861328)","(40.650001525878906, 45.0, 90.02400207519531)","(2.8500001430511475, 64.05000305175781, 76.47200012207031)","(-12.450000762939453, 57.45000076293945, 22.263999938964844)","(44.70000076293945, 76.95000457763672, 111.80400085449219)"
12,2022-12-06 18:34:53.280344,"(-27.750001907348633, 49.20000076293945, 78.16600036621094)","(2.5500001907348633, 39.75, 48.15800094604492)","(10.800000190734863, 133.0500030517578, 114.70800018310547)","(24.750001907348633, 101.85000610351562, 63.88800048828125)","(42.30000305175781, 42.900001525878906, 91.47599792480469)","(2.700000047683716, 63.750003814697266, 76.2300033569336)","(-11.700000762939453, 57.900001525878906, 22.263999938964844)","(44.55000305175781, 77.10000610351562, 112.0459976196289)"
13,2022-12-06 18:34:53.325396,"(-28.200000762939453, 48.60000228881836, 78.89199829101562)","(2.25, 40.20000076293945, 48.641998291015625)","(11.850000381469727, 133.20001220703125, 113.98200225830078)","(25.950000762939453, 101.55000305175781, 64.12999725341797)","(39.900001525878906, 45.150001525878906, 90.75)","(1.6500000953674316, 64.20000457763672, 77.197998046875)","(-12.0, 57.30000305175781, 22.02199935913086)","(43.5, 75.9000015258789, 112.0459976196289)"
14,2022-12-06 18:34:53.415166,"(-27.450000762939453, 49.20000076293945, 78.40799713134766)","(3.6000001430511475, 40.05000305175781, 48.400001525878906)","(12.600000381469727, 131.10000610351562, 111.80400085449219)","(25.500001907348633, 101.55000305175781, 63.645999908447266)","(40.20000076293945, 45.0, 90.26599884033203)","(3.0, 66.1500015258789, 77.44000244140625)","(-12.600000381469727, 57.900001525878906, 22.74799919128418)","(43.80000305175781, 76.6500015258789, 111.80400085449219)"
15,2022-12-06 18:34:53.505314,"(-27.600000381469727, 48.900001525878906, 78.40799713134766)","(3.750000238418579, 40.05000305175781, 48.15800094604492)","(13.050000190734863, 133.20001220703125, 113.25599670410156)","(26.100000381469727, 100.95000457763672, 64.37200164794922)","(41.70000076293945, 45.0, 92.44400024414062)","(4.050000190734863, 64.95000457763672, 75.74600219726562)","(-12.300000190734863, 57.750003814697266, 21.780000686645508)","(44.25, 76.35000610351562, 112.0459976196289)"
16,2022-12-06 18:34:53.550382,"(-27.30000114440918, 49.95000076293945, 78.89199829101562)","(3.6000001430511475, 40.5, 48.641998291015625)","(10.800000190734863, 133.20001220703125, 113.73999786376953)","(26.700000762939453, 101.85000610351562, 62.91999816894531)","(40.35000228881836, 43.05000305175781, 90.75)","(3.0, 64.20000457763672, 75.98799896240234)","(-12.300000190734863, 58.05000305175781, 21.780000686645508)","(44.10000228881836, 77.10000610351562, 111.80400085449219)"
17,2022-12-06 18:34:53.595334,"(-27.150001525878906, 50.250003814697266, 78.6500015258789)","(2.4000000953674316, 40.80000305175781, 48.400001525878906)","(13.200000762939453, 135.0, 112.52999877929688)","(27.30000114440918, 102.1500015258789, 63.645999908447266)","(41.400001525878906, 44.10000228881836, 90.99199676513672)","(1.8000000715255737, 64.80000305175781, 75.26200103759766)","(-12.90000057220459, 57.000003814697266, 21.538000106811523)","(43.20000076293945, 76.35000610351562, 111.56199645996094)"
18,2022-12-06 18:34:53.640795,"(-26.850000381469727, 50.70000076293945, 77.92399597167969)","(3.3000001907348633, 41.10000228881836, 48.400001525878906)","(11.25, 133.20001220703125, 113.73999786376953)","(27.900001525878906, 101.85000610351562, 63.1619987487793)","(41.10000228881836, 43.95000076293945, 90.26599884033203)","(3.3000001907348633, 64.35000610351562, 76.2300033569336)","(-13.350000381469727, 57.30000305175781, 21.538000106811523)","(43.5, 76.6500015258789, 111.31999969482422)"
