,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 17:14:15.717469,"(28.950000762939453, 38.85000228881836, 53.481998443603516)","(30.600000381469727, 38.25, 41.38199996948242)","(32.25, 112.05000305175781, 113.98200225830078)","(22.200000762939453, 44.25, 117.37000274658203)","(46.35000228881836, 35.55000305175781, 89.05599975585938)","(14.700000762939453, 33.0, 65.8239974975586)","(-11.25, 30.600000381469727, 10.64799976348877)","(22.350000381469727, 51.45000076293945, 65.0979995727539)"
1,2022-12-06 17:14:15.761750,"(29.100000381469727, 38.400001525878906, 53.481998443603516)","(30.750001907348633, 37.95000076293945, 41.13999938964844)","(32.70000076293945, 113.70000457763672, 113.01399993896484)","(22.650001525878906, 43.35000228881836, 117.12799835205078)","(47.10000228881836, 35.55000305175781, 91.23400115966797)","(14.700000762939453, 34.20000076293945, 66.55000305175781)","(-11.40000057220459, 31.350000381469727, 11.131999969482422)","(22.950000762939453, 51.60000228881836, 65.33999633789062)"
2,2022-12-06 17:14:15.851936,"(28.650001525878906, 38.70000076293945, 53.7239990234375)","(30.600000381469727, 38.400001525878906, 41.38199996948242)","(33.900001525878906, 113.4000015258789, 112.77200317382812)","(21.30000114440918, 44.10000228881836, 117.12799835205078)","(46.35000228881836, 34.650001525878906, 89.05599975585938)","(13.800000190734863, 33.75, 65.0979995727539)","(-10.350000381469727, 31.650001525878906, 10.406000137329102)","(22.350000381469727, 51.750003814697266, 66.30799865722656)"
3,2022-12-06 17:14:15.896969,"(28.200000762939453, 38.10000228881836, 53.965999603271484)","(30.30000114440918, 39.30000305175781, 41.624000549316406)","(31.05000114440918, 111.30000305175781, 111.0780029296875)","(22.05000114440918, 44.10000228881836, 117.61199951171875)","(46.80000305175781, 35.70000076293945, 91.47599792480469)","(15.000000953674316, 34.35000228881836, 64.85600280761719)","(-10.5, 31.200000762939453, 9.92199993133545)","(22.350000381469727, 51.45000076293945, 65.33999633789062)"
4,2022-12-06 17:14:15.942159,"(28.950000762939453, 38.70000076293945, 53.481998443603516)","(29.850000381469727, 38.25, 41.38199996948242)","(31.80000114440918, 112.35000610351562, 111.80400085449219)","(22.650001525878906, 43.650001525878906, 117.12799835205078)","(45.60000228881836, 35.25, 89.54000091552734)","(14.550000190734863, 31.80000114440918, 62.678001403808594)","(-11.25, 31.350000381469727, 9.437999725341797)","(23.25, 51.750003814697266, 65.58200073242188)"
5,2022-12-06 17:14:16.076836,"(28.500001907348633, 39.0, 53.965999603271484)","(30.30000114440918, 37.95000076293945, 41.38199996948242)","(33.0, 114.1500015258789, 111.56199645996094)","(22.5, 44.25, 117.12799835205078)","(47.10000228881836, 34.95000076293945, 90.75)","(16.200000762939453, 32.85000228881836, 64.61399841308594)","(-10.800000190734863, 31.05000114440918, 10.406000137329102)","(22.5, 51.30000305175781, 65.8239974975586)"
6,2022-12-06 17:14:16.077837,"(28.500001907348633, 38.55000305175781, 53.23999786376953)","(30.30000114440918, 37.5, 41.38199996948242)","(31.500001907348633, 112.50000762939453, 115.91799926757812)","(22.200000762939453, 44.400001525878906, 118.09600067138672)","(46.80000305175781, 34.80000305175781, 91.23400115966797)","(14.100000381469727, 35.10000228881836, 64.61399841308594)","(-11.25, 30.450000762939453, 11.131999969482422)","(22.650001525878906, 51.900001525878906, 65.33999633789062)"
7,2022-12-06 17:14:16.166991,"(28.950000762939453, 39.150001525878906, 53.965999603271484)","(30.30000114440918, 37.95000076293945, 41.13999938964844)","(34.35000228881836, 111.9000015258789, 112.77200317382812)","(22.5, 43.35000228881836, 117.12799835205078)","(45.900001525878906, 34.80000305175781, 88.81400299072266)","(15.15000057220459, 32.70000076293945, 63.40399932861328)","(-11.40000057220459, 31.500001907348633, 9.437999725341797)","(22.650001525878906, 51.750003814697266, 65.33999633789062)"
8,2022-12-06 17:14:16.211816,"(28.500001907348633, 38.400001525878906, 53.481998443603516)","(30.30000114440918, 37.5, 41.13999938964844)","(33.45000076293945, 113.25000762939453, 115.6760025024414)","(21.0, 44.400001525878906, 117.37000274658203)","(46.650001525878906, 34.80000305175781, 91.23400115966797)","(14.250000953674316, 34.05000305175781, 64.37200164794922)","(-11.550000190734863, 31.200000762939453, 9.92199993133545)","(22.350000381469727, 51.60000228881836, 66.06600189208984)"
9,2022-12-06 17:14:16.257082,"(29.100000381469727, 38.10000228881836, 53.481998443603516)","(30.30000114440918, 38.25, 41.86600112915039)","(32.55000305175781, 112.35000610351562, 112.52999877929688)","(22.350000381469727, 44.400001525878906, 116.64399719238281)","(47.85000228881836, 36.150001525878906, 89.05599975585938)","(12.750000953674316, 34.5, 65.58200073242188)","(-11.550000190734863, 31.500001907348633, 10.406000137329102)","(22.5, 52.05000305175781, 65.8239974975586)"
