,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:05:29.198788,"(78.75, 70.95000457763672, 52.27199935913086)","(46.650001525878906, 47.85000228881836, 42.10799789428711)","(46.95000076293945, 115.20000457763672, 116.15999603271484)","(61.20000076293945, 40.05000305175781, 140.843994140625)","(44.55000305175781, 34.80000305175781, 88.08799743652344)","(8.700000762939453, 34.95000076293945, 66.30799865722656)","(-16.05000114440918, 29.850000381469727, 6.533999919891357)","(22.650001525878906, 50.400001525878906, 60.742000579833984)"
1,2022-12-06 18:05:29.243631,"(78.0, 70.95000457763672, 52.27199935913086)","(46.20000076293945, 48.0, 42.10799789428711)","(45.900001525878906, 115.50000762939453, 118.8219985961914)","(60.150001525878906, 38.85000228881836, 139.39199829101562)","(43.95000076293945, 33.75, 87.36199951171875)","(10.800000190734863, 33.900001525878906, 65.8239974975586)","(-15.300000190734863, 30.450000762939453, 6.050000190734863)","(21.900001525878906, 50.55000305175781, 60.257999420166016)"
2,2022-12-06 18:05:29.333796,"(78.1500015258789, 70.35000610351562, 52.27199935913086)","(46.20000076293945, 47.25, 42.349998474121094)","(45.900001525878906, 114.60000610351562, 120.51599884033203)","(60.45000076293945, 39.60000228881836, 140.1179962158203)","(42.75, 34.650001525878906, 87.36199951171875)","(9.300000190734863, 33.900001525878906, 66.06600189208984)","(-15.300000190734863, 30.600000381469727, 5.565999984741211)","(22.350000381469727, 50.10000228881836, 60.5)"
3,2022-12-06 18:05:29.378500,"(77.55000305175781, 69.75, 51.54600143432617)","(46.05000305175781, 47.25, 41.86600112915039)","(45.60000228881836, 115.05000305175781, 119.06400299072266)","(59.55000305175781, 39.60000228881836, 140.1179962158203)","(43.5, 33.75, 87.36199951171875)","(9.300000190734863, 34.20000076293945, 64.85600280761719)","(-15.000000953674316, 29.55000114440918, 6.776000022888184)","(22.200000762939453, 49.80000305175781, 59.77399826049805)"
4,2022-12-06 18:05:29.424072,"(77.85000610351562, 70.95000457763672, 52.029998779296875)","(45.45000076293945, 46.95000076293945, 41.86600112915039)","(48.150001525878906, 115.80000305175781, 117.12799835205078)","(59.400001525878906, 39.0, 140.1179962158203)","(42.60000228881836, 33.45000076293945, 87.60399627685547)","(9.450000762939453, 35.25, 65.8239974975586)","(-14.550000190734863, 29.55000114440918, 6.776000022888184)","(21.600000381469727, 50.10000228881836, 61.22599792480469)"
5,2022-12-06 18:05:29.558495,"(77.10000610351562, 70.5, 52.27199935913086)","(45.45000076293945, 48.150001525878906, 41.624000549316406)","(46.5, 115.6500015258789, 117.37000274658203)","(59.55000305175781, 38.70000076293945, 141.3280029296875)","(43.20000076293945, 34.20000076293945, 89.05599975585938)","(9.0, 35.85000228881836, 66.06600189208984)","(-16.200000762939453, 29.850000381469727, 7.501999855041504)","(21.75, 49.500003814697266, 60.5)"
6,2022-12-06 18:05:29.559620,"(76.6500015258789, 70.20000457763672, 52.029998779296875)","(46.80000305175781, 47.70000076293945, 41.86600112915039)","(45.60000228881836, 116.55000305175781, 119.30599975585938)","(59.10000228881836, 39.150001525878906, 139.39199829101562)","(42.75, 34.05000305175781, 87.60399627685547)","(9.300000190734863, 34.80000305175781, 64.37200164794922)","(-15.600000381469727, 29.850000381469727, 6.291999816894531)","(22.05000114440918, 49.95000076293945, 60.5)"
7,2022-12-06 18:05:29.603057,"(76.5, 69.60000610351562, 52.27199935913086)","(46.35000228881836, 46.80000305175781, 41.86600112915039)","(46.80000305175781, 115.20000457763672, 116.4020004272461)","(59.400001525878906, 39.75, 140.6020050048828)","(43.20000076293945, 33.45000076293945, 88.5719985961914)","(7.950000286102295, 35.70000076293945, 64.85600280761719)","(-14.850000381469727, 30.30000114440918, 7.259999752044678)","(21.450000762939453, 49.650001525878906, 61.46799850463867)"
8,2022-12-06 18:05:29.693500,"(77.85000610351562, 69.60000610351562, 52.75600051879883)","(45.900001525878906, 47.55000305175781, 42.349998474121094)","(45.60000228881836, 113.55000305175781, 117.85399627685547)","(59.70000076293945, 40.05000305175781, 141.3280029296875)","(43.35000228881836, 33.45000076293945, 87.84600067138672)","(9.15000057220459, 34.5, 65.58200073242188)","(-15.300000190734863, 29.700000762939453, 5.808000087738037)","(22.350000381469727, 50.250003814697266, 60.742000579833984)"
9,2022-12-06 18:05:29.738623,"(77.4000015258789, 69.60000610351562, 52.27199935913086)","(46.35000228881836, 47.400001525878906, 42.10799789428711)","(46.650001525878906, 115.05000305175781, 118.58000183105469)","(58.95000076293945, 39.45000076293945, 141.3280029296875)","(43.650001525878906, 33.60000228881836, 87.12000274658203)","(8.25, 33.30000305175781, 64.37200164794922)","(-14.850000381469727, 30.150001525878906, 6.050000190734863)","(22.200000762939453, 49.95000076293945, 60.98400115966797)"
