,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:36:11.041453,"(82.95000457763672, 83.10000610351562, 41.624000549316406)","(48.45000076293945, 51.150001525878906, 41.13999938964844)","(52.80000305175781, 114.45000457763672, 118.33799743652344)","(75.60000610351562, 25.200000762939453, 132.85800170898438)","(42.150001525878906, 33.30000305175781, 96.0739974975586)","(6.750000476837158, 35.25, 76.2300033569336)","(-17.100000381469727, 27.000001907348633, 19.601999282836914)","(22.650001525878906, 47.70000076293945, 72.11599731445312)"
1,2022-12-06 18:36:11.042626,"(83.70000457763672, 82.20000457763672, 42.59199905395508)","(49.05000305175781, 50.400001525878906, 40.89799880981445)","(51.45000076293945, 113.4000015258789, 118.33799743652344)","(75.30000305175781, 26.55000114440918, 134.0679931640625)","(42.150001525878906, 33.900001525878906, 93.65399932861328)","(9.75, 33.0, 77.44000244140625)","(-16.650001525878906, 27.30000114440918, 18.875999450683594)","(23.100000381469727, 47.10000228881836, 71.63199615478516)"
2,2022-12-06 18:36:11.086116,"(83.4000015258789, 81.9000015258789, 42.83399963378906)","(49.05000305175781, 51.000003814697266, 40.89799880981445)","(51.900001525878906, 112.6500015258789, 119.06400299072266)","(74.25, 26.100000381469727, 134.30999755859375)","(42.150001525878906, 33.150001525878906, 92.68599700927734)","(8.850000381469727, 33.0, 75.50399780273438)","(-16.80000114440918, 26.55000114440918, 18.634000778198242)","(23.100000381469727, 47.55000305175781, 71.63199615478516)"
3,2022-12-06 18:36:11.176380,"(82.80000305175781, 81.0, 41.86600112915039)","(48.45000076293945, 50.250003814697266, 41.13999938964844)","(51.750003814697266, 114.1500015258789, 119.30599975585938)","(75.30000305175781, 25.05000114440918, 134.79400634765625)","(42.45000076293945, 34.35000228881836, 95.83200073242188)","(7.200000286102295, 33.60000228881836, 77.44000244140625)","(-16.950000762939453, 26.850000381469727, 18.875999450683594)","(22.5, 47.25, 71.14800262451172)"
4,2022-12-06 18:36:11.221562,"(82.80000305175781, 81.75, 41.624000549316406)","(48.900001525878906, 50.85000228881836, 41.624000549316406)","(52.95000076293945, 112.80000305175781, 121.72599792480469)","(74.55000305175781, 25.350000381469727, 134.0679931640625)","(43.05000305175781, 32.85000228881836, 94.86399841308594)","(7.500000476837158, 32.400001525878906, 76.2300033569336)","(-16.5, 26.700000762939453, 19.118000030517578)","(22.80000114440918, 47.10000228881836, 72.35800170898438)"
5,2022-12-06 18:36:11.311135,"(83.70000457763672, 81.9000015258789, 42.10799789428711)","(48.900001525878906, 51.000003814697266, 41.13999938964844)","(51.000003814697266, 112.80000305175781, 119.5479965209961)","(74.25, 25.200000762939453, 134.0679931640625)","(42.0, 32.55000305175781, 95.10600280761719)","(6.600000381469727, 33.45000076293945, 76.47200012207031)","(-17.100000381469727, 27.30000114440918, 19.8439998626709)","(22.80000114440918, 47.10000228881836, 72.11599731445312)"
6,2022-12-06 18:36:11.356298,"(84.1500015258789, 81.60000610351562, 42.349998474121094)","(48.750003814697266, 50.55000305175781, 41.13999938964844)","(53.250003814697266, 113.85000610351562, 118.58000183105469)","(74.85000610351562, 25.200000762939453, 134.552001953125)","(42.60000228881836, 33.45000076293945, 94.37999725341797)","(8.100000381469727, 33.45000076293945, 76.47200012207031)","(-16.650001525878906, 27.000001907348633, 20.086000442504883)","(22.650001525878906, 47.400001525878906, 72.35800170898438)"
7,2022-12-06 18:36:11.401156,"(82.35000610351562, 81.45000457763672, 42.10799789428711)","(48.45000076293945, 51.45000076293945, 41.624000549316406)","(52.05000305175781, 115.35000610351562, 118.33799743652344)","(74.25, 24.900001525878906, 133.8260040283203)","(42.75, 33.150001525878906, 94.86399841308594)","(7.800000190734863, 32.85000228881836, 75.74600219726562)","(-16.650001525878906, 25.950000762939453, 20.086000442504883)","(22.80000114440918, 46.95000076293945, 71.38999938964844)"
8,2022-12-06 18:36:11.491245,"(83.4000015258789, 81.1500015258789, 41.624000549316406)","(48.30000305175781, 50.250003814697266, 41.13999938964844)","(52.20000076293945, 113.10000610351562, 117.85399627685547)","(73.5, 25.200000762939453, 133.8260040283203)","(43.5, 33.0, 94.86399841308594)","(8.100000381469727, 33.45000076293945, 78.16600036621094)","(-17.400001525878906, 26.100000381469727, 20.327999114990234)","(22.80000114440918, 46.650001525878906, 72.11599731445312)"
9,2022-12-06 18:36:11.581115,"(82.35000610351562, 81.60000610351562, 41.86600112915039)","(48.60000228881836, 51.150001525878906, 40.89799880981445)","(52.80000305175781, 112.80000305175781, 120.51599884033203)","(73.5, 25.950000762939453, 133.8260040283203)","(43.80000305175781, 33.900001525878906, 95.58999633789062)","(8.100000381469727, 34.05000305175781, 77.92399597167969)","(-16.5, 26.850000381469727, 19.601999282836914)","(22.200000762939453, 46.650001525878906, 72.84200286865234)"
