,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:31:48.298629,"(100.05000305175781, 115.20000457763672, 51.78799819946289)","(48.0, 56.10000228881836, 47.189998626708984)","(50.70000076293945, 121.80000305175781, 128.98599243164062)","(102.00000762939453, 48.60000228881836, 124.87200164794922)","(40.35000228881836, 32.70000076293945, 86.39399719238281)","(3.750000238418579, 33.900001525878906, 61.46799850463867)","(-25.350000381469727, 29.100000381469727, 5.081999778747559)","(18.0, 57.60000228881836, 61.46799850463867)"
1,2022-12-06 18:31:48.330412,"(99.1500015258789, 114.75000762939453, 52.513999938964844)","(47.70000076293945, 55.80000305175781, 47.43199920654297)","(50.400001525878906, 122.4000015258789, 128.98599243164062)","(102.1500015258789, 48.30000305175781, 125.83999633789062)","(38.25, 34.05000305175781, 87.36199951171875)","(3.0, 33.900001525878906, 61.95199966430664)","(-25.950000762939453, 29.100000381469727, 6.291999816894531)","(17.700000762939453, 57.60000228881836, 61.95199966430664)"
2,2022-12-06 18:31:48.374774,"(99.9000015258789, 113.70000457763672, 52.029998779296875)","(47.70000076293945, 56.250003814697266, 46.947998046875)","(48.150001525878906, 121.95000457763672, 128.01800537109375)","(102.30000305175781, 49.05000305175781, 127.05000305175781)","(39.60000228881836, 32.85000228881836, 86.63600158691406)","(3.0, 34.35000228881836, 60.98400115966797)","(-25.950000762939453, 29.100000381469727, 4.840000152587891)","(16.950000762939453, 57.750003814697266, 61.46799850463867)"
3,2022-12-06 18:31:48.464783,"(100.05000305175781, 113.70000457763672, 52.75600051879883)","(47.70000076293945, 54.750003814697266, 47.189998626708984)","(49.650001525878906, 122.25000762939453, 130.1959991455078)","(100.95000457763672, 48.900001525878906, 125.83999633789062)","(38.85000228881836, 32.25, 87.60399627685547)","(2.4000000953674316, 35.400001525878906, 59.290000915527344)","(-25.500001907348633, 29.250001907348633, 5.323999881744385)","(17.850000381469727, 57.750003814697266, 61.95199966430664)"
4,2022-12-06 18:31:48.510083,"(99.60000610351562, 114.00000762939453, 52.513999938964844)","(48.30000305175781, 55.80000305175781, 47.189998626708984)","(49.35000228881836, 122.25000762939453, 129.22799682617188)","(103.05000305175781, 48.150001525878906, 125.83999633789062)","(38.85000228881836, 32.400001525878906, 85.66799926757812)","(2.700000047683716, 33.75, 61.709999084472656)","(-25.950000762939453, 28.950000762939453, 5.808000087738037)","(17.850000381469727, 58.20000076293945, 61.46799850463867)"
5,2022-12-06 18:31:48.599768,"(99.9000015258789, 113.70000457763672, 52.27199935913086)","(48.0, 55.95000076293945, 46.70600128173828)","(51.150001525878906, 123.00000762939453, 131.16400146484375)","(101.55000305175781, 48.30000305175781, 126.08200073242188)","(38.400001525878906, 31.950000762939453, 86.63600158691406)","(2.8500001430511475, 35.55000305175781, 61.95199966430664)","(-24.900001525878906, 29.700000762939453, 5.808000087738037)","(17.400001525878906, 57.60000228881836, 61.46799850463867)"
6,2022-12-06 18:31:48.644490,"(100.05000305175781, 113.55000305175781, 52.27199935913086)","(48.60000228881836, 56.400001525878906, 47.189998626708984)","(50.10000228881836, 120.75000762939453, 128.5019989013672)","(100.95000457763672, 48.30000305175781, 125.5979995727539)","(39.60000228881836, 32.70000076293945, 87.12000274658203)","(4.350000381469727, 35.85000228881836, 61.95199966430664)","(-25.950000762939453, 28.950000762939453, 4.5980000495910645)","(17.400001525878906, 57.150001525878906, 61.46799850463867)"
7,2022-12-06 18:31:48.734778,"(100.05000305175781, 113.4000015258789, 51.78799819946289)","(47.400001525878906, 56.10000228881836, 46.947998046875)","(50.85000228881836, 121.20000457763672, 131.16400146484375)","(101.70000457763672, 48.60000228881836, 125.11399841308594)","(38.400001525878906, 32.400001525878906, 87.60399627685547)","(4.5, 34.20000076293945, 59.290000915527344)","(-25.80000114440918, 29.400001525878906, 4.355999946594238)","(17.850000381469727, 57.45000076293945, 62.43600082397461)"
8,2022-12-06 18:31:48.779742,"(99.75000762939453, 114.1500015258789, 51.78799819946289)","(47.85000228881836, 55.500003814697266, 47.43199920654297)","(49.500003814697266, 121.95000457763672, 128.74400329589844)","(102.1500015258789, 48.750003814697266, 125.83999633789062)","(39.45000076293945, 32.55000305175781, 85.4260025024414)","(3.750000238418579, 32.85000228881836, 60.98400115966797)","(-25.950000762939453, 28.950000762939453, 5.323999881744385)","(17.25, 57.30000305175781, 61.709999084472656)"
9,2022-12-06 18:31:48.824310,"(100.80000305175781, 114.1500015258789, 51.54600143432617)","(47.400001525878906, 55.35000228881836, 47.189998626708984)","(51.000003814697266, 122.55000305175781, 128.25999450683594)","(101.55000305175781, 48.750003814697266, 125.11399841308594)","(39.45000076293945, 31.500001907348633, 87.12000274658203)","(3.750000238418579, 34.5, 60.5)","(-25.05000114440918, 29.850000381469727, 6.291999816894531)","(17.700000762939453, 57.45000076293945, 61.95199966430664)"
