,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:19:36.807626,"(36.30000305175781, 59.85000228881836, 32.9119987487793)","(36.30000305175781, 51.150001525878906, 33.15399932861328)","(42.60000228881836, 121.05000305175781, 95.83200073242188)","(40.5, 36.150001525878906, 81.55400085449219)","(47.400001525878906, 46.05000305175781, 103.09200286865234)","(19.200000762939453, 58.95000076293945, 107.447998046875)","(3.6000001430511475, 44.55000305175781, 37.5099983215332)","(49.05000305175781, 43.05000305175781, 115.19200134277344)"
1,2022-12-06 18:19:36.897599,"(36.30000305175781, 59.55000305175781, 32.9119987487793)","(36.900001525878906, 51.900001525878906, 32.66999816894531)","(43.650001525878906, 120.60000610351562, 95.58999633789062)","(40.80000305175781, 36.75, 81.06999969482422)","(48.45000076293945, 44.85000228881836, 103.81800079345703)","(19.650001525878906, 60.30000305175781, 107.69000244140625)","(4.200000286102295, 44.55000305175781, 37.99399948120117)","(49.05000305175781, 43.05000305175781, 114.94999694824219)"
2,2022-12-06 18:19:36.942567,"(36.45000076293945, 60.45000076293945, 33.15399932861328)","(36.0, 51.150001525878906, 33.15399932861328)","(44.55000305175781, 120.9000015258789, 94.86399841308594)","(40.05000305175781, 36.30000305175781, 80.34400177001953)","(48.900001525878906, 44.25, 103.09200286865234)","(19.5, 59.85000228881836, 109.6259994506836)","(3.750000238418579, 44.70000076293945, 37.0260009765625)","(49.80000305175781, 42.900001525878906, 114.94999694824219)"
3,2022-12-06 18:19:36.987591,"(35.85000228881836, 60.30000305175781, 33.63800048828125)","(35.25, 50.250003814697266, 33.15399932861328)","(45.30000305175781, 121.50000762939453, 94.37999725341797)","(40.05000305175781, 35.55000305175781, 82.03800201416016)","(47.55000305175781, 45.150001525878906, 103.33399963378906)","(19.950000762939453, 59.400001525878906, 110.11000061035156)","(3.9000000953674316, 44.55000305175781, 37.268001556396484)","(48.900001525878906, 42.60000228881836, 116.88600158691406)"
4,2022-12-06 18:19:37.077744,"(35.85000228881836, 60.30000305175781, 32.9119987487793)","(36.30000305175781, 50.55000305175781, 33.395999908447266)","(43.20000076293945, 119.85000610351562, 93.89599609375)","(40.95000076293945, 35.85000228881836, 80.8280029296875)","(47.55000305175781, 45.30000305175781, 103.33399963378906)","(18.75, 61.05000305175781, 106.96399688720703)","(4.5, 45.30000305175781, 37.5099983215332)","(48.30000305175781, 43.05000305175781, 115.91799926757812)"
5,2022-12-06 18:19:37.167429,"(36.0, 60.000003814697266, 32.66999816894531)","(36.30000305175781, 51.000003814697266, 32.428001403808594)","(43.95000076293945, 119.4000015258789, 94.62200164794922)","(40.5, 36.30000305175781, 81.55400085449219)","(48.750003814697266, 45.0, 100.91400146484375)","(20.55000114440918, 59.70000076293945, 109.6259994506836)","(3.750000238418579, 44.10000228881836, 37.5099983215332)","(48.750003814697266, 43.20000076293945, 115.91799926757812)"
6,2022-12-06 18:19:37.168572,"(35.55000305175781, 61.500003814697266, 32.66999816894531)","(36.45000076293945, 50.55000305175781, 32.9119987487793)","(45.150001525878906, 120.00000762939453, 93.65399932861328)","(40.20000076293945, 36.0, 81.55400085449219)","(49.05000305175781, 44.55000305175781, 103.33399963378906)","(19.05000114440918, 59.85000228881836, 108.17399597167969)","(4.200000286102295, 44.400001525878906, 37.75199890136719)","(48.60000228881836, 42.75, 115.91799926757812)"
7,2022-12-06 18:19:37.257573,"(35.85000228881836, 60.60000228881836, 32.9119987487793)","(36.0, 51.60000228881836, 32.9119987487793)","(45.900001525878906, 120.45000457763672, 94.86399841308594)","(39.75, 35.10000228881836, 81.7959976196289)","(47.25, 44.70000076293945, 102.1240005493164)","(19.05000114440918, 59.85000228881836, 109.38400268554688)","(4.050000190734863, 44.70000076293945, 36.784000396728516)","(48.60000228881836, 43.20000076293945, 115.43399810791016)"
8,2022-12-06 18:19:37.302441,"(36.60000228881836, 60.60000228881836, 33.395999908447266)","(35.70000076293945, 50.400001525878906, 32.428001403808594)","(44.55000305175781, 120.60000610351562, 95.10600280761719)","(39.60000228881836, 35.55000305175781, 80.8280029296875)","(48.750003814697266, 44.85000228881836, 101.88199615478516)","(20.400001525878906, 61.500003814697266, 110.35199737548828)","(4.5, 45.75, 37.99399948120117)","(49.05000305175781, 43.650001525878906, 115.91799926757812)"
9,2022-12-06 18:19:37.392308,"(36.0, 60.60000228881836, 32.9119987487793)","(36.45000076293945, 52.05000305175781, 33.15399932861328)","(45.0, 120.60000610351562, 97.28399658203125)","(40.05000305175781, 36.0, 81.7959976196289)","(49.05000305175781, 44.400001525878906, 104.54399871826172)","(18.600000381469727, 59.85000228881836, 107.20600128173828)","(4.800000190734863, 44.70000076293945, 37.99399948120117)","(49.05000305175781, 43.05000305175781, 116.15999603271484)"
