,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:37:25.021635,"(-2.5500001907348633, 6.600000381469727, 41.13999938964844)","(18.0, 30.900001525878906, 31.944000244140625)","(19.950000762939453, 102.75000762939453, 93.41200256347656)","(-29.850000381469727, 16.350000381469727, 113.73999786376953)","(49.500003814697266, 50.250003814697266, 104.54399871826172)","(19.950000762939453, 71.10000610351562, 120.75799560546875)","(10.800000190734863, 51.150001525878906, 45.49599838256836)","(64.95000457763672, 44.55000305175781, 129.71200561523438)"
1,2022-12-06 18:37:25.022980,"(-2.8500001430511475, 6.600000381469727, 40.89799880981445)","(18.75, 31.05000114440918, 32.18600082397461)","(22.350000381469727, 104.25000762939453, 95.58999633789062)","(-29.55000114440918, 16.350000381469727, 113.98200225830078)","(48.150001525878906, 49.35000228881836, 105.02799987792969)","(19.5, 73.20000457763672, 120.75799560546875)","(11.25, 51.000003814697266, 45.25400161743164)","(65.4000015258789, 44.25, 129.71200561523438)"
2,2022-12-06 18:37:25.111546,"(-2.25, 6.300000190734863, 40.89799880981445)","(18.450000762939453, 30.900001525878906, 32.428001403808594)","(20.850000381469727, 103.80000305175781, 93.89599609375)","(-29.700000762939453, 16.200000762939453, 113.73999786376953)","(48.60000228881836, 48.30000305175781, 107.447998046875)","(20.850000381469727, 71.4000015258789, 117.85399627685547)","(11.100000381469727, 52.35000228881836, 46.22200012207031)","(64.5, 44.10000228881836, 129.71200561523438)"
3,2022-12-06 18:37:25.156395,"(-0.9000000357627869, 7.050000190734863, 40.65599822998047)","(19.05000114440918, 30.750001907348633, 32.66999816894531)","(20.400001525878906, 102.75000762939453, 94.13800048828125)","(-29.700000762939453, 15.600000381469727, 112.52999877929688)","(48.60000228881836, 49.35000228881836, 106.72200012207031)","(21.30000114440918, 70.5, 121.0)","(10.65000057220459, 51.150001525878906, 45.49599838256836)","(64.35000610351562, 45.150001525878906, 129.47000122070312)"
4,2022-12-06 18:37:25.202040,"(-2.5500001907348633, 6.450000286102295, 41.13999938964844)","(18.600000381469727, 31.650001525878906, 32.428001403808594)","(21.450000762939453, 102.1500015258789, 93.41200256347656)","(-30.30000114440918, 16.5, 114.70800018310547)","(48.750003814697266, 48.150001525878906, 105.99600219726562)","(21.30000114440918, 70.95000457763672, 121.24199676513672)","(10.65000057220459, 50.55000305175781, 45.49599838256836)","(65.10000610351562, 45.30000305175781, 130.43800354003906)"
5,2022-12-06 18:37:25.246574,"(-1.6500000953674316, 6.0, 40.41400146484375)","(17.850000381469727, 30.900001525878906, 32.66999816894531)","(21.30000114440918, 102.30000305175781, 93.89599609375)","(-30.150001525878906, 16.5, 112.77200317382812)","(49.500003814697266, 49.05000305175781, 106.23799896240234)","(19.950000762939453, 71.10000610351562, 121.24199676513672)","(11.100000381469727, 51.150001525878906, 44.2859992980957)","(64.5, 45.30000305175781, 129.95399475097656)"
6,2022-12-06 18:37:25.336626,"(-2.1000001430511475, 5.400000095367432, 40.89799880981445)","(18.30000114440918, 31.500001907348633, 32.18600082397461)","(21.0, 101.70000457763672, 91.23400115966797)","(-31.350000381469727, 16.200000762939453, 113.25599670410156)","(48.750003814697266, 48.900001525878906, 107.447998046875)","(20.25, 70.6500015258789, 122.69400024414062)","(10.5, 51.150001525878906, 45.97999954223633)","(64.95000457763672, 45.45000076293945, 129.71200561523438)"
7,2022-12-06 18:37:25.381566,"(-2.700000047683716, 6.300000190734863, 41.38199996948242)","(18.150001525878906, 30.750001907348633, 31.944000244140625)","(21.75, 103.50000762939453, 91.71800231933594)","(-29.400001525878906, 15.90000057220459, 113.73999786376953)","(49.500003814697266, 48.45000076293945, 107.20600128173828)","(19.5, 71.70000457763672, 119.5479965209961)","(10.800000190734863, 51.45000076293945, 44.52799987792969)","(64.6500015258789, 45.150001525878906, 129.71200561523438)"
8,2022-12-06 18:37:25.471505,"(-2.700000047683716, 6.900000095367432, 40.65599822998047)","(17.850000381469727, 30.750001907348633, 32.428001403808594)","(21.75, 102.45000457763672, 93.41200256347656)","(-31.350000381469727, 16.650001525878906, 113.01399993896484)","(49.80000305175781, 50.55000305175781, 106.23799896240234)","(21.450000762939453, 73.20000457763672, 119.06400299072266)","(10.350000381469727, 51.150001525878906, 45.25400161743164)","(64.6500015258789, 45.30000305175781, 130.1959991455078)"
9,2022-12-06 18:37:25.516564,"(-3.1500000953674316, 6.900000095367432, 40.172000885009766)","(17.55000114440918, 32.55000305175781, 32.428001403808594)","(20.100000381469727, 102.9000015258789, 90.99199676513672)","(-30.000001907348633, 16.200000762939453, 113.01399993896484)","(49.650001525878906, 48.900001525878906, 105.2699966430664)","(20.700000762939453, 70.6500015258789, 120.75799560546875)","(11.700000762939453, 49.95000076293945, 44.77000045776367)","(64.35000610351562, 44.55000305175781, 130.43800354003906)"
