,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-06 18:33:30.975276,"(-38.85000228881836, 11.100000381469727, 63.645999908447266)","(2.8500001430511475, 30.750001907348633, 38.236000061035156)","(11.550000190734863, 116.4000015258789, 95.3479995727539)","(-21.75, 62.55000305175781, 91.71800231933594)","(49.20000076293945, 52.650001525878906, 99.22000122070312)","(18.600000381469727, 79.95000457763672, 108.41600036621094)","(11.700000762939453, 61.95000076293945, 36.29999923706055)","(69.1500015258789, 61.05000305175781, 130.43800354003906)"
1,2022-12-06 18:33:31.065100,"(-38.25, 12.15000057220459, 63.1619987487793)","(3.6000001430511475, 31.650001525878906, 39.44599914550781)","(10.200000762939453, 117.60000610351562, 95.3479995727539)","(-21.450000762939453, 63.60000228881836, 90.75)","(48.60000228881836, 52.500003814697266, 100.91400146484375)","(18.150001525878906, 79.80000305175781, 105.02799987792969)","(12.450000762939453, 62.250003814697266, 36.05799865722656)","(69.45000457763672, 61.500003814697266, 131.16400146484375)"
2,2022-12-06 18:33:31.066628,"(-37.95000076293945, 11.700000762939453, 63.1619987487793)","(3.6000001430511475, 31.200000762939453, 38.720001220703125)","(10.5, 118.20000457763672, 96.55799865722656)","(-20.700000762939453, 62.85000228881836, 89.54000091552734)","(49.20000076293945, 51.150001525878906, 98.73600006103516)","(19.05000114440918, 80.25, 107.447998046875)","(11.700000762939453, 62.250003814697266, 35.332000732421875)","(69.75, 61.20000076293945, 131.6479949951172)"
3,2022-12-06 18:33:31.154949,"(-38.85000228881836, 10.65000057220459, 63.645999908447266)","(3.450000047683716, 31.650001525878906, 38.47800064086914)","(10.200000762939453, 117.45000457763672, 99.46199798583984)","(-21.30000114440918, 63.000003814697266, 91.71800231933594)","(49.05000305175781, 52.500003814697266, 100.6719970703125)","(18.450000762939453, 78.75, 107.447998046875)","(12.0, 62.250003814697266, 36.29999923706055)","(69.75, 61.05000305175781, 129.95399475097656)"
4,2022-12-06 18:33:31.200375,"(-37.05000305175781, 11.25, 64.12999725341797)","(3.9000000953674316, 31.500001907348633, 38.720001220703125)","(10.65000057220459, 116.25000762939453, 96.31600189208984)","(-22.200000762939453, 62.250003814697266, 91.95999908447266)","(48.60000228881836, 51.60000228881836, 100.6719970703125)","(18.450000762939453, 80.10000610351562, 106.47999572753906)","(12.0, 61.650001525878906, 36.54199981689453)","(69.60000610351562, 61.500003814697266, 130.1959991455078)"
5,2022-12-06 18:33:31.289241,"(-37.650001525878906, 9.75, 63.88800048828125)","(3.0, 32.10000228881836, 39.20399856567383)","(10.350000381469727, 116.70000457763672, 97.76799774169922)","(-21.30000114440918, 61.80000305175781, 91.95999908447266)","(48.30000305175781, 52.35000228881836, 99.7040023803711)","(18.0, 79.6500015258789, 106.47999572753906)","(12.300000190734863, 61.650001525878906, 34.36399841308594)","(69.75, 61.500003814697266, 129.71200561523438)"
6,2022-12-06 18:33:31.334494,"(-37.95000076293945, 12.15000057220459, 63.88800048828125)","(3.750000238418579, 31.500001907348633, 38.47800064086914)","(11.700000762939453, 116.85000610351562, 98.01000213623047)","(-21.450000762939453, 62.10000228881836, 92.20199584960938)","(48.60000228881836, 51.900001525878906, 100.6719970703125)","(19.5, 79.80000305175781, 107.93199920654297)","(11.40000057220459, 61.500003814697266, 36.29999923706055)","(70.35000610351562, 61.35000228881836, 129.95399475097656)"
7,2022-12-06 18:33:31.379952,"(-37.05000305175781, 12.15000057220459, 62.43600082397461)","(3.750000238418579, 31.05000114440918, 38.47800064086914)","(9.90000057220459, 117.45000457763672, 95.3479995727539)","(-21.0, 61.650001525878906, 92.68599700927734)","(50.10000228881836, 51.750003814697266, 100.6719970703125)","(19.200000762939453, 79.20000457763672, 108.65799713134766)","(12.0, 61.650001525878906, 35.57400131225586)","(70.5, 60.45000076293945, 128.74400329589844)"
8,2022-12-06 18:33:31.469844,"(-36.30000305175781, 12.450000762939453, 62.678001403808594)","(4.200000286102295, 31.950000762939453, 38.47800064086914)","(10.5, 117.1500015258789, 96.0739974975586)","(-19.80000114440918, 60.60000228881836, 93.89599609375)","(49.20000076293945, 52.95000076293945, 100.18799591064453)","(19.5, 79.6500015258789, 105.02799987792969)","(11.25, 61.35000228881836, 36.05799865722656)","(70.6500015258789, 60.000003814697266, 128.98599243164062)"
9,2022-12-06 18:33:31.515067,"(-34.80000305175781, 12.750000953674316, 61.95199966430664)","(4.800000190734863, 33.0, 38.236000061035156)","(10.950000762939453, 116.55000305175781, 98.25199890136719)","(-18.900001525878906, 60.000003814697266, 93.89599609375)","(48.750003814697266, 52.500003814697266, 99.22000122070312)","(21.30000114440918, 78.9000015258789, 107.447998046875)","(12.300000190734863, 60.45000076293945, 36.05799865722656)","(70.6500015258789, 60.150001525878906, 128.01800537109375)"
