,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:29:42.561819,"(35.85000228881836, 48.150001525878906, 91.23400115966797)","(29.850000381469727, 41.400001525878906, 75.0199966430664)","(36.150001525878906, 109.35000610351562, 104.302001953125)","(30.600000381469727, 39.60000228881836, 100.18799591064453)","(46.80000305175781, 37.80000305175781, 99.46199798583984)","(16.200000762939453, 46.20000076293945, 94.86399841308594)","(-0.45000001788139343, 39.0, 36.784000396728516)","(39.900001525878906, 45.150001525878906, 98.01000213623047)"
1,2022-12-11 16:29:42.651582,"(34.05000305175781, 50.250003814697266, 95.3479995727539)","(31.950000762939453, 38.85000228881836, 76.2300033569336)","(37.05000305175781, 109.50000762939453, 106.96399688720703)","(31.200000762939453, 39.75, 101.39800262451172)","(47.25, 37.35000228881836, 100.18799591064453)","(16.950000762939453, 45.75, 96.31600189208984)","(0.15000000596046448, 37.650001525878906, 37.0260009765625)","(40.650001525878906, 44.400001525878906, 98.01000213623047)"
2,2022-12-11 16:29:42.652975,"(35.55000305175781, 46.650001525878906, 94.62200164794922)","(33.45000076293945, 40.650001525878906, 78.16600036621094)","(37.05000305175781, 108.45000457763672, 106.72200012207031)","(31.950000762939453, 39.60000228881836, 101.15599822998047)","(47.55000305175781, 37.650001525878906, 100.91400146484375)","(18.0, 45.30000305175781, 96.80000305175781)","(1.6500000953674316, 37.35000228881836, 38.720001220703125)","(41.55000305175781, 45.0, 99.7040023803711)"
3,2022-12-11 16:29:42.786451,"(34.80000305175781, 46.95000076293945, 98.01000213623047)","(33.900001525878906, 41.10000228881836, 80.10199737548828)","(38.85000228881836, 107.55000305175781, 104.78600311279297)","(31.950000762939453, 39.900001525878906, 101.88199615478516)","(48.150001525878906, 37.35000228881836, 101.63999938964844)","(18.600000381469727, 45.60000228881836, 97.5260009765625)","(2.4000000953674316, 37.20000076293945, 39.20399856567383)","(42.75, 44.70000076293945, 99.94599914550781)"
4,2022-12-11 16:29:42.788075,"(38.25, 46.05000305175781, 98.4939956665039)","(35.10000228881836, 38.10000228881836, 79.86000061035156)","(39.60000228881836, 108.00000762939453, 107.20600128173828)","(34.5, 37.95000076293945, 103.81800079345703)","(48.150001525878906, 37.35000228881836, 102.36599731445312)","(19.05000114440918, 45.0, 98.01000213623047)","(3.750000238418579, 37.650001525878906, 39.93000030517578)","(43.35000228881836, 44.10000228881836, 101.63999938964844)"
5,2022-12-11 16:29:42.831564,"(38.70000076293945, 46.35000228881836, 95.83200073242188)","(35.10000228881836, 38.85000228881836, 79.13400268554688)","(40.05000305175781, 107.55000305175781, 107.69000244140625)","(34.650001525878906, 37.95000076293945, 104.05999755859375)","(48.900001525878906, 37.35000228881836, 102.1240005493164)","(19.650001525878906, 44.400001525878906, 98.97799682617188)","(4.350000381469727, 36.45000076293945, 41.13999938964844)","(43.20000076293945, 44.25, 102.1240005493164)"
6,2022-12-11 16:29:42.921615,"(40.80000305175781, 47.55000305175781, 101.39800262451172)","(36.45000076293945, 39.0, 83.00599670410156)","(38.85000228881836, 108.00000762939453, 108.41600036621094)","(33.150001525878906, 37.20000076293945, 101.88199615478516)","(49.20000076293945, 37.05000305175781, 102.36599731445312)","(20.400001525878906, 44.85000228881836, 98.4939956665039)","(4.950000286102295, 37.5, 41.38199996948242)","(43.95000076293945, 43.95000076293945, 101.15599822998047)"
7,2022-12-11 16:29:42.966473,"(39.45000076293945, 48.900001525878906, 96.31600189208984)","(36.150001525878906, 39.45000076293945, 79.3759994506836)","(41.400001525878906, 107.25000762939453, 107.69000244140625)","(36.0, 37.80000305175781, 103.57599639892578)","(49.05000305175781, 37.35000228881836, 102.36599731445312)","(20.25, 45.150001525878906, 98.01000213623047)","(5.700000286102295, 36.75, 40.172000885009766)","(44.25, 44.25, 101.15599822998047)"
8,2022-12-11 16:29:43.011571,"(40.650001525878906, 47.85000228881836, 98.25199890136719)","(37.05000305175781, 39.30000305175781, 82.03800201416016)","(41.10000228881836, 108.60000610351562, 108.41600036621094)","(36.0, 36.60000228881836, 102.36599731445312)","(49.20000076293945, 37.5, 102.36599731445312)","(19.80000114440918, 45.30000305175781, 98.73600006103516)","(4.050000190734863, 36.150001525878906, 39.93000030517578)","(44.10000228881836, 44.55000305175781, 101.39800262451172)"
9,2022-12-11 16:29:43.101632,"(39.30000305175781, 47.400001525878906, 99.46199798583984)","(36.0, 37.05000305175781, 79.61799621582031)","(40.20000076293945, 108.45000457763672, 110.83599853515625)","(33.0, 37.5, 104.302001953125)","(49.20000076293945, 37.35000228881836, 102.1240005493164)","(19.950000762939453, 45.150001525878906, 97.76799774169922)","(3.6000001430511475, 36.900001525878906, 40.65599822998047)","(44.400001525878906, 44.55000305175781, 101.63999938964844)"
