,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:58:26.010536,"(24.150001525878906, 64.80000305175781, 101.63999938964844)","(26.250001907348633, 48.900001525878906, 80.34400177001953)","(32.55000305175781, 123.1500015258789, 104.302001953125)","(29.700000762939453, 61.80000305175781, 83.48999786376953)","(26.250001907348633, 37.650001525878906, 80.8280029296875)","(-53.55000305175781, 47.25, 21.538000106811523)","(-32.55000305175781, 64.35000610351562, 8.470000267028809)","(67.35000610351562, 116.25000762939453, 110.59400177001953)"
1,2022-12-11 16:58:26.055822,"(23.100000381469727, 65.85000610351562, 101.15599822998047)","(24.750001907348633, 48.900001525878906, 81.7959976196289)","(32.10000228881836, 122.55000305175781, 104.05999755859375)","(31.950000762939453, 60.900001525878906, 87.60399627685547)","(25.950000762939453, 37.5, 80.58599853515625)","(-53.70000076293945, 47.25, 22.02199935913086)","(-32.400001525878906, 65.25, 8.227999687194824)","(68.4000015258789, 116.85000610351562, 111.31999969482422)"
2,2022-12-11 16:58:26.100700,"(24.750001907348633, 65.55000305175781, 100.6719970703125)","(24.600000381469727, 48.750003814697266, 80.8280029296875)","(31.350000381469727, 120.9000015258789, 105.02799987792969)","(32.10000228881836, 60.60000228881836, 85.66799926757812)","(26.400001525878906, 37.95000076293945, 80.34400177001953)","(-53.55000305175781, 47.400001525878906, 22.02199935913086)","(-33.30000305175781, 64.20000457763672, 7.01800012588501)","(68.85000610351562, 115.95000457763672, 110.35199737548828)"
3,2022-12-11 16:58:26.190337,"(25.80000114440918, 64.5, 104.54399871826172)","(23.850000381469727, 51.000003814697266, 83.9739990234375)","(31.05000114440918, 121.95000457763672, 104.05999755859375)","(32.25, 60.45000076293945, 85.90999603271484)","(26.55000114440918, 37.95000076293945, 80.8280029296875)","(-54.150001525878906, 47.10000228881836, 22.02199935913086)","(-32.400001525878906, 63.900001525878906, 7.501999855041504)","(69.1500015258789, 117.00000762939453, 110.59400177001953)"
4,2022-12-11 16:58:26.235889,"(24.30000114440918, 65.55000305175781, 100.43000030517578)","(24.900001525878906, 48.750003814697266, 81.55400085449219)","(32.55000305175781, 121.80000305175781, 103.33399963378906)","(32.70000076293945, 60.60000228881836, 84.45800018310547)","(26.250001907348633, 37.5, 80.58599853515625)","(-54.30000305175781, 47.400001525878906, 21.538000106811523)","(-32.85000228881836, 64.6500015258789, 7.01800012588501)","(68.25, 116.55000305175781, 110.35199737548828)"
5,2022-12-11 16:58:26.280573,"(24.150001525878906, 64.80000305175781, 98.4939956665039)","(24.600000381469727, 48.45000076293945, 81.31199645996094)","(31.350000381469727, 121.6500015258789, 105.99600219726562)","(30.150001525878906, 60.30000305175781, 85.4260025024414)","(26.250001907348633, 37.80000305175781, 81.55400085449219)","(-54.150001525878906, 46.650001525878906, 21.538000106811523)","(-32.70000076293945, 63.900001525878906, 6.291999816894531)","(67.6500015258789, 116.85000610351562, 111.31999969482422)"
6,2022-12-11 16:58:26.370204,"(24.150001525878906, 66.75, 100.91400146484375)","(26.250001907348633, 47.85000228881836, 82.52200317382812)","(31.05000114440918, 123.00000762939453, 104.78600311279297)","(31.80000114440918, 60.60000228881836, 85.18399810791016)","(26.100000381469727, 37.5, 81.31199645996094)","(-54.30000305175781, 46.95000076293945, 20.812000274658203)","(-32.70000076293945, 63.900001525878906, 7.259999752044678)","(67.95000457763672, 116.70000457763672, 110.59400177001953)"
7,2022-12-11 16:58:26.415433,"(23.850000381469727, 67.20000457763672, 100.18799591064453)","(25.05000114440918, 49.35000228881836, 81.7959976196289)","(32.55000305175781, 121.6500015258789, 102.60800170898438)","(30.750001907348633, 61.05000305175781, 86.87799835205078)","(26.100000381469727, 37.650001525878906, 81.06999969482422)","(-54.60000228881836, 47.25, 21.538000106811523)","(-32.400001525878906, 64.5, 7.501999855041504)","(67.80000305175781, 116.70000457763672, 111.0780029296875)"
8,2022-12-11 16:58:26.504860,"(23.25, 66.0, 101.39800262451172)","(26.55000114440918, 49.20000076293945, 80.8280029296875)","(31.950000762939453, 123.30000305175781, 104.78600311279297)","(31.950000762939453, 60.45000076293945, 86.63600158691406)","(26.250001907348633, 37.20000076293945, 81.7959976196289)","(-54.750003814697266, 46.650001525878906, 21.780000686645508)","(-32.25, 64.80000305175781, 7.259999752044678)","(67.95000457763672, 116.55000305175781, 111.56199645996094)"
9,2022-12-11 16:58:26.550572,"(24.150001525878906, 65.55000305175781, 100.6719970703125)","(26.700000762939453, 49.05000305175781, 80.58599853515625)","(33.30000305175781, 123.00000762939453, 105.02799987792969)","(30.000001907348633, 60.45000076293945, 83.48999786376953)","(26.700000762939453, 37.80000305175781, 81.31199645996094)","(-54.000003814697266, 46.5, 22.263999938964844)","(-32.10000228881836, 64.5, 7.259999752044678)","(68.55000305175781, 116.85000610351562, 110.83599853515625)"
10,2022-12-11 16:58:26.595303,"(23.55000114440918, 64.95000457763672, 101.15599822998047)","(23.700000762939453, 49.80000305175781, 82.03800201416016)","(29.850000381469727, 122.4000015258789, 107.20600128173828)","(30.450000762939453, 60.30000305175781, 85.18399810791016)","(25.950000762939453, 37.650001525878906, 81.06999969482422)","(-54.750003814697266, 47.400001525878906, 21.053998947143555)","(-32.400001525878906, 64.35000610351562, 6.533999919891357)","(69.0, 116.4000015258789, 111.56199645996094)"
11,2022-12-11 16:58:26.685632,"(25.05000114440918, 66.30000305175781, 100.6719970703125)","(24.150001525878906, 48.60000228881836, 82.27999877929688)","(31.80000114440918, 121.05000305175781, 104.78600311279297)","(31.05000114440918, 61.35000228881836, 86.1520004272461)","(26.400001525878906, 37.5, 81.7959976196289)","(-54.750003814697266, 47.25, 21.538000106811523)","(-32.10000228881836, 63.750003814697266, 6.050000190734863)","(68.25, 116.70000457763672, 111.80400085449219)"
12,2022-12-11 16:58:26.730649,"(25.500001907348633, 66.30000305175781, 101.15599822998047)","(25.05000114440918, 49.95000076293945, 81.31199645996094)","(31.80000114440918, 122.25000762939453, 106.23799896240234)","(30.600000381469727, 61.20000076293945, 87.12000274658203)","(26.700000762939453, 37.35000228881836, 80.8280029296875)","(-54.000003814697266, 47.10000228881836, 21.29599952697754)","(-31.80000114440918, 64.5, 6.291999816894531)","(68.4000015258789, 116.70000457763672, 111.56199645996094)"
13,2022-12-11 16:58:26.775317,"(24.30000114440918, 65.10000610351562, 101.63999938964844)","(25.200000762939453, 48.150001525878906, 82.52200317382812)","(31.80000114440918, 121.80000305175781, 104.78600311279297)","(30.450000762939453, 60.60000228881836, 85.90999603271484)","(26.400001525878906, 37.650001525878906, 80.58599853515625)","(-54.750003814697266, 46.80000305175781, 21.780000686645508)","(-33.0, 64.35000610351562, 5.565999984741211)","(68.4000015258789, 116.25000762939453, 111.0780029296875)"
14,2022-12-11 16:58:26.865582,"(25.200000762939453, 63.60000228881836, 100.91400146484375)","(25.950000762939453, 48.900001525878906, 81.06999969482422)","(31.200000762939453, 122.25000762939453, 104.05999755859375)","(30.900001525878906, 60.150001525878906, 87.12000274658203)","(26.100000381469727, 37.35000228881836, 80.58599853515625)","(-54.000003814697266, 46.80000305175781, 22.263999938964844)","(-31.950000762939453, 64.80000305175781, 7.01800012588501)","(68.10000610351562, 116.4000015258789, 111.80400085449219)"
