,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:23:51.937692,"(65.25, 42.45000076293945, 67.03399658203125)","(43.5, 42.900001525878906, 63.88800048828125)","(40.20000076293945, 102.00000762939453, 97.04199981689453)","(18.900001525878906, 10.350000381469727, 105.99600219726562)","(46.5, 36.150001525878906, 95.10600280761719)","(17.850000381469727, 38.400001525878906, 87.84600067138672)","(-5.700000286102295, 30.000001907348633, 19.8439998626709)","(27.30000114440918, 33.60000228881836, 73.08399963378906)"
1,2022-12-11 17:23:51.982897,"(62.70000076293945, 43.35000228881836, 67.2760009765625)","(42.900001525878906, 40.650001525878906, 64.61399841308594)","(41.10000228881836, 102.1500015258789, 96.80000305175781)","(18.450000762939453, 10.800000190734863, 106.23799896240234)","(46.95000076293945, 36.0, 95.3479995727539)","(18.30000114440918, 38.400001525878906, 88.08799743652344)","(-6.0, 29.850000381469727, 18.392000198364258)","(27.450000762939453, 32.85000228881836, 73.08399963378906)"
2,2022-12-11 17:23:52.072513,"(64.6500015258789, 44.70000076293945, 66.79199981689453)","(40.05000305175781, 41.25, 65.0979995727539)","(42.900001525878906, 102.00000762939453, 97.5260009765625)","(18.900001525878906, 10.950000762939453, 107.93199920654297)","(46.5, 36.0, 95.58999633789062)","(18.450000762939453, 38.25, 89.2979965209961)","(-6.450000286102295, 29.55000114440918, 20.086000442504883)","(27.900001525878906, 33.45000076293945, 73.32599639892578)"
3,2022-12-11 17:23:52.117535,"(64.5, 40.80000305175781, 66.30799865722656)","(43.05000305175781, 42.0, 64.61399841308594)","(41.55000305175781, 103.35000610351562, 97.04199981689453)","(18.900001525878906, 10.800000190734863, 107.447998046875)","(46.5, 36.150001525878906, 94.62200164794922)","(18.30000114440918, 38.85000228881836, 89.2979965209961)","(-6.750000476837158, 29.250001907348633, 19.360000610351562)","(27.750001907348633, 33.150001525878906, 74.052001953125)"
4,2022-12-11 17:23:52.162904,"(64.05000305175781, 43.05000305175781, 67.03399658203125)","(40.5, 40.20000076293945, 64.61399841308594)","(41.400001525878906, 101.25000762939453, 94.86399841308594)","(19.05000114440918, 10.800000190734863, 108.17399597167969)","(46.80000305175781, 36.150001525878906, 95.58999633789062)","(17.850000381469727, 38.55000305175781, 88.81400299072266)","(-5.850000381469727, 29.850000381469727, 20.086000442504883)","(27.900001525878906, 33.45000076293945, 74.052001953125)"
5,2022-12-11 17:23:52.252306,"(64.6500015258789, 42.75, 67.2760009765625)","(42.900001525878906, 41.400001525878906, 61.46799850463867)","(40.80000305175781, 101.25000762939453, 95.3479995727539)","(19.5, 9.600000381469727, 107.447998046875)","(46.95000076293945, 36.60000228881836, 96.0739974975586)","(18.600000381469727, 38.70000076293945, 89.54000091552734)","(-6.150000095367432, 29.400001525878906, 18.634000778198242)","(26.850000381469727, 33.75, 73.32599639892578)"
6,2022-12-11 17:23:52.297184,"(64.35000610351562, 46.20000076293945, 68.48600006103516)","(40.80000305175781, 40.35000228881836, 67.03399658203125)","(41.25, 101.70000457763672, 97.5260009765625)","(20.700000762939453, 9.600000381469727, 108.9000015258789)","(46.80000305175781, 36.150001525878906, 95.58999633789062)","(17.700000762939453, 38.400001525878906, 88.81400299072266)","(-6.150000095367432, 30.30000114440918, 19.8439998626709)","(27.600000381469727, 33.45000076293945, 73.56800079345703)"
7,2022-12-11 17:23:52.342417,"(66.1500015258789, 44.400001525878906, 69.93799591064453)","(41.85000228881836, 40.80000305175781, 62.43600082397461)","(41.10000228881836, 101.10000610351562, 96.55799865722656)","(18.30000114440918, 11.40000057220459, 106.47999572753906)","(46.80000305175781, 36.150001525878906, 96.0739974975586)","(17.850000381469727, 38.55000305175781, 88.33000183105469)","(-6.900000095367432, 29.400001525878906, 19.8439998626709)","(27.450000762939453, 32.70000076293945, 74.052001953125)"
8,2022-12-11 17:23:52.432464,"(63.750003814697266, 43.20000076293945, 65.8239974975586)","(42.30000305175781, 40.650001525878906, 62.678001403808594)","(39.75, 103.05000305175781, 96.80000305175781)","(19.350000381469727, 9.75, 107.69000244140625)","(46.650001525878906, 36.45000076293945, 94.86399841308594)","(18.30000114440918, 38.55000305175781, 88.81400299072266)","(-5.850000381469727, 30.000001907348633, 20.327999114990234)","(27.600000381469727, 33.75, 73.56800079345703)"
9,2022-12-11 17:23:52.477317,"(64.5, 44.55000305175781, 66.79199981689453)","(42.45000076293945, 42.60000228881836, 64.85600280761719)","(41.25, 101.25000762939453, 95.3479995727539)","(18.150001525878906, 11.25, 105.75399780273438)","(46.5, 36.45000076293945, 94.62200164794922)","(18.150001525878906, 38.25, 88.33000183105469)","(-5.400000095367432, 30.30000114440918, 19.360000610351562)","(27.30000114440918, 32.85000228881836, 74.052001953125)"
10,2022-12-11 17:23:52.567415,"(64.95000457763672, 41.55000305175781, 67.76000213623047)","(42.30000305175781, 41.70000076293945, 63.88800048828125)","(40.650001525878906, 101.70000457763672, 94.86399841308594)","(19.350000381469727, 9.15000057220459, 107.93199920654297)","(46.80000305175781, 36.75, 96.0739974975586)","(18.30000114440918, 38.85000228881836, 89.2979965209961)","(-5.850000381469727, 29.700000762939453, 18.875999450683594)","(27.150001525878906, 32.85000228881836, 74.29399871826172)"
11,2022-12-11 17:23:52.613004,"(64.5, 43.35000228881836, 65.33999633789062)","(41.25, 41.400001525878906, 61.46799850463867)","(40.20000076293945, 101.55000305175781, 96.0739974975586)","(19.80000114440918, 10.5, 106.47999572753906)","(46.650001525878906, 36.30000305175781, 95.83200073242188)","(18.150001525878906, 39.150001525878906, 88.33000183105469)","(-6.0, 29.250001907348633, 18.149999618530273)","(27.900001525878906, 33.75, 73.08399963378906)"
12,2022-12-11 17:23:52.657489,"(64.5, 41.25, 65.8239974975586)","(42.60000228881836, 40.650001525878906, 63.1619987487793)","(41.70000076293945, 102.00000762939453, 96.55799865722656)","(18.900001525878906, 10.050000190734863, 105.75399780273438)","(46.80000305175781, 36.45000076293945, 95.58999633789062)","(18.450000762939453, 38.25, 88.5719985961914)","(-6.0, 29.400001525878906, 19.360000610351562)","(27.30000114440918, 33.150001525878906, 73.08399963378906)"
