,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:36:52.056278,"(114.1500015258789, 78.60000610351562, 18.392000198364258)","(57.150001525878906, 52.95000076293945, 57.8380012512207)","(57.45000076293945, 97.05000305175781, 94.13800048828125)","(14.850000381469727, -43.95000076293945, 135.52000427246094)","(45.900001525878906, 36.0, 98.01000213623047)","(16.350000381469727, 37.5, 92.44400024414062)","(-5.700000286102295, 27.000001907348633, 22.989999771118164)","(28.350000381469727, 29.100000381469727, 72.11599731445312)"
1,2022-12-11 17:36:52.101178,"(112.6500015258789, 78.30000305175781, 19.118000030517578)","(57.150001525878906, 52.20000076293945, 56.62799835205078)","(57.60000228881836, 96.30000305175781, 93.89599609375)","(17.25, -44.55000305175781, 138.66600036621094)","(46.05000305175781, 35.85000228881836, 98.25199890136719)","(16.5, 37.650001525878906, 92.68599700927734)","(-6.300000190734863, 26.850000381469727, 23.95800018310547)","(28.350000381469727, 29.100000381469727, 72.84200286865234)"
2,2022-12-11 17:36:52.146609,"(113.10000610351562, 78.45000457763672, 19.118000030517578)","(57.150001525878906, 52.650001525878906, 56.14400100708008)","(57.45000076293945, 95.70000457763672, 95.10600280761719)","(13.500000953674316, -43.05000305175781, 134.79400634765625)","(45.900001525878906, 36.0, 98.01000213623047)","(17.25, 37.20000076293945, 93.16999816894531)","(-5.700000286102295, 26.700000762939453, 23.23200035095215)","(28.80000114440918, 29.250001907348633, 72.35800170898438)"
3,2022-12-11 17:36:52.236185,"(110.55000305175781, 78.45000457763672, 15.48799991607666)","(56.85000228881836, 51.900001525878906, 55.65999984741211)","(56.55000305175781, 96.9000015258789, 94.13800048828125)","(14.850000381469727, -44.55000305175781, 137.697998046875)","(46.5, 35.70000076293945, 97.28399658203125)","(16.950000762939453, 37.80000305175781, 92.68599700927734)","(-6.600000381469727, 27.150001525878906, 23.4739990234375)","(28.950000762939453, 29.55000114440918, 72.5999984741211)"
4,2022-12-11 17:36:52.281571,"(113.4000015258789, 78.1500015258789, 18.875999450683594)","(57.45000076293945, 50.70000076293945, 56.869998931884766)","(56.250003814697266, 96.1500015258789, 93.41200256347656)","(14.850000381469727, -45.45000076293945, 137.21400451660156)","(45.60000228881836, 35.70000076293945, 98.4939956665039)","(16.80000114440918, 37.35000228881836, 93.65399932861328)","(-5.550000190734863, 27.150001525878906, 22.74799919128418)","(28.650001525878906, 29.100000381469727, 73.32599639892578)"
5,2022-12-11 17:36:52.370823,"(113.55000305175781, 76.5, 18.392000198364258)","(56.250003814697266, 50.400001525878906, 54.933998107910156)","(56.85000228881836, 97.95000457763672, 94.37999725341797)","(13.500000953674316, -43.35000228881836, 136.00399780273438)","(45.75, 35.70000076293945, 98.25199890136719)","(16.650001525878906, 37.05000305175781, 92.9280014038086)","(-5.700000286102295, 27.000001907348633, 22.989999771118164)","(29.250001907348633, 29.700000762939453, 72.5999984741211)"
6,2022-12-11 17:36:52.415953,"(112.35000610351562, 77.25, 17.90799903869629)","(56.85000228881836, 51.60000228881836, 55.902000427246094)","(56.70000076293945, 97.05000305175781, 93.89599609375)","(14.700000762939453, -45.60000228881836, 136.72999572753906)","(45.75, 35.70000076293945, 98.25199890136719)","(16.650001525878906, 37.80000305175781, 92.9280014038086)","(-6.300000190734863, 26.400001525878906, 23.95800018310547)","(28.80000114440918, 28.950000762939453, 72.35800170898438)"
7,2022-12-11 17:36:52.460868,"(113.10000610351562, 77.4000015258789, 16.940000534057617)","(55.80000305175781, 53.250003814697266, 57.59600067138672)","(56.10000228881836, 96.60000610351562, 93.41200256347656)","(15.600000381469727, -42.75, 135.2779998779297)","(45.30000305175781, 35.85000228881836, 98.25199890136719)","(16.80000114440918, 37.35000228881836, 92.44400024414062)","(-5.850000381469727, 26.250001907348633, 22.506000518798828)","(29.400001525878906, 29.850000381469727, 72.5999984741211)"
8,2022-12-11 17:36:52.550864,"(112.6500015258789, 79.95000457763672, 18.634000778198242)","(55.20000076293945, 52.35000228881836, 56.869998931884766)","(56.400001525878906, 96.9000015258789, 93.65399932861328)","(15.000000953674316, -46.05000305175781, 134.552001953125)","(45.900001525878906, 36.0, 98.01000213623047)","(16.350000381469727, 37.5, 93.16999816894531)","(-5.700000286102295, 26.700000762939453, 22.989999771118164)","(28.950000762939453, 29.100000381469727, 72.5999984741211)"
9,2022-12-11 17:36:52.595985,"(113.10000610351562, 79.95000457763672, 18.149999618530273)","(57.900001525878906, 51.45000076293945, 53.965999603271484)","(57.60000228881836, 96.30000305175781, 92.20199584960938)","(16.200000762939453, -43.95000076293945, 137.697998046875)","(46.20000076293945, 35.85000228881836, 98.25199890136719)","(16.350000381469727, 37.35000228881836, 93.16999816894531)","(-6.150000095367432, 27.150001525878906, 22.506000518798828)","(28.80000114440918, 29.55000114440918, 72.11599731445312)"
