,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:34:40.160399,"(-58.20000076293945, 58.20000076293945, 152.4600067138672)","(-1.9500000476837158, 43.650001525878906, 85.18399810791016)","(14.250000953674316, 133.95001220703125, 98.97799682617188)","(60.900001525878906, 110.55000305175781, 40.172000885009766)","(42.150001525878906, 44.10000228881836, 86.87799835205078)","(7.500000476837158, 62.400001525878906, 71.38999938964844)","(-9.300000190734863, 55.95000076293945, 11.857999801635742)","(42.0, 69.75, 95.3479995727539)"
1,2022-12-11 17:34:40.205502,"(-57.60000228881836, 57.45000076293945, 155.36399841308594)","(-2.5500001907348633, 43.5, 86.1520004272461)","(14.250000953674316, 132.90000915527344, 99.94599914550781)","(60.45000076293945, 110.85000610351562, 42.59199905395508)","(41.85000228881836, 43.95000076293945, 86.87799835205078)","(7.200000286102295, 62.250003814697266, 71.8740005493164)","(-9.300000190734863, 56.55000305175781, 12.100000381469727)","(41.400001525878906, 70.20000457763672, 95.83200073242188)"
2,2022-12-11 17:34:40.250176,"(-57.000003814697266, 56.250003814697266, 151.49200439453125)","(-1.5, 42.60000228881836, 87.60399627685547)","(13.500000953674316, 134.70001220703125, 101.39800262451172)","(61.500003814697266, 111.00000762939453, 38.47800064086914)","(41.70000076293945, 44.25, 86.63600158691406)","(7.050000190734863, 62.400001525878906, 72.35800170898438)","(-9.75, 55.95000076293945, 11.616000175476074)","(41.70000076293945, 69.30000305175781, 95.83200073242188)"
3,2022-12-11 17:34:40.340105,"(-55.95000076293945, 57.30000305175781, 152.4600067138672)","(-1.8000000715255737, 43.95000076293945, 85.90999603271484)","(15.300000190734863, 134.85000610351562, 99.94599914550781)","(61.500003814697266, 111.45000457763672, 41.624000549316406)","(41.85000228881836, 44.25, 87.36199951171875)","(7.650000095367432, 61.95000076293945, 72.11599731445312)","(-8.850000381469727, 57.60000228881836, 10.406000137329102)","(41.10000228881836, 69.9000015258789, 95.83200073242188)"
4,2022-12-11 17:34:40.385732,"(-57.150001525878906, 57.000003814697266, 154.8800048828125)","(-1.350000023841858, 44.55000305175781, 84.45800018310547)","(13.350000381469727, 134.10000610351562, 99.22000122070312)","(61.650001525878906, 110.70000457763672, 43.801998138427734)","(42.45000076293945, 43.650001525878906, 86.87799835205078)","(6.900000095367432, 62.250003814697266, 71.8740005493164)","(-8.700000762939453, 56.70000076293945, 11.131999969482422)","(41.85000228881836, 69.75, 96.80000305175781)"
5,2022-12-11 17:34:40.475063,"(-57.60000228881836, 56.55000305175781, 152.4600067138672)","(-1.8000000715255737, 42.30000305175781, 85.66799926757812)","(14.100000381469727, 135.90000915527344, 101.39800262451172)","(61.20000076293945, 112.50000762939453, 42.59199905395508)","(42.30000305175781, 44.55000305175781, 86.87799835205078)","(7.650000095367432, 62.250003814697266, 72.5999984741211)","(-9.300000190734863, 55.95000076293945, 11.616000175476074)","(41.25, 70.05000305175781, 96.0739974975586)"
6,2022-12-11 17:34:40.520210,"(-56.55000305175781, 57.60000228881836, 151.73399353027344)","(-2.25, 44.10000228881836, 84.69999694824219)","(15.300000190734863, 133.0500030517578, 101.15599822998047)","(60.45000076293945, 111.9000015258789, 42.83399963378906)","(41.85000228881836, 44.10000228881836, 87.12000274658203)","(7.200000286102295, 62.10000228881836, 71.63199615478516)","(-9.90000057220459, 56.55000305175781, 11.37399959564209)","(41.55000305175781, 69.75, 96.0739974975586)"
7,2022-12-11 17:34:40.565374,"(-55.500003814697266, 58.95000076293945, 151.49200439453125)","(-2.8500001430511475, 43.650001525878906, 84.69999694824219)","(13.050000190734863, 134.70001220703125, 101.39800262451172)","(61.35000228881836, 112.6500015258789, 41.13999938964844)","(41.85000228881836, 43.80000305175781, 86.39399719238281)","(7.500000476837158, 61.95000076293945, 71.63199615478516)","(-9.75, 55.95000076293945, 11.131999969482422)","(41.10000228881836, 69.60000610351562, 95.58999633789062)"
8,2022-12-11 17:34:40.655513,"(-55.80000305175781, 57.900001525878906, 154.15399169921875)","(-1.6500000953674316, 42.45000076293945, 83.9739990234375)","(12.600000381469727, 133.35000610351562, 101.63999938964844)","(62.250003814697266, 112.05000305175781, 44.2859992980957)","(42.0, 43.95000076293945, 86.87799835205078)","(7.200000286102295, 62.70000076293945, 71.14800262451172)","(-9.15000057220459, 56.70000076293945, 11.131999969482422)","(41.70000076293945, 70.05000305175781, 95.58999633789062)"
9,2022-12-11 17:34:40.700238,"(-56.85000228881836, 59.10000228881836, 151.49200439453125)","(-3.450000047683716, 44.10000228881836, 85.90999603271484)","(12.300000190734863, 135.0, 99.94599914550781)","(61.500003814697266, 112.20000457763672, 41.38199996948242)","(42.150001525878906, 44.10000228881836, 87.12000274658203)","(7.200000286102295, 61.95000076293945, 72.84200286865234)","(-8.850000381469727, 56.10000228881836, 11.857999801635742)","(41.85000228881836, 69.60000610351562, 96.0739974975586)"
