,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:40:14.334457,"(15.450000762939453, 30.000001907348633, 103.57599639892578)","(17.700000762939453, 30.150001525878906, 77.197998046875)","(18.150001525878906, 101.4000015258789, 106.47999572753906)","(2.8500001430511475, 36.75, 112.0459976196289)","(43.650001525878906, 33.45000076293945, 85.18399810791016)","(19.650001525878906, 34.20000076293945, 60.742000579833984)","(-17.25, 28.200000762939453, 2.9040000438690186)","(18.600000381469727, 42.75, 52.99800109863281)"
1,2022-12-11 16:40:14.379343,"(16.350000381469727, 30.900001525878906, 104.05999755859375)","(20.700000762939453, 29.850000381469727, 75.74600219726562)","(19.350000381469727, 102.9000015258789, 106.47999572753906)","(3.750000238418579, 37.650001525878906, 110.35199737548828)","(43.650001525878906, 32.70000076293945, 86.1520004272461)","(19.350000381469727, 34.5, 60.5)","(-17.100000381469727, 28.200000762939453, 1.4520000219345093)","(18.75, 42.45000076293945, 53.7239990234375)"
2,2022-12-11 16:40:14.424191,"(15.450000762939453, 31.200000762939453, 104.54399871826172)","(18.150001525878906, 31.05000114440918, 78.16600036621094)","(19.5, 102.00000762939453, 105.51200103759766)","(3.6000001430511475, 35.70000076293945, 111.0780029296875)","(43.35000228881836, 33.30000305175781, 85.18399810791016)","(18.75, 34.35000228881836, 60.257999420166016)","(-17.100000381469727, 27.900001525878906, 2.6619999408721924)","(18.450000762939453, 42.75, 53.965999603271484)"
3,2022-12-11 16:40:14.514054,"(15.600000381469727, 31.500001907348633, 103.81800079345703)","(19.950000762939453, 32.55000305175781, 78.6500015258789)","(18.75, 101.10000610351562, 106.23799896240234)","(3.9000000953674316, 36.45000076293945, 112.28800201416016)","(43.35000228881836, 32.400001525878906, 85.18399810791016)","(18.75, 33.75, 60.742000579833984)","(-17.400001525878906, 27.750001907348633, 2.6619999408721924)","(18.150001525878906, 42.60000228881836, 53.965999603271484)"
4,2022-12-11 16:40:14.559359,"(15.90000057220459, 30.450000762939453, 104.78600311279297)","(17.25, 31.500001907348633, 76.47200012207031)","(18.900001525878906, 102.45000457763672, 105.99600219726562)","(5.400000095367432, 36.30000305175781, 112.52999877929688)","(43.650001525878906, 33.150001525878906, 85.18399810791016)","(19.05000114440918, 33.60000228881836, 60.257999420166016)","(-17.100000381469727, 28.650001525878906, 3.388000011444092)","(17.850000381469727, 42.75, 53.7239990234375)"
5,2022-12-11 16:40:14.603880,"(16.5, 30.30000114440918, 101.63999938964844)","(18.30000114440918, 30.600000381469727, 75.0199966430664)","(19.05000114440918, 99.45000457763672, 102.60800170898438)","(3.0, 36.45000076293945, 113.49800109863281)","(43.35000228881836, 33.150001525878906, 85.4260025024414)","(18.600000381469727, 33.60000228881836, 60.742000579833984)","(-17.25, 28.80000114440918, 2.6619999408721924)","(17.700000762939453, 42.75, 53.23999786376953)"
6,2022-12-11 16:40:14.693955,"(16.5, 31.200000762939453, 102.1240005493164)","(18.900001525878906, 31.200000762939453, 76.95600128173828)","(17.25, 101.25000762939453, 105.02799987792969)","(4.800000190734863, 33.900001525878906, 111.80400085449219)","(43.20000076293945, 32.85000228881836, 85.4260025024414)","(18.450000762939453, 33.900001525878906, 60.742000579833984)","(-17.400001525878906, 27.900001525878906, 3.871999979019165)","(18.150001525878906, 42.60000228881836, 52.99800109863281)"
7,2022-12-11 16:40:14.738964,"(17.400001525878906, 30.750001907348633, 102.1240005493164)","(18.900001525878906, 30.900001525878906, 75.50399780273438)","(19.5, 100.95000457763672, 106.23799896240234)","(3.6000001430511475, 37.650001525878906, 112.52999877929688)","(43.35000228881836, 32.85000228881836, 85.18399810791016)","(18.0, 34.20000076293945, 60.98400115966797)","(-16.950000762939453, 28.650001525878906, 3.1459999084472656)","(18.150001525878906, 42.45000076293945, 53.7239990234375)"
8,2022-12-11 16:40:14.829085,"(18.0, 31.650001525878906, 103.33399963378906)","(19.05000114440918, 31.950000762939453, 75.98799896240234)","(17.700000762939453, 102.1500015258789, 105.02799987792969)","(5.25, 36.30000305175781, 112.28800201416016)","(43.35000228881836, 33.150001525878906, 85.90999603271484)","(17.55000114440918, 33.75, 60.742000579833984)","(-18.0, 28.500001907348633, 2.9040000438690186)","(17.55000114440918, 42.900001525878906, 52.75600051879883)"
9,2022-12-11 16:40:14.873902,"(16.350000381469727, 29.850000381469727, 105.2699966430664)","(17.55000114440918, 30.150001525878906, 76.71399688720703)","(18.450000762939453, 101.70000457763672, 102.8499984741211)","(3.3000001907348633, 35.70000076293945, 112.0459976196289)","(42.900001525878906, 32.55000305175781, 86.39399719238281)","(18.75, 33.45000076293945, 60.742000579833984)","(-17.850000381469727, 28.350000381469727, 2.9040000438690186)","(17.850000381469727, 42.60000228881836, 52.27199935913086)"
