,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:07:43.975859,"(81.60000610351562, 29.250001907348633, 101.88199615478516)","(54.750003814697266, 36.150001525878906, 76.71399688720703)","(49.500003814697266, 100.35000610351562, 106.96399688720703)","(22.950000762939453, 25.950000762939453, 128.5019989013672)","(55.500003814697266, 34.05000305175781, 91.71800231933594)","(29.850000381469727, 36.60000228881836, 74.052001953125)","(11.850000381469727, 29.55000114440918, 12.342000007629395)","(43.5, 44.55000305175781, 66.30799865722656)"
1,2022-12-11 17:07:44.020510,"(80.25, 29.55000114440918, 97.76799774169922)","(55.95000076293945, 35.70000076293945, 76.2300033569336)","(49.20000076293945, 99.75000762939453, 108.65799713134766)","(23.850000381469727, 27.30000114440918, 129.47000122070312)","(55.35000228881836, 33.900001525878906, 92.20199584960938)","(29.850000381469727, 36.900001525878906, 74.29399871826172)","(11.100000381469727, 29.850000381469727, 12.342000007629395)","(42.75, 44.10000228881836, 66.55000305175781)"
2,2022-12-11 17:07:44.110539,"(79.95000457763672, 28.650001525878906, 103.57599639892578)","(53.10000228881836, 36.150001525878906, 75.0199966430664)","(50.250003814697266, 100.50000762939453, 106.72200012207031)","(21.30000114440918, 26.850000381469727, 127.05000305175781)","(54.750003814697266, 34.5, 91.71800231933594)","(30.150001525878906, 36.45000076293945, 74.77799987792969)","(10.950000762939453, 30.150001525878906, 11.616000175476074)","(42.150001525878906, 43.95000076293945, 66.30799865722656)"
3,2022-12-11 17:07:44.155360,"(79.95000457763672, 30.600000381469727, 101.15599822998047)","(54.45000076293945, 36.150001525878906, 76.71399688720703)","(50.250003814697266, 100.6500015258789, 108.41600036621094)","(23.100000381469727, 26.700000762939453, 126.80799865722656)","(54.900001525878906, 34.35000228881836, 91.71800231933594)","(29.850000381469727, 36.30000305175781, 74.77799987792969)","(11.25, 30.150001525878906, 11.616000175476074)","(42.900001525878906, 44.400001525878906, 65.8239974975586)"
4,2022-12-11 17:07:44.245698,"(80.55000305175781, 29.400001525878906, 103.57599639892578)","(54.150001525878906, 36.30000305175781, 75.26200103759766)","(51.60000228881836, 100.80000305175781, 107.447998046875)","(23.400001525878906, 25.950000762939453, 127.53399658203125)","(55.95000076293945, 34.20000076293945, 91.71800231933594)","(30.000001907348633, 37.05000305175781, 75.0199966430664)","(10.800000190734863, 29.850000381469727, 12.100000381469727)","(42.75, 44.25, 66.30799865722656)"
5,2022-12-11 17:07:44.290397,"(79.05000305175781, 29.400001525878906, 101.63999938964844)","(55.05000305175781, 36.0, 75.74600219726562)","(49.95000076293945, 101.10000610351562, 108.17399597167969)","(23.700000762939453, 27.30000114440918, 125.35600280761719)","(54.900001525878906, 34.5, 91.47599792480469)","(29.850000381469727, 36.150001525878906, 74.29399871826172)","(10.950000762939453, 29.850000381469727, 12.342000007629395)","(43.20000076293945, 44.10000228881836, 65.8239974975586)"
6,2022-12-11 17:07:44.335261,"(80.10000610351562, 29.850000381469727, 100.91400146484375)","(56.10000228881836, 36.75, 75.26200103759766)","(50.70000076293945, 100.95000457763672, 106.47999572753906)","(22.5, 25.200000762939453, 128.5019989013672)","(55.500003814697266, 34.05000305175781, 91.95999908447266)","(30.150001525878906, 36.30000305175781, 73.80999755859375)","(11.25, 30.450000762939453, 11.131999969482422)","(43.05000305175781, 44.70000076293945, 67.03399658203125)"
7,2022-12-11 17:07:44.425346,"(79.20000457763672, 29.250001907348633, 99.7040023803711)","(53.70000076293945, 36.150001525878906, 75.74600219726562)","(51.150001525878906, 101.55000305175781, 106.47999572753906)","(23.100000381469727, 24.30000114440918, 127.05000305175781)","(55.35000228881836, 34.650001525878906, 92.20199584960938)","(30.600000381469727, 36.30000305175781, 75.0199966430664)","(11.25, 29.700000762939453, 12.342000007629395)","(43.35000228881836, 44.400001525878906, 66.30799865722656)"
8,2022-12-11 17:07:44.470197,"(80.85000610351562, 28.650001525878906, 99.94599914550781)","(54.900001525878906, 34.95000076293945, 76.47200012207031)","(48.900001525878906, 101.10000610351562, 107.69000244140625)","(22.05000114440918, 23.55000114440918, 127.53399658203125)","(55.500003814697266, 34.20000076293945, 91.71800231933594)","(29.400001525878906, 36.0, 74.77799987792969)","(11.100000381469727, 30.600000381469727, 11.616000175476074)","(42.900001525878906, 44.10000228881836, 66.06600189208984)"
9,2022-12-11 17:07:44.515384,"(80.85000610351562, 30.600000381469727, 99.94599914550781)","(54.750003814697266, 36.60000228881836, 75.98799896240234)","(51.30000305175781, 98.10000610351562, 107.69000244140625)","(23.25, 26.700000762939453, 127.05000305175781)","(55.650001525878906, 34.20000076293945, 91.95999908447266)","(30.600000381469727, 36.75, 75.50399780273438)","(11.100000381469727, 30.000001907348633, 12.100000381469727)","(43.05000305175781, 43.5, 65.8239974975586)"
10,2022-12-11 17:07:44.605323,"(79.6500015258789, 31.05000114440918, 98.73600006103516)","(54.30000305175781, 36.75, 75.50399780273438)","(50.10000228881836, 100.20000457763672, 105.99600219726562)","(23.700000762939453, 24.600000381469727, 126.80799865722656)","(55.20000076293945, 34.20000076293945, 91.23400115966797)","(30.000001907348633, 36.30000305175781, 74.53600311279297)","(11.40000057220459, 29.850000381469727, 12.583999633789062)","(42.60000228881836, 44.10000228881836, 66.55000305175781)"
11,2022-12-11 17:07:44.650413,"(79.80000305175781, 31.80000114440918, 98.25199890136719)","(55.650001525878906, 37.5, 75.26200103759766)","(48.150001525878906, 98.4000015258789, 107.447998046875)","(24.750001907348633, 25.500001907348633, 127.29199981689453)","(55.35000228881836, 34.05000305175781, 91.47599792480469)","(29.400001525878906, 36.75, 75.0199966430664)","(11.25, 30.000001907348633, 12.342000007629395)","(42.900001525878906, 43.80000305175781, 66.79199981689453)"
12,2022-12-11 17:07:44.740220,"(78.30000305175781, 30.30000114440918, 98.73600006103516)","(54.000003814697266, 36.30000305175781, 75.26200103759766)","(49.650001525878906, 100.50000762939453, 107.93199920654297)","(24.150001525878906, 24.900001525878906, 125.35600280761719)","(55.650001525878906, 34.20000076293945, 91.71800231933594)","(29.700000762939453, 36.30000305175781, 74.052001953125)","(10.950000762939453, 30.150001525878906, 12.583999633789062)","(43.20000076293945, 44.55000305175781, 66.55000305175781)"
13,2022-12-11 17:07:44.785335,"(79.6500015258789, 30.900001525878906, 101.39800262451172)","(54.900001525878906, 37.5, 75.98799896240234)","(49.35000228881836, 100.05000305175781, 105.75399780273438)","(24.0, 24.600000381469727, 123.90399932861328)","(55.35000228881836, 34.5, 91.95999908447266)","(30.150001525878906, 36.75, 75.50399780273438)","(11.25, 30.750001907348633, 11.857999801635742)","(42.60000228881836, 44.55000305175781, 66.30799865722656)"
14,2022-12-11 17:07:44.830213,"(80.25, 29.850000381469727, 101.39800262451172)","(53.55000305175781, 35.85000228881836, 76.2300033569336)","(49.500003814697266, 100.95000457763672, 106.23799896240234)","(24.0, 26.250001907348633, 124.87200164794922)","(55.500003814697266, 34.20000076293945, 91.71800231933594)","(29.700000762939453, 36.45000076293945, 74.53600311279297)","(11.550000190734863, 31.05000114440918, 12.583999633789062)","(42.900001525878906, 44.25, 67.03399658203125)"
15,2022-12-11 17:07:44.920482,"(79.5, 30.30000114440918, 98.25199890136719)","(55.35000228881836, 34.5, 75.50399780273438)","(49.80000305175781, 100.80000305175781, 106.23799896240234)","(22.05000114440918, 25.350000381469727, 126.3239974975586)","(55.80000305175781, 34.20000076293945, 91.95999908447266)","(30.000001907348633, 37.20000076293945, 74.29399871826172)","(11.850000381469727, 30.750001907348633, 12.826000213623047)","(42.75, 44.10000228881836, 66.30799865722656)"
16,2022-12-11 17:07:44.965422,"(79.6500015258789, 30.750001907348633, 99.94599914550781)","(54.30000305175781, 37.05000305175781, 74.052001953125)","(50.55000305175781, 101.10000610351562, 106.72200012207031)","(22.650001525878906, 24.750001907348633, 127.7760009765625)","(55.35000228881836, 33.900001525878906, 91.95999908447266)","(30.000001907348633, 36.60000228881836, 75.26200103759766)","(11.25, 30.30000114440918, 12.826000213623047)","(42.60000228881836, 44.400001525878906, 67.03399658203125)"
17,2022-12-11 17:07:45.010182,"(80.70000457763672, 30.000001907348633, 100.18799591064453)","(52.80000305175781, 37.35000228881836, 76.95600128173828)","(50.250003814697266, 102.1500015258789, 107.20600128173828)","(24.750001907348633, 25.350000381469727, 126.08200073242188)","(55.05000305175781, 34.650001525878906, 91.23400115966797)","(29.700000762939453, 36.60000228881836, 73.80999755859375)","(11.100000381469727, 30.000001907348633, 12.583999633789062)","(42.900001525878906, 44.70000076293945, 66.79199981689453)"
