,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:35:19.130461,"(118.95000457763672, 117.00000762939453, 106.72200012207031)","(45.60000228881836, 53.400001525878906, 87.12000274658203)","(48.0, 110.4000015258789, 119.5479965209961)","(84.9000015258789, 23.850000381469727, 146.65199279785156)","(37.80000305175781, 31.200000762939453, 87.60399627685547)","(1.9500000476837158, 31.05000114440918, 66.55000305175781)","(-27.000001907348633, 26.250001907348633, 6.050000190734863)","(12.300000190734863, 45.150001525878906, 59.04800033569336)"
1,2022-12-11 17:35:19.221011,"(120.45000457763672, 115.80000305175781, 106.96399688720703)","(46.35000228881836, 53.70000076293945, 85.90999603271484)","(47.55000305175781, 108.60000610351562, 118.09600067138672)","(84.75, 23.400001525878906, 146.16799926757812)","(37.80000305175781, 31.650001525878906, 87.84600067138672)","(2.25, 31.200000762939453, 64.85600280761719)","(-27.150001525878906, 25.650001525878906, 6.533999919891357)","(12.15000057220459, 45.150001525878906, 58.805999755859375)"
2,2022-12-11 17:35:19.265423,"(118.95000457763672, 116.25000762939453, 108.41600036621094)","(46.5, 51.900001525878906, 87.12000274658203)","(46.5, 108.60000610351562, 117.85399627685547)","(83.4000015258789, 23.25, 146.41000366210938)","(37.80000305175781, 31.05000114440918, 87.84600067138672)","(1.5, 31.200000762939453, 65.0979995727539)","(-26.850000381469727, 25.950000762939453, 6.533999919891357)","(12.300000190734863, 45.45000076293945, 59.290000915527344)"
3,2022-12-11 17:35:19.310420,"(117.9000015258789, 114.9000015258789, 107.93199920654297)","(45.150001525878906, 53.85000228881836, 86.39399719238281)","(47.85000228881836, 109.20000457763672, 117.37000274658203)","(83.4000015258789, 22.950000762939453, 146.8939971923828)","(38.10000228881836, 31.500001907348633, 87.60399627685547)","(1.5, 31.650001525878906, 64.85600280761719)","(-27.150001525878906, 26.100000381469727, 6.533999919891357)","(12.0, 45.75, 59.290000915527344)"
4,2022-12-11 17:35:19.400889,"(115.35000610351562, 113.85000610351562, 109.38400268554688)","(47.10000228881836, 52.20000076293945, 85.4260025024414)","(46.35000228881836, 110.70000457763672, 115.19200134277344)","(82.20000457763672, 23.55000114440918, 146.41000366210938)","(37.650001525878906, 31.650001525878906, 87.60399627685547)","(1.6500000953674316, 31.350000381469727, 64.85600280761719)","(-27.900001525878906, 26.700000762939453, 6.291999816894531)","(12.300000190734863, 45.45000076293945, 59.290000915527344)"
5,2022-12-11 17:35:19.445403,"(117.60000610351562, 115.05000305175781, 111.0780029296875)","(46.20000076293945, 52.650001525878906, 87.84600067138672)","(46.05000305175781, 111.30000305175781, 117.61199951171875)","(82.6500015258789, 23.25, 145.92599487304688)","(37.95000076293945, 31.80000114440918, 87.60399627685547)","(1.9500000476837158, 31.350000381469727, 65.0979995727539)","(-26.700000762939453, 25.80000114440918, 6.050000190734863)","(12.0, 45.75, 59.04800033569336)"
6,2022-12-11 17:35:19.535091,"(117.30000305175781, 115.05000305175781, 109.38400268554688)","(47.70000076293945, 53.55000305175781, 87.60399627685547)","(46.05000305175781, 112.05000305175781, 117.12799835205078)","(84.30000305175781, 24.150001525878906, 144.95799255371094)","(37.5, 31.650001525878906, 87.84600067138672)","(2.1000001430511475, 31.200000762939453, 66.06600189208984)","(-26.700000762939453, 26.700000762939453, 5.808000087738037)","(11.850000381469727, 45.30000305175781, 58.321998596191406)"
7,2022-12-11 17:35:19.625413,"(118.50000762939453, 116.70000457763672, 109.38400268554688)","(45.150001525878906, 53.250003814697266, 84.21599578857422)","(46.650001525878906, 110.55000305175781, 118.8219985961914)","(84.9000015258789, 23.400001525878906, 145.92599487304688)","(37.80000305175781, 31.950000762939453, 87.60399627685547)","(1.9500000476837158, 30.900001525878906, 64.61399841308594)","(-27.750001907348633, 26.250001907348633, 5.808000087738037)","(12.15000057220459, 45.75, 59.04800033569336)"
8,2022-12-11 17:35:19.626500,"(118.80000305175781, 116.4000015258789, 105.02799987792969)","(48.150001525878906, 54.150001525878906, 86.63600158691406)","(48.0, 111.75000762939453, 119.5479965209961)","(84.60000610351562, 25.05000114440918, 145.6840057373047)","(37.80000305175781, 31.200000762939453, 87.36199951171875)","(1.2000000476837158, 31.05000114440918, 65.33999633789062)","(-26.850000381469727, 26.400001525878906, 4.840000152587891)","(12.0, 45.150001525878906, 58.805999755859375)"
9,2022-12-11 17:35:19.715749,"(118.20000457763672, 118.20000457763672, 106.72200012207031)","(47.10000228881836, 54.60000228881836, 86.87799835205078)","(45.75, 111.00000762939453, 118.09600067138672)","(82.5, 25.200000762939453, 148.8300018310547)","(37.650001525878906, 31.200000762939453, 88.33000183105469)","(2.8500001430511475, 30.900001525878906, 64.12999725341797)","(-27.30000114440918, 26.400001525878906, 6.050000190734863)","(12.15000057220459, 45.45000076293945, 59.04800033569336)"
