,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:31:46.234756,"(89.85000610351562, 113.4000015258789, 153.42799377441406)","(40.80000305175781, 50.85000228881836, 97.28399658203125)","(43.80000305175781, 120.1500015258789, 127.53399658203125)","(109.80000305175781, 66.1500015258789, 141.5699920654297)","(42.45000076293945, 33.900001525878906, 82.76399993896484)","(10.65000057220459, 39.75, 55.65999984741211)","(-17.25, 34.35000228881836, -4.840000152587891)","(23.55000114440918, 57.900001525878906, 52.99800109863281)"
1,2022-12-11 17:31:46.324708,"(89.10000610351562, 113.85000610351562, 155.6060028076172)","(40.35000228881836, 51.000003814697266, 96.31600189208984)","(43.05000305175781, 119.55000305175781, 126.56600189208984)","(109.20000457763672, 65.70000457763672, 139.87599182128906)","(42.0, 33.900001525878906, 82.76399993896484)","(10.65000057220459, 39.0, 54.933998107910156)","(-17.100000381469727, 35.10000228881836, -4.355999946594238)","(23.400001525878906, 57.000003814697266, 53.481998443603516)"
2,2022-12-11 17:31:46.369658,"(93.0, 113.55000305175781, 149.79800415039062)","(39.30000305175781, 50.70000076293945, 98.01000213623047)","(41.70000076293945, 120.00000762939453, 125.83999633789062)","(110.70000457763672, 66.60000610351562, 140.36000061035156)","(42.45000076293945, 33.45000076293945, 82.27999877929688)","(10.350000381469727, 39.150001525878906, 54.20800018310547)","(-17.55000114440918, 34.35000228881836, -3.629999876022339)","(23.55000114440918, 57.30000305175781, 52.75600051879883)"
3,2022-12-11 17:31:46.414728,"(89.85000610351562, 111.60000610351562, 153.91200256347656)","(41.10000228881836, 50.70000076293945, 97.28399658203125)","(43.20000076293945, 121.35000610351562, 128.01800537109375)","(110.4000015258789, 65.55000305175781, 137.94000244140625)","(42.30000305175781, 34.05000305175781, 82.27999877929688)","(10.65000057220459, 39.30000305175781, 54.933998107910156)","(-18.75, 34.5, -3.629999876022339)","(23.700000762939453, 57.900001525878906, 53.481998443603516)"
4,2022-12-11 17:31:46.460015,"(92.85000610351562, 114.00000762939453, 157.05799865722656)","(40.95000076293945, 51.30000305175781, 96.31600189208984)","(43.5, 119.85000610351562, 124.14599609375)","(108.60000610351562, 66.30000305175781, 138.66600036621094)","(42.75, 34.05000305175781, 82.76399993896484)","(10.65000057220459, 39.45000076293945, 53.7239990234375)","(-17.400001525878906, 34.650001525878906, -5.081999778747559)","(23.700000762939453, 57.30000305175781, 53.481998443603516)"
5,2022-12-11 17:31:46.549508,"(90.9000015258789, 112.80000305175781, 153.42799377441406)","(40.5, 52.20000076293945, 98.25199890136719)","(43.95000076293945, 120.00000762939453, 129.22799682617188)","(110.4000015258789, 65.55000305175781, 137.94000244140625)","(42.45000076293945, 34.20000076293945, 82.27999877929688)","(10.5, 39.75, 54.933998107910156)","(-17.55000114440918, 34.95000076293945, -3.1459999084472656)","(23.400001525878906, 57.000003814697266, 53.7239990234375)"
6,2022-12-11 17:31:46.594597,"(89.10000610351562, 114.30000305175781, 152.4600067138672)","(41.55000305175781, 51.750003814697266, 97.5260009765625)","(41.25, 119.85000610351562, 125.5979995727539)","(111.60000610351562, 66.30000305175781, 137.697998046875)","(42.75, 33.75, 82.52200317382812)","(11.100000381469727, 40.05000305175781, 54.69200134277344)","(-17.100000381469727, 34.35000228881836, -4.113999843597412)","(23.25, 57.45000076293945, 54.20800018310547)"
7,2022-12-11 17:31:46.639595,"(89.25, 109.80000305175781, 151.49200439453125)","(40.95000076293945, 50.250003814697266, 99.22000122070312)","(41.25, 119.85000610351562, 125.35600280761719)","(108.60000610351562, 66.1500015258789, 140.1179962158203)","(42.30000305175781, 34.05000305175781, 82.52200317382812)","(10.950000762939453, 39.75, 55.417999267578125)","(-17.850000381469727, 34.95000076293945, -4.5980000495910645)","(23.700000762939453, 57.150001525878906, 52.99800109863281)"
8,2022-12-11 17:31:46.729809,"(90.1500015258789, 111.45000457763672, 151.9759979248047)","(41.25, 49.500003814697266, 95.3479995727539)","(41.70000076293945, 120.45000457763672, 128.25999450683594)","(109.6500015258789, 67.05000305175781, 140.6020050048828)","(42.60000228881836, 34.35000228881836, 82.52200317382812)","(10.800000190734863, 39.150001525878906, 55.417999267578125)","(-17.850000381469727, 34.650001525878906, -4.355999946594238)","(23.850000381469727, 57.150001525878906, 53.965999603271484)"
9,2022-12-11 17:31:46.774663,"(92.4000015258789, 110.85000610351562, 151.9759979248047)","(40.5, 50.85000228881836, 97.28399658203125)","(41.85000228881836, 118.80000305175781, 124.87200164794922)","(109.50000762939453, 65.25, 138.1820068359375)","(42.75, 34.05000305175781, 83.24800109863281)","(11.100000381469727, 39.60000228881836, 54.45000076293945)","(-17.400001525878906, 34.5, -4.113999843597412)","(24.150001525878906, 57.45000076293945, 53.481998443603516)"
10,2022-12-11 17:31:46.819843,"(90.60000610351562, 110.70000457763672, 154.63800048828125)","(39.75, 50.400001525878906, 95.83200073242188)","(42.150001525878906, 118.35000610351562, 125.5979995727539)","(106.95000457763672, 67.80000305175781, 138.9080047607422)","(42.45000076293945, 33.900001525878906, 82.52200317382812)","(10.800000190734863, 39.150001525878906, 55.17599868774414)","(-16.950000762939453, 34.650001525878906, -4.113999843597412)","(23.700000762939453, 57.30000305175781, 52.75600051879883)"
11,2022-12-11 17:31:46.954076,"(90.45000457763672, 111.45000457763672, 155.1219940185547)","(41.10000228881836, 51.000003814697266, 99.22000122070312)","(41.25, 119.55000305175781, 127.29199981689453)","(107.25000762939453, 66.60000610351562, 139.39199829101562)","(42.0, 34.20000076293945, 82.03800201416016)","(10.65000057220459, 39.45000076293945, 54.69200134277344)","(-17.55000114440918, 34.35000228881836, -4.5980000495910645)","(23.700000762939453, 57.60000228881836, 53.7239990234375)"
12,2022-12-11 17:31:46.955290,"(90.30000305175781, 110.55000305175781, 153.6699981689453)","(40.20000076293945, 51.150001525878906, 98.73600006103516)","(41.400001525878906, 120.1500015258789, 124.62999725341797)","(107.55000305175781, 65.25, 139.14999389648438)","(42.150001525878906, 33.900001525878906, 82.52200317382812)","(10.800000190734863, 39.30000305175781, 55.17599868774414)","(-17.55000114440918, 34.650001525878906, -4.355999946594238)","(23.55000114440918, 57.150001525878906, 54.20800018310547)"
13,2022-12-11 17:31:47.044625,"(88.5, 107.70000457763672, 153.6699981689453)","(39.900001525878906, 51.30000305175781, 97.04199981689453)","(40.5, 118.6500015258789, 122.20999908447266)","(105.45000457763672, 63.750003814697266, 139.14999389648438)","(42.45000076293945, 33.75, 83.00599670410156)","(10.5, 39.75, 55.17599868774414)","(-17.850000381469727, 34.5, -3.388000011444092)","(23.55000114440918, 57.30000305175781, 54.20800018310547)"
14,2022-12-11 17:31:47.089738,"(89.85000610351562, 109.35000610351562, 154.15399169921875)","(40.650001525878906, 50.70000076293945, 95.83200073242188)","(41.55000305175781, 120.75000762939453, 125.11399841308594)","(103.95000457763672, 67.05000305175781, 140.6020050048828)","(42.30000305175781, 34.650001525878906, 82.27999877929688)","(10.950000762939453, 40.20000076293945, 55.417999267578125)","(-17.55000114440918, 35.25, -4.840000152587891)","(22.950000762939453, 57.150001525878906, 54.45000076293945)"
15,2022-12-11 17:31:47.134957,"(88.6500015258789, 107.25000762939453, 153.18600463867188)","(41.10000228881836, 49.80000305175781, 98.01000213623047)","(40.35000228881836, 119.10000610351562, 126.08200073242188)","(103.95000457763672, 66.9000015258789, 141.08599853515625)","(42.45000076293945, 34.05000305175781, 82.03800201416016)","(11.100000381469727, 40.05000305175781, 54.933998107910156)","(-17.100000381469727, 34.35000228881836, -4.355999946594238)","(23.25, 56.70000076293945, 54.20800018310547)"
16,2022-12-11 17:31:47.224965,"(89.4000015258789, 105.30000305175781, 154.8800048828125)","(40.20000076293945, 49.650001525878906, 97.5260009765625)","(42.45000076293945, 119.85000610351562, 126.08200073242188)","(104.4000015258789, 66.9000015258789, 140.6020050048828)","(42.30000305175781, 33.900001525878906, 82.52200317382812)","(10.350000381469727, 39.900001525878906, 55.417999267578125)","(-17.55000114440918, 34.5, -2.6619999408721924)","(23.55000114440918, 57.30000305175781, 53.965999603271484)"
17,2022-12-11 17:31:47.269844,"(88.6500015258789, 105.75000762939453, 153.91200256347656)","(38.400001525878906, 49.35000228881836, 97.76799774169922)","(40.95000076293945, 119.70000457763672, 124.62999725341797)","(103.6500015258789, 65.85000610351562, 140.843994140625)","(42.900001525878906, 34.35000228881836, 82.76399993896484)","(10.800000190734863, 39.45000076293945, 54.933998107910156)","(-17.400001525878906, 36.30000305175781, -2.9040000438690186)","(24.0, 57.30000305175781, 55.17599868774414)"
18,2022-12-11 17:31:47.315299,"(85.95000457763672, 104.10000610351562, 153.42799377441406)","(39.900001525878906, 49.95000076293945, 95.10600280761719)","(42.45000076293945, 118.50000762939453, 125.5979995727539)","(103.20000457763672, 65.10000610351562, 140.6020050048828)","(42.30000305175781, 33.900001525878906, 82.76399993896484)","(11.40000057220459, 39.75, 54.933998107910156)","(-18.0, 34.80000305175781, -3.388000011444092)","(23.25, 57.45000076293945, 54.933998107910156)"
19,2022-12-11 17:31:47.404755,"(86.55000305175781, 104.70000457763672, 150.5240020751953)","(40.20000076293945, 49.500003814697266, 96.0739974975586)","(40.5, 117.75000762939453, 125.5979995727539)","(100.05000305175781, 66.1500015258789, 140.1179962158203)","(42.150001525878906, 34.5, 83.24800109863281)","(10.65000057220459, 39.45000076293945, 55.417999267578125)","(-17.850000381469727, 34.35000228881836, -3.388000011444092)","(23.400001525878906, 56.85000228881836, 54.69200134277344)"
20,2022-12-11 17:31:47.449519,"(83.70000457763672, 101.25000762939453, 151.49200439453125)","(39.60000228881836, 49.95000076293945, 97.5260009765625)","(40.5, 119.55000305175781, 124.87200164794922)","(100.05000305175781, 65.25, 140.36000061035156)","(42.30000305175781, 34.5, 82.76399993896484)","(10.5, 39.30000305175781, 56.38600158691406)","(-17.55000114440918, 35.55000305175781, -3.1459999084472656)","(23.100000381469727, 57.45000076293945, 55.17599868774414)"
21,2022-12-11 17:31:47.494696,"(82.6500015258789, 102.45000457763672, 150.0399932861328)","(39.75, 49.35000228881836, 96.80000305175781)","(39.0, 118.6500015258789, 124.14599609375)","(96.75000762939453, 65.4000015258789, 139.87599182128906)","(42.30000305175781, 34.05000305175781, 83.48999786376953)","(10.050000190734863, 39.30000305175781, 56.14400100708008)","(-18.150001525878906, 35.55000305175781, -2.9040000438690186)","(23.55000114440918, 57.30000305175781, 54.933998107910156)"
22,2022-12-11 17:31:47.585018,"(84.0, 100.50000762939453, 151.25)","(38.25, 48.0, 96.55799865722656)","(41.10000228881836, 117.30000305175781, 124.87200164794922)","(96.1500015258789, 66.75, 139.63400268554688)","(42.150001525878906, 33.900001525878906, 83.24800109863281)","(10.5, 39.30000305175781, 55.902000427246094)","(-18.150001525878906, 34.5, -2.9040000438690186)","(22.80000114440918, 56.70000076293945, 54.69200134277344)"
23,2022-12-11 17:31:47.629337,"(82.5, 100.20000457763672, 151.49200439453125)","(39.60000228881836, 49.20000076293945, 95.58999633789062)","(38.85000228881836, 117.9000015258789, 125.5979995727539)","(97.80000305175781, 64.6500015258789, 143.02200317382812)","(42.45000076293945, 33.900001525878906, 82.52200317382812)","(10.5, 39.30000305175781, 55.417999267578125)","(-17.400001525878906, 34.5, -3.871999979019165)","(23.25, 56.85000228881836, 55.17599868774414)"
24,2022-12-11 17:31:47.720069,"(82.95000457763672, 97.50000762939453, 149.31399536132812)","(39.45000076293945, 49.35000228881836, 94.37999725341797)","(39.30000305175781, 117.9000015258789, 123.41999816894531)","(93.30000305175781, 67.05000305175781, 140.6020050048828)","(42.150001525878906, 34.35000228881836, 83.48999786376953)","(10.350000381469727, 39.60000228881836, 56.38600158691406)","(-17.55000114440918, 34.650001525878906, -2.9040000438690186)","(22.80000114440918, 56.70000076293945, 54.69200134277344)"
25,2022-12-11 17:31:47.765660,"(82.80000305175781, 95.85000610351562, 150.76600646972656)","(37.650001525878906, 48.60000228881836, 95.58999633789062)","(40.35000228881836, 117.45000457763672, 123.90399932861328)","(91.5, 65.70000457763672, 137.94000244140625)","(41.85000228881836, 34.05000305175781, 83.48999786376953)","(10.5, 38.70000076293945, 56.62799835205078)","(-18.150001525878906, 34.650001525878906, -3.1459999084472656)","(23.400001525878906, 56.85000228881836, 54.933998107910156)"
26,2022-12-11 17:31:47.809745,"(82.35000610351562, 95.10000610351562, 150.0399932861328)","(38.400001525878906, 49.05000305175781, 96.31600189208984)","(41.25, 116.55000305175781, 121.96800231933594)","(90.0, 64.05000305175781, 141.3280029296875)","(42.30000305175781, 33.900001525878906, 83.48999786376953)","(9.90000057220459, 39.60000228881836, 56.62799835205078)","(-18.0, 35.10000228881836, -2.6619999408721924)","(22.5, 56.55000305175781, 54.933998107910156)"
27,2022-12-11 17:31:47.899656,"(80.10000610351562, 95.85000610351562, 148.8300018310547)","(39.150001525878906, 47.85000228881836, 93.65399932861328)","(41.10000228881836, 115.6500015258789, 122.20999908447266)","(88.05000305175781, 63.750003814697266, 140.6020050048828)","(42.30000305175781, 34.05000305175781, 82.76399993896484)","(9.75, 39.150001525878906, 56.62799835205078)","(-17.55000114440918, 34.35000228881836, -2.6619999408721924)","(22.80000114440918, 56.400001525878906, 54.933998107910156)"
28,2022-12-11 17:31:47.944962,"(78.0, 94.6500015258789, 146.16799926757812)","(38.400001525878906, 47.85000228881836, 92.68599700927734)","(38.85000228881836, 116.70000457763672, 122.20999908447266)","(87.30000305175781, 65.55000305175781, 139.14999389648438)","(41.85000228881836, 33.75, 82.76399993896484)","(9.90000057220459, 38.70000076293945, 56.62799835205078)","(-18.150001525878906, 34.650001525878906, -2.9040000438690186)","(22.950000762939453, 56.55000305175781, 54.933998107910156)"
29,2022-12-11 17:31:47.989913,"(77.85000610351562, 92.55000305175781, 148.58799743652344)","(38.10000228881836, 48.30000305175781, 93.89599609375)","(39.30000305175781, 116.85000610351562, 124.14599609375)","(86.85000610351562, 65.4000015258789, 138.1820068359375)","(42.30000305175781, 33.75, 83.24800109863281)","(10.050000190734863, 39.150001525878906, 55.902000427246094)","(-17.850000381469727, 34.95000076293945, -3.388000011444092)","(22.80000114440918, 55.95000076293945, 54.933998107910156)"
30,2022-12-11 17:31:48.080036,"(76.6500015258789, 92.10000610351562, 148.3459930419922)","(38.25, 47.70000076293945, 93.41200256347656)","(39.30000305175781, 116.4000015258789, 122.20999908447266)","(85.6500015258789, 65.10000610351562, 139.63400268554688)","(42.0, 33.75, 83.73200225830078)","(9.600000381469727, 39.45000076293945, 56.38600158691406)","(-17.55000114440918, 34.5, -1.694000005722046)","(22.80000114440918, 56.400001525878906, 54.933998107910156)"
31,2022-12-11 17:31:48.124617,"(74.70000457763672, 88.35000610351562, 148.3459930419922)","(37.05000305175781, 48.0, 96.0739974975586)","(36.60000228881836, 116.25000762939453, 124.14599609375)","(82.5, 64.6500015258789, 139.87599182128906)","(42.0, 34.05000305175781, 83.48999786376953)","(9.600000381469727, 39.30000305175781, 57.354000091552734)","(-17.25, 34.650001525878906, -2.6619999408721924)","(22.200000762939453, 56.250003814697266, 55.17599868774414)"
32,2022-12-11 17:31:48.214731,"(72.9000015258789, 88.20000457763672, 149.55599975585938)","(37.05000305175781, 45.30000305175781, 94.62200164794922)","(39.0, 115.20000457763672, 121.24199676513672)","(83.4000015258789, 65.55000305175781, 139.63400268554688)","(41.70000076293945, 34.650001525878906, 83.9739990234375)","(9.90000057220459, 39.45000076293945, 56.14400100708008)","(-17.700000762939453, 34.5, -2.4200000762939453)","(22.350000381469727, 55.650001525878906, 54.933998107910156)"
33,2022-12-11 17:31:48.259853,"(75.0, 87.9000015258789, 145.92599487304688)","(36.45000076293945, 46.95000076293945, 95.10600280761719)","(38.400001525878906, 115.95000457763672, 122.69400024414062)","(83.4000015258789, 65.25, 140.843994140625)","(41.85000228881836, 33.75, 83.24800109863281)","(9.75, 39.150001525878906, 56.869998931884766)","(-17.400001525878906, 34.95000076293945, -2.9040000438690186)","(22.200000762939453, 56.400001525878906, 55.17599868774414)"
34,2022-12-11 17:31:48.304795,"(74.70000457763672, 88.5, 148.10400390625)","(35.400001525878906, 47.25, 93.89599609375)","(36.75, 117.1500015258789, 121.24199676513672)","(82.35000610351562, 64.6500015258789, 140.6020050048828)","(42.0, 34.650001525878906, 83.00599670410156)","(9.90000057220459, 40.35000228881836, 57.11199951171875)","(-18.150001525878906, 35.10000228881836, -2.4200000762939453)","(22.80000114440918, 55.95000076293945, 55.902000427246094)"
35,2022-12-11 17:31:48.394819,"(71.25, 85.5, 151.00799560546875)","(36.900001525878906, 46.650001525878906, 94.62200164794922)","(36.30000305175781, 115.6500015258789, 123.66200256347656)","(78.1500015258789, 65.55000305175781, 140.6020050048828)","(41.85000228881836, 34.5, 83.73200225830078)","(9.15000057220459, 39.900001525878906, 56.62799835205078)","(-17.850000381469727, 34.650001525878906, -2.177999973297119)","(23.400001525878906, 56.400001525878906, 56.14400100708008)"
36,2022-12-11 17:31:48.439637,"(70.05000305175781, 86.10000610351562, 149.79800415039062)","(35.70000076293945, 46.20000076293945, 95.10600280761719)","(36.45000076293945, 116.85000610351562, 121.24199676513672)","(78.1500015258789, 66.45000457763672, 139.39199829101562)","(42.0, 34.95000076293945, 83.24800109863281)","(8.700000762939453, 40.5, 57.354000091552734)","(-17.55000114440918, 35.25, -1.9359999895095825)","(23.25, 57.30000305175781, 56.62799835205078)"
37,2022-12-11 17:31:48.484773,"(69.0, 84.0, 149.79800415039062)","(35.55000305175781, 47.10000228881836, 93.65399932861328)","(34.95000076293945, 116.55000305175781, 121.72599792480469)","(78.30000305175781, 65.85000610351562, 138.9080047607422)","(41.85000228881836, 34.80000305175781, 83.48999786376953)","(9.300000190734863, 40.05000305175781, 56.62799835205078)","(-16.80000114440918, 35.55000305175781, -2.9040000438690186)","(23.100000381469727, 56.70000076293945, 56.869998931884766)"
38,2022-12-11 17:31:48.574693,"(68.10000610351562, 83.55000305175781, 149.79800415039062)","(34.05000305175781, 46.35000228881836, 92.9280014038086)","(37.05000305175781, 115.20000457763672, 118.58000183105469)","(75.0, 65.10000610351562, 139.14999389648438)","(42.150001525878906, 34.80000305175781, 83.24800109863281)","(8.850000381469727, 39.900001525878906, 56.38600158691406)","(-17.400001525878906, 34.95000076293945, -2.177999973297119)","(22.80000114440918, 57.000003814697266, 56.14400100708008)"
39,2022-12-11 17:31:48.620038,"(67.20000457763672, 82.5, 152.94400024414062)","(35.10000228881836, 46.95000076293945, 97.5260009765625)","(35.10000228881836, 115.20000457763672, 120.75799560546875)","(74.10000610351562, 65.85000610351562, 138.1820068359375)","(42.30000305175781, 34.35000228881836, 83.24800109863281)","(8.700000762939453, 39.60000228881836, 56.14400100708008)","(-17.700000762939453, 35.25, -2.177999973297119)","(22.950000762939453, 56.400001525878906, 56.62799835205078)"
40,2022-12-11 17:31:48.664815,"(66.75, 82.20000457763672, 150.76600646972656)","(34.35000228881836, 46.80000305175781, 95.3479995727539)","(36.0, 115.80000305175781, 119.06400299072266)","(73.20000457763672, 66.30000305175781, 135.76199340820312)","(41.70000076293945, 34.5, 83.00599670410156)","(8.550000190734863, 40.20000076293945, 56.869998931884766)","(-17.400001525878906, 35.55000305175781, -2.6619999408721924)","(22.950000762939453, 56.70000076293945, 56.869998931884766)"
41,2022-12-11 17:31:48.754887,"(67.95000457763672, 80.85000610351562, 151.9759979248047)","(34.650001525878906, 45.60000228881836, 93.89599609375)","(36.150001525878906, 115.05000305175781, 120.27400207519531)","(72.30000305175781, 65.85000610351562, 136.00399780273438)","(42.0, 34.35000228881836, 83.24800109863281)","(8.850000381469727, 40.5, 56.62799835205078)","(-17.55000114440918, 35.400001525878906, -1.694000005722046)","(22.950000762939453, 56.55000305175781, 56.869998931884766)"
42,2022-12-11 17:31:48.799586,"(66.45000457763672, 80.25, 148.8300018310547)","(34.5, 47.25, 93.16999816894531)","(34.5, 116.55000305175781, 120.27400207519531)","(73.20000457763672, 66.30000305175781, 134.552001953125)","(42.0, 34.35000228881836, 82.76399993896484)","(9.15000057220459, 39.900001525878906, 56.869998931884766)","(-17.400001525878906, 35.25, -2.9040000438690186)","(22.5, 56.250003814697266, 56.38600158691406)"
43,2022-12-11 17:31:48.889654,"(65.85000610351562, 83.25, 151.73399353027344)","(35.10000228881836, 45.150001525878906, 92.9280014038086)","(35.25, 114.30000305175781, 119.79000091552734)","(72.9000015258789, 66.30000305175781, 137.94000244140625)","(41.85000228881836, 34.5, 83.48999786376953)","(8.850000381469727, 39.60000228881836, 57.11199951171875)","(-17.400001525878906, 35.70000076293945, -1.694000005722046)","(23.400001525878906, 56.55000305175781, 56.869998931884766)"
44,2022-12-11 17:31:48.934686,"(65.4000015258789, 79.6500015258789, 148.3459930419922)","(33.75, 47.25, 92.68599700927734)","(35.70000076293945, 116.25000762939453, 122.20999908447266)","(72.30000305175781, 66.60000610351562, 138.4239959716797)","(42.30000305175781, 34.5, 83.48999786376953)","(8.550000190734863, 40.5, 56.869998931884766)","(-17.55000114440918, 35.400001525878906, -2.4200000762939453)","(23.100000381469727, 56.70000076293945, 57.11199951171875)"
