,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 16:48:09.859281,"(33.30000305175781, 75.1500015258789, 72.11599731445312)","(32.10000228881836, 54.000003814697266, 61.95199966430664)","(45.0, 123.9000015258789, 89.05599975585938)","(45.75, 55.35000228881836, 70.90599822998047)","(49.80000305175781, 48.0, 90.99199676513672)","(20.100000381469727, 73.05000305175781, 84.45800018310547)","(14.100000381469727, 58.20000076293945, 17.423999786376953)","(67.5, 62.85000228881836, 98.01000213623047)"
1,2022-12-11 16:48:09.903861,"(32.400001525878906, 76.20000457763672, 74.53600311279297)","(34.80000305175781, 53.85000228881836, 62.43600082397461)","(45.0, 124.95000457763672, 87.84600067138672)","(43.20000076293945, 54.60000228881836, 69.21199798583984)","(49.80000305175781, 47.55000305175781, 90.99199676513672)","(20.25, 73.6500015258789, 84.69999694824219)","(13.65000057220459, 58.35000228881836, 17.423999786376953)","(67.20000457763672, 62.70000076293945, 97.5260009765625)"
2,2022-12-11 16:48:09.948978,"(32.70000076293945, 72.45000457763672, 71.63199615478516)","(32.400001525878906, 53.85000228881836, 64.12999725341797)","(44.400001525878906, 125.55000305175781, 89.54000091552734)","(45.45000076293945, 54.60000228881836, 67.76000213623047)","(49.95000076293945, 47.70000076293945, 91.47599792480469)","(20.25, 73.5, 84.94200134277344)","(13.500000953674316, 58.500003814697266, 18.149999618530273)","(67.80000305175781, 63.30000305175781, 97.76799774169922)"
3,2022-12-11 16:48:10.038563,"(33.30000305175781, 75.0, 72.11599731445312)","(33.45000076293945, 54.900001525878906, 62.678001403808594)","(45.150001525878906, 126.45000457763672, 90.99199676513672)","(46.5, 54.60000228881836, 68.97000122070312)","(49.35000228881836, 47.25, 91.47599792480469)","(19.80000114440918, 73.5, 84.21599578857422)","(13.65000057220459, 58.95000076293945, 16.940000534057617)","(67.35000610351562, 61.95000076293945, 98.97799682617188)"
4,2022-12-11 16:48:10.084268,"(31.80000114440918, 74.4000015258789, 70.66400146484375)","(33.30000305175781, 55.05000305175781, 63.645999908447266)","(43.80000305175781, 125.25000762939453, 89.05599975585938)","(46.35000228881836, 54.000003814697266, 68.48600006103516)","(49.05000305175781, 47.70000076293945, 90.26599884033203)","(19.80000114440918, 73.35000610351562, 84.45800018310547)","(13.65000057220459, 58.650001525878906, 17.18199920654297)","(67.80000305175781, 62.400001525878906, 98.4939956665039)"
5,2022-12-11 16:48:10.173659,"(30.30000114440918, 74.70000457763672, 71.8740005493164)","(32.55000305175781, 53.85000228881836, 64.61399841308594)","(44.25, 123.60000610351562, 90.50800323486328)","(45.150001525878906, 53.55000305175781, 70.18000030517578)","(49.500003814697266, 47.70000076293945, 90.99199676513672)","(19.650001525878906, 73.80000305175781, 84.21599578857422)","(14.250000953674316, 58.500003814697266, 17.423999786376953)","(68.25, 63.150001525878906, 98.73600006103516)"
6,2022-12-11 16:48:10.218723,"(32.85000228881836, 73.6500015258789, 73.32599639892578)","(33.30000305175781, 54.60000228881836, 62.91999816894531)","(44.25, 123.75000762939453, 88.81400299072266)","(45.0, 54.30000305175781, 69.93799591064453)","(49.35000228881836, 47.55000305175781, 90.26599884033203)","(19.650001525878906, 73.20000457763672, 84.94200134277344)","(13.800000190734863, 58.650001525878906, 16.940000534057617)","(67.80000305175781, 62.70000076293945, 97.76799774169922)"
7,2022-12-11 16:48:10.263701,"(32.10000228881836, 72.75, 70.4219970703125)","(34.20000076293945, 54.900001525878906, 62.194000244140625)","(43.650001525878906, 125.10000610351562, 88.08799743652344)","(45.30000305175781, 53.85000228881836, 70.66400146484375)","(49.500003814697266, 47.85000228881836, 90.99199676513672)","(20.55000114440918, 73.80000305175781, 84.45800018310547)","(13.65000057220459, 58.80000305175781, 17.18199920654297)","(67.5, 62.85000228881836, 98.01000213623047)"
8,2022-12-11 16:48:10.353668,"(31.05000114440918, 76.05000305175781, 71.14800262451172)","(32.70000076293945, 54.000003814697266, 64.85600280761719)","(44.85000228881836, 125.10000610351562, 88.33000183105469)","(45.60000228881836, 53.85000228881836, 69.69599914550781)","(49.650001525878906, 47.85000228881836, 90.75)","(20.25, 73.6500015258789, 84.69999694824219)","(13.800000190734863, 58.650001525878906, 16.697999954223633)","(67.95000457763672, 62.55000305175781, 97.5260009765625)"
9,2022-12-11 16:48:10.398782,"(30.900001525878906, 74.10000610351562, 70.18000030517578)","(32.10000228881836, 53.10000228881836, 64.37200164794922)","(45.0, 125.4000015258789, 87.36199951171875)","(46.35000228881836, 54.30000305175781, 71.14800262451172)","(49.35000228881836, 47.400001525878906, 91.23400115966797)","(19.650001525878906, 73.6500015258789, 84.21599578857422)","(13.350000381469727, 58.650001525878906, 17.423999786376953)","(67.5, 63.000003814697266, 98.4939956665039)"
