,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:19:08.887601,"(6.750000476837158, 34.95000076293945, 120.51599884033203)","(12.300000190734863, 32.10000228881836, 82.76399993896484)","(15.750000953674316, 108.45000457763672, 108.9000015258789)","(2.1000001430511475, 52.05000305175781, 113.01399993896484)","(38.25, 35.85000228881836, 83.9739990234375)","(1.9500000476837158, 43.95000076293945, 56.14400100708008)","(-24.750001907348633, 38.70000076293945, 2.4200000762939453)","(26.700000762939453, 63.750003814697266, 63.645999908447266)"
1,2022-12-11 17:19:08.932349,"(5.850000381469727, 35.25, 120.27400207519531)","(12.300000190734863, 32.85000228881836, 82.76399993896484)","(15.600000381469727, 105.9000015258789, 110.35199737548828)","(4.200000286102295, 51.750003814697266, 113.49800109863281)","(38.10000228881836, 35.70000076293945, 83.9739990234375)","(1.8000000715255737, 43.650001525878906, 55.17599868774414)","(-23.25, 38.70000076293945, 2.4200000762939453)","(26.700000762939453, 63.60000228881836, 63.645999908447266)"
2,2022-12-11 17:19:09.022090,"(8.700000762939453, 36.0, 117.85399627685547)","(13.500000953674316, 33.0, 84.21599578857422)","(15.600000381469727, 107.55000305175781, 106.72200012207031)","(3.450000047683716, 52.80000305175781, 113.49800109863281)","(38.10000228881836, 35.55000305175781, 83.73200225830078)","(1.350000023841858, 43.35000228881836, 56.14400100708008)","(-23.700000762939453, 38.400001525878906, 0.9679999947547913)","(27.150001525878906, 64.05000305175781, 63.645999908447266)"
3,2022-12-11 17:19:09.067598,"(6.0, 35.10000228881836, 118.58000183105469)","(12.450000762939453, 31.950000762939453, 82.03800201416016)","(14.250000953674316, 105.75000762939453, 108.41600036621094)","(2.25, 51.750003814697266, 112.77200317382812)","(38.10000228881836, 36.0, 83.48999786376953)","(1.6500000953674316, 43.650001525878906, 55.417999267578125)","(-23.850000381469727, 39.45000076293945, 2.177999973297119)","(27.000001907348633, 63.45000076293945, 63.1619987487793)"
4,2022-12-11 17:19:09.113170,"(6.450000286102295, 33.75, 117.85399627685547)","(13.200000762939453, 33.0, 85.18399810791016)","(13.65000057220459, 109.20000457763672, 110.35199737548828)","(3.750000238418579, 52.05000305175781, 110.59400177001953)","(38.400001525878906, 35.55000305175781, 84.21599578857422)","(1.5, 42.900001525878906, 55.17599868774414)","(-23.700000762939453, 39.150001525878906, 1.9359999895095825)","(27.000001907348633, 63.750003814697266, 63.40399932861328)"
5,2022-12-11 17:19:09.202932,"(6.900000095367432, 36.30000305175781, 118.09600067138672)","(13.500000953674316, 32.70000076293945, 85.66799926757812)","(15.600000381469727, 107.4000015258789, 106.96399688720703)","(3.1500000953674316, 51.60000228881836, 112.28800201416016)","(38.25, 35.400001525878906, 84.45800018310547)","(1.6500000953674316, 43.80000305175781, 55.902000427246094)","(-23.400001525878906, 38.55000305175781, 2.6619999408721924)","(26.700000762939453, 63.30000305175781, 62.43600082397461)"
6,2022-12-11 17:19:09.247440,"(5.700000286102295, 36.150001525878906, 119.79000091552734)","(13.800000190734863, 32.25, 83.48999786376953)","(14.700000762939453, 107.10000610351562, 107.69000244140625)","(4.350000381469727, 51.60000228881836, 112.0459976196289)","(38.85000228881836, 35.55000305175781, 84.21599578857422)","(1.2000000476837158, 43.650001525878906, 54.933998107910156)","(-24.150001525878906, 37.95000076293945, 2.6619999408721924)","(26.250001907348633, 63.45000076293945, 62.91999816894531)"
7,2022-12-11 17:19:09.292741,"(6.450000286102295, 34.650001525878906, 118.33799743652344)","(15.300000190734863, 32.70000076293945, 82.76399993896484)","(14.100000381469727, 106.50000762939453, 110.35199737548828)","(1.9500000476837158, 51.45000076293945, 112.28800201416016)","(37.650001525878906, 35.400001525878906, 83.73200225830078)","(1.6500000953674316, 43.35000228881836, 55.17599868774414)","(-23.700000762939453, 39.0, 1.694000005722046)","(27.000001907348633, 63.750003814697266, 63.645999908447266)"
8,2022-12-11 17:19:09.382470,"(5.25, 34.650001525878906, 120.03199768066406)","(12.15000057220459, 30.150001525878906, 83.00599670410156)","(15.15000057220459, 106.20000457763672, 107.93199920654297)","(2.700000047683716, 52.05000305175781, 111.0780029296875)","(37.95000076293945, 35.55000305175781, 83.9739990234375)","(1.8000000715255737, 43.95000076293945, 54.69200134277344)","(-23.850000381469727, 39.0, 2.4200000762939453)","(26.850000381469727, 63.45000076293945, 63.1619987487793)"
9,2022-12-11 17:19:09.472362,"(7.350000381469727, 35.85000228881836, 121.24199676513672)","(12.750000953674316, 33.60000228881836, 83.24800109863281)","(14.250000953674316, 105.9000015258789, 109.38400268554688)","(4.050000190734863, 51.900001525878906, 113.01399993896484)","(37.95000076293945, 35.70000076293945, 84.21599578857422)","(1.5, 43.80000305175781, 55.902000427246094)","(-23.25, 38.400001525878906, 2.4200000762939453)","(26.55000114440918, 63.750003814697266, 63.1619987487793)"
10,2022-12-11 17:19:09.517556,"(6.300000190734863, 35.400001525878906, 115.6760025024414)","(13.050000190734863, 31.200000762939453, 83.24800109863281)","(14.250000953674316, 105.45000457763672, 108.41600036621094)","(1.5, 50.400001525878906, 113.49800109863281)","(37.650001525878906, 35.85000228881836, 84.94200134277344)","(2.1000001430511475, 43.80000305175781, 54.69200134277344)","(-23.25, 38.55000305175781, 2.177999973297119)","(27.450000762939453, 63.60000228881836, 62.91999816894531)"
11,2022-12-11 17:19:09.607950,"(7.800000190734863, 35.55000305175781, 119.5479965209961)","(13.800000190734863, 33.45000076293945, 83.48999786376953)","(15.600000381469727, 106.20000457763672, 109.38400268554688)","(3.0, 50.70000076293945, 110.59400177001953)","(37.80000305175781, 35.70000076293945, 84.21599578857422)","(1.5, 43.650001525878906, 55.902000427246094)","(-23.400001525878906, 38.10000228881836, 2.9040000438690186)","(25.650001525878906, 63.45000076293945, 63.88800048828125)"
12,2022-12-11 17:19:09.609119,"(6.0, 34.80000305175781, 118.09600067138672)","(13.800000190734863, 34.80000305175781, 83.9739990234375)","(16.5, 106.6500015258789, 107.93199920654297)","(1.9500000476837158, 52.35000228881836, 111.56199645996094)","(37.95000076293945, 35.85000228881836, 84.21599578857422)","(1.8000000715255737, 43.35000228881836, 55.65999984741211)","(-23.25, 38.55000305175781, 2.9040000438690186)","(27.30000114440918, 63.150001525878906, 64.37200164794922)"
13,2022-12-11 17:19:09.697599,"(4.800000190734863, 33.900001525878906, 119.06400299072266)","(13.950000762939453, 34.20000076293945, 82.27999877929688)","(13.800000190734863, 105.75000762939453, 109.14199829101562)","(2.1000001430511475, 53.250003814697266, 112.52999877929688)","(38.25, 36.150001525878906, 84.45800018310547)","(1.8000000715255737, 43.95000076293945, 55.65999984741211)","(-22.650001525878906, 39.30000305175781, 2.6619999408721924)","(27.150001525878906, 63.45000076293945, 62.91999816894531)"
14,2022-12-11 17:19:09.742503,"(4.800000190734863, 33.900001525878906, 118.58000183105469)","(13.65000057220459, 32.25, 82.03800201416016)","(15.300000190734863, 106.20000457763672, 109.86799621582031)","(2.8500001430511475, 52.05000305175781, 111.31999969482422)","(38.25, 35.70000076293945, 84.45800018310547)","(1.9500000476837158, 43.95000076293945, 55.902000427246094)","(-23.25, 38.85000228881836, 2.177999973297119)","(27.000001907348633, 63.150001525878906, 63.88800048828125)"
15,2022-12-11 17:19:09.787437,"(7.350000381469727, 35.400001525878906, 117.85399627685547)","(13.65000057220459, 32.400001525878906, 83.73200225830078)","(14.40000057220459, 106.05000305175781, 109.14199829101562)","(3.0, 51.150001525878906, 112.77200317382812)","(38.10000228881836, 35.70000076293945, 83.9739990234375)","(2.5500001907348633, 43.80000305175781, 55.902000427246094)","(-22.950000762939453, 38.70000076293945, 2.6619999408721924)","(27.000001907348633, 63.45000076293945, 63.88800048828125)"
16,2022-12-11 17:19:09.877436,"(6.0, 33.45000076293945, 118.58000183105469)","(13.800000190734863, 34.35000228881836, 82.03800201416016)","(12.450000762939453, 108.00000762939453, 107.447998046875)","(1.8000000715255737, 51.000003814697266, 113.25599670410156)","(38.25, 35.55000305175781, 84.94200134277344)","(2.700000047683716, 43.5, 55.902000427246094)","(-23.700000762939453, 37.95000076293945, 2.177999973297119)","(26.55000114440918, 63.60000228881836, 62.678001403808594)"
17,2022-12-11 17:19:09.922046,"(6.0, 34.95000076293945, 120.27400207519531)","(14.250000953674316, 33.0, 85.66799926757812)","(15.450000762939453, 106.6500015258789, 109.38400268554688)","(1.9500000476837158, 51.750003814697266, 112.77200317382812)","(37.95000076293945, 35.85000228881836, 83.9739990234375)","(2.25, 43.35000228881836, 56.14400100708008)","(-23.400001525878906, 38.25, 1.9359999895095825)","(27.000001907348633, 63.30000305175781, 63.645999908447266)"
18,2022-12-11 17:19:09.967936,"(7.350000381469727, 35.10000228881836, 118.09600067138672)","(14.250000953674316, 32.85000228881836, 83.24800109863281)","(13.200000762939453, 106.95000457763672, 108.17399597167969)","(1.8000000715255737, 51.000003814697266, 111.31999969482422)","(38.55000305175781, 35.70000076293945, 83.9739990234375)","(2.25, 44.400001525878906, 57.11199951171875)","(-23.100000381469727, 38.85000228881836, 2.177999973297119)","(27.600000381469727, 63.30000305175781, 63.88800048828125)"
19,2022-12-11 17:19:10.057635,"(5.850000381469727, 36.150001525878906, 118.58000183105469)","(12.750000953674316, 33.150001525878906, 85.4260025024414)","(14.100000381469727, 106.50000762939453, 108.41600036621094)","(2.8500001430511475, 51.750003814697266, 113.01399993896484)","(38.25, 35.55000305175781, 84.94200134277344)","(2.4000000953674316, 43.5, 55.902000427246094)","(-23.100000381469727, 39.45000076293945, 2.177999973297119)","(27.150001525878906, 63.000003814697266, 63.1619987487793)"
