,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:36:04.851056,"(41.55000305175781, 22.80000114440918, 27.58799934387207)","(38.85000228881836, 38.85000228881836, 45.737998962402344)","(39.150001525878906, 94.95000457763672, 76.47200012207031)","(-34.05000305175781, -33.0, 121.72599792480469)","(51.900001525878906, 46.35000228881836, 104.05999755859375)","(25.950000762939453, 61.80000305175781, 118.09600067138672)","(15.90000057220459, 43.95000076293945, 38.236000061035156)","(57.60000228881836, 25.80000114440918, 106.96399688720703)"
1,2022-12-11 17:36:04.895743,"(41.55000305175781, 24.150001525878906, 25.40999984741211)","(38.70000076293945, 39.60000228881836, 45.49599838256836)","(39.900001525878906, 93.0, 78.40799713134766)","(-32.400001525878906, -30.600000381469727, 124.14599609375)","(52.650001525878906, 46.05000305175781, 104.05999755859375)","(25.05000114440918, 61.95000076293945, 117.85399627685547)","(15.90000057220459, 43.35000228881836, 38.720001220703125)","(57.60000228881836, 26.250001907348633, 106.23799896240234)"
2,2022-12-11 17:36:04.985531,"(40.80000305175781, 24.900001525878906, 24.926000595092773)","(37.95000076293945, 41.25, 46.70600128173828)","(39.60000228881836, 95.10000610351562, 77.197998046875)","(-32.85000228881836, -31.650001525878906, 122.20999908447266)","(52.05000305175781, 45.900001525878906, 104.302001953125)","(25.350000381469727, 61.35000228881836, 117.85399627685547)","(16.80000114440918, 44.400001525878906, 39.6879997253418)","(57.750003814697266, 26.400001525878906, 106.47999572753906)"
3,2022-12-11 17:36:05.030787,"(42.45000076293945, 22.350000381469727, 27.58799934387207)","(37.05000305175781, 39.900001525878906, 46.4640007019043)","(39.30000305175781, 94.5, 77.92399597167969)","(-32.85000228881836, -31.350000381469727, 121.48400115966797)","(52.35000228881836, 46.5, 103.81800079345703)","(24.900001525878906, 61.650001525878906, 117.12799835205078)","(16.350000381469727, 43.80000305175781, 38.961997985839844)","(57.60000228881836, 25.80000114440918, 106.47999572753906)"
4,2022-12-11 17:36:05.076046,"(42.0, 24.750001907348633, 27.829999923706055)","(39.150001525878906, 40.05000305175781, 46.22200012207031)","(41.25, 93.75, 78.16600036621094)","(-32.85000228881836, -30.450000762939453, 121.24199676513672)","(52.05000305175781, 45.900001525878906, 103.81800079345703)","(25.80000114440918, 61.20000076293945, 118.33799743652344)","(16.05000114440918, 42.900001525878906, 38.236000061035156)","(57.60000228881836, 25.650001525878906, 105.51200103759766)"
5,2022-12-11 17:36:05.165685,"(42.45000076293945, 23.400001525878906, 25.652000427246094)","(37.80000305175781, 39.75, 46.947998046875)","(40.05000305175781, 94.5, 77.44000244140625)","(-32.70000076293945, -32.85000228881836, 124.14599609375)","(52.80000305175781, 46.35000228881836, 104.05999755859375)","(25.200000762939453, 61.20000076293945, 117.85399627685547)","(16.05000114440918, 43.5, 37.99399948120117)","(57.60000228881836, 25.950000762939453, 105.51200103759766)"
6,2022-12-11 17:36:05.210649,"(42.45000076293945, 23.25, 28.07200050354004)","(37.80000305175781, 39.150001525878906, 45.737998962402344)","(39.75, 94.05000305175781, 79.3759994506836)","(-33.150001525878906, -33.0, 122.45199584960938)","(51.900001525878906, 46.20000076293945, 104.54399871826172)","(25.650001525878906, 61.95000076293945, 117.61199951171875)","(16.200000762939453, 43.20000076293945, 38.961997985839844)","(57.750003814697266, 25.950000762939453, 106.96399688720703)"
7,2022-12-11 17:36:05.300654,"(40.95000076293945, 23.55000114440918, 29.766000747680664)","(38.400001525878906, 39.45000076293945, 44.52799987792969)","(39.45000076293945, 93.1500015258789, 79.3759994506836)","(-33.45000076293945, -31.500001907348633, 123.41999816894531)","(51.750003814697266, 46.05000305175781, 103.81800079345703)","(25.500001907348633, 61.500003814697266, 117.61199951171875)","(15.90000057220459, 43.5, 39.20399856567383)","(57.45000076293945, 25.200000762939453, 105.99600219726562)"
8,2022-12-11 17:36:05.345558,"(41.70000076293945, 24.0, 29.03999900817871)","(38.10000228881836, 39.30000305175781, 44.77000045776367)","(38.25, 94.95000457763672, 79.3759994506836)","(-34.650001525878906, -31.05000114440918, 122.69400024414062)","(52.20000076293945, 46.20000076293945, 104.302001953125)","(25.500001907348633, 61.95000076293945, 118.09600067138672)","(15.600000381469727, 43.35000228881836, 37.5099983215332)","(57.150001525878906, 25.80000114440918, 106.23799896240234)"
9,2022-12-11 17:36:05.390660,"(42.45000076293945, 21.75, 29.281999588012695)","(36.0, 40.80000305175781, 46.22200012207031)","(39.0, 93.1500015258789, 76.47200012207031)","(-35.55000305175781, -32.25, 124.38800048828125)","(52.20000076293945, 46.5, 104.302001953125)","(25.200000762939453, 61.35000228881836, 118.58000183105469)","(16.650001525878906, 42.75, 37.5099983215332)","(57.150001525878906, 25.05000114440918, 106.23799896240234)"
10,2022-12-11 17:36:05.480469,"(43.95000076293945, 21.450000762939453, 30.492000579833984)","(38.10000228881836, 39.60000228881836, 46.22200012207031)","(39.30000305175781, 93.45000457763672, 76.71399688720703)","(-36.75, -31.650001525878906, 124.38800048828125)","(52.20000076293945, 45.900001525878906, 103.81800079345703)","(25.350000381469727, 61.650001525878906, 117.12799835205078)","(16.200000762939453, 43.80000305175781, 37.99399948120117)","(57.45000076293945, 25.80000114440918, 106.23799896240234)"
