,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 17:32:57.920167,"(-40.650001525878906, 25.200000762939453, 95.10600280761719)","(5.100000381469727, 39.150001525878906, 61.709999084472656)","(16.200000762939453, 118.6500015258789, 84.69999694824219)","(-7.650000095367432, 63.30000305175781, 56.14400100708008)","(49.35000228881836, 52.05000305175781, 96.0739974975586)","(20.25, 79.80000305175781, 101.63999938964844)","(14.550000190734863, 64.20000457763672, 27.104000091552734)","(68.70000457763672, 58.20000076293945, 121.96800231933594)"
1,2022-12-11 17:32:57.964992,"(-39.150001525878906, 25.650001525878906, 91.95999908447266)","(5.100000381469727, 38.400001525878906, 62.91999816894531)","(16.950000762939453, 118.05000305175781, 80.58599853515625)","(-8.25, 61.650001525878906, 58.56399917602539)","(49.20000076293945, 51.900001525878906, 95.58999633789062)","(19.80000114440918, 79.80000305175781, 100.91400146484375)","(13.65000057220459, 63.60000228881836, 27.34600067138672)","(69.45000457763672, 57.60000228881836, 122.45199584960938)"
2,2022-12-11 17:32:58.010057,"(-40.5, 26.400001525878906, 93.41200256347656)","(3.9000000953674316, 38.85000228881836, 61.709999084472656)","(16.350000381469727, 117.60000610351562, 81.06999969482422)","(-7.800000190734863, 62.85000228881836, 56.62799835205078)","(49.20000076293945, 51.60000228881836, 95.58999633789062)","(20.100000381469727, 79.35000610351562, 102.36599731445312)","(13.200000762939453, 63.900001525878906, 28.07200050354004)","(69.1500015258789, 57.750003814697266, 122.69400024414062)"
3,2022-12-11 17:32:58.099879,"(-40.35000228881836, 26.100000381469727, 94.86399841308594)","(3.9000000953674316, 39.150001525878906, 61.95199966430664)","(16.650001525878906, 117.75000762939453, 80.34400177001953)","(-7.800000190734863, 62.85000228881836, 56.869998931884766)","(49.20000076293945, 51.750003814697266, 96.0739974975586)","(19.650001525878906, 79.6500015258789, 101.88199615478516)","(13.050000190734863, 63.60000228881836, 27.104000091552734)","(68.85000610351562, 57.750003814697266, 122.69400024414062)"
4,2022-12-11 17:32:58.145396,"(-40.5, 26.100000381469727, 95.83200073242188)","(5.550000190734863, 39.30000305175781, 63.88800048828125)","(16.200000762939453, 119.70000457763672, 81.06999969482422)","(-7.800000190734863, 62.250003814697266, 53.7239990234375)","(48.900001525878906, 51.900001525878906, 95.58999633789062)","(20.100000381469727, 79.6500015258789, 100.91400146484375)","(13.500000953674316, 64.35000610351562, 26.378000259399414)","(69.1500015258789, 57.900001525878906, 122.69400024414062)"
5,2022-12-11 17:32:58.234821,"(-39.900001525878906, 27.000001907348633, 95.83200073242188)","(6.300000190734863, 38.70000076293945, 62.678001403808594)","(15.90000057220459, 119.70000457763672, 81.31199645996094)","(-7.050000190734863, 63.000003814697266, 56.62799835205078)","(49.20000076293945, 52.05000305175781, 95.10600280761719)","(19.650001525878906, 80.10000610351562, 101.39800262451172)","(13.65000057220459, 63.750003814697266, 28.31399917602539)","(69.0, 57.900001525878906, 122.45199584960938)"
6,2022-12-11 17:32:58.279866,"(-40.650001525878906, 28.350000381469727, 94.86399841308594)","(4.800000190734863, 37.80000305175781, 64.12999725341797)","(15.750000953674316, 120.1500015258789, 82.27999877929688)","(-7.650000095367432, 60.750003814697266, 57.354000091552734)","(49.20000076293945, 51.900001525878906, 95.83200073242188)","(20.100000381469727, 80.25, 101.39800262451172)","(13.350000381469727, 63.60000228881836, 28.555999755859375)","(69.45000457763672, 57.900001525878906, 122.20999908447266)"
7,2022-12-11 17:32:58.324975,"(-38.70000076293945, 29.700000762939453, 95.58999633789062)","(6.900000095367432, 38.55000305175781, 61.22599792480469)","(15.750000953674316, 118.6500015258789, 81.06999969482422)","(-6.900000095367432, 60.750003814697266, 54.45000076293945)","(49.05000305175781, 51.750003814697266, 96.0739974975586)","(20.100000381469727, 79.35000610351562, 101.88199615478516)","(13.65000057220459, 63.45000076293945, 27.829999923706055)","(69.9000015258789, 57.60000228881836, 122.69400024414062)"
8,2022-12-11 17:32:58.414892,"(-38.85000228881836, 30.600000381469727, 93.65399932861328)","(5.700000286102295, 39.60000228881836, 63.40399932861328)","(18.150001525878906, 118.95000457763672, 82.52200317382812)","(-6.450000286102295, 61.35000228881836, 57.8380012512207)","(49.500003814697266, 51.60000228881836, 95.58999633789062)","(19.650001525878906, 79.20000457763672, 101.88199615478516)","(13.65000057220459, 63.60000228881836, 27.829999923706055)","(69.60000610351562, 57.150001525878906, 121.72599792480469)"
9,2022-12-11 17:32:58.459884,"(-36.75, 28.650001525878906, 94.13800048828125)","(5.550000190734863, 38.55000305175781, 64.37200164794922)","(18.150001525878906, 117.9000015258789, 82.27999877929688)","(-4.950000286102295, 61.35000228881836, 57.8380012512207)","(49.80000305175781, 51.750003814697266, 96.31600189208984)","(20.25, 80.4000015258789, 102.36599731445312)","(13.350000381469727, 63.45000076293945, 26.619998931884766)","(69.45000457763672, 57.900001525878906, 121.24199676513672)"
