,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 18:18:13.899369,"(30.750001907348633, 51.900001525878906, 84.45800018310547)","(28.350000381469727, 40.650001525878906, 67.2760009765625)","(34.95000076293945, 111.75000762939453, 97.28399658203125)","(28.500001907348633, 41.400001525878906, 90.02400207519531)","(44.10000228881836, 39.150001525878906, 94.86399841308594)","(9.90000057220459, 43.80000305175781, 81.31199645996094)","(-5.25, 40.35000228881836, 25.167999267578125)","(37.20000076293945, 48.30000305175781, 89.78199768066406)"
1,2022-12-11 18:18:13.944617,"(31.05000114440918, 50.10000228881836, 80.8280029296875)","(30.600000381469727, 42.75, 69.69599914550781)","(35.85000228881836, 112.50000762939453, 97.76799774169922)","(26.850000381469727, 41.400001525878906, 90.02400207519531)","(44.70000076293945, 38.70000076293945, 94.37999725341797)","(9.300000190734863, 44.55000305175781, 81.7959976196289)","(-3.9000000953674316, 42.0, 25.40999984741211)","(37.20000076293945, 48.45000076293945, 89.2979965209961)"
2,2022-12-11 18:18:14.034281,"(31.500001907348633, 50.400001525878906, 83.73200225830078)","(29.400001525878906, 40.5, 70.18000030517578)","(35.400001525878906, 111.30000305175781, 94.86399841308594)","(27.900001525878906, 39.75, 89.54000091552734)","(44.55000305175781, 39.45000076293945, 95.10600280761719)","(9.450000762939453, 43.650001525878906, 82.27999877929688)","(-4.350000381469727, 40.650001525878906, 24.200000762939453)","(37.5, 48.60000228881836, 88.33000183105469)"
3,2022-12-11 18:18:14.079433,"(32.25, 50.55000305175781, 81.7959976196289)","(30.150001525878906, 42.75, 66.79199981689453)","(35.25, 112.20000457763672, 96.0739974975586)","(26.700000762939453, 41.25, 89.54000091552734)","(44.55000305175781, 38.55000305175781, 93.41200256347656)","(9.90000057220459, 43.80000305175781, 81.06999969482422)","(-4.950000286102295, 40.650001525878906, 24.200000762939453)","(37.20000076293945, 48.30000305175781, 88.08799743652344)"
4,2022-12-11 18:18:14.124940,"(31.05000114440918, 51.000003814697266, 80.10199737548828)","(30.30000114440918, 42.45000076293945, 66.55000305175781)","(34.05000305175781, 112.50000762939453, 95.83200073242188)","(29.100000381469727, 38.55000305175781, 90.50800323486328)","(44.400001525878906, 39.0, 94.86399841308594)","(9.450000762939453, 44.25, 81.55400085449219)","(-5.100000381469727, 40.650001525878906, 23.95800018310547)","(37.35000228881836, 48.30000305175781, 89.05599975585938)"
5,2022-12-11 18:18:14.214233,"(31.80000114440918, 50.10000228881836, 83.00599670410156)","(29.850000381469727, 42.60000228881836, 68.00199890136719)","(34.5, 111.60000610351562, 95.58999633789062)","(28.650001525878906, 38.70000076293945, 90.75)","(44.70000076293945, 38.85000228881836, 94.86399841308594)","(9.600000381469727, 43.35000228881836, 81.7959976196289)","(-5.100000381469727, 40.5, 24.200000762939453)","(37.35000228881836, 48.0, 89.05599975585938)"
6,2022-12-11 18:18:14.259157,"(30.150001525878906, 49.80000305175781, 81.31199645996094)","(29.700000762939453, 42.75, 66.06600189208984)","(34.35000228881836, 109.80000305175781, 94.62200164794922)","(27.900001525878906, 40.5, 92.20199584960938)","(44.10000228881836, 38.70000076293945, 94.86399841308594)","(9.75, 43.80000305175781, 81.7959976196289)","(-4.200000286102295, 40.95000076293945, 24.68400001525879)","(37.05000305175781, 47.85000228881836, 89.05599975585938)"
7,2022-12-11 18:18:14.304079,"(31.80000114440918, 51.150001525878906, 81.31199645996094)","(31.80000114440918, 41.70000076293945, 67.03399658203125)","(36.0, 112.05000305175781, 94.86399841308594)","(27.000001907348633, 39.150001525878906, 90.02400207519531)","(44.55000305175781, 38.85000228881836, 94.13800048828125)","(9.75, 43.20000076293945, 81.55400085449219)","(-4.5, 40.20000076293945, 24.68400001525879)","(37.80000305175781, 48.150001525878906, 89.54000091552734)"
8,2022-12-11 18:18:14.394077,"(30.450000762939453, 50.250003814697266, 82.03800201416016)","(30.600000381469727, 43.05000305175781, 69.21199798583984)","(36.45000076293945, 110.70000457763672, 96.80000305175781)","(28.05000114440918, 40.650001525878906, 89.54000091552734)","(44.55000305175781, 38.85000228881836, 94.86399841308594)","(9.600000381469727, 43.95000076293945, 81.31199645996094)","(-5.25, 40.20000076293945, 24.200000762939453)","(36.75, 48.900001525878906, 89.2979965209961)"
9,2022-12-11 18:18:14.439432,"(31.200000762939453, 51.45000076293945, 80.58599853515625)","(30.30000114440918, 40.650001525878906, 68.97000122070312)","(33.900001525878906, 112.95000457763672, 95.58999633789062)","(28.500001907348633, 39.75, 89.2979965209961)","(44.400001525878906, 39.45000076293945, 94.13800048828125)","(9.450000762939453, 43.95000076293945, 81.06999969482422)","(-5.400000095367432, 40.80000305175781, 24.200000762939453)","(37.35000228881836, 47.85000228881836, 87.84600067138672)"
