,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,2022-12-11 18:58:36.572638,"(56.10000228881836, 27.150001525878906, 77.44000244140625)","(42.45000076293945, 36.60000228881836, 68.48600006103516)","(39.150001525878906, 98.4000015258789, 102.60800170898438)","(14.700000762939453, 18.450000762939453, 121.48400115966797)","(47.10000228881836, 34.650001525878906, 93.89599609375)","(13.950000762939453, 28.350000381469727, 74.53600311279297)","(-7.050000190734863, 28.950000762939453, 15.972000122070312)","(27.450000762939453, 41.55000305175781, 68.00199890136719)"
1,2022-12-11 18:58:36.662427,"(57.60000228881836, 27.750001907348633, 80.8280029296875)","(43.20000076293945, 36.75, 70.18000030517578)","(38.10000228881836, 100.05000305175781, 102.36599731445312)","(16.05000114440918, 19.200000762939453, 120.27400207519531)","(46.95000076293945, 34.35000228881836, 94.13800048828125)","(13.350000381469727, 28.05000114440918, 74.77799987792969)","(-7.500000476837158, 28.650001525878906, 17.423999786376953)","(27.450000762939453, 41.25, 67.76000213623047)"
2,2022-12-11 18:58:36.707251,"(57.45000076293945, 28.950000762939453, 80.34400177001953)","(42.30000305175781, 36.0, 70.18000030517578)","(38.85000228881836, 100.05000305175781, 102.1240005493164)","(16.350000381469727, 20.700000762939453, 117.85399627685547)","(47.10000228881836, 33.900001525878906, 93.65399932861328)","(13.350000381469727, 28.500001907348633, 75.98799896240234)","(-7.650000095367432, 28.200000762939453, 15.48799991607666)","(27.30000114440918, 42.0, 68.00199890136719)"
3,2022-12-11 18:58:36.752072,"(57.750003814697266, 28.350000381469727, 78.89199829101562)","(43.35000228881836, 37.650001525878906, 70.4219970703125)","(39.60000228881836, 100.35000610351562, 103.09200286865234)","(16.5, 19.350000381469727, 121.24199676513672)","(46.80000305175781, 34.05000305175781, 93.89599609375)","(14.250000953674316, 28.500001907348633, 75.98799896240234)","(-7.650000095367432, 28.80000114440918, 17.18199920654297)","(27.750001907348633, 41.10000228881836, 68.48600006103516)"
4,2022-12-11 18:58:36.842682,"(57.900001525878906, 27.600000381469727, 78.6500015258789)","(43.05000305175781, 34.650001525878906, 67.51799774169922)","(39.150001525878906, 99.00000762939453, 102.36599731445312)","(15.750000953674316, 18.75, 119.79000091552734)","(47.25, 34.05000305175781, 93.65399932861328)","(13.950000762939453, 28.350000381469727, 75.26200103759766)","(-7.050000190734863, 28.500001907348633, 15.972000122070312)","(27.450000762939453, 41.10000228881836, 67.51799774169922)"
5,2022-12-11 18:58:36.887136,"(58.80000305175781, 28.350000381469727, 80.58599853515625)","(42.30000305175781, 36.30000305175781, 69.4540023803711)","(38.85000228881836, 99.30000305175781, 100.6719970703125)","(16.350000381469727, 20.25, 121.72599792480469)","(47.55000305175781, 34.95000076293945, 93.65399932861328)","(14.550000190734863, 28.200000762939453, 75.98799896240234)","(-6.600000381469727, 29.100000381469727, 16.45599937438965)","(27.30000114440918, 42.0, 68.97000122070312)"
6,2022-12-11 18:58:36.932122,"(57.750003814697266, 26.850000381469727, 74.53600311279297)","(42.900001525878906, 37.650001525878906, 68.72799682617188)","(37.95000076293945, 99.30000305175781, 104.302001953125)","(14.100000381469727, 18.75, 121.72599792480469)","(47.25, 34.35000228881836, 94.62200164794922)","(13.800000190734863, 28.500001907348633, 75.98799896240234)","(-5.850000381469727, 29.100000381469727, 17.18199920654297)","(27.600000381469727, 41.25, 68.72799682617188)"
7,2022-12-11 18:58:37.022274,"(57.750003814697266, 28.200000762939453, 76.2300033569336)","(40.650001525878906, 36.0, 70.4219970703125)","(38.55000305175781, 100.35000610351562, 102.60800170898438)","(14.700000762939453, 18.600000381469727, 119.06400299072266)","(47.400001525878906, 34.05000305175781, 94.13800048828125)","(14.700000762939453, 28.950000762939453, 76.2300033569336)","(-6.300000190734863, 28.950000762939453, 17.18199920654297)","(28.80000114440918, 41.400001525878906, 69.21199798583984)"
8,2022-12-11 18:58:37.067180,"(57.000003814697266, 28.650001525878906, 77.92399597167969)","(42.900001525878906, 36.75, 69.4540023803711)","(38.25, 99.9000015258789, 103.33399963378906)","(15.600000381469727, 18.75, 118.09600067138672)","(47.25, 34.20000076293945, 94.62200164794922)","(15.000000953674316, 28.650001525878906, 76.2300033569336)","(-5.700000286102295, 29.400001525878906, 16.45599937438965)","(27.900001525878906, 41.10000228881836, 68.48600006103516)"
9,2022-12-11 18:58:37.157242,"(57.30000305175781, 28.200000762939453, 76.71399688720703)","(41.10000228881836, 36.45000076293945, 68.72799682617188)","(38.400001525878906, 98.85000610351562, 99.94599914550781)","(14.700000762939453, 18.900001525878906, 120.03199768066406)","(48.150001525878906, 34.5, 94.13800048828125)","(15.000000953674316, 28.350000381469727, 77.68199920654297)","(-4.950000286102295, 28.950000762939453, 16.697999954223633)","(28.350000381469727, 41.400001525878906, 69.93799591064453)"
